conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
3s2.3p,2P*,0.5,2.0,0.0,3s2.3p,2P*,1.5,4.0,0.013894,0.013894,89237.06862,1.01e-05,2.4116e-09,4.8232e-09,6.4003e-11
3s2.3p,2P*,0.5,2.0,0.0,3s2.4s,2S,0.5,2.0,3.142721,3.142721,394.51224,49900000.0,0.11643,0.23287,0.0030902
3s2.3p,2P*,0.5,2.0,0.0,3s2.3d,2D,1.5,4.0,4.021484,4.021484,308.30462,58700000.0,0.1673,0.33459,0.0044401
3s2.3p,2P*,0.5,2.0,0.0,3s2.5s,2S,0.5,2.0,4.672891,4.672891,265.32654,14200000.0,0.014987,0.029974,0.00039775
3s2.3p,2P*,0.5,2.0,0.0,3s2.nd,y 2D,1.5,4.0,4.826632,4.826632,256.87518,19200000.0,0.037987,0.075974,0.0010082
3s2.3p,2P*,0.5,2.0,0.0,3s2.6s,2S,0.5,2.0,5.225241,5.225241,237.27939,5760000.0,0.0048619,0.0097237,0.00012903
3s2.3p,2P*,0.5,2.0,0.0,3s2.4d,2D,1.5,4.0,5.236317,5.236317,236.77751,76100000.0,0.12792,0.25585,0.0033951
3s2.3p,2P*,0.5,2.0,0.0,3s2.5d,2D,1.5,4.0,5.475936,5.475936,226.41647,68300000.0,0.10498,0.20997,0.0027863
3s2.3p,2P*,0.5,2.0,0.0,3s2.7s,2S,0.5,2.0,5.489169,5.489169,225.87062,3770000.0,0.0028835,0.005767,7.6528e-05
3s2.3p,2P*,0.5,2.0,0.0,3s2.6d,2D,1.5,4.0,5.62196,5.62196,220.53554,43700000.0,0.063728,0.12746,0.0016913
3s2.3p,2P*,0.5,2.0,0.0,3s2.8s,2S,0.5,2.0,5.63598,5.63598,219.98694,1750000.0,0.0012697,0.0025393,3.3697e-05
3s2.3p,2P*,0.5,2.0,0.0,3s2.7d,2D,1.5,4.0,5.714856,5.714856,216.95069,29600000.0,0.041774,0.083547,0.0011087
3s2.3p,2P*,0.5,2.0,0.0,3s2.8d,2D,1.5,4.0,5.776835,5.776835,214.62306,20600000.0,0.028452,0.056904,0.00075511
3s2.3p,2P*,0.5,2.0,0.0,3s2.9d,2D,1.5,4.0,5.819939,5.819939,213.0335,15200000.0,0.020684,0.041367,0.00054895
3s2.3p,2P*,0.5,2.0,0.0,3s2.10d,2D,1.5,4.0,5.851109,5.851109,211.89863,10300000.0,0.013867,0.027734,0.00036803
3s2.3p,2P*,1.5,4.0,0.013894,3s2.4s,2S,0.5,2.0,3.142721,3.128827,396.2641,98500000.0,0.11594,0.46376,0.0030771
3s2.3p,2P*,1.5,4.0,0.013894,3s2.3d,2D,1.5,4.0,4.021484,4.00759,309.37348,11600000.0,0.016645,0.06658,0.00044176
3s2.3p,2P*,1.5,4.0,0.013894,3s2.3d,2D,2.5,6.0,4.02165,4.007756,309.36061,72900000.0,0.15689,0.62758,0.004164
3s2.3p,2P*,1.5,4.0,0.013894,3s2.5s,2S,0.5,2.0,4.672891,4.658997,266.11778,28400000.0,0.015076,0.060305,0.00040013
3s2.3p,2P*,1.5,4.0,0.013894,3s2.nd,y 2D,1.5,4.0,4.826632,4.812738,257.61675,5990000.0,0.0059598,0.023839,0.00015817
3s2.3p,2P*,1.5,4.0,0.013894,3s2.nd,y 2D,2.5,6.0,4.827197,4.813303,257.58652,36000000.0,0.053715,0.21486,0.0014256
3s2.3p,2P*,1.5,4.0,0.013894,3s2.6s,2S,0.5,2.0,5.225241,5.211347,237.91199,11400000.0,0.0048369,0.019348,0.00012837
3s2.3p,2P*,1.5,4.0,0.013894,3s2.4d,2D,1.5,4.0,5.236317,5.222423,237.40743,15100000.0,0.012759,0.051037,0.00033863
3s2.3p,2P*,1.5,4.0,0.013894,3s2.4d,2D,2.5,6.0,5.236818,5.222924,237.38465,90700000.0,0.11494,0.45975,0.0030505
3s2.3p,2P*,1.5,4.0,0.013894,3s2.5d,2D,1.5,4.0,5.475936,5.462042,226.99241,12600000.0,0.0097331,0.038933,0.00025832
3s2.3p,2P*,1.5,4.0,0.013894,3s2.5d,2D,2.5,6.0,5.476239,5.462345,226.97979,75800000.0,0.08782,0.35128,0.0023307
3s2.3p,2P*,1.5,4.0,0.013894,3s2.7s,2S,0.5,2.0,5.489169,5.475275,226.44378,7500000.0,0.0028828,0.011531,7.6509e-05
3s2.3p,2P*,1.5,4.0,0.013894,3s2.6d,2D,1.5,4.0,5.62196,5.608066,221.08191,8670000.0,0.0063531,0.025412,0.00016861
3s2.3p,2P*,1.5,4.0,0.013894,3s2.6d,2D,2.5,6.0,5.622137,5.608243,221.07493,52000000.0,0.057152,0.22861,0.0015168
3s2.3p,2P*,1.5,4.0,0.013894,3s2.8s,2S,0.5,2.0,5.63598,5.622086,220.53059,3490000.0,0.0012723,0.0050892,3.3767e-05
3s2.3p,2P*,1.5,4.0,0.013894,3s2.7d,2D,1.5,4.0,5.714856,5.700962,217.47942,5880000.0,0.0041694,0.016678,0.00011066
3s2.3p,2P*,1.5,4.0,0.013894,3s2.7d,2D,2.5,6.0,5.714966,5.701073,217.47522,35300000.0,0.037544,0.15018,0.00099643
3s2.3p,2P*,1.5,4.0,0.013894,3s2.8d,2D,1.5,4.0,5.776835,5.762941,215.14049,4090000.0,0.0028381,0.011352,7.5323e-05
3s2.3p,2P*,1.5,4.0,0.013894,3s2.8d,2D,2.5,6.0,5.776914,5.76302,215.13754,24600000.0,0.025605,0.10242,0.00067955
3s2.3p,2P*,1.5,4.0,0.013894,3s2.9d,2D,1.5,4.0,5.819939,5.806045,213.54329,3000000.0,0.0020509,0.0082038,5.4432e-05
3s2.3p,2P*,1.5,4.0,0.013894,3s2.9d,2D,2.5,6.0,5.82001,5.806116,213.54068,18100000.0,0.018561,0.074242,0.0004926
3s2.3p,2P*,1.5,4.0,0.013894,3s2.10d,2D,1.5,4.0,5.851109,5.837215,212.40299,2000000.0,0.0013527,0.0054109,3.5901e-05
3s2.3p,2P*,1.5,4.0,0.013894,3s2.10d,2D,2.5,6.0,5.851109,5.837215,212.40299,12200000.0,0.012377,0.04951,0.0003285
3s2.4s,2S,0.5,2.0,3.142721,3s.3p2,4P,0.5,2.0,3.598072,0.455351,2722.82817,3.24e-07,3.6012e-14,7.2024e-14,9.5575e-16
3s2.4s,2S,0.5,2.0,3.142721,3s.3p2,4P,1.5,4.0,3.603844,0.461123,2688.74578,8.35e-07,1.81e-13,3.62e-13,4.8037e-15
3s2.4s,2S,0.5,2.0,3.142721,3s.3p2,4P,2.5,6.0,3.613244,0.470523,2635.03062,1.28e-07,3.9973e-14,7.9945e-14,1.0609e-15
3s2.4s,2S,0.5,2.0,3.142721,3s2.4p,2P*,0.5,2.0,4.085255,0.942534,1315.43448,15900000.0,0.41247,0.82495,0.010947
3s2.4s,2S,0.5,2.0,3.142721,3s2.4p,2P*,1.5,4.0,4.087218,0.944497,1312.70068,16000000.0,0.82669,1.6534,0.02194
3s2.4s,2S,0.5,2.0,3.142721,3s2.5p,2P*,0.5,2.0,4.993089,1.850368,670.05168,1000000.0,0.0067309,0.013462,0.00017864
3s2.4s,2S,0.5,2.0,3.142721,3s2.5p,2P*,1.5,4.0,4.993821,1.8511,669.78668,1000000.0,0.013451,0.026902,0.000357
3s2.4s,2S,0.5,2.0,3.142721,3s2.6p,2P*,0.5,2.0,5.372858,2.230137,555.9488,229000.0,0.0010611,0.0021222,2.8162e-05
3s2.4s,2S,0.5,2.0,3.142721,3s2.6p,2P*,1.5,4.0,5.373213,2.230492,555.86026,230000.0,0.0021308,0.0042617,5.6552e-05
3s.3p2,4P,0.5,2.0,3.598072,3s.3p2,4P,1.5,4.0,3.603844,0.005772,214802.83853,2.38e-06,3.2927e-09,6.5853e-09,8.7387e-11
3s.3p2,4P,1.5,4.0,3.603844,3s.3p2,4P,2.5,6.0,3.613244,0.0094,131898.0834,6.44e-06,2.5195e-09,1.0078e-08,6.6867e-11
3s2.3d,2D,1.5,4.0,4.021484,3s2.4p,2P*,0.5,2.0,4.085255,0.063772,19441.85336,6490.0,0.018389,0.073555,0.00048803
3s2.3d,2D,1.5,4.0,4.021484,3s2.4p,2P*,1.5,4.0,4.087218,0.065735,18861.30132,710.0,0.0037867,0.015147,0.0001005
3s2.3d,2D,1.5,4.0,4.021484,3s2.5p,2P*,0.5,2.0,4.993089,0.971605,1276.07577,62900.0,0.00076777,0.0030711,2.0377e-05
3s2.3d,2D,1.5,4.0,4.021484,3s2.5p,2P*,1.5,4.0,4.993821,0.972337,1275.11498,6320.0,0.00015405,0.00061622,4.0886e-06
3s2.3d,2D,1.5,4.0,4.021484,3s2.4f,2F*,2.5,6.0,5.122951,1.101468,1125.62708,13000000.0,0.37041,1.4816,0.0098307
3s2.3d,2D,1.5,4.0,4.021484,3s2.5f,2F*,2.5,6.0,5.434364,1.41288,877.52797,6470000.0,0.11204,0.44816,0.0029736
3s2.3d,2D,1.5,4.0,4.021484,3s2.6f,2F*,2.5,6.0,5.603426,1.581943,783.74646,3710000.0,0.051248,0.20499,0.0013601
3s2.3d,2D,1.5,4.0,4.021484,3s2.7f,2F*,2.5,6.0,5.705229,1.683745,736.35958,2320000.0,0.028289,0.11316,0.00075079
3s2.3d,2D,1.5,4.0,4.021484,3s2.8f,2F*,2.5,6.0,5.771209,1.749726,708.5922,1540000.0,0.017389,0.069554,0.00046149
3s2.3d,2D,1.5,4.0,4.021484,3s2.9f,2F*,2.5,6.0,5.816394,1.79491,690.75425,1080000.0,0.011588,0.046353,0.00030755
3s2.3d,2D,2.5,6.0,4.02165,3s2.4p,2P*,1.5,4.0,4.087218,0.065568,18909.22543,6350.0,0.022693,0.13616,0.00060227
3s2.3d,2D,2.5,6.0,4.02165,3s2.5p,2P*,1.5,4.0,4.993821,0.972171,1275.33349,56700.0,0.00092172,0.0055303,2.4462e-05
3s2.3d,2D,2.5,6.0,4.02165,3s2.4f,2F*,2.5,6.0,5.122951,1.101301,1125.79736,926000.0,0.017595,0.10557,0.00046697
3s2.3d,2D,2.5,6.0,4.02165,3s2.4f,2F*,3.5,8.0,5.122952,1.101302,1125.79634,13900000.0,0.35215,2.1129,0.0093462
3s2.3d,2D,2.5,6.0,4.02165,3s2.5f,2F*,3.5,8.0,5.434364,1.412714,877.63115,6950000.0,0.10701,0.64203,0.0028399
3s2.3d,2D,2.5,6.0,4.02165,3s2.5f,2F*,2.5,6.0,5.434364,1.412714,877.63146,462000.0,0.0053349,0.032009,0.00014159
3s2.3d,2D,2.5,6.0,4.02165,3s2.6f,2F*,2.5,6.0,5.603426,1.581776,783.829,265000.0,0.0024409,0.014645,6.4781e-05
3s2.3d,2D,2.5,6.0,4.02165,3s2.6f,2F*,3.5,8.0,5.603426,1.581776,783.829,3970000.0,0.048756,0.29254,0.001294
3s2.3d,2D,2.5,6.0,4.02165,3s2.7f,2F*,2.5,6.0,5.705229,1.683579,736.43245,166000.0,0.0013497,0.0080981,3.5821e-05
3s2.3d,2D,2.5,6.0,4.02165,3s2.7f,2F*,3.5,8.0,5.705229,1.683579,736.43245,2490000.0,0.026994,0.16196,0.00071641
3s2.3d,2D,2.5,6.0,4.02165,3s2.8f,2F*,2.5,6.0,5.771209,1.749559,708.65968,110000.0,0.00082819,0.0049691,2.198e-05
3s2.3d,2D,2.5,6.0,4.02165,3s2.8f,2F*,3.5,8.0,5.771209,1.749559,708.65968,1650000.0,0.016564,0.099382,0.0004396
3s2.3d,2D,2.5,6.0,4.02165,3s2.9f,2F*,2.5,6.0,5.816394,1.794744,690.81837,76900.0,0.00055019,0.0033011,1.4602e-05
3s2.3d,2D,2.5,6.0,4.02165,3s2.9f,2F*,3.5,8.0,5.816394,1.794744,690.81837,1150000.0,0.01097,0.065823,0.00029116
3s2.4p,2P*,0.5,2.0,4.085255,3s2.5s,2S,0.5,2.0,4.672891,0.587635,2109.88271,3000000.0,0.20022,0.40043,0.0053137
