Initial State,Final State,Partial Lifetime /s,Delta Energy /eV
Al+ 3Po;v=3s.3p,Al+ 1S;v=2p6.3s2,0.00030488,-4.64358464763884
Al+ 1Po;v=3s.3p,Al+ 1S;v=2p6.3s2,7.0922e-10,-7.4205310616646
Al+ 1D;v=3p2,Al+ 1Po;v=3s.3p,2.0833e-06,-3.1775673125681
Al+ 1D;v=3p2,Al+ 1S;v=2p6.3s2,0.00011947,-10.5980983742327
Al+ 3S;v=3s.4s,Al+ 3Po;v=3s.3p,1.3499e-09,-6.672750017667361
Al+ 3P;v=3p2,Al+ 3Po;v=3s.3p,8.1301e-10,-7.021199569040859
Al+ 1S;v=3s.4s,Al+ 1Po;v=3s.3p,2.8011e-09,-4.4011639368042
Al+ 3D;v=3s.3d,Al+ 3Po;v=3s.3p,8.466e-10,-7.20300580356646
Al+ 3Po;v=3s.4p,Al+ 3S;v=3s.4s,1.7452e-08,-1.7547698720387999
Al+ 3Po;v=3s.4p,Al+ 3D;v=3s.3d,6.25e-08,-1.2245140861397008
Al+ 1Po;v=3s.4p,Al+ 1D;v=3p2,1.7212e-08,-2.6581103012374996
Al+ 1Po;v=3s.4p,Al+ 1S;v=3s.4s,3.3333e-08,-1.4345136770013998
Al+ 1D;v=3s.3d,Al+ 1Po;v=3s.3p,7.2464e-10,-6.22857447497
Al+ 1D;v=3s.3d,Al+ 1Po;v=3s.4p,1.5432e-06,-0.3928968611644006
Al+ 1D;v=3s.3d,Al+ 1S;v=2p6.3s2,8.6207e-05,-13.6491055366346
Al+ 1S;v=3p2,Al+ 1Po;v=3s.3p,9.6154e-10,-6.4203736053649
Al+ 3S;v=3s.5s,Al+ 3Po;v=3s.3p,4.4683e-09,-10.24570621630036
Al+ 3S;v=3s.5s,Al+ 3Po;v=3s.4p,9.3197e-09,-1.8181863265941995
Al+ 1S;v=3s.5s,Al+ 1Po;v=3s.3p,7.6336e-09,-7.6267120273056
Al+ 1S;v=3s.5s,Al+ 1Po;v=3s.4p,1e-08,-1.7910344135000003
Al+ 3D;v=3s.4d,Al+ 3Po;v=3s.3p,6.7015e-09,-10.418164257915858
Al+ 3D;v=3s.4d,Al+ 3Po;v=3s.4p,8.9039e-09,-1.9906443682096988
Al+ 3Fo;v=3s.4f,Al+ 3D;v=3s.3d,4.262e-09,-3.4549383626776002
Al+ 3Fo;v=3s.4f,Al+ 3D;v=3s.4d,2.7076e-06,-0.23977990832820062
Al+ 1Fo;v=3s.4f,Al+ 1D;v=3p2,4.0323e-09,-4.709877469243299
Al+ 1Fo;v=3s.4f,Al+ 1D;v=3s.3d,1.7953e-08,-1.6588703068413988
Al+ 1D;v=3s.4d,Al+ 1Po;v=3s.3p,1.4925e-09,-8.051596073759
Al+ 1D;v=3s.4d,Al+ 1Po;v=3s.4p,1.0799e-08,-2.2159184599534
Al+ 1D;v=3s.4d,Al+ 1Fo;v=3s.4f,5.5866e-06,-0.1641512919476007
Al+ 3Po;v=3s.5p,Al+ 3S;v=3s.5s,8e-08,-0.6955353080254003
Al+ 3Po;v=3s.5p,Al+ 3D;v=3s.4d,1.5674e-07,-0.523077266409901
Al+ 3Po;v=3s.5p,Al+ 3D;v=3s.3d,6.3291e-07,-3.7382357207593007
Al+ 1Po;v=3s.5p,Al+ 1D;v=3p2,2.1712e-08,-5.0073086998945
Al+ 1Po;v=3s.5p,Al+ 1D;v=3s.3d,6.5278e-08,-1.9563015374925996
Al+ 1Po;v=3s.5p,Al+ 1S;v=3s.4s,1.3478e-07,-3.7837120756584
Al+ 1Po;v=3s.5p,Al+ 1S;v=3s.5s,1.458e-07,-0.5581639851569999
Al+ 1Po;v=3s.5p,Al+ 1S;v=3p2,4.6454e-06,-1.7645024070976998
Al+ 3D;v=3s.5d,Al+ 3Po;v=3s.3p,2.3832e-08,-11.82398865322796
Al+ 3D;v=3s.5d,Al+ 3Po;v=3s.5p,3.523e-08,-0.8827471289021993
Al+ 3D;v=3s.5d,Al+ 3Po;v=3s.4p,4.4096e-08,-3.396468763521799
Al+ 3D;v=3s.5d,Al+ 3Fo;v=3s.4f,4.4445e-07,-1.1660444869838997
Al+ 3Fo;v=3s.5f,Al+ 3D;v=3s.4d,2.3459e-08,-1.482072918384402
Al+ 3Fo;v=3s.5f,Al+ 3D;v=3s.3d,3.5008e-08,-4.6972313727338015
Al+ 3Fo;v=3s.5f,Al+ 3D;v=3s.5d,2.5928e-05,-0.07624852307230157
Al+ 1Fo;v=3s.5f,Al+ 1D;v=3p2,7.0922e-09,-5.975974896258601
Al+ 1Fo;v=3s.5f,Al+ 1D;v=3s.4d,2.9325e-08,-1.101946135067701
Al+ 1D;v=3s.5d,Al+ 1Po;v=3s.3p,4.2194e-09,-9.182553841995698
Al+ 1D;v=3s.5d,Al+ 1Po;v=3s.4p,3.096e-08,-3.3468762281900997
Al+ 1D;v=3s.5d,Al+ 1Po;v=3s.5p,3.7736e-08,-0.9976778295330995
Al+ 1D;v=3s.5d,Al+ 1Fo;v=3s.4f,2.584e-06,-1.2951090601843003
Al+ 1D;v=3s.5d,Al+ 1Fo;v=3s.5f,0.00017889,-0.029011633168998685
Al+ 1G;v=3s.5g,Al+ 1Fo;v=3s.4f,1.3986e-08,-1.328336058856502
Al+ 1G;v=3s.5g,Al+ 1Fo;v=3s.5f,6.5789e-05,-0.06223863184120049
Al+ 3G;v=3s.5g,Al+ 3Fo;v=3s.4f,1.4215e-08,-1.3347830884496013
Al+ 3G;v=3s.5g,Al+ 3Fo;v=3s.5f,2.0909e-05,-0.09249007839339995
Al+ 3Fo;v=3p.3d,Al+ 3D;v=3s.3d,4.0588e-09,-5.645316666935299
Al+ 3Fo;v=3p.3d,Al+ 3D;v=3s.6d,3.3591e-07,-0.2814537555405998
Al+ 3Fo;v=3p.3d,Al+ 3D;v=3s.5d,1.984e-06,-1.0243338172737992
Al+ 3Fo;v=3p.3d,Al+ 3G;v=3s.6g,2.0877e-06,-0.18521572134059738
Al+ 3Fo;v=3p.3d,Al+ 3G;v=3s.5g,4.7393e-06,-0.8555952158080977
Al+ 3Po;v=3p.4s,Al+ 3S;v=3s.4s,2.1406e-09,-6.757168910935498
Al+ 3Po;v=3p.4s,Al+ 3P;v=3p2,2.1922e-09,-6.408719359561999
Al+ 3Po;v=3p.4s,Al+ 3D;v=3s.3d,2.0957e-07,-6.226913125036399
Al+ 3Po;v=3p.4s,Al+ 3D;v=3s.4d,1.4261e-06,-3.011754670686999
Al+ 3Po;v=3p.4s,Al+ 3D;v=3s.5d,5.0744e-06,-1.6059302753748987
Al+ 3Do;v=3p.3d,Al+ 3P;v=3p2,5.9228e-10,-6.993539332459701
Al+ 3Do;v=3p.3d,Al+ 3D;v=3s.3d,1.6393e-09,-6.8117330979341
