conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
2s2.2p6,1S,0.0,1.0,0.0,2s2.2p5.(2P*).3s,3P*,2.0,5.0,76.45414,76.45414,16.21681,33.9,6.6828e-10,6.6828e-10,1.7736e-11
2s2.2p6,1S,0.0,1.0,0.0,2s2.2p5.(2P*).3s,3P*,1.0,3.0,76.68099,76.68099,16.16883,1460000000.0,0.017167,0.017167,0.00045561
2s2.2p6,1S,0.0,1.0,0.0,2s2.2p5.(2P*).3s,1P*,1.0,3.0,77.4551,77.4551,16.00723,20600000000.0,0.2374,0.2374,0.0063006
2s2.2p6,1S,0.0,1.0,0.0,2s2.2p5.(2P*).3d,3P*,1.0,3.0,94.178,94.178,13.16488,374000000.0,0.0029153,0.0029153,7.7373e-05
2s2.2p6,1S,0.0,1.0,0.0,2s2.2p5.(2P*).3d,3D*,1.0,3.0,95.0811,95.0811,13.03984,17700000000.0,0.13536,0.13536,0.0035925
2s2.2p6,1S,0.0,1.0,0.0,2s2.2p5.(2P*).3d,1P*,1.0,3.0,95.5716,95.5716,12.97291,90000000000.0,0.68124,0.68124,0.01808
2s2.2p5.(2P*).3s,3P*,2.0,5.0,76.45414,2s2.2p5.(2P*).3p,3S,1.0,3.0,83.27182,6.81768,181.85688,261000000.0,0.077645,0.38822,0.0020607
2s2.2p5.(2P*).3s,3P*,2.0,5.0,76.45414,2s2.2p5.(2P*).3p,3D,3.0,7.0,84.41586,7.96172,155.72539,670000000.0,0.34102,1.7051,0.0090507
2s2.2p5.(2P*).3s,3P*,2.0,5.0,76.45414,2s2.2p5.(2P*).3p,3D,2.0,5.0,84.51796,8.06382,153.75368,253000000.0,0.089667,0.44833,0.0023798
2s2.2p5.(2P*).3s,3P*,2.0,5.0,76.45414,2s2.2p5.(2P*).3p,3D,1.0,3.0,84.67895,8.22481,150.74415,58300000.0,0.011917,0.059584,0.00031627
2s2.2p5.(2P*).3s,3P*,2.0,5.0,76.45414,2s2.2p5.(2P*).3p,1D,2.0,5.0,85.01946,8.56532,144.75139,316000000.0,0.099264,0.49632,0.0026345
2s2.2p5.(2P*).3s,3P*,2.0,5.0,76.45414,2s2.2p5.(2P*).3p,1P,1.0,3.0,85.17207,8.71793,142.21747,61300000.0,0.011153,0.055763,0.00029599
2s2.2p5.(2P*).3s,3P*,2.0,5.0,76.45414,2s2.2p5.(2P*).3p,3P,2.0,5.0,85.28011,8.82597,140.47657,236000000.0,0.06982,0.3491,0.001853
2s2.2p5.(2P*).3s,3P*,2.0,5.0,76.45414,2s2.2p5.(2P*).3p,3P,1.0,3.0,85.38164,8.9275,138.87897,205000000.0,0.035566,0.17783,0.00094393
2s2.2p5.(2P*).3s,3P*,1.0,3.0,76.68099,2s2.2p5.(2P*).3s,3P*,0.0,1.0,76.87765,0.19666,6304.49499,0.2,3.9725e-08,1.1918e-07,1.0543e-09
2s2.2p5.(2P*).3s,3P*,1.0,3.0,76.68099,2s2.2p5.(2P*).3p,3S,1.0,3.0,83.27182,6.59083,188.11621,101000000.0,0.053584,0.16075,0.0014221
2s2.2p5.(2P*).3s,3P*,1.0,3.0,76.68099,2s2.2p5.(2P*).3p,3D,2.0,5.0,84.51796,7.83697,158.20425,401000000.0,0.25078,0.75233,0.0066556
2s2.2p5.(2P*).3s,3P*,1.0,3.0,76.68099,2s2.2p5.(2P*).3p,3D,1.0,3.0,84.67895,7.99796,155.01978,389000000.0,0.14015,0.42044,0.0037195
2s2.2p5.(2P*).3s,3P*,1.0,3.0,76.68099,2s2.2p5.(2P*).3p,1D,2.0,5.0,85.01946,8.33847,148.68939,113000000.0,0.062423,0.18727,0.0016567
2s2.2p5.(2P*).3s,3P*,1.0,3.0,76.68099,2s2.2p5.(2P*).3p,1P,1.0,3.0,85.17207,8.49108,146.01699,54700000.0,0.017485,0.052454,0.00046404
2s2.2p5.(2P*).3s,3P*,1.0,3.0,76.68099,2s2.2p5.(2P*).3p,3P,2.0,5.0,85.28011,8.59912,144.18243,192000000.0,0.099732,0.2992,0.0026469
2s2.2p5.(2P*).3s,3P*,1.0,3.0,76.68099,2s2.2p5.(2P*).3p,3P,0.0,1.0,85.33951,8.65852,143.19329,825000000.0,0.084535,0.25361,0.0022436
2s2.2p5.(2P*).3s,3P*,1.0,3.0,76.68099,2s2.2p5.(2P*).3p,3P,1.0,3.0,85.38164,8.70065,142.49993,75700000.0,0.023045,0.069136,0.00061163
2s2.2p5.(2P*).3s,3P*,1.0,3.0,76.68099,2s2.2p5.(2P*).3p,1S,0.0,1.0,88.53673,11.85574,104.57736,112000000.0,0.0061211,0.018363,0.00016245
2s2.2p5.(2P*).3s,3P*,0.0,1.0,76.87765,2s2.2p5.(2P*).3p,3S,1.0,3.0,83.27182,6.39417,193.90194,27100000.0,0.045826,0.045826,0.0012162
2s2.2p5.(2P*).3s,3P*,0.0,1.0,76.87765,2s2.2p5.(2P*).3p,3D,1.0,3.0,84.67895,7.8013,158.92761,218000000.0,0.24765,0.24765,0.0065726
2s2.2p5.(2P*).3s,3P*,0.0,1.0,76.87765,2s2.2p5.(2P*).3p,1P,1.0,3.0,85.17207,8.29442,149.47905,207000000.0,0.20802,0.20802,0.0055209
2s2.2p5.(2P*).3s,3P*,0.0,1.0,76.87765,2s2.2p5.(2P*).3p,3P,1.0,3.0,85.38164,8.50399,145.79532,244000000.0,0.23327,0.23327,0.006191
2s2.2p5.(2P*).3s,1P*,1.0,3.0,77.4551,2s2.2p5.(2P*).3p,3S,1.0,3.0,83.27182,5.81672,213.1514,2210000.0,0.0015053,0.004516,3.9951e-05
2s2.2p5.(2P*).3s,1P*,1.0,3.0,77.4551,2s2.2p5.(2P*).3p,3D,2.0,5.0,84.51796,7.06286,175.5439,5390000.0,0.0041502,0.012451,0.00011015
2s2.2p5.(2P*).3s,1P*,1.0,3.0,77.4551,2s2.2p5.(2P*).3p,3D,1.0,3.0,84.67895,7.22385,171.63175,1470000.0,0.00064919,0.0019476,1.723e-05
2s2.2p5.(2P*).3s,1P*,1.0,3.0,77.4551,2s2.2p5.(2P*).3p,1D,2.0,5.0,85.01946,7.56436,163.90573,284000000.0,0.19064,0.57192,0.0050596
2s2.2p5.(2P*).3s,1P*,1.0,3.0,77.4551,2s2.2p5.(2P*).3p,1P,1.0,3.0,85.17207,7.71697,160.66435,368000000.0,0.14241,0.42724,0.0037796
2s2.2p5.(2P*).3s,1P*,1.0,3.0,77.4551,2s2.2p5.(2P*).3p,3P,2.0,5.0,85.28011,7.82501,158.44606,334000000.0,0.20952,0.62855,0.0055606
2s2.2p5.(2P*).3s,1P*,1.0,3.0,77.4551,2s2.2p5.(2P*).3p,3P,0.0,1.0,85.33951,7.88441,157.25235,28400000.0,0.0035095,0.010529,9.3143e-05
2s2.2p5.(2P*).3s,1P*,1.0,3.0,77.4551,2s2.2p5.(2P*).3p,3P,1.0,3.0,85.38164,7.92654,156.41654,267000000.0,0.097935,0.2938,0.0025992
2s2.2p5.(2P*).3s,1P*,1.0,3.0,77.4551,2s2.2p5.(2P*).3p,1S,0.0,1.0,88.53673,11.08163,111.88264,1900000000.0,0.11885,0.35656,0.0031544
2s2.2p5.(2P*).3p,3S,1.0,3.0,83.27182,2s2.2p5.(2P*).3d,3P*,0.0,1.0,94.12799,10.85617,114.20621,1440000000.0,0.09386,0.28158,0.002491
2s2.2p5.(2P*).3p,3S,1.0,3.0,83.27182,2s2.2p5.(2P*).3d,3P*,1.0,3.0,94.178,10.90618,113.68252,1360000000.0,0.2635,0.79051,0.0069934
2s2.2p5.(2P*).3p,3S,1.0,3.0,83.27182,2s2.2p5.(2P*).3d,3P*,2.0,5.0,94.28655,11.01473,112.56218,1180000000.0,0.37357,1.1207,0.0099146
2s2.2p5.(2P*).3p,3S,1.0,3.0,83.27182,2s2.2p5.(2P*).3d,1D*,2.0,5.0,95.10031,11.82849,104.81828,1640000.0,0.00045022,0.0013507,1.1949e-05
2s2.2p5.(2P*).3p,3S,1.0,3.0,83.27182,2s2.2p5.(2P*<3/2>).4s,2[3/2]*,2.0,5.0,99.42073,16.14891,76.77558,553000000.0,0.081448,0.24434,0.0021616
2s2.2p5.(2P*).3p,3D,3.0,7.0,84.41586,2s2.2p5.(2P*).3d,3P*,2.0,5.0,94.28655,9.87069,125.60844,38100000.0,0.0064372,0.04506,0.00017084
2s2.2p5.(2P*).3p,3D,3.0,7.0,84.41586,2s2.2p5.(2P*).3d,3F*,4.0,9.0,94.43733,10.02147,123.71857,1960000000.0,0.57827,4.0479,0.015347
2s2.2p5.(2P*).3p,3D,3.0,7.0,84.41586,2s2.2p5.(2P*).3d,3F*,3.0,7.0,94.50974,10.09388,122.83106,221000000.0,0.049988,0.34992,0.0013267
2s2.2p5.(2P*).3p,3D,3.0,7.0,84.41586,2s2.2p5.(2P*).3d,3F*,2.0,5.0,94.67602,10.26016,120.84041,28600000.0,0.0044722,0.031305,0.00011869
2s2.2p5.(2P*).3p,3D,3.0,7.0,84.41586,2s2.2p5.(2P*).3d,1F*,3.0,7.0,94.76076,10.3449,119.85055,313000000.0,0.067404,0.47183,0.0017889
2s2.2p5.(2P*).3p,3D,3.0,7.0,84.41586,2s2.2p5.(2P*).3d,1D*,2.0,5.0,95.10031,10.68445,116.04172,8810000.0,0.0012704,0.0088927,3.3716e-05
2s2.2p5.(2P*).3p,3D,3.0,7.0,84.41586,2s2.2p5.(2P*).3d,3D*,3.0,7.0,95.13872,10.72286,115.62605,196000000.0,0.039285,0.275,0.0010426
2s2.2p5.(2P*).3p,3D,3.0,7.0,84.41586,2s2.2p5.(2P*).3d,3D*,2.0,5.0,95.18894,10.77308,115.08705,45000000.0,0.0063826,0.044678,0.00016939
2s2.2p5.(2P*).3p,3D,3.0,7.0,84.41586,2s2.2p5.(2P*<3/2>).4s,2[3/2]*,2.0,5.0,99.42073,15.00487,82.62931,1660000000.0,0.12137,0.84958,0.0032211
2s2.2p5.(2P*).3p,3D,2.0,5.0,84.51796,2s2.2p5.(2P*).3d,3P*,1.0,3.0,94.178,9.66004,128.3475,64000000.0,0.0094834,0.047417,0.00025169
2s2.2p5.(2P*).3p,3D,2.0,5.0,84.51796,2s2.2p5.(2P*).3d,3P*,2.0,5.0,94.28655,9.76859,126.92128,20100000.0,0.0048543,0.024271,0.00012883
2s2.2p5.(2P*).3p,3D,2.0,5.0,84.51796,2s2.2p5.(2P*).3d,3F*,3.0,7.0,94.50974,9.99178,124.0862,1610000000.0,0.52031,2.6015,0.013809
2s2.2p5.(2P*).3p,3D,2.0,5.0,84.51796,2s2.2p5.(2P*).3d,3F*,2.0,5.0,94.67602,10.15806,122.055,547000000.0,0.12217,0.61084,0.0032423
2s2.2p5.(2P*).3p,3D,2.0,5.0,84.51796,2s2.2p5.(2P*).3d,1F*,3.0,7.0,94.76076,10.2428,121.04522,22600000.0,0.0069501,0.034751,0.00018446
2s2.2p5.(2P*).3p,3D,2.0,5.0,84.51796,2s2.2p5.(2P*).3d,3D*,1.0,3.0,95.0811,10.56314,117.37438,131000000.0,0.016234,0.081171,0.00043085
2s2.2p5.(2P*).3p,3D,2.0,5.0,84.51796,2s2.2p5.(2P*).3d,1D*,2.0,5.0,95.10031,10.58235,117.16131,55200000.0,0.01136,0.056799,0.00030149
2s2.2p5.(2P*).3p,3D,2.0,5.0,84.51796,2s2.2p5.(2P*).3d,3D*,3.0,7.0,95.13872,10.62076,116.7376,94100000.0,0.026915,0.13458,0.00071433
2s2.2p5.(2P*).3p,3D,2.0,5.0,84.51796,2s2.2p5.(2P*).3d,3D*,2.0,5.0,95.18894,10.67098,116.1882,177000000.0,0.035823,0.17911,0.00095073
2s2.2p5.(2P*).3p,3D,2.0,5.0,84.51796,2s2.2p5.(2P*).3d,1P*,1.0,3.0,95.5716,11.05364,112.16595,6950000.0,0.00078653,0.0039327,2.0875e-05
2s2.2p5.(2P*).3p,3D,2.0,5.0,84.51796,2s2.2p5.(2P*<3/2>).4s,2[3/2]*,2.0,5.0,99.42073,14.90277,83.1954,415000000.0,0.043063,0.21532,0.0011429
2s2.2p5.(2P*).3p,3D,1.0,3.0,84.67895,2s2.2p5.(2P*).3d,3P*,0.0,1.0,94.12799,9.44904,131.21354,97500000.0,0.0083888,0.025166,0.00022264
2s2.2p5.(2P*).3p,3D,1.0,3.0,84.67895,2s2.2p5.(2P*).3d,3P*,1.0,3.0,94.178,9.49905,130.52273,5160000.0,0.0013179,0.0039537,3.4977e-05
2s2.2p5.(2P*).3p,3D,1.0,3.0,84.67895,2s2.2p5.(2P*).3d,3P*,2.0,5.0,94.28655,9.6076,129.04804,18200000.0,0.0075733,0.02272,0.00020099
2s2.2p5.(2P*).3p,3D,1.0,3.0,84.67895,2s2.2p5.(2P*).3d,3F*,2.0,5.0,94.67602,9.99707,124.02054,1370000000.0,0.52652,1.5796,0.013974
2s2.2p5.(2P*).3p,3D,1.0,3.0,84.67895,2s2.2p5.(2P*).3d,3D*,1.0,3.0,95.0811,10.40215,119.19093,662000000.0,0.141,0.42299,0.003742
2s2.2p5.(2P*).3p,3D,1.0,3.0,84.67895,2s2.2p5.(2P*).3d,1D*,2.0,5.0,95.10031,10.42136,118.97123,136000000.0,0.048098,0.1443,0.0012765
2s2.2p5.(2P*).3p,3D,1.0,3.0,84.67895,2s2.2p5.(2P*).3d,3D*,2.0,5.0,95.18894,10.50999,117.96795,68100000.0,0.02368,0.07104,0.00062847
2s2.2p5.(2P*).3p,3D,1.0,3.0,84.67895,2s2.2p5.(2P*).3d,1P*,1.0,3.0,95.5716,10.89265,113.82372,6340000.0,0.0012314,0.0036943,3.2683e-05
2s2.2p5.(2P*).3p,3D,1.0,3.0,84.67895,2s2.2p5.(2P*<3/2>).4s,2[3/2]*,2.0,5.0,99.42073,14.74178,84.10395,51700000.0,0.0091376,0.027413,0.00024251
2s2.2p5.(2P*).3p,3D,1.0,3.0,84.67895,2s2.2p5.(2P*<1/2>).4s,2[1/2]*,0.0,1.0,99.84568,15.16673,81.74748,1270000000.0,0.042412,0.12724,0.0011256
2s2.2p5.(2P*).3p,1D,2.0,5.0,85.01946,2s2.2p5.(2P*).3d,3P*,1.0,3.0,94.178,9.15854,135.37551,142000000.0,0.023409,0.11704,0.00062127
2s2.2p5.(2P*).3p,1D,2.0,5.0,85.01946,2s2.2p5.(2P*).3d,3P*,2.0,5.0,94.28655,9.26709,133.78979,348000000.0,0.093387,0.46693,0.0024785
2s2.2p5.(2P*).3p,1D,2.0,5.0,85.01946,2s2.2p5.(2P*).3d,3F*,3.0,7.0,94.50974,9.49028,130.64335,86800000.0,0.031094,0.15547,0.00082524
2s2.2p5.(2P*).3p,1D,2.0,5.0,85.01946,2s2.2p5.(2P*).3d,3F*,2.0,5.0,94.67602,9.65656,128.39375,99400.0,2.4566e-05,0.00012283,6.5198e-07
2s2.2p5.(2P*).3p,1D,2.0,5.0,85.01946,2s2.2p5.(2P*).3d,1F*,3.0,7.0,94.76076,9.7413,127.27685,1520000000.0,0.51681,2.584,0.013716
2s2.2p5.(2P*).3p,1D,2.0,5.0,85.01946,2s2.2p5.(2P*).3d,3D*,1.0,3.0,95.0811,10.06164,123.22464,6070000.0,0.00082908,0.0041454,2.2004e-05
2s2.2p5.(2P*).3p,1D,2.0,5.0,85.01946,2s2.2p5.(2P*).3d,1D*,2.0,5.0,95.10031,10.08085,122.98983,54000000.0,0.012246,0.06123,0.00032501
2s2.2p5.(2P*).3p,1D,2.0,5.0,85.01946,2s2.2p5.(2P*).3d,3D*,3.0,7.0,95.13872,10.11926,122.52299,13800000.0,0.0043481,0.021741,0.0001154
2s2.2p5.(2P*).3p,1D,2.0,5.0,85.01946,2s2.2p5.(2P*).3d,3D*,2.0,5.0,95.18894,10.16948,121.91793,306000000.0,0.068189,0.34095,0.0018097
2s2.2p5.(2P*).3p,1D,2.0,5.0,85.01946,2s2.2p5.(2P*).3d,1P*,1.0,3.0,95.5716,10.55214,117.49673,27800000.0,0.0034523,0.017261,9.1624e-05
2s2.2p5.(2P*).3p,1D,2.0,5.0,85.01946,2s2.2p5.(2P*<3/2>).4s,2[3/2]*,2.0,5.0,99.42073,14.40127,86.09254,385000000.0,0.042781,0.21391,0.0011354
2s2.2p5.(2P*).3p,1D,2.0,5.0,85.01946,2s2.2p5.(2P*<3/2>).4s,2[3/2]*,1.0,3.0,99.54784,14.52838,85.33931,665000000.0,0.043564,0.21782,0.0011562
2s2.2p5.(2P*).3p,1P,1.0,3.0,85.17207,2s2.2p5.(2P*).3d,3P*,0.0,1.0,94.12799,8.95592,138.43826,122000000.0,0.011685,0.035054,0.00031011
