obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""4.1543""","=""""","=""4.15431""","=""""","=""20g""","=""5.39e+10""",C+,"=""[0.6063]""","=""299.054""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.6d""","=""2D""","=""5/2""",4,6,,"=""T7192c4,LS""","=""L927""",
"=""4.3549""","=""""","=""4.35491""","=""""","=""10g""","=""1.05e+11""",C+,"=""[0.6063]""","=""285.306""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.5d""","=""2D""","=""5/2""",4,6,,"=""T7192c4,LS""","=""L3463""",
"=""4.4704""","=""""","=""4.47039""","=""""","=""60g""","=""9.71e+10""",C+,"=""0.0000""","=""277.345?""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s.2p.(3P*).4p""","=""2D""","=""3/2""",2,4,,"=""T7192c4,LS""","=""L927""",
"=""4.4743""","=""""","=""4.47429""","=""""","=""80g""","=""1.16e+11""",C+,"=""[0.6063]""","=""277.710?""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s.2p.(3P*).4p""","=""2D""","=""5/2""",4,6,,"=""T7192c4,LS""","=""L927""",
"=""""","=""""","=""4.48019""","=""""","=""""","=""1.93e+10""",C,"=""[0.6063]""","=""277.345?""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s.2p.(3P*).4p""","=""2D""","=""3/2""",4,4,,"=""T7192c4,LS""","=""""",
"=""4.7755""","=""""","=""4.77550""","=""""","=""10g""","=""2.02e+11""",C+,"=""0.0000""","=""259.625""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.4d""","=""2D""","=""3/2""",2,4,,"=""T7192c4,LS""","=""L3463""",
"=""4.7856""","=""""","=""4.78560""","=""""","=""50g""","=""2.41e+11""",C+,"=""[0.6063]""","=""259.684""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.4d""","=""2D""","=""5/2""",4,6,,"=""T7192c4,LS""","=""L3463""",
"=""""","=""""","=""4.78668""","=""""","=""""","=""4.02e+10""",C+,"=""[0.6063]""","=""259.625""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.4d""","=""2D""","=""3/2""",4,4,,"=""T7192c4,LS""","=""""",
"=""4.9854""","=""""","=""4.9854""","=""""","=""100""","=""2.94e+11""",B,"=""32.202""","=""280.897?""","=""2s.2p2""","=""2D""","=""5/2""","=""2s.2p.(3P*).4d""","=""2F*""","=""7/2""",6,8,,"=""T7192c4,LS""","=""L3463""",
"=""4.9916""","=""""","=""4.9929""","=""""","=""100""","=""2.73e+11""",B,"=""32.206""","=""280.527?""","=""2s.2p2""","=""2D""","=""3/2""","=""2s.2p.(3P*).4d""","=""2F*""","=""5/2""",4,6,,"=""T7192c4,LS""","=""L927""",
"=""""","=""""","=""4.9928""","=""""","=""""","=""1.95e+10""",C+,"=""32.202""","=""280.527?""","=""2s.2p2""","=""2D""","=""5/2""","=""2s.2p.(3P*).4d""","=""2F*""","=""5/2""",6,6,,"=""T7192c4,LS""","=""""",
"=""5.2966""","=""""","=""5.2963""","=""""","=""10g""","=""""",,"=""0.0000""","=""234.09?""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s.2p.(1P*).3p""","=""2S""","=""1/2""",2,2,,"=""""","=""L927""",
"=""5.3098""","=""""","=""5.3101""","=""""","=""10g""","=""""",,"=""[0.6063]""","=""234.09?""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s.2p.(1P*).3p""","=""2S""","=""1/2""",4,2,,"=""""","=""L927""",
"=""5.3237""","=""""","=""5.3237""","=""""","=""60g""","=""""",,"=""0.0000""","=""232.89""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s.2p.(1P*).3p""","=""2P""","=""3/2""",2,4,,"=""""","=""L927""",
"=""5.3267""","=""""","=""5.3267""","=""""","=""60g""","=""""",,"=""0.0000""","=""232.760""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s.2p.(1P*).3p""","=""2P""","=""1/2""",2,2,,"=""""","=""L927""",
"=""5.3376""","=""""","=""5.3376""","=""""","=""10g""","=""""",,"=""[0.6063]""","=""232.89""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s.2p.(1P*).3p""","=""2P""","=""3/2""",4,4,,"=""""","=""L3463""",
"=""5.3412""","=""""","=""5.3406""","=""""","=""10g""","=""""",,"=""[0.6063]""","=""232.760""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s.2p.(1P*).3p""","=""2P""","=""1/2""",4,2,,"=""""","=""L3463""",
"=""5.3424""","=""""","=""5.3437""","=""""","=""10""","=""""",,"=""18.011""","=""250.033""","=""2s.2p2""","=""4P""","=""1/2""","=""2p2.3p""","=""*""","=""3/2""",2,4,,"=""""","=""L3463""",
"=""5.3488""","=""""","=""5.3486""","=""""","=""1*""","=""""",,"=""18.224""","=""250.033""","=""2s.2p2""","=""4P""","=""3/2""","=""2p2.3p""","=""*""","=""3/2""",4,4,,"=""""","=""L3463""",
"=""5.3488""","=""""","=""5.3486""","=""""","=""1*""","=""""",,"=""18.224""","=""250.033""","=""2s.2p2""","=""4P""","=""3/2""","=""2p2.3p""","=""*""","=""5/2""",4,6,,"=""""","=""L3463""",
"=""5.3554""","=""""","=""5.3556""","=""""","=""10*""","=""""",,"=""18.531""","=""250.033""","=""2s.2p2""","=""4P""","=""5/2""","=""2p2.3p""","=""*""","=""3/2""",6,4,,"=""""","=""L3463""",
"=""5.3554""","=""""","=""5.3556""","=""""","=""10*""","=""""",,"=""18.531""","=""250.033""","=""2s.2p2""","=""4P""","=""5/2""","=""2p2.3p""","=""*""","=""5/2""",6,6,,"=""""","=""L3463""",
"=""5.5622""","=""""","=""5.5607""","=""""","=""1""","=""""",,"=""18.011""","=""240.976""","=""2s.2p2""","=""4P""","=""1/2""","=""2s.2p.(1P*).3d""","=""2D*""","=""3/2""",2,4,,"=""""","=""L3463""",
"=""5.5667""","=""""","=""5.5660""","=""""","=""10*""","=""""",,"=""18.224""","=""240.976""","=""2s.2p2""","=""4P""","=""3/2""","=""2s.2p.(1P*).3d""","=""2D*""","=""3/2""",4,4,,"=""""","=""L3463""",
"=""5.5667""","=""""","=""5.5660""","=""""","=""10*""","=""""",,"=""18.224""","=""240.976""","=""2s.2p2""","=""4P""","=""3/2""","=""2s.2p.(1P*).3d""","=""2D*""","=""5/2""",4,6,,"=""""","=""L3463""",
"=""5.6151""","=""""","=""5.6149""","=""""","=""50g""","=""9.31e+10""",C+,"=""0.0000""","=""220.811""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s.2p.(3P*).3p""","=""2S""","=""1/2""",2,2,,"=""T7192c4,LS""","=""L3463""",
"=""5.6304""","=""""","=""5.6304""","=""""","=""70g""","=""1.85e+11""",C+,"=""[0.6063]""","=""220.811""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s.2p.(3P*).3p""","=""2S""","=""1/2""",4,2,,"=""T7192c4,LS""","=""L3463""",
"=""5.6899""","=""""","=""5.6899""","=""""","=""100g""","=""2.30e+11""",B,"=""0.0000""","=""217.902""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s.2p.(3P*).3p""","=""2D""","=""3/2""",2,4,,"=""T7192c4,LS""","=""L3463""",
