Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Reference
"=""2s2.2p3""","=""4S*""","=""3/2""",4,"=""""","=""0.0000""","=""""","=""0""","=""L4714"""
"=""2s2.2p3""","=""2D*""","=""3/2""",4,"=""""","=""7.7258""","=""""","=""""","="""""
"=""2s2.2p3""","=""2D*""","=""5/2""",6,"=""""","=""7.7328""","=""""","=""""","="""""
"=""2s2.2p3""","=""2P*""","=""1/2""",2,"=""""","=""11.7293""","=""""","=""""","="""""
"=""2s2.2p3""","=""2P*""","=""3/2""",4,"=""""","=""11.7623""","=""""","=""""","="""""
"=""2s.2p4""","=""4P""","=""5/2""",6,"=""""","=""34.740""","=""""","=""""","="""""
"=""2s.2p4""","=""4P""","=""3/2""",4,"=""""","=""35.047""","=""""","=""""","="""""
"=""2s.2p4""","=""4P""","=""1/2""",2,"=""""","=""35.208""","=""""","=""""","="""""
"=""2s.2p4""","=""2D""","=""5/2""",6,"=""""","=""47.841""","=""""","=""""","="""""
"=""2s.2p4""","=""2D""","=""3/2""",4,"=""""","=""47.847""","=""""","=""""","="""""
"=""2s.2p4""","=""2S""","=""1/2""",2,"=""""","=""56.172""","=""""","=""""","="""""
"=""2s.2p4""","=""2P""","=""3/2""",4,"=""""","=""59.226""","=""""","=""""","="""""
"=""2s.2p4""","=""2P""","=""1/2""",2,"=""""","=""59.594""","=""""","=""""","="""""
"=""2p5""","=""2P*""","=""3/2""",4,"=""""","=""91.221""","=""""","=""""","="""""
"=""2p5""","=""2P*""","=""1/2""",2,"=""""","=""91.71""","=""""","=""""","="""""
"=""2s2.2p2.(3P).3s""","=""4P""","=""1/2""",2,"=""""","=""142.23""","=""""","=""""","="""""
"=""2s2.2p2.(3P).3s""","=""4P""","=""3/2""",4,"=""""","=""142.414""","=""""","=""""","="""""
"=""2s2.2p2.(3P).3s""","=""4P""","=""5/2""",6,"=""""","=""142.700""","=""""","=""""","="""""
"=""2s2.2p2.(3P).3s""","=""2P""","=""1/2""",2,"=""""","=""144.310""","=""""","=""""","="""""
"=""2s2.2p2.(3P).3s""","=""2P""","=""3/2""",4,"=""""","=""144.655""","=""""","=""""","="""""
"=""2s2.2p2.(1D).3s""","=""2D""","=""3/2""",4,"=""""","=""148.574""","=""""","=""""","="""""
