Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Reference
"=""1s2.2s2""","=""1S""","=""0""",1,"=""""","=""0.0000""","=""""","=""0""","=""L4714"""
"=""1s2.2s.2p""","=""3P*""","=""0""",1,"=""""","=""19.2359""","=""""","=""""","="""""
"=""1s2.2s.2p""","=""3P*""","=""1""",3,"=""""","=""19.4405""","=""""","=""""","="""""
"=""1s2.2s.2p""","=""3P*""","=""2""",5,"=""""","=""19.8907""","=""""","=""""","="""""
"=""1s2.2s.2p""","=""1P*""","=""1""",3,"=""""","=""37.256""","=""""","=""""","="""""
"=""1s2.2p2""","=""3P""","=""0""",1,"=""""","=""50.1608""","=""""","=""""","="""""
"=""1s2.2p2""","=""3P""","=""1""",3,"=""""","=""50.4017""","=""""","=""""","="""""
"=""1s2.2p2""","=""3P""","=""2""",5,"=""""","=""50.795""","=""""","=""""","="""""
"=""1s2.2p2""","=""1D""","=""2""",5,"=""""","=""55.7597""","=""""","=""""","="""""
"=""1s2.2p2""","=""1S""","=""0""",1,"=""""","=""68.6603""","=""""","=""""","="""""
"=""1s2.2s.3s""","=""3S""","=""1""",3,"=""""","=""230.085""","=""""","=""""","="""""
"=""1s2.2s.3s""","=""1S""","=""0""",1,"=""""","=""233.638""","=""""","=""""","="""""
"=""1s2.2s.3p""","=""1P*""","=""1""",3,"=""""","=""238.527""","=""""","=""""","="""""
"=""1s2.2s.3d""","=""3D""","=""1""",3,"=""""","=""243.736""","=""""","=""""","="""""
"=""1s2.2s.3d""","=""3D""","=""2""",5,"=""""","=""243.763""","=""""","=""""","="""""
"=""1s2.2s.3d""","=""3D""","=""3""",7,"=""""","=""243.790""","=""""","=""""","="""""
"=""1s2.2s.3d""","=""1D""","=""2""",5,"=""""","=""247.019""","=""""","=""""","="""""
"=""1s2.2p.3s""","=""3P*""","=""1""",3,"=""""","=""""","=""""","=""""","="""""
"=""1s2.2p.3s""","=""3P*""","=""0""",1,"=""""","=""""","=""""","=""""","="""""
"=""1s2.2p.3s""","=""3P*""","=""2""",5,"=""""","=""255.053""","=""?""","=""""","="""""
"=""1s2.2p.3s""","=""1P*""","=""1""",3,"=""""","=""259.359""","=""?""","=""""","="""""
"=""1s2.2p.3p""","=""1P""","=""1""",3,"=""""","=""259.725""","=""""","=""""","="""""
"=""1s2.2p.3p""","=""3D""","=""1""",3,"=""""","=""260.656""","=""""","=""""","="""""
"=""1s2.2p.3p""","=""3D""","=""2""",5,"=""""","=""260.850""","=""""","=""""","="""""
"=""1s2.2p.3p""","=""3D""","=""3""",7,"=""""","=""261.283""","=""""","=""""","="""""
"=""1s2.2p.3p""","=""3S""","=""1""",3,"=""""","=""262.808""","=""""","=""""","="""""
"=""1s2.2p.3p""","=""3P""","=""0""",1,"=""""","=""""","=""""","=""""","="""""
