conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
1s2.2s2,1S,0.0,1.0,0.0,1s2.2s.2p,3P*,1.0,3.0,19.4405,19.4405,63.77624,159000.0,2.9087e-05,2.9087e-05,7.7196e-07
1s2.2s2,1S,0.0,1.0,0.0,1s2.2s.2p,3P*,2.0,5.0,19.8907,19.8907,62.33275,0.178,5.1842e-11,5.1842e-11,1.3759e-12
1s2.2s2,1S,0.0,1.0,0.0,1s2.2s.2p,1P*,1.0,3.0,37.256,37.256,33.27899,5580000000.0,0.27794,0.27794,0.0073766
1s2.2s2,1S,0.0,1.0,0.0,1s2.2s.3p,1P*,1.0,3.0,238.527,238.527,5.19791,438000000000.0,0.53225,0.53225,0.014126
1s2.2s2,1S,0.0,1.0,0.0,1s2.2p.3s,1P*,1.0,3.0,259.359,259.359,4.78041,22300000000.0,0.02292,0.02292,0.0006083
1s2.2s.2p,3P*,0.0,1.0,19.2359,1s2.2p2,3P,1.0,3.0,50.4017,31.1658,39.78213,1550000000.0,0.11033,0.11033,0.0029281
1s2.2s.2p,3P*,0.0,1.0,19.2359,1s2.2s.3s,3S,1.0,3.0,230.085,210.8491,5.88023,21500000000.0,0.033436,0.033436,0.00088738
1s2.2s.2p,3P*,0.0,1.0,19.2359,1s2.2s.3d,3D,1.0,3.0,243.736,224.5001,5.52268,521000000000.0,0.71469,0.71469,0.018968
1s2.2s.2p,3P*,0.0,1.0,19.2359,1s2.2p.3p,1P,1.0,3.0,259.725,240.4891,5.1555,2250000000.0,0.0026897,0.0026897,7.1385e-05
1s2.2s.2p,3P*,0.0,1.0,19.2359,1s2.2p.3p,3D,1.0,3.0,260.656,241.4201,5.13562,72000000000.0,0.085408,0.085408,0.0022667
1s2.2s.2p,3P*,0.0,1.0,19.2359,1s2.2p.3p,3S,1.0,3.0,262.808,243.5721,5.09025,36600000000.0,0.042652,0.042652,0.001132
1s2.2s.2p,3P*,0.0,1.0,19.2359,1s2.2p.3p,3P,1.0,3.0,263.923,244.6871,5.06705,56100000000.0,0.064782,0.064782,0.0017193
1s2.2s.2p,3P*,1.0,3.0,19.4405,1s2.2s.2p,3P*,2.0,5.0,19.8907,0.4502,2753.98042,0.64,1.2129e-07,3.6386e-07,3.2189e-09
1s2.2s.2p,3P*,1.0,3.0,19.4405,1s2.2p2,3P,0.0,1.0,50.1608,30.7203,40.35905,4440000000.0,0.036141,0.10842,0.00095919
1s2.2s.2p,3P*,1.0,3.0,19.4405,1s2.2p2,3P,1.0,3.0,50.4017,30.9612,40.04502,1140000000.0,0.027407,0.082221,0.00072738
1s2.2s.2p,3P*,1.0,3.0,19.4405,1s2.2p2,3P,2.0,5.0,50.795,31.3545,39.54271,1180000000.0,0.046102,0.13831,0.0012236
1s2.2s.2p,3P*,1.0,3.0,19.4405,1s2.2p2,1D,2.0,5.0,55.7597,36.3192,34.13737,952000.0,2.7721e-05,8.3162e-05,7.3571e-07
1s2.2s.2p,3P*,1.0,3.0,19.4405,1s2.2s.3s,3S,1.0,3.0,230.085,210.6445,5.88595,64600000000.0,0.033552,0.10066,0.00089048
1s2.2s.2p,3P*,1.0,3.0,19.4405,1s2.2s.3d,3D,1.0,3.0,243.736,224.2955,5.52772,390000000000.0,0.17866,0.53597,0.0047415
1s2.2s.2p,3P*,1.0,3.0,19.4405,1s2.2s.3d,3D,2.0,5.0,243.763,224.3225,5.52705,701000000000.0,0.53507,1.6052,0.014201
1s2.2s.2p,3P*,1.0,3.0,19.4405,1s2.2p.3p,1P,1.0,3.0,259.725,240.2845,5.15989,7250000000.0,0.0028939,0.0086816,7.6803e-05
1s2.2s.2p,3P*,1.0,3.0,19.4405,1s2.2p.3p,3D,1.0,3.0,260.656,241.2155,5.13998,40700000000.0,0.01612,0.048361,0.00042784
1s2.2s.2p,3P*,1.0,3.0,19.4405,1s2.2p.3p,3D,2.0,5.0,260.85,241.4095,5.13585,99300000000.0,0.065446,0.19634,0.0017369
1s2.2s.2p,3P*,1.0,3.0,19.4405,1s2.2p.3p,3S,1.0,3.0,262.808,243.3675,5.09453,91300000000.0,0.035525,0.10658,0.00094284
1s2.2s.2p,3P*,1.0,3.0,19.4405,1s2.2p.3p,3P,1.0,3.0,263.923,244.4825,5.07129,39200000000.0,0.015114,0.045342,0.00040113
1s2.2s.2p,3P*,1.0,3.0,19.4405,1s2.2p.3p,3P,2.0,5.0,264.137,244.6965,5.06686,50000000000.0,0.032074,0.096223,0.00085125
1s2.2s.2p,3P*,2.0,5.0,19.8907,1s2.2p2,3P,1.0,3.0,50.4017,30.511,40.6359,1810000000.0,0.026885,0.13442,0.00071353
1s2.2s.2p,3P*,2.0,5.0,19.8907,1s2.2p2,3P,2.0,5.0,50.795,30.9043,40.11875,3380000000.0,0.081559,0.40779,0.0021646
