obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""0.67435""","=""0.00010""","=""0.67435""","=""""","=""3g*""","=""""",,"=""0.00000""","=""1838.57""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1S).3p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L4466c7""",
"=""0.67435""","=""0.00010""","=""0.67435""","=""""","=""3g*""","=""""",,"=""0.00000""","=""1838.57""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1S).3p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L4466c7""",
"=""0.67775""","=""0.00010""","=""0.67760""","=""""","=""9*""","=""""",,"=""[21.82264]""","=""[1851.58]""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(1P*).3p""","=""2P""","=""1/2""",2,2,,"=""""","=""L4466c7""",
"=""0.67775""","=""0.00010""","=""0.67762""","=""""","=""9*""","=""""",,"=""[21.82264]""","=""[1851.53]""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(1P*).3p""","=""2D""","=""3/2""",2,4,,"=""""","=""L4466c7""",
"=""0.67775""","=""0.00010""","=""0.67775""","=""""","=""9*""","=""""",,"=""[22.54101]""","=""[1851.88]""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(1P*).3p""","=""2P""","=""3/2""",4,4,,"=""""","=""L4466c7""",
"=""0.67775""","=""0.00010""","=""0.67788""","=""""","=""9*""","=""""",,"=""[22.54101]""","=""[1851.53]""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(1P*).3p""","=""2D""","=""3/2""",4,4,,"=""""","=""L4466c7""",
"=""0.67775""","=""0.00010""","=""0.67788""","=""""","=""9*""","=""""",,"=""[22.54101]""","=""[1851.53]""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(1P*).3p""","=""2D""","=""5/2""",4,6,,"=""""","=""L4466c7""",
"=""0.67921""","=""0.00010""","=""0.67884""","=""""","=""13g*""","=""""",,"=""[21.82264]""","=""[1848.23]""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(3P*).3p""","=""2S""","=""1/2""",2,2,,"=""""","=""L4466c7""",
"=""0.67921""","=""0.00010""","=""0.67911""","=""""","=""13g*""","=""""",,"=""[22.54101]""","=""[1848.23]""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(3P*).3p""","=""2S""","=""1/2""",4,2,,"=""""","=""L4466c7""",
"=""0.67921""","=""0.00010""","=""0.67926""","=""""","=""13g*""","=""""",,"=""0.00000""","=""[1825.27]""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(3S).3p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L4466c7""",
"=""0.67921""","=""0.00010""","=""0.67926""","=""""","=""13g*""","=""""",,"=""0.00000""","=""[1825.27]""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(3S).3p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L4466c7""",
"=""0.68045""","=""0.00010""","=""0.68026""","=""""","=""27*""","=""""",,"=""[21.82264]""","=""[1844.43]""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(3P*).3p""","=""2D""","=""3/2""",2,4,,"=""""","=""L4466c7""",
"=""0.68045""","=""0.00010""","=""0.68027""","=""""","=""27*""","=""""",,"=""[21.82264]""","=""[1844.39]""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2s.(1S).3d""","=""2D""","=""3/2""",2,4,,"=""""","=""L4466c7""",
"=""0.68045""","=""0.00010""","=""0.68033""","=""""","=""27*""","=""""",,"=""[22.54101]""","=""[1844.96]""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(3P*).3p""","=""2D""","=""5/2""",4,6,,"=""""","=""L4466c7""",
