State,Lifetime /s,Energy /eV
Ar 1S;v=3s2.3p6,,0.0
Ar 2[3/2]o_1;v=3s2.3p5(2Po_3/2)4s,7.57576e-09,11.6233248571425
Ar 2[1/2]o_1;v=3s2.3p5(2Po_1/2)4s,1.8797e-09,11.8277948803146
Ar 2[1/2]_1;v=3s2.3p5(2Po_3/2)4p,3.92619e-08,12.9067052827208
Ar 2[5/2]_3;v=3s2.3p5(2Po_3/2)4p,3.0303e-08,13.0754438841866
Ar 2[5/2]_2;v=3s2.3p5(2Po_3/2)4p,3.09885e-08,13.0945370102892
Ar 2[3/2]_1;v=3s2.3p5(2Po_3/2)4p,2.96824e-08,13.1528082393038
Ar 2[3/2]_2;v=3s2.3p5(2Po_3/2)4p,2.90698e-08,13.1715294213915
Ar 2[1/2]_0;v=3s2.3p5(2Po_3/2)4p,2.5e-08,13.2726981934679
Ar 2[3/2]_1;v=3s2.3p5(2Po_1/2)4p,3.01641e-08,13.2823687378576
Ar 2[3/2]_2;v=3s2.3p5(2Po_1/2)4p,2.89017e-08,13.3019577893136
Ar 2[1/2]_1;v=3s2.3p5(2Po_1/2)4p,2.83849e-08,13.3274979450093
Ar 2[1/2]_0;v=3s2.3p5(2Po_1/2)4p,2.21063e-08,13.4796230471389
Ar 2[1/2]o_0;v=3s2.3p5(2Po_3/2)3d,1.1655e-07,13.8447480885177
Ar 2[1/2]o_1;v=3s2.3p5(2Po_3/2)3d,1.28518e-07,13.8633452892671
Ar 2[3/2]o_2;v=3s2.3p5(2Po_3/2)3d,1.20773e-07,13.9031432988707
Ar 2[7/2]o_3;v=3s2.3p5(2Po_3/2)3d,9.01876e-08,14.0123708579385
Ar 2[5/2]o_2;v=3s2.3p5(2Po_3/2)3d,7.62195e-08,14.0627072813
Ar 2[3/2]o_2;v=3s2.3p5(2Po_3/2)5s,4.7061e-08,14.0679144975098
Ar 2[3/2]o_1;v=3s2.3p5(2Po_3/2)5s,1.0245e-08,14.0896112317174
Ar 2[5/2]o_3;v=3s2.3p5(2Po_3/2)3d,1.95702e-07,14.0987858507537
Ar 2[3/2]o_1;v=3s2.3p5(2Po_3/2)3d,3.49343e-09,14.1522218075735
Ar 2[5/2]o_2;v=3s2.3p5(2Po_1/2)3d,6.2383e-08,14.2133446073697
Ar 2[3/2]o_2;v=3s2.3p5(2Po_1/2)3d,9.68148e-08,14.2336775468556
Ar 2[5/2]o_3;v=3s2.3p5(2Po_1/2)3d,6.66667e-08,14.2357852296072
Ar 2[1/2]o_0;v=3s2.3p5(2Po_1/2)5s,4.85909e-08,14.2407444831404
Ar 2[1/2]o_1;v=3s2.3p5(2Po_1/2)5s,1.81094e-08,14.2547543743716
Ar 2[3/2]o_1;v=3s2.3p5(2Po_1/2)3d,3.02466e-09,14.3033550589965
Ar 2[1/2]_1;v=3s2.3p5(2Po_3/2)5p,3.10559e-06,14.4636629294559
Ar 2[5/2]_3;v=3s2.3p5(2Po_3/2)5p,4.65983e-07,14.498749648203
Ar 2[5/2]_2;v=3s2.3p5(2Po_3/2)5p,1.43823e-06,14.5056926031494
Ar 2[3/2]_1;v=3s2.3p5(2Po_3/2)5p,8.38715e-07,14.5245377665754
Ar 2[3/2]_2;v=3s2.3p5(2Po_3/2)5p,5.82683e-07,14.5286291507402
Ar 2[1/2]_0;v=3s2.3p5(2Po_3/2)5p,2.66667e-07,14.5756180779669
Ar 2[3/2]_1;v=3s2.3p5(2Po_1/2)5p,1.1534e-06,14.6802583275165
Ar 2[1/2]_1;v=3s2.3p5(2Po_1/2)5p,6.50195e-07,14.686829338448
Ar 2[3/2]_2;v=3s2.3p5(2Po_1/2)5p,1.04603e-06,14.6879451704929
Ar 2[1/2]o_0;v=3s2.3p5(2Po_3/2)4d,1.77305e-07,14.6932763680411
Ar 2[1/2]o_1;v=3s2.3p5(2Po_3/2)4d,1.8315e-07,14.7105097740688
Ar 2[1/2]_0;v=3s2.3p5(2Po_1/2)5p,2.51256e-07,14.7377856685012
Ar 2[3/2]o_2;v=3s2.3p5(2Po_3/2)4d,1.87864e-07,14.742248996681
Ar 2[7/2]o_4;v=3s2.3p5(2Po_3/2)4d,5.26316e-07,14.7567548132655
Ar 2[7/2]o_3;v=3s2.3p5(2Po_3/2)4d,7.28332e-07,14.7801872862097
Ar 2[5/2]o_2;v=3s2.3p5(2Po_3/2)4d,2.46305e-06,14.808950956702
Ar 2[3/2]o_1;v=3s2.3p5(2Po_3/2)4d,5.88235e-06,14.8589154360486
