Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Reference
"=""3s2.3p5""","=""2P*""","=""3/2""",4,"=""""","=""0.00000000""","=""""","=""0.00000010""","=""L15349"""
"=""3s2.3p5""","=""2P*""","=""1/2""",2,"=""""","=""0.17749368""","=""""","=""0.00000010""","=""L15349"""
"=""3s.3p6""","=""2S""","=""1/2""",2,"=""""","=""13.4797526""","=""""","=""0.0000015""","=""L15349"""
"=""3s2.3p4.(3P).3d""","=""4D""","=""7/2""",8,"=""""","=""16.40650186""","=""""","=""0.00000005""","=""L15349"""
"=""3s2.3p4.(3P).3d""","=""4D""","=""5/2""",6,"=""""","=""16.42557623""","=""""","=""0.00000005""","=""L15349"""
"=""3s2.3p4.(3P).3d""","=""4D""","=""3/2""",4,"=""""","=""16.44411446""","=""""","=""0.00000005""","=""L15349"""
"=""3s2.3p4.(3P).3d""","=""4D""","=""1/2""",2,"=""""","=""16.45737782""","=""""","=""0.00000007""","=""L15349"""
"=""3s2.3p4.(3P).4s""","=""4P""","=""5/2""",6,"=""""","=""16.64385439""","=""""","=""0.00000004""","=""L15349"""
"=""3s2.3p4.(3P).4s""","=""4P""","=""3/2""",4,"=""""","=""16.74852891""","=""""","=""""","=""L15349"""
"=""3s2.3p4.(3P).4s""","=""4P""","=""1/2""",2,"=""""","=""16.81247225""","=""""","=""0.00000004""","=""L15349"""
"=""3s2.3p4.(3P).4s""","=""2P""","=""3/2""",4,"=""""","=""17.140027439""","=""""","=""0.000000025""","=""L15349"""
"=""3s2.3p4.(3P).4s""","=""2P""","=""1/2""",2,"=""""","=""17.265833524""","=""""","=""0.000000025""","=""L15349"""
"=""3s2.3p4.(3P).3d""","=""4F""","=""9/2""",10,"=""""","=""17.62885633""","=""""","=""0.00000004""","=""L15349"""
"=""3s2.3p4.(3P).3d""","=""4F""","=""7/2""",8,"=""""","=""17.69466481""","=""""","=""0.00000004""","=""L15349"""
"=""3s2.3p4.(3P).3d""","=""4F""","=""5/2""",6,"=""""","=""17.74309101""","=""""","=""0.00000004""","=""L15349"""
"=""3s2.3p4.(3P).3d""","=""4F""","=""3/2""",4,"=""""","=""17.77579262""","=""""","=""0.00000006""","=""L15349"""
"=""3s2.3p4.(3P).3d""","=""2P""","=""1/2""",2,"=""""","=""17.94175110""","=""""","=""0.00000004""","=""L15349"""
"=""3s2.3p4.(3P).3d""","=""2P""","=""3/2""",4,"=""""","=""18.06063988""","=""""","=""0.00000004""","=""L15349"""
"=""3s2.3p4.(3P).3d""","=""4P""","=""1/2""",2,"=""""","=""18.25395203""","=""""","=""0.00000010""","=""L15349"""
"=""3s2.3p4.(3P).3d""","=""4P""","=""3/2""",4,"=""""","=""18.28805528""","=""""","=""0.00000006""","=""L15349"""
"=""3s2.3p4.(3P).3d""","=""4P""","=""5/2""",6,"=""""","=""18.33428084""","=""""","=""0.00000005""","=""L15349"""
"=""3s2.3p4.(1D).4s""","=""2D""","=""3/2""",4,"=""""","=""18.426549103""","=""""","=""0.000000025""","=""L15349"""
"=""3s2.3p4.(1D).4s""","=""2D""","=""5/2""",6,"=""""","=""18.454114013""","=""""","=""0.000000025""","=""L15349"""
"=""3s2.3p4.(3P).3d""","=""2F""","=""7/2""",8,"=""""","=""18.495869040""","=""""","=""0.000000025""","=""L15349"""
"=""3s2.3p4.(3P).3d""","=""2F""","=""5/2""",6,"=""""","=""18.615942491""","=""""","=""0.000000025""","=""L15349"""
"=""3s2.3p4.(3P).3d""","=""2D""","=""3/2""",4,"=""""","=""18.656521057""","=""""","=""0.000000025""","=""L15349"""
"=""3s2.3p4.(3P).3d""","=""2D""","=""5/2""",6,"=""""","=""18.732439371""","=""""","=""0.000000025""","=""L15349"""
"=""3s2.3p4.(1D).3d""","=""2G""","=""9/2""",10,"=""""","=""19.11606897""","=""""","=""0.00000004""","=""L15349"""
"=""3s2.3p4.(1D).3d""","=""2G""","=""7/2""",8,"=""""","=""19.11886231""","=""""","=""0.00000004""","=""L15349"""
"=""3s2.3p4.(3P).4p""","=""4P*""","=""5/2""",6,"=""""","=""19.222902151""","=""""","=""0.000000025""","=""L15349"""
"=""3s2.3p4.(3P).4p""","=""4P*""","=""3/2""",4,"=""""","=""19.261084163""","=""""","=""0.000000025""","=""L15349"""
"=""3s2.3p4.(3P).4p""","=""4P*""","=""1/2""",2,"=""""","=""19.30534490""","=""""","=""0.00000004""","=""L15349"""
"=""3s2.3p4.(3P).4p""","=""4D*""","=""7/2""",8,"=""""","=""19.49453389""","=""""","=""0.00000004""","=""L15349"""
"=""3s2.3p4.(3P).4p""","=""4D*""","=""5/2""",6,"=""""","=""19.549011775""","=""""","=""0.000000025""","=""L15349"""
"=""3s2.3p4.(3P).4p""","=""4D*""","=""3/2""",4,"=""""","=""19.61030789""","=""""","=""0.00000004""","=""L15349"""
"=""3s2.3p4.(3P).4p""","=""4D*""","=""1/2""",2,"=""""","=""19.64258207""","=""""","=""0.00000005""","=""L15349"""
"=""3s2.3p4.(3P).4p""","=""2D*""","=""5/2""",6,"=""""","=""19.680048951""","=""""","=""0.000000025""","=""L15349"""
"=""3s2.3p4.(3P).4p""","=""2D*""","=""3/2""",4,"=""""","=""19.762261075""","=""""","=""0.000000025""","=""L15349"""
"=""3s2.3p4.(3P).4p""","=""2P*""","=""1/2""",2,"=""""","=""19.801086565""","=""""","=""0.000000025""","=""L15349"""
"=""3s2.3p4.(3P).4p""","=""2P*""","=""3/2""",4,"=""""","=""19.867157038""","=""""","=""0.000000025""","=""L15349"""
"=""3s2.3p4.(3P).4p""","=""4S*""","=""3/2""",4,"=""""","=""19.96749907""","=""""","=""0.00000004""","=""L15349"""
"=""3s2.3p4.(3P).4p""","=""2S*""","=""1/2""",2,"=""""","=""19.972538226""","=""""","=""0.000000025""","=""L15349"""
"=""3s2.3p4.(1D).3d""","=""2F""","=""5/2""",6,"=""""","=""20.24656525""","=""""","=""0.00000005""","=""L15349"""
"=""3s2.3p4.(1D).3d""","=""2F""","=""7/2""",8,"=""""","=""20.272226904""","=""""","=""0.000000025""","=""L15349"""
"=""3s2.3p4.(1S).4s""","=""2S""","=""1/2""",2,"=""""","=""20.74354606""","=""""","=""0.00000005""","=""L15349"""
"=""3s2.3p4.(1D).4p""","=""2F*""","=""5/2""",6,"=""""","=""21.127033505""","=""""","=""0.000000025""","=""L15349"""
"=""3s2.3p4.(1D).4p""","=""2F*""","=""7/2""",8,"=""""","=""21.143075448""","=""""","=""0.000000025""","=""L15349"""
"=""3s2.3p4.(1D).4p""","=""2P*""","=""3/2""",4,"=""""","=""21.351799846""","=""""","=""0.000000025""","=""L15349"""
"=""3s2.3p4.(1D).4p""","=""2P*""","=""1/2""",2,"=""""","=""21.42648951""","=""""","=""0.00000005""","=""L15349"""
"=""3s2.3p4.(1D).3d""","=""2D""","=""5/2""",6,"=""""","=""21.36689104""","=""""","=""0.00000011""","=""L15349"""
"=""3s2.3p4.(1D).3d""","=""2D""","=""3/2""",4,"=""""","=""21.42814610""","=""""","=""0.00000019""","=""L15349"""
"=""3s2.3p4.(1D).4p""","=""2D*""","=""3/2""",4,"=""""","=""21.492402391""","=""""","=""0.000000025""","=""L15349"""
"=""3s2.3p4.(1D).4p""","=""2D*""","=""5/2""",6,"=""""","=""21.498049871""","=""""","=""0.000000025""","=""L15349"""
"=""3s2.3p4.(1D).3d""","=""2P""","=""3/2""",4,"=""""","=""21.62407061""","=""""","=""0.00000019""","=""L15349"""
"=""3s2.3p4.(1D).3d""","=""2P""","=""1/2""",2,"=""""","=""21.67504277""","=""""","=""0.00000022""","=""L15349"""
"=""3s2.3p4.(1S).3d""","=""2D""","=""5/2""",6,"=""""","=""22.26659804""","=""""","=""0.00000010""","=""L15349"""
"=""3s2.3p4.(1S).3d""","=""2D""","=""3/2""",4,"=""""","=""22.30870487""","=""""","=""0.00000015""","=""L15349"""
"=""3s2.3p4.(3P).5s""","=""4P""","=""5/2""",6,"=""""","=""22.514803938""","=""""","=""0.000000025""","=""L15349"""
"=""3s2.3p4.(3P).5s""","=""4P""","=""3/2""",4,"=""""","=""22.592663597""","=""""","=""0.000000025""","=""L15349"""
"=""3s2.3p4.(3P).5s""","=""4P""","=""1/2""",2,"=""""","=""22.683065435""","=""""","=""0.000000025""","=""L15349"""
"=""3s2.3p4.(3P).5s""","=""2P""","=""3/2""",4,"=""""","=""22.700377572""","=""""","=""0.000000012""","=""L15349"""
"=""3s2.3p4.(3P).5s""","=""2P""","=""1/2""",2,"=""""","=""22.802509716""","=""""","=""0.000000025""","=""L15349"""
"=""3s2.3p4.(3P).4d""","=""4D""","=""7/2""",8,"=""""","=""22.77287965""","=""""","=""0.00000004""","=""L15349"""
"=""3s2.3p4.(3P).4d""","=""4D""","=""5/2""",6,"=""""","=""22.78797918""","=""""","=""0.00000004""","=""L15349"""
"=""3s2.3p4.(3P).4d""","=""4D""","=""3/2""",4,"=""""","=""22.81135843""","=""""","=""0.00000004""","=""L15349"""
"=""3s2.3p4.(3P).4d""","=""4D""","=""1/2""",2,"=""""","=""22.83687165""","=""""","=""0.00000007""","=""L15349"""
"=""3s2.3p4.(1D).3d""","=""2S""","=""1/2""",2,"=""""","=""22.82463962""","=""""","=""0.00000006""","=""L15349"""
"=""3s2.3p4.(3P).4d""","=""4F""","=""9/2""",10,"=""""","=""22.94864813""","=""""","=""0.00000006""","=""L15349"""
"=""3s2.3p4.(3P).4d""","=""4F""","=""7/2""",8,"=""""","=""23.01454553""","=""""","=""0.00000004""","=""L15349"""
"=""3s2.3p4.(3P).4d""","=""4F""","=""5/2""",6,"=""""","=""23.070289982""","=""""","=""0.000000025""","=""L15349"""
"=""3s2.3p4.(3P).4d""","=""4F""","=""3/2""",4,"=""""","=""23.103285166""","=""""","=""0.000000025""","=""L15349"""
"=""3s2.3p4.(3P).4d""","=""4P""","=""1/2""",2,"=""""","=""23.08230349""","=""""","=""0.00000005""","=""L15349"""
"=""3s2.3p4.(3P).4d""","=""4P""","=""3/2""",4,"=""""","=""23.11937815""","=""""","=""0.00000004""","=""L15349"""
"=""3s2.3p4.(3P).4d""","=""4P""","=""5/2""",6,"=""""","=""23.17153570""","=""""","=""0.00000004""","=""L15349"""
"=""3s2.3p4.(3P).4d""","=""2F""","=""7/2""",8,"=""""","=""23.162238164""","=""""","=""0.000000025""","=""L15349"""
"=""3s2.3p4.(3P).4d""","=""2F""","=""5/2""",6,"=""""","=""23.258113744""","=""""","=""0.000000025""","=""L15349"""
"=""3s2.3p4.(3P).5p""","=""4P*""","=""5/2""",6,"=""""","=""23.404027598""","=""""","=""0.000000025""","=""L15349"""
"=""3s2.3p4.(3P).5p""","=""4P*""","=""3/2""",4,"=""""","=""23.438088809""","=""""","=""0.000000025""","=""L15349"""
"=""3s2.3p4.(3P).5p""","=""4P*""","=""1/2""",2,"=""""","=""23.48728630""","=""""","=""0.00000004""","=""L15349"""
"=""3s2.3p4.(3P).5p""","=""4D*""","=""7/2""",8,"=""""","=""23.484470418""","=""""","=""0.000000025""","=""L15349"""
"=""3s2.3p4.(3P).5p""","=""4D*""","=""5/2""",6,"=""""","=""23.514204395""","=""""","=""0.000000025""","=""L15349"""
"=""3s2.3p4.(3P).5p""","=""4D*""","=""3/2""",4,"=""""","=""23.570177223""","=""""","=""0.000000025""","=""L15349"""
"=""3s2.3p4.(3P).5p""","=""4D*""","=""1/2""",2,"=""""","=""23.64788005""","=""""","=""0.00000005""","=""L15349"""
"=""3s2.3p4.(3P).4d""","=""2P""","=""1/2""",2,"=""""","=""23.54889313""","=""""","=""0.00000009""","=""L15349"""
"=""3s2.3p4.(3P).4d""","=""2P""","=""3/2""",4,"=""""","=""23.63042494""","=""""","=""0.00000009""","=""L15349"""
"=""3s2.3p4.(3P).5p""","=""2P*""","=""1/2""",2,"=""""","=""23.58132422""","=""""","=""0.00000006""","=""L15349"""
"=""3s2.3p4.(3P).5p""","=""2P*""","=""3/2""",4,"=""""","=""23.619908872""","=""""","=""0.000000025""","=""L15349"""
"=""3s2.3p4.(3P).5p""","=""2D*""","=""5/2""",6,"=""""","=""23.620386781""","=""""","=""0.000000025""","=""L15349"""
"=""3s2.3p4.(3P).5p""","=""2D*""","=""3/2""",4,"=""""","=""23.682522355""","=""""","=""0.000000025""","=""L15349"""
"=""3s2.3p4.(3P).5p""","=""2S*""","=""1/2""",2,"=""""","=""23.67388033""","=""""","=""0.00000004""","=""L15349"""
"=""3s2.3p4.(3P).5p""","=""4S*""","=""3/2""",4,"=""""","=""23.702008951""","=""""","=""0.000000025""","=""L15349"""
"=""3s2.3p4.(1S).4p""","=""2P*""","=""3/2""",4,"=""""","=""23.80181442""","=""""","=""0.00000006""","=""L15349"""
"=""3s2.3p4.(1S).4p""","=""2P*""","=""1/2""",2,"=""""","=""23.84631466""","=""""","=""0.00000005""","=""L15349"""
