Initial State,Final State,Partial Lifetime /s,Delta Energy /eV
Ar+ 2S;v=3s.3p6,Ar+ 2Po;v=3s2.3p5,4.8309e-09,-13.4794990658006
Ar+ 4P;v=3s2.3p4(3P)4s,Ar+ 2Po;v=3s2.3p5,9.009e-08,-16.8121174400829
Ar+ 2P;v=3s2.3p4(3P)4s,Ar+ 2Po;v=3s2.3p5,3.5088e-10,-17.2653932130136
Ar+ 4Po;v=3s2.3p4(3P)4p,Ar+ 4P;v=3s2.3p4(3P)4s,1.0571e-08,-2.4927687884419996
Ar+ 4Po;v=3s2.3p4(3P)4p,Ar+ 4D;v=3s2.3p4(3P)3d,2.4753e-08,-2.898762839824901
Ar+ 4Po;v=3s2.3p4(3P)4p,Ar+ 2P;v=3s2.3p4(3P)4s,1.25e-06,-2.039493015511301
Ar+ 4Do;v=3s2.3p4(3P)4p,Ar+ 4P;v=3s2.3p4(3P)4s,8.8028e-09,-2.8299980286967
Ar+ 4Do;v=3s2.3p4(3P)4p,Ar+ 4F;v=3s2.3p4(3P)3d,5.9172e-08,-2.013665805779599
Ar+ 4Do;v=3s2.3p4(3P)4p,Ar+ 4D;v=3s2.3p4(3P)3d,8e-08,-3.235992080079601
Ar+ 4Do;v=3s2.3p4(3P)4p,Ar+ 4P;v=3s2.3p4(3P)3d,9.5238e-07,-1.3885845298796013
Ar+ 4Do;v=3s2.3p4(3P)4p,Ar+ 2P;v=3s2.3p4(3P)4s,1.6234e-06,-2.3767222557660013
Ar+ 2Do;v=3s2.3p4(3P)4p,Ar+ 2P;v=3s2.3p4(3P)4s,1.0183e-08,-2.4963642472534993
Ar+ 2Do;v=3s2.3p4(3P)4p,Ar+ 4P;v=3s2.3p4(3P)4s,2.439e-07,-2.949640020184198
Ar+ 2Do;v=3s2.3p4(3P)4p,Ar+ 4F;v=3s2.3p4(3P)3d,7.1429e-07,-2.133307797267097
Ar+ 2Do;v=3s2.3p4(3P)4p,Ar+ 2P;v=3s2.3p4(3P)3d,1.4286e-06,-1.8204202471670996
Ar+ 2Do;v=3s2.3p4(3P)4p,Ar+ 4D;v=3s2.3p4(3P)3d,1.6667e-06,-3.355634071567099
Ar+ 2Po;v=3s2.3p4(3P)4p,Ar+ 2P;v=3s2.3p4(3P)4s,9.2421e-09,-2.5352943874888005
Ar+ 2Po;v=3s2.3p4(3P)4p,Ar+ 2P;v=3s2.3p4(3P)3d,1.0753e-07,-1.8593503874024009
Ar+ 2Po;v=3s2.3p4(3P)4p,Ar+ 4D;v=3s2.3p4(3P)3d,5e-06,-3.3945642118024004
Ar+ 2Po;v=3s2.3p4(3P)4p,Ar+ 4P;v=3s2.3p4(3P)4s,4.717e-05,-2.988570160419499
Ar+ 4So;v=3s2.3p4(3P)4p,Ar+ 4P;v=3s2.3p4(3P)4s,9.0009e-09,-3.1549531164568982
Ar+ 4So;v=3s2.3p4(3P)4p,Ar+ 4P;v=3s2.3p4(3P)3d,5e-08,-1.7135396176397997
Ar+ 4So;v=3s2.3p4(3P)4p,Ar+ 2P;v=3s2.3p4(3P)4s,7.1429e-07,-2.7016773435261996
Ar+ 4So;v=3s2.3p4(3P)4p,Ar+ 2P;v=3s2.3p4(3P)3d,2.5e-06,-2.0257333434398
Ar+ 4So;v=3s2.3p4(3P)4p,Ar+ 4D;v=3s2.3p4(3P)3d,2.7027e-06,-3.5609471678397995
Ar+ 2So;v=3s2.3p4(3P)4p,Ar+ 2P;v=3s2.3p4(3P)4s,9.9157e-09,-2.7066365970594006
Ar+ 2So;v=3s2.3p4(3P)4p,Ar+ 2P;v=3s2.3p4(3P)3d,8.1018e-08,-2.030692596973001
Ar+ 2So;v=3s2.3p4(3P)4p,Ar+ 2D;v=3s2.3p4(1D)4s,1.1072e-06,-1.545905776672999
Ar+ 2So;v=3s2.3p4(3P)4p,Ar+ 4P;v=3s2.3p4(3P)4s,1.6609e-06,-3.1599123699900993
Ar+ 2So;v=3s2.3p4(3P)4p,Ar+ 2D;v=3s2.3p4(3P)3d,2.5552e-06,-1.3159391276730013
Ar+ 2Fo;v=3s2.3p4(1D)4p,Ar+ 2D;v=3s2.3p4(1D)4s,1.3539e-08,-2.7004199991921993
Ar+ 2Fo;v=3s2.3p4(1D)4p,Ar+ 2D;v=3s2.3p4(3P)3d,4.4427e-08,-2.4704533501922015
Ar+ 2Fo;v=3s2.3p4(1D)4p,Ar+ 2G;v=3s2.3p4(1D)3d,4.9758e-08,-2.010916036092201
Ar+ 2Fo;v=3s2.3p4(1D)4p,Ar+ 4P;v=3s2.3p4(3P)3d,1.6314e-07,-2.873013093692201
Ar+ 2Fo;v=3s2.3p4(1D)4p,Ar+ 2F;v=3s2.3p4(3P)3d,8.293e-07,-2.6311016609922007
Ar+ 2Po;v=3s2.3p4(1D)4p,Ar+ 2D;v=3s2.3p4(1D)4s,1.16e-08,-2.9998349312566006
Ar+ 2Po;v=3s2.3p4(1D)4p,Ar+ 2P;v=3s2.3p4(3P)4s,1.6488e-08,-4.160565751643002
Ar+ 2Po;v=3s2.3p4(1D)4p,Ar+ 2D;v=3s2.3p4(3P)3d,3.3999e-08,-2.7698682822566028
Ar+ 2Po;v=3s2.3p4(1D)4p,Ar+ 2P;v=3s2.3p4(3P)3d,1.4716e-07,-3.4846217515566025
Ar+ 2Po;v=3s2.3p4(1D)4p,Ar+ 4P;v=3s2.3p4(3P)3d,4.4817e-07,-3.172428025756602
Ar+ 2Do;v=3s2.3p4(1D)4p,Ar+ 2D;v=3s2.3p4(3P)3d,1.4154e-08,-2.835826354247601
Ar+ 2Do;v=3s2.3p4(1D)4p,Ar+ 2D;v=3s2.3p4(1D)4s,1.9033e-08,-3.065793003247599
Ar+ 2Do;v=3s2.3p4(1D)4p,Ar+ 2F;v=3s2.3p4(3P)3d,1.4074e-07,-2.9964746650476
Ar+ 2Do;v=3s2.3p4(1D)4p,Ar+ 2P;v=3s2.3p4(3P)4s,9.084e-07,-4.226523823634
Ar+ 2Do;v=3s2.3p4(1D)4p,Ar+ 2P;v=3s2.3p4(3P)3d,1.6654e-06,-3.5505798235476007
Ar+ 4P;v=3s2.3p4(3P)5s,Ar+ 4Do;v=3s2.3p4(3P)4p,5.618e-09,-3.040394359840999
Ar+ 4P;v=3s2.3p4(3P)5s,Ar+ 4Po;v=3s2.3p4(3P)4p,1.2987e-08,-3.377623600095699
Ar+ 4P;v=3s2.3p4(3P)5s,Ar+ 4So;v=3s2.3p4(3P)4p,3.4483e-08,-2.7154392720808005
Ar+ 4P;v=3s2.3p4(3P)5s,Ar+ 2Po;v=3s2.3p4(3P)4p,1.2987e-07,-2.8818222281181995
Ar+ 4P;v=3s2.3p4(3P)5s,Ar+ 2Do;v=3s2.3p4(3P)4p,4.7619e-07,-2.920752368353501
Ar+ 2P;v=3s2.3p4(3P)5s,Ar+ 2Do;v=3s2.3p4(3P)4p,1.0101e-08,-3.0402703785026013
Ar+ 2P;v=3s2.3p4(3P)5s,Ar+ 2Po;v=3s2.3p4(3P)4p,1.4493e-08,-3.0013402382673
Ar+ 2P;v=3s2.3p4(3P)5s,Ar+ 4Po;v=3s2.3p4(3P)4p,8.3333e-08,-3.4971416102447996
Ar+ 2P;v=3s2.3p4(3P)5s,Ar+ 4So;v=3s2.3p4(3P)4p,1.3513e-07,-2.834957282229901
Ar+ 2P;v=3s2.3p4(3P)5s,Ar+ 4Do;v=3s2.3p4(3P)4p,3.2258e-07,-3.1599123699900993
Ar+ 4D;v=3s2.3p4(3P)4d,Ar+ 4Po;v=3s2.3p4(3P)4p,3.9216e-09,-3.5314844409619006
Ar+ 4D;v=3s2.3p4(3P)4d,Ar+ 4Do;v=3s2.3p4(3P)4p,1.996e-08,-3.1942552007072003
Ar+ 4D;v=3s2.3p4(3P)4d,Ar+ 2Do;v=3s2.3p4(3P)4p,1.3333e-07,-3.0746132092197023
Ar+ 4D;v=3s2.3p4(3P)4d,Ar+ 4So;v=3s2.3p4(3P)4p,5.5556e-06,-2.869300112947002
Ar+ 4D;v=3s2.3p4(3P)4d,Ar+ 2Po;v=3s2.3p4(3P)4p,5.5556e-06,-3.035683068984401
Ar+ 4P;v=3s2.3p4(3P)4d,Ar+ 4Po;v=3s2.3p4(3P)4p,6.7751e-09,-3.776843509514901
