conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
3s2.3p5,2P*,1.5,4.0,0.0,3s2.3p5,2P*,0.5,2.0,0.177494,0.177494,6985.27398,0.053,1.9385e-08,7.7541e-08,5.1449e-10
3s2.3p5,2P*,1.5,4.0,0.0,3s.3p6,2S,0.5,2.0,13.479753,13.479753,91.9781,140000000.0,0.0088782,0.035513,0.00023563
3s2.3p5,2P*,1.5,4.0,0.0,3s2.3p4.(3P).4s,4P,1.5,4.0,16.748529,16.748529,74.02692,31000000.0,0.0025468,0.010187,6.7593e-05
3s2.3p5,2P*,1.5,4.0,0.0,3s2.3p4.(3P).4s,4P,0.5,2.0,16.812472,16.812472,73.74537,3800000.0,0.00015491,0.00061964,4.1113e-06
3s2.3p5,2P*,1.5,4.0,0.0,3s2.3p4.(3P).4s,2P,1.5,4.0,17.140027,17.140027,72.33606,2300000000.0,0.18043,0.7217,0.0047885
3s2.3p5,2P*,1.5,4.0,0.0,3s2.3p4.(3P).4s,2P,0.5,2.0,17.265834,17.265834,71.80899,950000000.0,0.036721,0.14688,0.00097457
3s2.3p5,2P*,0.5,2.0,0.177494,3s.3p6,2S,0.5,2.0,13.479753,13.302259,93.20537,67000000.0,0.008726,0.017452,0.00023159
3s2.3p5,2P*,0.5,2.0,0.177494,3s2.3p4.(3P).4s,4P,1.5,4.0,16.748529,16.571035,74.81983,5900000.0,0.00099032,0.0019806,2.6283e-05
3s2.3p5,2P*,0.5,2.0,0.177494,3s2.3p4.(3P).4s,4P,0.5,2.0,16.812472,16.634979,74.53223,7300000.0,0.00060795,0.0012159,1.6135e-05
3s2.3p5,2P*,0.5,2.0,0.177494,3s2.3p4.(3P).4s,2P,1.5,4.0,17.140027,16.962534,73.09297,450000000.0,0.072086,0.14417,0.0019132
3s2.3p5,2P*,0.5,2.0,0.177494,3s2.3p4.(3P).4s,2P,0.5,2.0,17.265834,17.08834,72.55485,1900000000.0,0.14995,0.2999,0.0039797
3s2.3p4.(3P).3d,4D,3.5,8.0,16.406502,3s2.3p4.(3P).4p,4P*,2.5,6.0,19.222902,2.8164,440.22222,30400000.0,0.066243,0.52994,0.0017581
3s2.3p4.(3P).3d,4D,3.5,8.0,16.406502,3s2.3p4.(3P).4p,4D*,3.5,8.0,19.494534,3.088032,401.49907,10500000.0,0.025376,0.20301,0.00067347
3s2.3p4.(3P).3d,4D,3.5,8.0,16.406502,3s2.3p4.(3P).4p,4D*,2.5,6.0,19.549012,3.14251,394.53877,4100000.0,0.007176,0.057408,0.00019045
3s2.3p4.(3P).3d,4D,3.5,8.0,16.406502,3s2.3p4.(3P).4p,2D*,2.5,6.0,19.680049,3.273547,378.74573,1500000.0,0.0024194,0.019355,6.4211e-05
3s2.3p4.(3P).3d,4D,2.5,6.0,16.425576,3s2.3p4.(3P).4p,4P*,2.5,6.0,19.222902,2.797326,443.224,10900000.0,0.032102,0.19261,0.00085199
3s2.3p4.(3P).3d,4D,2.5,6.0,16.425576,3s2.3p4.(3P).4p,4P*,1.5,4.0,19.261084,2.835508,437.25569,22100000.0,0.042231,0.25339,0.0011208
3s2.3p4.(3P).3d,4D,2.5,6.0,16.425576,3s2.3p4.(3P).4p,4D*,3.5,8.0,19.494534,3.068958,403.99449,1200000.0,0.003915,0.02349,0.0001039
3s2.3p4.(3P).3d,4D,2.5,6.0,16.425576,3s2.3p4.(3P).4p,4D*,2.5,6.0,19.549012,3.123436,396.94816,4800000.0,0.011339,0.068033,0.00030093
3s2.3p4.(3P).3d,4D,2.5,6.0,16.425576,3s2.3p4.(3P).4p,4D*,1.5,4.0,19.610308,3.184732,389.30815,6300000.0,0.0095432,0.057259,0.00025328
3s2.3p4.(3P).3d,4D,2.5,6.0,16.425576,3s2.3p4.(3P).4p,2D*,2.5,6.0,19.680049,3.254473,380.96555,1000000.0,0.0021759,0.013055,5.7747e-05
3s2.3p4.(3P).3d,4D,2.5,6.0,16.425576,3s2.3p4.(3P).4p,2D*,1.5,4.0,19.762261,3.336685,371.57899,200000.0,0.00027599,0.001656,7.3249e-06
3s2.3p4.(3P).3d,4D,2.5,6.0,16.425576,3s2.3p4.(3P).4p,2P*,1.5,4.0,19.867157,3.441581,360.25363,200000.0,0.00025943,0.0015566,6.8852e-06
3s2.3p4.(3P).3d,4D,2.5,6.0,16.425576,3s2.3p4.(3P).4p,4S*,1.5,4.0,19.967499,3.541923,350.04771,300000.0,0.0003674,0.0022044,9.7509e-06
3s2.3p4.(3P).3d,4D,1.5,4.0,16.444114,3s2.3p4.(3P).4p,4P*,2.5,6.0,19.222902,2.778788,446.1809,1500000.0,0.0067153,0.026861,0.00017822
3s2.3p4.(3P).3d,4D,1.5,4.0,16.444114,3s2.3p4.(3P).4p,4P*,1.5,4.0,19.261084,2.81697,440.13323,16000000.0,0.046467,0.18587,0.0012332
3s2.3p4.(3P).3d,4D,1.5,4.0,16.444114,3s2.3p4.(3P).4p,4P*,0.5,2.0,19.305345,2.86123,433.32476,19200000.0,0.027025,0.1081,0.00071723
3s2.3p4.(3P).3d,4D,1.5,4.0,16.444114,3s2.3p4.(3P).4p,4D*,2.5,6.0,19.549012,3.104897,399.31819,1600000.0,0.0057373,0.022949,0.00015227
3s2.3p4.(3P).3d,4D,1.5,4.0,16.444114,3s2.3p4.(3P).4p,4D*,1.5,4.0,19.610308,3.166193,391.58757,3700000.0,0.0085059,0.034024,0.00022575
3s2.3p4.(3P).3d,4D,1.5,4.0,16.444114,3s2.3p4.(3P).4p,4D*,0.5,2.0,19.642582,3.198468,387.63625,8200000.0,0.0092362,0.036945,0.00024513
3s2.3p4.(3P).3d,4D,1.5,4.0,16.444114,3s2.3p4.(3P).4p,2D*,2.5,6.0,19.680049,3.235934,383.14805,400000.0,0.0013205,0.0052821,3.5047e-05
3s2.3p4.(3P).3d,4D,1.5,4.0,16.444114,3s2.3p4.(3P).4p,2D*,1.5,4.0,19.762261,3.318147,373.65497,300000.0,0.00062795,0.0025118,1.6666e-05
3s2.3p4.(3P).3d,4D,1.5,4.0,16.444114,3s2.3p4.(3P).4p,4S*,1.5,4.0,19.967499,3.523385,351.88948,70000.0,0.00012995,0.00051979,3.4488e-06
3s2.3p4.(3P).3d,4D,0.5,2.0,16.457378,3s2.3p4.(3P).4p,4P*,1.5,4.0,19.261084,2.803706,442.21535,3100000.0,0.018177,0.036354,0.00048241
3s2.3p4.(3P).3d,4D,0.5,2.0,16.457378,3s2.3p4.(3P).4p,4P*,0.5,2.0,19.305345,2.847967,435.34281,21200000.0,0.060236,0.12047,0.0015987
3s2.3p4.(3P).3d,4D,0.5,2.0,16.457378,3s2.3p4.(3P).4p,4D*,1.5,4.0,19.610308,3.15293,393.23485,2000000.0,0.0092731,0.018546,0.00024611
3s2.3p4.(3P).3d,4D,0.5,2.0,16.457378,3s2.3p4.(3P).4p,4D*,0.5,2.0,19.642582,3.185204,389.25039,4300000.0,0.0097676,0.019535,0.00025923
3s2.3p4.(3P).3d,4D,0.5,2.0,16.457378,3s2.3p4.(3P).4p,2D*,1.5,4.0,19.762261,3.304883,375.15455,100000.0,0.000422,0.000844,1.12e-05
3s2.3p4.(3P).3d,4D,0.5,2.0,16.457378,3s2.3p4.(3P).4p,2P*,0.5,2.0,19.801087,3.343709,370.79844,200000.0,0.00041225,0.00082451,1.0941e-05
3s2.3p4.(3P).4s,4P,2.5,6.0,16.643854,3s2.3p4.(3P).4p,4P*,2.5,6.0,19.222902,2.579048,480.73634,78000000.0,0.27025,1.6215,0.0071725
3s2.3p4.(3P).4s,4P,2.5,6.0,16.643854,3s2.3p4.(3P).4p,4P*,1.5,4.0,19.261084,2.61723,473.72302,58000000.0,0.13009,0.78054,0.0034526
3s2.3p4.(3P).4s,4P,2.5,6.0,16.643854,3s2.3p4.(3P).4p,4D*,3.5,8.0,19.494534,2.850679,434.92858,117100000.0,0.44278,2.6567,0.011751
3s2.3p4.(3P).4s,4P,2.5,6.0,16.643854,3s2.3p4.(3P).4p,4D*,2.5,6.0,19.549012,2.905157,426.77274,16400000.0,0.044781,0.26869,0.0011885
3s2.3p4.(3P).4s,4P,2.5,6.0,16.643854,3s2.3p4.(3P).4p,4D*,1.5,4.0,19.610308,2.966454,417.9543,1200000.0,0.0020951,0.012571,5.5604e-05
3s2.3p4.(3P).4s,4P,2.5,6.0,16.643854,3s2.3p4.(3P).4p,2D*,2.5,6.0,19.680049,3.036195,408.35393,2900000.0,0.0072499,0.043499,0.00019241
3s2.3p4.(3P).4s,4P,2.5,6.0,16.643854,3s2.3p4.(3P).4p,2D*,1.5,4.0,19.762261,3.118407,397.58829,900000.0,0.0014219,0.0085316,3.7738e-05
3s2.3p4.(3P).4s,4P,2.5,6.0,16.643854,3s2.3p4.(3P).4p,2P*,1.5,4.0,19.867157,3.223303,384.64957,1600000.0,0.002366,0.014196,6.2794e-05
3s2.3p4.(3P).4s,4P,2.5,6.0,16.643854,3s2.3p4.(3P).4p,4S*,1.5,4.0,19.967499,3.323645,373.03686,48000000.0,0.066759,0.40056,0.0017718
3s2.3p4.(3P).4s,4P,2.5,6.0,16.643854,3s2.3p4.(1D).4p,2F*,3.5,8.0,21.143075,4.499221,275.56814,200000.0,0.00030359,0.0018215,8.0573e-06
3s2.3p4.(3P).4s,4P,1.5,4.0,16.748529,3s2.3p4.(3P).4p,4P*,2.5,6.0,19.222902,2.474373,501.07315,15100000.0,0.085257,0.34103,0.0022627
3s2.3p4.(3P).4s,4P,1.5,4.0,16.748529,3s2.3p4.(3P).4p,4P*,1.5,4.0,19.261084,2.512555,493.45859,14400000.0,0.052568,0.21027,0.0013952
3s2.3p4.(3P).4s,4P,1.5,4.0,16.748529,3s2.3p4.(3P).4p,4P*,0.5,2.0,19.305345,2.556816,484.91639,84900000.0,0.14965,0.59859,0.0039717
3s2.3p4.(3P).4s,4P,1.5,4.0,16.748529,3s2.3p4.(3P).4p,4D*,2.5,6.0,19.549012,2.800483,442.72436,81700000.0,0.36011,1.4405,0.0095574
3s2.3p4.(3P).4s,4P,1.5,4.0,16.748529,3s2.3p4.(3P).4p,4D*,1.5,4.0,19.610308,2.861779,433.2417,57400000.0,0.16152,0.64609,0.0042868
3s2.3p4.(3P).4s,4P,1.5,4.0,16.748529,3s2.3p4.(3P).4p,4D*,0.5,2.0,19.642582,2.894053,428.41023,13200000.0,0.01816,0.072641,0.00048197
3s2.3p4.(3P).4s,4P,1.5,4.0,16.748529,3s2.3p4.(3P).4p,2D*,2.5,6.0,19.680049,2.93152,422.93485,13100000.0,0.052695,0.21078,0.0013985
3s2.3p4.(3P).4s,4P,1.5,4.0,16.748529,3s2.3p4.(3P).4p,2D*,1.5,4.0,19.762261,3.013732,411.39754,1100000.0,0.0027911,0.011164,7.4076e-05
3s2.3p4.(3P).4s,4P,1.5,4.0,16.748529,3s2.3p4.(3P).4p,2P*,0.5,2.0,19.801087,3.052558,406.16497,3200.0,3.9572e-06,1.5829e-05,1.0502e-07
3s2.3p4.(3P).4s,4P,1.5,4.0,16.748529,3s2.3p4.(3P).4p,2P*,1.5,4.0,19.867157,3.118628,397.56006,2000000.0,0.0047391,0.018956,0.00012578
3s2.3p4.(3P).4s,4P,1.5,4.0,16.748529,3s2.3p4.(3P).4p,4S*,1.5,4.0,19.967499,3.21897,385.16728,38700000.0,0.086073,0.34429,0.0022844
3s2.3p4.(3P).4s,4P,1.5,4.0,16.748529,3s2.3p4.(3P).4p,2S*,0.5,2.0,19.972538,3.224009,384.56526,300000.0,0.00033258,0.0013303,8.8266e-06
3s2.3p4.(3P).4s,4P,1.5,4.0,16.748529,3s2.3p4.(1D).4p,2P*,1.5,4.0,21.3518,4.603271,269.33935,500000.0,0.00054379,0.0021751,1.4432e-05
3s2.3p4.(3P).4s,4P,0.5,2.0,16.812472,3s2.3p4.(3P).4p,4P*,1.5,4.0,19.261084,2.448612,506.34483,22300000.0,0.17143,0.34286,0.0045498
3s2.3p4.(3P).4s,4P,0.5,2.0,16.812472,3s2.3p4.(3P).4p,4P*,0.5,2.0,19.305345,2.492873,497.35472,9700000.0,0.035972,0.071944,0.0009547
3s2.3p4.(3P).4s,4P,0.5,2.0,16.812472,3s2.3p4.(3P).4p,4D*,1.5,4.0,19.610308,2.797836,443.14325,56900000.0,0.33503,0.67007,0.0088918
3s2.3p4.(3P).4s,4P,0.5,2.0,16.812472,3s2.3p4.(3P).4p,4D*,0.5,2.0,19.642582,2.83011,438.08971,100400000.0,0.28888,0.57776,0.0076669
3s2.3p4.(3P).4s,4P,0.5,2.0,16.812472,3s2.3p4.(3P).4p,2D*,1.5,4.0,19.762261,2.949789,420.31551,2100000.0,0.011124,0.022248,0.00029523
