conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
3s2.3p4,3P,2.0,5.0,0.0,3s2.3p4,3P,1.0,3.0,0.137892,0.137892,8991.43155,0.031,2.2544e-08,1.1272e-07,5.9832e-10
3s2.3p4,3P,2.0,5.0,0.0,3s2.3p4,3P,1.0,3.0,0.137892,0.137892,8991.43155,3.6e-07,2.618e-13,1.309e-12,6.9482e-15
3s2.3p4,3P,2.0,5.0,0.0,3s2.3p4,3P,0.0,1.0,0.194684,0.194684,6368.49404,2.72e-06,3.3077e-13,1.6539e-12,8.7788e-15
3s2.3p4,3P,2.0,5.0,0.0,3s2.3p4,1D,2.0,5.0,1.737019,1.737019,713.77572,0.321,2.4518e-09,1.2259e-08,6.5071e-11
3s2.3p4,3P,2.0,5.0,0.0,3s2.3p4,1D,2.0,5.0,1.737019,1.737019,713.77572,0.0014,1.0693e-11,5.3466e-11,2.838e-13
3s2.3p4,3P,2.0,5.0,0.0,3s2.3p4,1S,0.0,1.0,4.12442,4.12442,300.61002,0.043,1.1651e-11,5.8255e-11,3.0922e-13
3s2.3p4,3P,2.0,5.0,0.0,3s.3p5,3P*,2.0,5.0,14.109466,14.109466,87.87306,279000000.0,0.032298,0.16149,0.00085719
3s2.3p4,3P,2.0,5.0,0.0,3s.3p5,3P*,1.0,3.0,14.233061,14.233061,87.11,159000000.0,0.010853,0.054264,0.00028803
3s2.3p4,3P,1.0,3.0,0.137892,3s2.3p4,3P,0.0,1.0,0.194684,0.056792,21831.20189,0.00519,1.2361e-08,3.7084e-08,3.2807e-10
3s2.3p4,3P,1.0,3.0,0.137892,3s2.3p4,1D,2.0,5.0,1.737019,1.599128,775.32403,0.083,1.2467e-09,3.74e-09,3.3087e-11
3s2.3p4,3P,1.0,3.0,0.137892,3s2.3p4,1D,2.0,5.0,1.737019,1.599128,775.32403,0.00013,1.9526e-12,5.8579e-12,5.1823e-14
3s2.3p4,3P,1.0,3.0,0.137892,3s2.3p4,1S,0.0,1.0,4.12442,3.986528,311.00793,4.02,1.9432e-09,5.8295e-09,5.1571e-11
3s2.3p4,3P,1.0,3.0,0.137892,3s.3p5,3P*,2.0,5.0,14.109466,13.971574,88.74032,90000000.0,0.017709,0.053127,0.00047
3s2.3p4,3P,1.0,3.0,0.137892,3s.3p5,3P*,1.0,3.0,14.233061,14.095169,87.96219,92000000.0,0.010672,0.032016,0.00028323
3s2.3p4,3P,1.0,3.0,0.137892,3s.3p5,3P*,0.0,1.0,14.29885,14.160958,87.55354,374000000.0,0.014327,0.042981,0.00038024
3s2.3p4,3P,0.0,1.0,0.194684,3s2.3p4,1D,2.0,5.0,1.737019,1.542335,803.87318,2.9e-05,1.4048e-12,1.4048e-12,3.7282e-14
3s2.3p4,3P,0.0,1.0,0.194684,3s.3p5,3P*,1.0,3.0,14.233061,14.038377,88.31804,122000000.0,0.0428,0.0428,0.0011359
3s2.3p4,1D,2.0,5.0,1.737019,3s2.3p4,1S,0.0,1.0,4.12442,2.387401,519.32708,3.1,2.5069e-09,1.2534e-08,6.6533e-11
3s2.3p3.(4S*).3d,5D*,1.0,3.0,17.963508,3s2.3p3.(4S*).4p,5P,1.0,3.0,25.363442,7.399934,167.54772,97000000.0,0.040823,0.12247,0.0010835
3s2.3p3.(4S*).3d,5D*,1.0,3.0,17.963508,3s2.3p3.(4S*).4p,5P,2.0,5.0,25.374084,7.410576,167.3071,20000000.0,0.013988,0.041965,0.00037125
3s2.3p3.(4S*).3d,5D*,2.0,5.0,17.964155,3s2.3p3.(4S*).4p,5P,1.0,3.0,25.363442,7.399287,167.56236,76000000.0,0.019195,0.095973,0.00050942
3s2.3p3.(4S*).3d,5D*,2.0,5.0,17.964155,3s2.3p3.(4S*).4p,5P,2.0,5.0,25.374084,7.409929,167.32171,76000000.0,0.031899,0.1595,0.0008466
3s2.3p3.(4S*).3d,5D*,2.0,5.0,17.964155,3s2.3p3.(4S*).4p,5P,3.0,7.0,25.392378,7.428223,166.90964,6200000.0,0.0036253,0.018126,9.6215e-05
3s2.3p3.(4S*).3d,5D*,3.0,7.0,17.965003,3s2.3p3.(4S*).4p,5P,2.0,5.0,25.374084,7.409081,167.34086,120000000.0,0.035985,0.25189,0.00095503
3s2.3p3.(4S*).3d,5D*,3.0,7.0,17.965003,3s2.3p3.(4S*).4p,5P,3.0,7.0,25.392378,7.427375,166.9287,43000000.0,0.017963,0.12574,0.00047675
3s2.3p3.(4S*).3d,5D*,4.0,9.0,17.966708,3s2.3p3.(4S*).4p,5P,3.0,7.0,25.392378,7.42567,166.96703,170000000.0,0.055262,0.49736,0.0014666
3s2.3p3.(4S*).3d,3D*,3.0,7.0,19.455045,3s2.3p3.(4S*).4p,3P,2.0,5.0,25.931404,6.47636,191.44119,180000000.0,0.070644,0.49451,0.0018749
3s2.3p3.(4S*).3d,3D*,2.0,5.0,19.455917,3s2.3p3.(4S*).4p,3P,1.0,3.0,25.928339,6.472421,191.55768,160000000.0,0.052812,0.26406,0.0014016
3s2.3p3.(4S*).3d,3D*,2.0,5.0,19.455917,3s2.3p3.(4S*).4p,3P,2.0,5.0,25.931404,6.475487,191.46699,32000000.0,0.017587,0.087936,0.00046677
3s2.3p3.(4S*).3d,3D*,1.0,3.0,19.469215,3s2.3p3.(4S*).4p,3P,1.0,3.0,25.928339,6.459123,191.95206,54000000.0,0.029829,0.089487,0.00079166
3s2.3p3.(4S*).3d,3D*,1.0,3.0,19.469215,3s2.3p3.(4S*).4p,3P,2.0,5.0,25.931404,6.462189,191.86099,2100000.0,0.0019315,0.0057946,5.1263e-05
3s2.3p3.(4S*).3d,3D*,1.0,3.0,19.469215,3s2.3p3.(4S*).4p,3P,0.0,1.0,25.93323,6.464015,191.8068,210000000.0,0.038609,0.11583,0.0010247
3s2.3p3.(4S*).4s,5S*,2.0,5.0,21.620178,3s2.3p3.(4S*).4p,5P,1.0,3.0,25.363442,3.743263,331.21954,200000000.0,0.19737,0.98683,0.0052381
3s2.3p3.(4S*).4s,5S*,2.0,5.0,21.620178,3s2.3p3.(4S*).4p,5P,2.0,5.0,25.374084,3.753906,330.28053,200000000.0,0.32708,1.6354,0.0086807
3s2.3p3.(4S*).4s,5S*,2.0,5.0,21.620178,3s2.3p3.(4S*).4p,5P,3.0,7.0,25.392378,3.7722,328.67879,200000000.0,0.45348,2.2674,0.012035
3s2.3p3.(2P*).3d,3F*,4.0,9.0,23.111012,3s2.3p3.(2D*).4p,3F,3.0,7.0,28.082937,4.971924,249.36863,2500000.0,0.0018128,0.016315,4.811e-05
3s2.3p3.(2P*).3d,3F*,4.0,9.0,23.111012,3s2.3p3.(2D*).4p,3F,4.0,9.0,28.100607,4.989594,248.48552,30000000.0,0.02777,0.24993,0.00073703
3s2.3p3.(2P*).3d,3F*,3.0,7.0,23.142666,3s2.3p3.(2D*).4p,3F,2.0,5.0,28.064692,4.922026,251.89667,3400000.0,0.0023102,0.016172,6.1314e-05
3s2.3p3.(2P*).3d,3F*,3.0,7.0,23.142666,3s2.3p3.(2D*).4p,3F,3.0,7.0,28.082937,4.940271,250.96641,26000000.0,0.024551,0.17185,0.00065158
3s2.3p3.(2P*).3d,3F*,3.0,7.0,23.142666,3s2.3p3.(2D*).4p,3F,4.0,9.0,28.100607,4.957941,250.07197,2000000.0,0.0024108,0.016876,6.3983e-05
3s2.3p3.(2P*).3d,3F*,2.0,5.0,23.173146,3s2.3p3.(2D*).4p,3F,2.0,5.0,28.064692,4.891546,253.46626,27000000.0,0.026005,0.13003,0.00069018
3s2.3p3.(2P*).3d,3F*,2.0,5.0,23.173146,3s2.3p3.(2D*).4p,3F,3.0,7.0,28.082937,4.909791,252.52439,2500000.0,0.0033461,0.01673,8.8805e-05
3s2.3p3.(2D*).3d,3D*,1.0,3.0,23.206373,3s2.3p3.(2D*).4p,3D,2.0,5.0,27.914944,4.708571,263.31599,7500000.0,0.012993,0.03898,0.00034485
3s2.3p3.(2D*).3d,3D*,1.0,3.0,23.206373,3s2.3p3.(2D*).4p,3D,1.0,3.0,27.91586,4.709486,263.2648,37000000.0,0.038446,0.11534,0.0010203
3s2.3p3.(2D*).3d,3D*,1.0,3.0,23.206373,3s2.3p3.(2D*).4p,3P,2.0,5.0,28.682773,5.4764,226.39727,660000.0,0.00084527,0.0025358,2.2433e-05
