Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""3s2.3p3""","=""4S*""","=""3/2""",4,"=""""","=""0.00000""","=""""","=""0.00004""","="" 100                                       ""","=""L15349"""
"=""3s2.3p3""","=""2D*""","=""3/2""",4,"=""""","=""2.61490""","=""""","=""0.00004""","=""  99                                       ""","=""L15349"""
"=""3s2.3p3""","=""2D*""","=""5/2""",6,"=""""","=""2.63092""","=""""","=""0.00004""","="" 100                                       ""","=""L15349"""
"=""3s2.3p3""","=""2P*""","=""1/2""",2,"=""""","=""4.321420""","=""""","=""0.000025""","="" 100                                       ""","=""L15349"""
"=""3s2.3p3""","=""2P*""","=""3/2""",4,"=""""","=""4.343464""","=""""","=""0.000025""","=""  98                                       ""","=""L15349"""
"=""3s.3p4""","=""4P""","=""5/2""",6,"=""""","=""14.57600""","=""""","=""0.00006""","=""  86         :    13  3s2.3p2.(3P).3d 4P   ""","=""L15349"""
"=""3s.3p4""","=""4P""","=""3/2""",4,"=""""","=""14.69407""","=""""","=""0.00006""","=""  86         :    13  3s2.3p2.(3P).3d 4P   ""","=""L15349"""
"=""3s.3p4""","=""4P""","=""1/2""",2,"=""""","=""14.75946""","=""""","=""0.00004""","=""  86         :    13  3s2.3p2.(3P).3d 4P   ""","=""L15349"""
"=""3s.3p4""","=""2D""","=""3/2""",4,"=""""","=""18.09192""","=""""","=""0.00004""","=""  72         :    24  3s2.3p2.(1D).3d 2D   ""","=""L15349"""
"=""3s.3p4""","=""2D""","=""5/2""",6,"=""""","=""18.10162""","=""""","=""0.00004""","=""  72         :    24  3s2.3p2.(1D).3d 2D   ""","=""L15349"""
"=""3s2.3p2.(3P).3d""","=""2P""","=""3/2""",4,"=""""","=""20.62556""","=""""","=""0.00004""","=""  62         :    31  3s.3p4          2P   ""","=""L15349"""
"=""3s2.3p2.(3P).3d""","=""2P""","=""1/2""",2,"=""""","=""20.76048""","=""""","=""0.00004""","=""  62         :    31  3s.3p4          2P   ""","=""L15349"""
"=""3s.3p4""","=""2S""","=""1/2""",2,"=""""","=""22.04842""","=""""","=""0.00005""","=""  72         :    22  3s2.3p2.(1D).3d 2S   ""","=""L15349"""
"=""3s2.3p2.(3P).3d""","=""4F""","=""3/2""",4,"=""""","=""22.40177""","=""""","=""0.00009""","=""  98                                       ""","=""L15349"""
"=""3s2.3p2.(3P).3d""","=""4F""","=""5/2""",6,"=""""","=""22.44508""","=""""","=""0.00005""","=""  98                                       ""","=""L15349"""
"=""3s2.3p2.(3P).3d""","=""4F""","=""7/2""",8,"=""""","=""22.50726""","=""""","=""0.00010""","=""  98                                       ""","=""L15349"""
"=""3s2.3p2.(3P).3d""","=""4F""","=""9/2""",10,"=""""","=""22.58938""","=""""","=""0.00014""","=""  97                                       ""","=""L15349"""
"=""3s2.3p2.(3P).3d""","=""4D""","=""1/2""",2,"=""""","=""23.22105""","=""""","=""0.00010""","=""  98                                       ""","=""L15349"""
"=""3s2.3p2.(3P).3d""","=""4D""","=""3/2""",4,"=""""","=""23.23433""","=""""","=""0.00007""","=""  98                                       ""","=""L15349"""
"=""3s2.3p2.(3P).3d""","=""4D""","=""5/2""",6,"=""""","=""23.28687""","=""""","=""0.00006""","=""  92                                       ""","=""L15349"""
"=""3s2.3p2.(3P).3d""","=""4D""","=""7/2""",8,"=""""","=""23.41125""","=""""","=""0.00006""","=""  73         :    14  3s2.3p2.(1D).3d 2F   ""","=""L15349"""
"=""3s2.3p2.(1D).3d""","=""2G""","=""7/2""",8,"=""""","=""25.75904""","=""""","=""0.00007""","=""  98                                       ""","=""L15349"""
"=""3s2.3p2.(1D).3d""","=""2G""","=""9/2""",10,"=""""","=""25.77127""","=""""","=""0.00014""","=""  98                                       ""","=""L15349"""
"=""3s2.3p2.(3P).3d""","=""4P""","=""5/2""",6,"=""""","=""27.374074""","=""""","=""0.000025""","=""  86         :    11  3s.3p4          4P   ""","=""L15349"""
"=""3s2.3p2.(3P).3d""","=""4P""","=""3/2""",4,"=""""","=""27.43781""","=""""","=""0.00004""","=""  85         :    12  3s.3p4          4P   ""","=""L15349"""
"=""3s2.3p2.(3P).3d""","=""4P""","=""1/2""",2,"=""""","=""27.47830""","=""""","=""0.00004""","=""  85         :    10  3s.3p4          4P   ""","=""L15349"""
"=""3s.3p4""","=""2P""","=""3/2""",4,"=""""","=""27.64303""","=""""","=""0.00004""","=""  44         :    40  3s2.3p2.(1D).3d 2P   ""","=""L15349"""
"=""3s.3p4""","=""2P""","=""1/2""",2,"=""""","=""27.77485""","=""""","=""0.00005""","=""  43         :    45  3s2.3p2.(1D).3d 2P   ""","=""L15349"""
"=""3s2.3p2.(3P).3d""","=""2D""","=""3/2""",4,"=""""","=""27.86599""","=""""","=""0.00004""","=""  55         :    40  3s2.3p2.(1S).3d 2D   ""","=""L15349"""
"=""3s2.3p2.(3P).3d""","=""2D""","=""5/2""",6,"=""""","=""28.03813""","=""""","=""0.00005""","=""  56         :    39  3s2.3p2.(1S).3d 2D   ""","=""L15349"""
"=""3s2.3p2.(1D).3d""","=""2D""","=""5/2""",6,"=""""","=""29.5918""","=""""","=""0.0005""","=""  72         :    17  3s.3p4          2D   ""","=""L15349"""
"=""3s2.3p2.(1D).3d""","=""2D""","=""3/2""",4,"=""""","=""29.6384""","=""""","=""0.0004""","=""  72         :    18  3s.3p4          2D   ""","=""L15349"""
"=""3s2.3p2.(3P).3d""","=""2F""","=""5/2""",6,"=""""","=""30.57797""","=""""","=""0.00004""","=""  56         :    40  3s2.3p2.(1D).3d 2F   ""","=""L15349"""
"=""3s2.3p2.(3P).3d""","=""2F""","=""7/2""",8,"=""""","=""30.59156""","=""""","=""0.00005""","=""  56         :    39  3s2.3p2.(1D).3d 2F   ""","=""L15349"""
"=""3s2.3p2.(3P).4s""","=""4P""","=""1/2""",2,"=""""","=""31.022731""","=""""","=""0.000025""","=""  98                                       ""","=""L15349"""
"=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""",4,"=""""","=""31.107903""","=""""","=""0.000024""","=""  61         :    19  3s2.3p2.(1D).3d 2P   ""","=""L15349"""
"=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""",6,"=""""","=""31.239970""","=""""","=""0.000024""","=""  98                                       ""","=""L15349"""
"=""3s2.3p2.(3P).4s""","=""2P""","=""1/2""",2,"=""""","=""31.75084""","=""""","=""0.00004""","=""  98                                       ""","=""L15349"""
"=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""",4,"=""""","=""31.906537""","=""""","=""0.000020""","=""  98                                       ""","=""L15349"""
"=""3s2.3p2.(1D).4s""","=""2D""","=""5/2""",6,"=""""","=""33.19569""","=""""","=""0.00005""","=""  98                                       ""","=""L15349"""
"=""3s2.3p2.(1D).4s""","=""2D""","=""3/2""",4,"=""""","=""33.19826""","=""""","=""0.00004""","=""  98                                       ""","=""L15349"""
"=""3s2.3p2.(3P).4p""","=""4D*""","=""1/2""",2,"=""""","=""35.454050""","=""""","=""0.000025""","=""  99                                       ""","=""L15349"""
"=""3s2.3p2.(3P).4p""","=""4D*""","=""3/2""",4,"=""""","=""35.487315""","=""""","=""0.000025""","=""  99                                       ""","=""L15349"""
"=""3s2.3p2.(3P).4p""","=""4D*""","=""5/2""",6,"=""""","=""35.552196""","=""""","=""0.000025""","=""  99                                       ""","=""L15349"""
"=""3s2.3p2.(3P).4p""","=""4D*""","=""7/2""",8,"=""""","=""35.65176""","=""""","=""0.00004""","=""  99                                       ""","=""L15349"""
"=""3s2.3p2.(3P).4p""","=""4P*""","=""1/2""",2,"=""""","=""35.84660""","=""""","=""0.00005""","=""  99                                       ""","=""L15349"""
"=""3s2.3p2.(3P).4p""","=""4P*""","=""3/2""",4,"=""""","=""35.860433""","=""""","=""0.000025""","=""  97                                       ""","=""L15349"""
"=""3s2.3p2.(3P).4p""","=""4P*""","=""5/2""",6,"=""""","=""35.934402""","=""""","=""0.000025""","=""  94         :     5  3s2.3p2.(3P).4p 2D*  ""","=""L15349"""
"=""3s2.3p2.(3P).4p""","=""2D*""","=""3/2""",4,"=""""","=""35.98660""","=""""","=""0.00004""","=""  82         :    16  3s2.3p2.(1D).4p 2D*  ""","=""L15349"""
"=""3s2.3p2.(3P).4p""","=""2D*""","=""5/2""",6,"=""""","=""36.16162""","=""""","=""0.00004""","=""  79         :    15  3s2.3p2.(1D).4p 2D*  ""","=""L15349"""
