spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
Ar IV,Ar,3,3s2.3p3,4S*,1.5,4,0.0,4e-05,odd,,no,59.58,,,,,,,,,,L15349
Ar IV,Ar,3,3s2.3p3,2D*,1.5,4,2.6149,4e-05,odd,,no,59.58,12.970168612191959,"ASD 1/sum(Aki), J-resolved",12.970168612191959,2/2,yes,2.6149,2.6149,,,L15349
Ar IV,Ar,3,3s2.3p3,2D*,2.5,6,2.63092,4e-05,odd,,no,59.58,103.91445761730066,"ASD 1/sum(Aki), J-resolved",103.91445761730066,3/3,yes,2.63092,2.63092,,,L15349
Ar IV,Ar,3,3s2.3p3,2P*,0.5,2,4.32142,2.5e-05,odd,,no,59.58,0.5649334508394911,"ASD 1/sum(Aki), J-resolved",0.5649334508394911,5/5,yes,4.32142,4.32142,,,L15349
Ar IV,Ar,3,3s2.3p3,2P*,1.5,4,4.343464,2.5e-05,odd,,no,59.58,0.24224420652992532,"ASD 1/sum(Aki), J-resolved",0.24224420652992532,8/8,yes,4.343464,4.343464,,,L15349
Ar IV,Ar,3,3s.3p4,4P,2.5,6,14.576,6e-05,even,,no,59.58,3.802281368821292e-09,"ASD 1/sum(Aki), J-resolved",3.802281368821292e-09,1/3,no,14.576,14.576,,,L15349
Ar IV,Ar,3,3s.3p4,4P,1.5,4,14.69407,6e-05,even,,no,59.58,3.7037037037037036e-09,"ASD 1/sum(Aki), J-resolved",3.7037037037037036e-09,1/4,no,14.69407,14.69407,,,L15349
Ar IV,Ar,3,3s.3p4,4P,0.5,2,14.75946,4e-05,even,,no,59.58,3.663003663003663e-09,"ASD 1/sum(Aki), J-resolved",3.663003663003663e-09,1/4,no,14.75946,14.75946,,,L15349
Ar IV,Ar,3,3s.3p4,2D,1.5,4,18.09192,4e-05,even,,no,59.58,,,,,,,,,,L15349
Ar IV,Ar,3,3s.3p4,2D,2.5,6,18.10162,4e-05,even,,no,59.58,,,,,,,,,,L15349
Ar IV,Ar,3,3s2.3p2.(3P).3d,2P,1.5,4,20.62556,4e-05,even,,no,59.58,,,,,,,,,,L15349
Ar IV,Ar,3,3s2.3p2.(3P).3d,2P,0.5,2,20.76048,4e-05,even,,no,59.58,,,,,,,,,,L15349
Ar IV,Ar,3,3s.3p4,2S,0.5,2,22.04842,5e-05,even,,no,59.58,,,,,,,,,,L15349
Ar IV,Ar,3,3s2.3p2.(3P).3d,4F,1.5,4,22.40177,9e-05,even,,no,59.58,,,,,,,,,,L15349
Ar IV,Ar,3,3s2.3p2.(3P).3d,4F,2.5,6,22.44508,5e-05,even,,no,59.58,,,,,,,,,,L15349
Ar IV,Ar,3,3s2.3p2.(3P).3d,4F,3.5,8,22.50726,0.0001,even,,no,59.58,,,,,,,,,,L15349
Ar IV,Ar,3,3s2.3p2.(3P).3d,4F,4.5,10,22.58938,0.00014,even,,no,59.58,,,,,,,,,,L15349
Ar IV,Ar,3,3s2.3p2.(3P).3d,4D,0.5,2,23.22105,0.0001,even,,no,59.58,,,,,,,,,,L15349
Ar IV,Ar,3,3s2.3p2.(3P).3d,4D,1.5,4,23.23433,7e-05,even,,no,59.58,,,,,,,,,,L15349
Ar IV,Ar,3,3s2.3p2.(3P).3d,4D,2.5,6,23.28687,6e-05,even,,no,59.58,,,,,,,,,,L15349
Ar IV,Ar,3,3s2.3p2.(3P).3d,4D,3.5,8,23.41125,6e-05,even,,no,59.58,,,,,,,,,,L15349
Ar IV,Ar,3,3s2.3p2.(1D).3d,2G,3.5,8,25.75904,7e-05,even,,no,59.58,,,,,,,,,,L15349
Ar IV,Ar,3,3s2.3p2.(1D).3d,2G,4.5,10,25.77127,0.00014,even,,no,59.58,,,,,,,,,,L15349
Ar IV,Ar,3,3s2.3p2.(3P).3d,4P,2.5,6,27.374074,2.5e-05,even,,no,59.58,,,,,,,,,,L15349
Ar IV,Ar,3,3s2.3p2.(3P).3d,4P,1.5,4,27.43781,4e-05,even,,no,59.58,,,,,,,,,,L15349
Ar IV,Ar,3,3s2.3p2.(3P).3d,4P,0.5,2,27.4783,4e-05,even,,no,59.58,,,,,,,,,,L15349
Ar IV,Ar,3,3s.3p4,2P,1.5,4,27.64303,4e-05,even,,no,59.58,,,,,,,,,,L15349
Ar IV,Ar,3,3s.3p4,2P,0.5,2,27.77485,5e-05,even,,no,59.58,,,,,,,,,,L15349
