conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
3s2.3p3,4S*,1.5,4.0,0.0,3s2.3p3,2D*,1.5,4.0,2.6149,2.6149,474.14509,0.072,2.4267e-10,9.7068e-10,6.4404e-12
3s2.3p3,4S*,1.5,4.0,0.0,3s2.3p3,2D*,1.5,4.0,2.6149,2.6149,474.14509,0.0051,1.7189e-11,6.8756e-11,4.562e-13
3s2.3p3,4S*,1.5,4.0,0.0,3s2.3p3,2D*,2.5,6.0,2.63092,2.63092,471.25796,0.0096,4.7945e-11,1.9178e-10,1.2724e-12
3s2.3p3,4S*,1.5,4.0,0.0,3s2.3p3,2P*,0.5,2.0,4.32142,4.32142,286.90615,0.97,5.9852e-10,2.3941e-09,1.5885e-11
3s2.3p3,4S*,1.5,4.0,0.0,3s2.3p3,2P*,0.5,2.0,4.32142,4.32142,286.90615,0.00012,7.4044e-14,2.9618e-13,1.9651e-15
3s2.3p3,4S*,1.5,4.0,0.0,3s2.3p3,2P*,1.5,4.0,4.343464,4.343464,285.45004,2.55,3.115e-09,1.246e-08,8.2672e-11
3s2.3p3,4S*,1.5,4.0,0.0,3s2.3p3,2P*,1.5,4.0,4.343464,4.343464,285.45004,1.6e-05,1.9545e-14,7.8181e-14,5.1873e-16
3s2.3p3,4S*,1.5,4.0,0.0,3s.3p4,4P,2.5,6.0,14.576,14.576,85.06051,263000000.0,0.042792,0.17117,0.0011357
3s2.3p3,4S*,1.5,4.0,0.0,3s.3p4,4P,1.5,4.0,14.69407,14.69407,84.37703,270000000.0,0.028819,0.11527,0.00076484
3s2.3p3,4S*,1.5,4.0,0.0,3s.3p4,4P,0.5,2.0,14.75946,14.75946,84.00321,273000000.0,0.014441,0.057762,0.00038325
3s2.3p3,2D*,1.5,4.0,2.6149,3s2.3p3,2D*,2.5,6.0,2.63092,0.01602,77393.38227,2.33e-05,3.1384e-09,1.2554e-08,8.3294e-11
3s2.3p3,2D*,1.5,4.0,2.6149,3s2.3p3,2D*,2.5,6.0,2.63092,0.01602,77393.38227,1.1e-13,1.4817e-17,5.9267e-17,3.9323e-19
3s2.3p3,2D*,1.5,4.0,2.6149,3s2.3p3,2P*,0.5,2.0,4.32142,1.70652,726.53235,0.488,1.9309e-09,7.7236e-09,5.1246e-11
3s2.3p3,2D*,1.5,4.0,2.6149,3s2.3p3,2P*,0.5,2.0,4.32142,1.70652,726.53235,0.19,7.5178e-10,3.0071e-09,1.9952e-11
3s2.3p3,2D*,1.5,4.0,2.6149,3s2.3p3,2P*,1.5,4.0,4.343464,1.728564,717.26704,0.81,6.2475e-09,2.499e-08,1.6581e-10
3s2.3p3,2D*,1.5,4.0,2.6149,3s2.3p3,2P*,1.5,4.0,4.343464,1.728564,717.26704,0.098,7.5587e-10,3.0235e-09,2.0061e-11
3s2.3p3,2D*,2.5,6.0,2.63092,3s2.3p3,2P*,0.5,2.0,4.32142,1.6905,733.41732,0.122,3.2794e-10,1.9677e-09,8.7036e-12
