Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""2s2.2p6""","=""1S""","=""0""",1,"=""""","=""0.000""","=""""","=""0.007""","="" 100                                      ""","=""L15349"""
"=""2s2.2p5.3s""","=""3P*""","=""2""",5,"=""""","=""251.26336""","=""""","=""0.00010""","="" 100                                      ""","=""L15349"""
"=""2s2.2p5.3s""","=""3P*""","=""1""",3,"=""""","=""252.07844""","=""""","=""0.00010""","=""  71             :    29  2s2.2p5.3s 1P*  ""","=""L15349"""
"=""2s2.2p5.3s""","=""3P*""","=""0""",1,"=""""","=""253.49104""","=""""","=""0.00020""","="" 100                                      ""","=""L15349"""
"=""2s2.2p5.3s""","=""1P*""","=""1""",3,"=""""","=""254.38887""","=""""","=""0.00014""","=""  71             :    29  2s2.2p5.3s 3P*  ""","=""L15349"""
"=""2s2.2p5.3p""","=""3S""","=""1""",3,"=""""","=""266.48433""","=""""","=""0.00012""","=""  95             :     3  2s2.2p5.3p 3P   ""","=""L15349"""
"=""2s2.2p5.3p""","=""3D""","=""3""",7,"=""""","=""269.04164""","=""""","=""0.00015""","="" 100                                      ""","=""L15349"""
"=""2s2.2p5.3p""","=""3D""","=""2""",5,"=""""","=""269.15999""","=""""","=""0.00015""","=""  74             :    20  2s2.2p5.3p 1D   ""","=""L15349"""
"=""2s2.2p5.3p""","=""3D""","=""1""",3,"=""""","=""269.88094""","=""""","=""0.00017""","=""  60             :    24  2s2.2p5.3p 1P   ""","=""L15349"""
"=""2s2.2p5.3p""","=""3P""","=""2""",5,"=""""","=""270.56020""","=""""","=""0.00011""","=""  62             :    37  2s2.2p5.3p 1D   ""","=""L15349"""
"=""2s2.2p5.3p""","=""3P""","=""0""",1,"=""""","=""271.80781""","=""""","=""0.00016""","=""  99             :     1  2s2.2p5.3p 1S   ""","=""L15349"""
"=""2s2.2p5.3p""","=""3P""","=""1""",3,"=""""","=""272.28203""","=""""","=""0.00014""","=""  66             :    29  2s2.2p5.3p 1P   ""","=""L15349"""
"=""2s2.2p5.3p""","=""1P""","=""1""",3,"=""""","=""271.42678""","=""""","=""0.00016""","=""  46             :    39  2s2.2p5.3p 3D   ""","=""L15349"""
"=""2s2.2p5.3p""","=""1D""","=""2""",5,"=""""","=""272.15145""","=""""","=""0.00015""","=""  43             :    32  2s2.2p5.3p 3P   ""","=""L15349"""
"=""2s2.2p5.3p""","=""1S""","=""0""",1,"=""""","=""280.83653""","=""""","=""0.00024""","=""  98             :     1  2s2.2p5.4p 1S   ""","=""L15349"""
"=""2s2.2p5.3d""","=""3P*""","=""0""",1,"=""""","=""291.2912""","=""""","=""0.0005""","="" 100                                      ""","=""L15349"""
