obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""3.1512""","=""0.0002""","=""3.15120""","=""0.00022""","=""""","=""""",,"=""0.000""","=""393.45""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.6d""","=""1P*""","=""1""",1,3,,"=""""","=""L4421""",
"=""3.1680""","=""0.0002""","=""3.16800""","=""0.00022""","=""""","=""""",,"=""0.000""","=""391.36""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.6d""","=""3D*""","=""1""",1,3,,"=""""","=""L4421""",
"=""3.2667""","=""0.0002""","=""3.26663""","=""0.00009""","=""""","=""""",,"=""0.000""","=""379.547""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.5d""","=""1P*""","=""1""",1,3,,"=""""","=""L4421""",
"=""3.2847""","=""0.0002""","=""3.28457""","=""0.00009""","=""""","=""""",,"=""0.000""","=""377.475""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.5d""","=""3D*""","=""1""",1,3,,"=""""","=""L4421""",
"=""3.356""","=""0.001""","=""3.3560""","=""0.0010""","=""""","=""""",,"=""0.000""","=""369.44""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.5s""","=""1P*""","=""1""",1,3,,"=""""","=""L9866""",
"=""3.5024""","=""0.0002""","=""3.50143""","=""0.00009""","=""""","=""""",,"=""0.000""","=""354.096""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.4d""","=""1P*""","=""1""",1,3,,"=""""","=""L4421""",
"=""3.5260""","=""0.0002""","=""3.52580""","=""0.00012""","=""""","=""""",,"=""0.000""","=""351.648""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.4d""","=""3D*""","=""1""",1,3,,"=""""","=""L4421""",
"=""3.5422""","=""0.0002""","=""3.54210""","=""0.00008""","=""""","=""""",,"=""0.000""","=""350.031""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.4d""","=""3P*""","=""1""",1,3,,"=""""","=""L4421""",
"=""3.5834""","=""0.0002""","=""3.58322""","=""0.00010""","=""""","=""""",,"=""0.000""","=""346.014""","=""2s2.2p6""","=""1S""","=""0""","=""2s.2p6.3p""","=""1P*""","=""1""",1,3,,"=""""","=""L4421""",
"=""3.6754""","=""0.0002""","=""3.67512""","=""0.00009""","=""""","=""""",,"=""0.000""","=""337.361""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.4s""","=""3P*""","=""1""",1,3,,"=""""","=""L4421""",
"=""3.6983""","=""0.0002""","=""3.69793""","=""0.00009""","=""""","=""""",,"=""0.000""","=""335.280""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.4s""","=""1P*""","=""1""",1,3,,"=""""","=""L4421""",
"=""4.1485""","=""0.0002""","=""4.14748""","=""0.00010""","=""15""","=""""",,"=""0.000""","=""298.93847""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.3d""","=""1P*""","=""1""",1,3,,"=""""","=""L12134""",
"=""4.2001""","=""0.0002""","=""4.19999""","=""0.00010""","=""""","=""""",,"=""0.000""","=""295.20117""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.3d""","=""3D*""","=""1""",1,3,,"=""""","=""L4421""",
"=""4.2529""","=""0.0002""","=""4.25278""","=""0.00011""","=""""","=""""",,"=""0.000""","=""291.53708""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.3d""","=""3P*""","=""1""",1,3,,"=""""","=""L4421""",
"=""4.8737""","=""0.0002""","=""4.87381""","=""0.00014""","=""20""","=""1.69e+11""",B,"=""0.000""","=""254.38887""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.3s""","=""1P*""","=""1""",1,3,,"=""T8043""","=""L12134""",
"=""4.8908""","=""0.0003""","=""4.89107""","=""0.00014""","=""f""","=""""",,"=""0.000""","=""253.49104""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.3s""","=""3P*""","=""0""",1,1,HF,"=""""","=""L12134""",
"=""4.9185""","=""0.0002""","=""4.91848""","=""0.00014""","=""""","=""4.8e+10""",E,"=""0.000""","=""252.07844""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.3s""","=""3P*""","=""1""",1,3,,"=""T1210""","=""L4421""",
"=""4.9338""","=""0.0002""","=""4.93443""","=""0.00014""","=""""","=""""",,"=""0.000""","=""251.26336""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.3s""","=""3P*""","=""2""",1,5,M2,"=""""","=""L12134""",
"=""10.117""","=""0.001""","=""10.1170""","=""0.0010""","=""""","=""""",,"=""254.38887""","=""376.939""","=""2s2.2p5.3s""","=""1P*""","=""1""","=""2s2.2p5.5p""","=""1S""","=""0""",3,1,,"=""""","=""L9866""",
"=""10.347""","=""0.001""","=""10.3470""","=""0.0010""","=""""","=""""",,"=""254.38887""","=""374.215""","=""2s2.2p5.3s""","=""1P*""","=""1""","=""2s2.2p5.5p""","=""3D""","=""2""",3,5,,"=""""","=""L9866""",
"=""10.423""","=""0.001""","=""10.4229""","=""0.0003""","=""""","=""""",,"=""254.38887""","=""373.343""","=""2s2.2p5.3s""","=""1P*""","=""1""","=""2s2.2p5.5p""","=""3D""","=""1""",3,3,,"=""""","=""L9866""",
"=""11.2485""","=""0.0008""","=""11.2485""","=""0.0005""","=""3""","=""""",,"=""266.48433""","=""376.707""","=""2s2.2p5.3p""","=""3S""","=""1""","=""2s2.2p5.5d""","=""3P*""","=""2""",3,5,,"=""""","=""L4421""",
"=""11.2619""","=""0.0008""","=""11.2619""","=""0.0008""","=""3""","=""""",,"=""266.48433""","=""376.576""","=""2s2.2p5.3p""","=""3S""","=""1""","=""2s2.2p5.5d""","=""3P*""","=""1""",3,3,,"=""""","=""L4421""",
"=""11.2712""","=""0.0008""","=""11.2712""","=""0.0008""","=""1bl""","=""""",,"=""266.48433""","=""376.485""","=""2s2.2p5.3p""","=""3S""","=""1""","=""2s2.2p5.5d""","=""3P*""","=""0""",3,1,,"=""""","=""L4421""",
"=""11.5077""","=""0.0008""","=""11.5077""","=""0.0008""","=""4bl*""","=""""",,"=""269.15999""","=""376.900""","=""2s2.2p5.3p""","=""3D""","=""2""","=""2s2.2p5.5d""","=""1D*""","=""2""",5,5,,"=""""","=""L4421""",
"=""11.5077""","=""0.0008""","=""11.5078""","=""0.0008""","=""4bl*""","=""""",,"=""271.80781""","=""379.547""","=""2s2.2p5.3p""","=""3P""","=""0""","=""2s2.2p5.5d""","=""1P*""","=""1""",1,3,,"=""""","=""L4421""",
"=""11.5077""","=""0.0008""","=""11.5082""","=""0.0003""","=""4bl*""","=""""",,"=""269.04164""","=""376.777""","=""2s2.2p5.3p""","=""3D""","=""3""","=""2s2.2p5.5d""","=""3F*""","=""3""",7,7,,"=""""","=""L4421""",
"=""11.5197""","=""0.0008""","=""11.5197""","=""0.0008""","=""6bl*""","=""""",,"=""269.04164""","=""376.670""","=""2s2.2p5.3p""","=""3D""","=""3""","=""2s2.2p5.5d""","=""3F*""","=""4""",7,9,,"=""""","=""L4421""",
"=""11.5197""","=""0.0008""","=""11.5208""","=""0.0003""","=""6bl*""","=""""",,"=""269.15999""","=""376.777""","=""2s2.2p5.3p""","=""3D""","=""2""","=""2s2.2p5.5d""","=""3F*""","=""3""",5,7,,"=""""","=""L4421""",
"=""11.5964""","=""0.0008""","=""11.5966""","=""0.0008""","=""3""","=""""",,"=""270.56020""","=""377.475""","=""2s2.2p5.3p""","=""3P""","=""2""","=""2s2.2p5.5d""","=""3D*""","=""1""",5,3,,"=""""","=""L4421""",
"=""11.6183""","=""0.0008""","=""11.6183""","=""0.0008""","=""2""","=""""",,"=""272.28203""","=""378.997""","=""2s2.2p5.3p""","=""3P""","=""1""","=""2s2.2p5.5d""","=""3D*""","=""2""",3,5,,"=""""","=""L4421""",
"=""11.6527""","=""0.0008""","=""11.6527""","=""0.0008""","=""3""","=""""",,"=""270.56020""","=""376.960""","=""2s2.2p5.3p""","=""3P""","=""2""","=""2s2.2p5.5d""","=""3D*""","=""3""",5,7,,"=""""","=""L4421""",
"=""11.6804""","=""0.0008""","=""11.6804""","=""0.0006""","=""2""","=""""",,"=""270.56020""","=""376.707""","=""2s2.2p5.3p""","=""3P""","=""2""","=""2s2.2p5.5d""","=""3P*""","=""2""",5,5,,"=""""","=""L4421""",
"=""12.3556""","=""0.0008""","=""12.3560""","=""0.0005""","=""3""","=""""",,"=""269.04164""","=""369.385""","=""2s2.2p5.3p""","=""3D""","=""3""","=""2s2.2p5.5s""","=""3P*""","=""2""",7,5,,"=""""","=""L4421""",
"=""12.4810""","=""0.0008""","=""12.4810""","=""0.0008""","=""3""","=""""",,"=""292.45120""","=""391.790""","=""2s2.2p5.3d""","=""3F*""","=""4""","=""2s2.2p5.6f""","=""3G""","=""5""",9,11,,"=""""","=""L4421""",
"=""12.485""","=""0.001""","=""12.4850""","=""0.0010""","=""""","=""""",,"=""269.88094""","=""369.187""","=""2s2.2p5.3p""","=""3D""","=""1""","=""2s2.2p5.5s""","=""3P*""","=""0""",3,1,,"=""""","=""L9866""",
"=""12.5266""","=""0.0008""","=""12.5266""","=""0.0008""","=""3""","=""""",,"=""292.81735""","=""391.794""","=""2s2.2p5.3d""","=""3F*""","=""3""","=""2s2.2p5.6f""","=""1G""","=""4""",7,9,,"=""""","=""L4421""",
"=""12.5464""","=""0.0008""","=""12.5459""","=""0.0006""","=""2*""","=""""",,"=""270.56020""","=""369.385""","=""2s2.2p5.3p""","=""3P""","=""2""","=""2s2.2p5.5s""","=""3P*""","=""2""",5,5,,"=""""","=""L4421""",
"=""12.5464""","=""0.0008""","=""12.5464""","=""0.0008""","=""2*""","=""""",,"=""295.37718""","=""394.198""","=""2s2.2p5.3d""","=""1D*""","=""2""","=""2s2.2p5.6f""","=""3G""","=""3""",5,7,,"=""""","=""L4421""",
"=""12.595""","=""0.001""","=""12.5950""","=""0.0010""","=""""","=""""",,"=""272.15145""","=""370.591""","=""2s2.2p5.3p""","=""1D""","=""2""","=""2s2.2p5.5s""","=""3P*""","=""1""",5,3,,"=""""","=""L9866""",
"=""12.5999""","=""0.0008""","=""12.5999""","=""0.0008""","=""5bl*""","=""""",,"=""295.67305""","=""394.074""","=""2s2.2p5.3d""","=""3D*""","=""3""","=""2s2.2p5.6f""","=""3D""","=""3""",7,7,,"=""""","=""L4421""",
"=""12.5999""","=""0.0008""","=""12.604""","=""0.003""","=""5bl*""","=""""",,"=""293.46316""","=""391.835""","=""2s2.2p5.3d""","=""3F*""","=""2""","=""2s2.2p5.6f""","=""1F""","=""3""",5,7,,"=""""","=""L4421""",
"=""12.6604""","=""0.0008""","=""12.6604""","=""0.0008""","=""2""","=""""",,"=""293.92426""","=""391.855""","=""2s2.2p5.3d""","=""1F*""","=""3""","=""2s2.2p5.6f""","=""3F""","=""4""",7,9,,"=""""","=""L4421""",
"=""12.8574""","=""0.0008""","=""12.854""","=""0.003""","=""2""","=""""",,"=""295.37718""","=""391.835""","=""2s2.2p5.3d""","=""1D*""","=""2""","=""2s2.2p5.6f""","=""1F""","=""3""",5,7,,"=""""","=""L4421""",
"=""13.5707""","=""0.0008""","=""13.5701""","=""0.0008""","=""4""","=""""",,"=""251.26336""","=""342.629""","=""2s2.2p5.3s""","=""3P*""","=""2""","=""2s2.2p5.4p""","=""3P""","=""2""",5,5,,"=""""","=""L4421""",
"=""13.6164""","=""0.0008""","=""13.6162""","=""0.0009""","=""7""","=""""",,"=""251.26336""","=""342.320""","=""2s2.2p5.3s""","=""3P*""","=""2""","=""2s2.2p5.4p""","=""3D""","=""3""",5,7,,"=""""","=""L4421""",
