Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Reference
"=""3s2.3p2""","=""3P""","=""0""",1,"=""""","=""0.0000000""","=""""","=""0.0000016""","=""L15349"""
"=""3s2.3p2""","=""3P""","=""1""",3,"=""""","=""0.0946292""","=""""","=""0.0000014""","=""L15349"""
"=""3s2.3p2""","=""3P""","=""2""",5,"=""""","=""0.251534""","=""""","=""0.000010""","=""L15349"""
"=""3s2.3p2""","=""1D""","=""2""",5,"=""""","=""2.020776""","=""""","=""0.000009""","=""L15349"""
"=""3s2.3p2""","=""1S""","=""0""",1,"=""""","=""4.70054""","=""""","=""0.00004""","=""L15349"""
"=""3s.3p3""","=""5S*""","=""2""",5,"=""""","=""10.42794""","=""+x""","=""0.00012""","=""L15349"""
"=""3s.3p3""","=""3D*""","=""1""",3,"=""""","=""15.08004""","=""""","=""0.00010""","=""L15349"""
"=""3s.3p3""","=""3D*""","=""2""",5,"=""""","=""15.08578""","=""""","=""0.00004""","=""L15349"""
"=""3s.3p3""","=""3D*""","=""3""",7,"=""""","=""15.10166""","=""""","=""0.00004""","=""L15349"""
"=""3s.3p3""","=""3P*""","=""2""",5,"=""""","=""17.57632""","=""""","=""0.00012""","=""L15349"""
"=""3s.3p3""","=""3P*""","=""1""",3,"=""""","=""17.57730""","=""""","=""0.00007""","=""L15349"""
"=""3s.3p3""","=""3P*""","=""0""",1,"=""""","=""17.59244""","=""""","=""0.00025""","=""L15349"""
"=""3s.3p3""","=""1D*""","=""2""",5,"=""""","=""19.11978""","=""""","=""0.00005""","=""L15349"""
"=""3s.3p3""","=""3S*""","=""1""",3,"=""""","=""23.74754""","=""""","=""0.00009""","=""L15349"""
"=""3s.3p3""","=""1P*""","=""1""",3,"=""""","=""24.22102""","=""""","=""0.00009""","=""L15349"""
"=""3s2.3p.3d""","=""3P*""","=""2""",5,"=""""","=""26.9755""","=""""","=""0.0004""","=""L15349"""
"=""3s2.3p.3d""","=""3P*""","=""1""",3,"=""""","=""27.0641""","=""""","=""0.0005""","=""L15349"""
"=""3s2.3p.3d""","=""3P*""","=""0""",1,"=""""","=""27.1088""","=""""","=""0.0006""","=""L15349"""
"=""3s2.3p.3d""","=""1D*""","=""2""",5,"=""""","=""27.5016""","=""""","=""0.0004""","=""L15349"""
"=""3s2.3p.3d""","=""3D*""","=""1""",3,"=""""","=""27.7996""","=""""","=""0.0005""","=""L15349"""
"=""3s2.3p.3d""","=""3D*""","=""2""",5,"=""""","=""27.8342""","=""""","=""0.0005""","=""L15349"""
"=""3s2.3p.3d""","=""3D*""","=""3""",7,"=""""","=""27.8600""","=""""","=""0.0006""","=""L15349"""
"=""3s2.3p.3d""","=""1F*""","=""3""",7,"=""""","=""30.4168""","=""""","=""0.0005""","=""L15349"""
"=""3s2.3p.3d""","=""1P*""","=""1""",3,"=""""","=""31.2615""","=""""","=""0.0006""","=""L15349"""
"=""3p4""","=""3P""","=""2""",5,"=""""","=""32.78515""","=""""","=""0.00021""","=""L15349"""
"=""3p4""","=""3P""","=""1""",3,"=""""","=""32.92867""","=""""","=""0.00014""","=""L15349"""
"=""3p4""","=""3P""","=""0""",1,"=""""","=""32.9891""","=""""","=""0.0004""","=""L15349"""
"=""3p4""","=""1D""","=""2""",5,"=""""","=""34.53240""","=""""","=""0.00021""","=""L15349"""
"=""3s2.3p.4s""","=""3P*""","=""0""",1,"=""""","=""36.6660""","=""""","=""0.0011""","=""L15349"""
"=""3s2.3p.4s""","=""3P*""","=""1""",3,"=""""","=""36.7280""","=""""","=""0.0006""","=""L15349"""
"=""3s2.3p.4s""","=""3P*""","=""2""",5,"=""""","=""36.9322""","=""""","=""0.0007""","=""L15349"""
"=""3s2.3p.4s""","=""1P*""","=""1""",3,"=""""","=""37.3552""","=""""","=""0.0009""","=""L15349"""
"=""3p4""","=""1S""","=""0""",1,"=""""","=""40.2778""","=""""","=""0.0004""","=""L15349"""
"=""3s.3p2.4s""","=""5P""","=""1""",3,"=""""","=""48.7019""","=""+x""","=""0.0004""","=""L15349"""
"=""3s.3p2.4s""","=""5P""","=""2""",5,"=""""","=""48.7951""","=""+x""","=""0.0004""","=""L15349"""
"=""3s.3p2.4s""","=""5P""","=""3""",7,"=""""","=""48.9301""","=""+x""","=""0.0004""","=""L15349"""
"=""3s2.3p.4d""","=""3D*""","=""2""",5,"=""""","=""49.2807""","=""""","=""0.0012""","=""L15349"""
"=""3s2.3p.4d""","=""3D*""","=""1""",3,"=""""","=""49.2893""","=""""","=""0.0011""","=""L15349"""
"=""3s2.3p.4d""","=""3D*""","=""3""",7,"=""""","=""49.3209""","=""""","=""0.0011""","=""L15349"""
"=""3s2.3p.4d""","=""3F*""","=""2""",5,"=""""","=""49.4681""","=""""","=""0.0012""","=""L15349"""
"=""3s2.3p.4d""","=""3F*""","=""3""",7,"=""""","=""49.5301""","=""""","=""0.0011""","=""L15349"""
"=""3s2.3p.4d""","=""3P*""","=""2""",5,"=""""","=""49.9225""","=""""","=""0.0012""","=""L15349"""
"=""3s2.3p.4d""","=""3P*""","=""1""",3,"=""""","=""49.9886""","=""""","=""0.0017""","=""L15349"""
"=""3s2.3p.4d""","=""1F*""","=""3""",7,"=""""","=""50.1709""","=""""","=""0.0011""","=""L15349"""
"=""3s.3p2.(3P).3d""","=""1F""","=""3""",7,"=""""","=""50.9790""","=""""","=""0.0004""","=""L15349"""
"=""3s2.3p.5s""","=""3P*""","=""1""",3,"=""""","=""53.3542""","=""""","=""0.0014""","=""L15349"""
"=""3s2.3p.5s""","=""3P*""","=""2""",5,"=""""","=""53.5666""","=""""","=""0.0010""","=""L15349"""
"=""3s2.3p.5s""","=""1P*""","=""1""",3,"=""""","=""53.6080""","=""""","=""0.0012""","=""L15349"""
"=""Ar VI (3p 2P*<1/2>)""","=""Limit""","=""---""",,"=""[""","=""74.84""","=""]""","=""0.17""","=""L11770"""
