conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
2p6.3s,2S,0.5,2.0,0.0,2p6.3p,2P*,0.5,2.0,17.36957,17.36957,71.38012,2400000000.0,0.18333,0.36665,0.0048655
2p6.3s,2S,0.5,2.0,0.0,2p6.3p,2P*,1.5,4.0,17.70596,17.70596,70.02399,2550000000.0,0.37491,0.74981,0.00995
2p6.3s,2S,0.5,2.0,0.0,2p6.4p,2P*,0.5,2.0,77.892,77.892,15.91745,11100000000.0,0.042163,0.084326,0.001119
2p6.3s,2S,0.5,2.0,0.0,2p6.4p,2P*,1.5,4.0,78.0162,78.0162,15.89211,11000000000.0,0.0833,0.1666,0.0022108
2p6.3s,2S,0.5,2.0,0.0,2p6.5p,2P*,0.5,2.0,103.1872,103.1872,12.01546,5800000000.0,0.012554,0.025107,0.00033317
2p6.3s,2S,0.5,2.0,0.0,2p6.5p,2P*,1.5,4.0,103.2477,103.2477,12.00842,6100000000.0,0.026375,0.05275,0.00069999
2p6.3p,2P*,0.5,2.0,17.36957,2p6.3d,2D,1.5,4.0,41.23826,23.86869,51.94428,6300000000.0,0.50969,1.0194,0.013527
2p6.3p,2P*,0.5,2.0,17.36957,2p6.4s,2S,0.5,2.0,71.4097,54.04013,22.94299,11200000000.0,0.088385,0.17677,0.0023457
2p6.3p,2P*,1.5,4.0,17.70596,2p6.3d,2D,1.5,4.0,41.23826,23.5323,52.68682,1200000000.0,0.04994,0.19976,0.0013254
2p6.3p,2P*,1.5,4.0,17.70596,2p6.3d,2D,2.5,6.0,41.25624,23.55028,52.64659,7200000000.0,0.44877,1.7951,0.01191
2p6.3p,2P*,1.5,4.0,17.70596,2p6.4s,2S,0.5,2.0,71.4097,53.70374,23.0867,22100000000.0,0.088297,0.35319,0.0023434
2p6.3d,2D,1.5,4.0,41.23826,2p6.4p,2P*,0.5,2.0,77.892,36.65374,33.8258,11000000000.0,0.094345,0.37738,0.0025039
2p6.3d,2D,1.5,4.0,41.23826,2p6.4p,2P*,1.5,4.0,78.0162,36.77794,33.71157,1200000000.0,0.020446,0.081782,0.00054262
2p6.3d,2D,1.5,4.0,41.23826,2p6.4f,2F*,2.5,6.0,88.8783,47.64004,26.02521,61000000000.0,0.92911,3.7165,0.024659
2p6.3d,2D,1.5,4.0,41.23826,2p6.5f,2F*,2.5,6.0,108.527,67.28874,18.4257,22000000000.0,0.16797,0.67186,0.0044578
2p6.3d,2D,2.5,6.0,41.25624,2p6.4p,2P*,1.5,4.0,78.0162,36.75996,33.72806,10000000000.0,0.1137,0.68219,0.0030175
2p6.3d,2D,2.5,6.0,41.25624,2p6.4f,2F*,2.5,6.0,88.8783,47.62206,26.03503,4300000000.0,0.043696,0.26218,0.0011597
2p6.3d,2D,2.5,6.0,41.25624,2p6.4f,2F*,3.5,8.0,88.8812,47.62496,26.03345,65000000000.0,0.88059,5.2836,0.023371
2p6.3d,2D,2.5,6.0,41.25624,2p6.5f,2F*,2.5,6.0,108.527,67.27076,18.43062,1600000000.0,0.0081482,0.048889,0.00021625
2p6.3d,2D,2.5,6.0,41.25624,2p6.5f,2F*,3.5,8.0,108.5294,67.27316,18.42996,24000000000.0,0.16295,0.97771,0.0043247
2p6.4s,2S,0.5,2.0,71.4097,2p6.4p,2P*,0.5,2.0,77.892,6.4823,191.26575,480000000.0,0.26325,0.52651,0.0069868
2p6.4s,2S,0.5,2.0,71.4097,2p6.4p,2P*,1.5,4.0,78.0162,6.6065,187.67002,510000000.0,0.53858,1.0772,0.014294
2p6.4p,2P*,0.5,2.0,77.892,2p6.4d,2D,1.5,4.0,86.4829,8.5909,144.32038,1500000000.0,0.93678,1.8736,0.024862
2p6.4p,2P*,0.5,2.0,77.892,2p6.5s,2S,0.5,2.0,100.0932,22.2012,55.84572,3600000000.0,0.16832,0.33664,0.0044673
2p6.4p,2P*,1.5,4.0,78.0162,2p6.4d,2D,1.5,4.0,86.4829,8.4667,146.43745,270000000.0,0.086802,0.34721,0.0023037
2p6.4p,2P*,1.5,4.0,78.0162,2p6.4d,2D,2.5,6.0,86.494,8.4778,146.24572,1700000000.0,0.81765,3.2706,0.0217
2p6.4p,2P*,1.5,4.0,78.0162,2p6.5s,2S,0.5,2.0,100.0932,22.077,56.15989,6800000000.0,0.16076,0.64306,0.0042667
