Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""2s2.2p5""","=""2P*""","=""3/2""",4,"=""""","=""0.0000000""","=""""","=""0.0000000""","="" 100                                       ""","=""L15349"""
"=""2s2.2p5""","=""2P*""","=""1/2""",2,"=""""","=""2.2400838""","=""""","=""0.0000007""","="" 100                                       ""","=""L15349"""
"=""2s.2p6""","=""2S""","=""1/2""",2,"=""""","=""74.8976""","=""""","=""0.0016""","="" 100                                       ""","=""L15349"""
"=""2s2.2p4.(3P).3s""","=""4P""","=""5/2""",6,"=""""","=""278.8882""","=""""","=""0.0009""","=""  99                                       ""","=""L15349"""
"=""2s2.2p4.(3P).3s""","=""4P""","=""3/2""",4,"=""""","=""280.1169""","=""""","=""0.0009""","=""  89         :    10  2s2.2p4.(3P).3s 2P   ""","=""L15349"""
"=""2s2.2p4.(3P).3s""","=""4P""","=""1/2""",2,"=""""","=""280.9673""","=""""","=""0.0010""","=""  98                                       ""","=""L15349"""
"=""2s2.2p4.(3P).3s""","=""2P""","=""3/2""",4,"=""""","=""282.263""","=""""","=""0.003""","=""  87         :    11  2s2.2p4.(3P).3s 4P   ""","=""L15349"""
"=""2s2.2p4.(3P).3s""","=""2P""","=""1/2""",2,"=""""","=""283.658""","=""""","=""0.020""","=""  98                                       ""","=""L15349"""
"=""2s2.2p4.(1D).3s""","=""2D""","=""5/2""",6,"=""""","=""288.7370""","=""""","=""0.0011""","=""  98                                       ""","=""L15349"""
"=""2s2.2p4.(1D).3s""","=""2D""","=""3/2""",4,"=""""","=""288.7738""","=""""","=""0.0011""","=""  97         :     2  2s2.2p4.(3P).3s 2P   ""","=""L15349"""
"=""2s2.2p4.(3P).3p""","=""4P*""","=""5/2""",6,"=""""","=""295.1181""","=""""","=""0.0010""","=""  92         :     7  2s2.2p4.(3P).3p 4D*  ""","=""L15349"""
"=""2s2.2p4.(3P).3p""","=""4P*""","=""3/2""",4,"=""""","=""295.3769""","=""""","=""0.0014""","=""  87         :     4  2s2.2p4.(3P).3p 4D*  ""","=""L15349"""
"=""2s2.2p4.(3P).3p""","=""4P*""","=""1/2""",2,"=""""","=""296.0709""","=""""","=""0.0012""","=""  92         :     3  2s2.2p4.(3P).3p 2P*  ""","=""L15349"""
"=""2s2.2p4.(3P).3p""","=""4D*""","=""7/2""",8,"=""""","=""297.1816""","=""""","=""0.0010""","=""  98         :     2  2s2.2p4.(1D).3p 2F*  ""","=""L15349"""
"=""2s2.2p4.(3P).3p""","=""4D*""","=""5/2""",6,"=""""","=""297.6879""","=""""","=""0.0012""","=""  61         :    33  2s2.2p4.(3P).3p 2D*  ""","=""L15349"""
"=""2s2.2p4.(3P).3p""","=""4D*""","=""3/2""",4,"=""""","=""298.5171""","=""""","=""0.0011""","=""  88         :     7  2s2.2p4.(3P).3p 2D*  ""","=""L15349"""
