obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""2.7938""","=""0.0009""","=""2.7938""","=""0.0009""","=""2""","=""""",,"=""0.0000000""","=""443.79""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(3P).6d""","=""2D""","=""5/2""",4,6,,"=""""","=""L12134""",
"=""2.8101""","=""0.0008""","=""2.8101""","=""0.0008""","=""1""","=""""",,"=""0.0000000""","=""441.21""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(3P).6d""","=""4F""","=""5/2""",4,6,,"=""""","=""L12134""",
"=""2.9110""","=""0.0009""","=""2.9110""","=""0.0009""","=""3""","=""""",,"=""0.0000000""","=""425.91""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(3P).5d""","=""2D""","=""5/2""",4,6,,"=""""","=""L12134""",
"=""3.0959""","=""0.0001""","=""3.09259""","=""0.00004""","=""7bl""","=""""",,"=""0.0000000""","=""400.908""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(1D).4d""","=""2F""","=""5/2""",4,6,,"=""""","=""L12134""",
"=""3.1491""","=""0.0006""","=""3.15343""","=""0.00005""","=""5bl""","=""""",,"=""0.0000000""","=""393.173""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(3P).4d""","=""4F""","=""3/2""",4,4,,"=""""","=""L12134""",
"=""3.1641""","=""0.0006""","=""3.17150""","=""0.00005""","=""4bl""","=""""",,"=""2.2400838""","=""393.173""","=""2s2.2p5""","=""2P*""","=""1/2""","=""2s2.2p4.(3P).4d""","=""4F""","=""3/2""",2,4,,"=""""","=""L12134""",
"=""3.274""","=""0.001""","=""3.28075""","=""0.00004""","=""1""","=""""",,"=""0.0000000""","=""377.914""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(3P).4s""","=""4P""","=""3/2""",4,4,,"=""""","=""L1334""",
"=""3.6553""","=""0.0003""","=""3.6553""","=""0.0003""","=""5""","=""""",,"=""0.0000000""","=""339.19""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(1S).3d""","=""2D""","=""5/2""",4,6,,"=""""","=""L12134""",
"=""3.6758""","=""0.0009""","=""3.6758""","=""0.0009""","=""2""","=""""",,"=""2.2400838""","=""339.54""","=""2s2.2p5""","=""2P*""","=""1/2""","=""2s2.2p4.(1S).3d""","=""2D""","=""3/2""",2,4,,"=""""","=""L12134""",
"=""3.7431""","=""0.0002""","=""3.74310""","=""0.00020""","=""16bl""","=""""",,"=""0.0000000""","=""331.234""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(1D).3d""","=""2D""","=""5/2""",4,6,,"=""""","=""L12134""",
