obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""0.41434""","=""0.00004""","=""0.41432""","=""0.00004""","=""*""","=""""",,"=""8.90621""","=""3001.4""","=""2s2.2p4""","=""1D""","=""2""","=""1s.2s2.2p5""","=""1P*""","=""1""",5,3,,"=""""","=""L9846""",
"=""0.41434""","=""0.00004""","=""0.41439""","=""0.00005""","=""*""","=""""",,"=""0.000000""","=""2992.0""","=""2s2.2p4""","=""3P""","=""2""","=""1s.2s2.2p5""","=""3P*""","=""1""",5,3,,"=""""","=""L9846""",
"=""0.41453""","=""0.00004""","=""0.41453""","=""0.00004""","=""""","=""""",,"=""1.791993""","=""2992.8""","=""2s2.2p4""","=""3P""","=""1""","=""1s.2s2.2p5""","=""3P*""","=""0""",3,1,,"=""""","=""L9846""",
"=""0.41477""","=""0.00008""","=""0.41464""","=""0.00005""","=""*""","=""""",,"=""1.791993""","=""2992.0""","=""2s2.2p4""","=""3P""","=""1""","=""1s.2s2.2p5""","=""3P*""","=""1""",3,3,,"=""""","=""L9846""",
"=""0.41477""","=""0.00008""","=""0.41470""","=""0.00005""","=""*""","=""""",,"=""2.272""","=""2992.0""","=""2s2.2p4""","=""3P""","=""0""","=""1s.2s2.2p5""","=""3P*""","=""1""",1,3,,"=""""","=""L9846""",
"=""0.41477""","=""0.00008""","=""0.41477""","=""0.00006""","=""*""","=""""",,"=""0.000000""","=""2989.2""","=""2s2.2p4""","=""3P""","=""2""","=""1s.2s2.2p5""","=""3P*""","=""2""",5,5,,"=""""","=""L9846""",
"=""0.41502""","=""0.00010""","=""0.41502""","=""0.00006""","=""*""","=""""",,"=""1.791993""","=""2989.2""","=""2s2.2p4""","=""3P""","=""1""","=""1s.2s2.2p5""","=""3P*""","=""2""",3,5,,"=""""","=""L9846""",
"=""0.41502""","=""0.00010""","=""0.41505""","=""0.00008""","=""*""","=""""",,"=""65.6625""","=""3052.9""","=""2s.2p5""","=""3P*""","=""2""","=""1s.2s.2p6""","=""3S""","=""1""",5,3,,"=""""","=""L9846""",
"=""0.41535""","=""0.00015""","=""0.41526""","=""0.00008""","=""*""","=""""",,"=""67.196""","=""3052.9""","=""2s.2p5""","=""3P*""","=""1""","=""1s.2s.2p6""","=""3S""","=""1""",3,3,,"=""""","=""L9846""",
"=""0.41535""","=""0.00015""","=""0.41538""","=""0.00008""","=""*""","=""""",,"=""68.065""","=""3052.9""","=""2s.2p5""","=""3P*""","=""0""","=""1s.2s.2p6""","=""3S""","=""1""",1,3,,"=""""","=""L9846""",
"=""0.41560""","=""0.00006""","=""0.41564""","=""0.00004""","=""""","=""""",,"=""18.41625""","=""3001.4""","=""2s2.2p4""","=""1S""","=""0""","=""1s.2s2.2p5""","=""1P*""","=""1""",1,3,,"=""""","=""L9846""",
"=""0.41613""","=""0.00006""","=""0.41613""","=""0.00006""","=""""","=""""",,"=""90.558""","=""3070.0""","=""2s.2p5""","=""1P*""","=""1""","=""1s.2s.2p6""","=""1S""","=""0""",3,1,,"=""""","=""L9846""",
"=""2.6232""","=""0.00053""","=""2.6232""","=""0.0005""","=""""","=""""",,"=""0.000000""","=""472.65""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p3.(4S*).5d""","=""3D*""","=""3""",5,7,,"=""""","=""L12134""",
"=""2.7789""","=""0.00054""","=""2.7789""","=""0.0005""","=""bl*""","=""""",,"=""0.000000""","=""446.16""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p3.(2D*).4d""","=""3S*""","=""1""",5,3,,"=""""","=""L12134""",
"=""2.7789""","=""0.00054""","=""2.7789""","=""0.0005""","=""bl*""","=""""",,"=""0.000000""","=""446.16""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p3.(2D*).4d""","=""3P*""","=""2""",5,5,,"=""""","=""L12134""",
"=""2.7789""","=""0.00054""","=""2.7789""","=""0.0005""","=""bl*""","=""""",,"=""0.000000""","=""446.16""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p3.(2D*).4d""","=""3D*""","=""3""",5,7,,"=""""","=""L12134""",
"=""2.8529""","=""0.00024""","=""2.85290""","=""0.00024""","=""""","=""""",,"=""0.000000""","=""434.59""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p3.(4S*).4d""","=""3D*""","=""3""",5,7,,"=""""","=""L12134""",
