spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
B II,B,1,1s2.2s2,1S,0.0,1,0.0,0.0,even,,no,25.15483,,metastable - no allowed radiative channel,,,,,,,yes,L12120
B II,B,1,1s2.2s.2p,3P*,0.0,1,4.629017,5e-06,odd,,no,25.15483,0.0961538,LiDB (J-lumped),,,,,,0.0961538,,L12120
B II,B,1,1s2.2s.2p,3P*,1.0,3,4.629775,4e-06,odd,,no,25.15483,0.09615384611593934,"ASD 1/sum(Aki), J-resolved",0.09615384611593934,2/2,yes,4.629775,4.629775,0.0961538,,L12120
B II,B,1,1s2.2s.2p,3P*,2.0,5,4.631777,4e-06,odd,,no,25.15483,591.6960897404375,"ASD 1/sum(Aki), J-resolved",591.6960897404375,4/4,yes,4.631777,4.631777,0.0961538,,L12120
B II,B,1,1s2.2s.2p,1P*,1.0,3,9.100007,4e-06,odd,,no,25.15483,8.333333333331242e-10,"ASD 1/sum(Aki), J-resolved",8.333333333331242e-10,6/6,yes,9.100007,9.100007,8.33333e-10,,L12120
B II,B,1,1s2.2p2,3P,0.0,1,12.263448,5e-06,even,,no,25.15483,1.1560693097477388e-09,"ASD 1/sum(Aki), J-resolved",1.1560693097477388e-09,3/3,yes,7.633673,7.633673,1.15607e-09,,L12120
B II,B,1,1s2.2p2,3P,1.0,3,12.264501,4e-06,even,,no,25.15483,1.1574074051299873e-09,"ASD 1/sum(Aki), J-resolved",1.1574074051299873e-09,6/6,yes,7.632724,12.264501,1.15607e-09,,L12120
B II,B,1,1s2.2p2,3P,2.0,5,12.266161,4e-06,even,,no,25.15483,1.1560688295431923e-09,"ASD 1/sum(Aki), J-resolved",1.1560688295431923e-09,8/8,yes,7.634384000000001,12.266161,1.15607e-09,,L12120
B II,B,1,1s2.2p2,1D,2.0,5,12.691366,4e-06,even,,no,25.15483,1.8445702396744558e-08,"ASD 1/sum(Aki), J-resolved",1.8445702396744558e-08,10/10,yes,3.5913590000000006,12.691366,1.84457e-08,,L12120
B II,B,1,1s2.2p2,1S,0.0,1,15.82797,4e-06,even,,no,25.15483,7.51879547266822e-10,"ASD 1/sum(Aki), J-resolved",7.51879547266822e-10,6/6,yes,6.727963000000001,11.198195,7.5188e-10,,L12120
B II,B,1,1s2.2s.3s,3S,1.0,3,16.089904,2.2e-05,even,,no,25.15483,9.132419799420372e-10,"ASD 1/sum(Aki), J-resolved",9.132419799420372e-10,4/4,yes,11.458127000000001,11.460887,9.13242e-10,,L12120
B II,B,1,1s2.2s.3s,1S,0.0,1,17.062984,2e-05,even,,no,25.15483,6.328783465420319e-07,"ASD 1/sum(Aki), J-resolved",6.328783465420319e-07,2/2,yes,7.962977,12.433209,6.32878e-07,,L12120
B II,B,1,1s2.2s.3p,3P*,0.0,1,17.852479,2.2e-05,odd,,no,25.15483,2.515470141369422e-08,"ASD 1/sum(Aki), J-resolved",2.515470141369422e-08,2/2,yes,1.7625749999999982,5.587978,2.49827e-08,,L12120
B II,B,1,1s2.2s.3p,3P*,1.0,3,17.852554,2.2e-05,odd,,no,25.15483,2.4920230342673103e-08,"ASD 1/sum(Aki), J-resolved",2.4920230342673103e-08,8/8,yes,1.7626500000000007,17.852554,2.49827e-08,,L12120
B II,B,1,1s2.2s.3p,3P*,2.0,5,17.852994,2.2e-05,odd,,no,25.15483,2.5154131887803426e-08,"ASD 1/sum(Aki), J-resolved",2.5154131887803426e-08,4/4,yes,1.7630899999999983,5.588493,2.49827e-08,,L12120
B II,B,1,1s2.2s.3p,1P*,1.0,3,17.866488,9e-06,odd,,no,25.15483,1.690591075285049e-09,"ASD 1/sum(Aki), J-resolved",1.690591075285049e-09,8/8,yes,17.866488,17.866488,1.69059e-09,,L12120
B II,B,1,1s2.2s.3d,3D,3.0,7,18.67818,2e-05,even,,no,25.15483,4.0737345961910583e-10,"ASD 1/sum(Aki), J-resolved",4.0737345961910583e-10,2/2,yes,14.046403000000002,14.046403000000002,4.0772e-10,,L12120
B II,B,1,1s2.2s.3d,3D,2.0,5,18.67818,2e-05,even,,no,25.15483,4.085365299593323e-10,"ASD 1/sum(Aki), J-resolved",4.085365299593323e-10,6/6,yes,14.048405,14.048405,4.0772e-10,,L12120
B II,B,1,1s2.2s.3d,3D,1.0,3,18.67818,2e-05,even,,no,25.15483,4.077201104405831e-10,"ASD 1/sum(Aki), J-resolved",4.077201104405831e-10,8/8,yes,14.049163,14.049163,4.0772e-10,,L12120
B II,B,1,1s2.2s.3d,1D,2.0,5,19.178635,9e-06,even,,no,25.15483,7.242128556579546e-10,"ASD 1/sum(Aki), J-resolved",7.242128556579546e-10,6/6,yes,10.078628,14.54886,7.24213e-10,,L12120
B II,B,1,1s2.2s.4s,3S,1.0,3,20.624138,2.2e-05,even,,no,25.15483,1.8294914013904136e-09,"ASD 1/sum(Aki), J-resolved",1.8294914013904136e-09,6/6,yes,15.992360999999999,15.995120999999997,1.82949e-09,,L12120
B II,B,1,1s2.2s.4s,1S,0.0,1,20.821325,1.1e-05,even,,no,25.15483,5.053057099545225e-09,"ASD 1/sum(Aki), J-resolved",5.053057099545225e-09,2/2,yes,2.9548370000000013,11.721318000000002,5.05306e-09,,L12120
B II,B,1,1s2.2s.4p,1P*,1.0,3,21.150629,1.1e-05,odd,,no,25.15483,1.7553098121818502e-09,"ASD 1/sum(Aki), J-resolved",1.7553098121818502e-09,6/6,yes,21.150629,21.150629,1.75531e-09,,L12120
B II,B,1,1s2.2s.4p,3P*,2.0,5,21.268988,2.1e-05,odd,,no,25.15483,2.3132084200786492e-08,"ASD 1/sum(Aki), J-resolved",2.3132084200786492e-08,7/7,yes,2.590807999999999,9.004487000000001,2.35239e-08,,L12120
B II,B,1,1s2.2s.4p,3P*,1.0,3,21.268988,2.1e-05,odd,,no,25.15483,2.345765892563922e-08,"ASD 1/sum(Aki), J-resolved",2.345765892563922e-08,7/7,yes,2.590807999999999,9.00554,2.35239e-08,,L12120
B II,B,1,1s2.2s.4p,3P*,0.0,1,21.268988,2.1e-05,odd,,no,25.15483,2.352387673488591e-08,"ASD 1/sum(Aki), J-resolved",2.352387673488591e-08,4/4,yes,2.590807999999999,9.004487000000001,2.35239e-08,,L12120
B II,B,1,1s2.2s.4d,3D,3.0,7,21.582342,2.2e-05,even,,no,25.15483,9.404683532399135e-10,"ASD 1/sum(Aki), J-resolved",9.404683532399135e-10,3/3,yes,16.950565,16.950565,9.42281e-10,,L12120
B II,B,1,1s2.2s.4d,3D,2.0,5,21.582342,2.2e-05,even,,no,25.15483,9.432805410657184e-10,"ASD 1/sum(Aki), J-resolved",9.432805410657184e-10,6/6,yes,16.952567000000002,16.952567000000002,9.42281e-10,,L12120
B II,B,1,1s2.2s.4d,3D,1.0,3,21.582342,2.2e-05,even,,no,25.15483,9.422806017403923e-10,"ASD 1/sum(Aki), J-resolved",9.422806017403923e-10,9/9,yes,16.953325,16.953325,9.42281e-10,,L12120
B II,B,1,1s2.2s.4f,3F*,4.0,9,21.685249,2e-05,odd,,no,25.15483,4.236749565733169e-09,"ASD 1/sum(Aki), J-resolved",4.236749565733169e-09,2/2,yes,3.0070689999999978,3.0070689999999978,4.23622e-09,,L12120
B II,B,1,1s2.2s.4f,3F*,3.0,7,21.685249,2e-05,odd,,no,25.15483,4.254788658265161e-09,"ASD 1/sum(Aki), J-resolved",4.254788658265161e-09,4/4,yes,3.0070689999999978,3.0070689999999978,4.23622e-09,,L12120
B II,B,1,1s2.2s.4f,3F*,2.0,5,21.685249,2e-05,odd,,no,25.15483,4.236215978049284e-09,"ASD 1/sum(Aki), J-resolved",4.236215978049284e-09,6/6,yes,3.0070689999999978,3.0070689999999978,4.23622e-09,,L12120
B II,B,1,1s2.2s.4f,1F*,3.0,7,21.68755,1e-05,odd,,no,25.15483,3.3898305084745764e-09,"ASD 1/sum(Aki), J-resolved",3.3898305084745764e-09,2/2,yes,2.508915000000002,8.996184000000001,3.38983e-09,,L12120
B II,B,1,1s2.2s.4d,1D,2.0,5,21.765055,1.5e-05,even,,no,25.15483,1.4013845679531377e-09,"ASD 1/sum(Aki), J-resolved",1.4013845679531377e-09,3/3,yes,12.665048,12.665048,1.40138e-09,,L12120
B II,B,1,1s2.2s.5s,3S,1.0,3,22.428384,2.5e-05,even,,no,25.15483,3.219471362802228e-09,"ASD 1/sum(Aki), J-resolved",3.219471362802228e-09,9/9,yes,17.796607,17.799367,,,L12120
B II,B,1,1s2.2s.5s,1S,0.0,1,22.509583,2e-05,even,,no,25.15483,7.763975155279504e-09,"ASD 1/sum(Aki), J-resolved",7.763975155279504e-09,3/3,yes,4.643094999999999,13.409576,,,L12120
B II,B,1,1s2.2p.3s,3P*,0.0,1,22.52122,4e-05,odd,,no,25.15483,1.045358743077373e-09,"ASD 1/sum(Aki), J-resolved",1.045358743077373e-09,4/4,yes,10.256719,10.256719,1.04536e-09,,L12120
B II,B,1,1s2.2p.3s,3P*,1.0,3,22.52242,4e-05,odd,,no,25.15483,1.0398045500183422e-09,"ASD 1/sum(Aki), J-resolved",1.0398045500183422e-09,7/7,yes,10.256259,10.258972,1.04536e-09,,L12120
B II,B,1,1s2.2p.3s,3P*,2.0,5,22.52505,4e-05,odd,,no,25.15483,1.0410320708668007e-09,"ASD 1/sum(Aki), J-resolved",1.0410320708668007e-09,7/7,yes,10.258889,10.260549000000001,1.04536e-09,,L12120
B II,B,1,1s2.2s.5p,1P*,1.0,3,22.53607,7e-05,odd,,no,25.15483,1.6501650165016502e-09,"ASD 1/sum(Aki), J-resolved",1.6501650165016502e-09,7/7,yes,9.844703999999998,22.53607,,yes,L12120
B II,B,1,1s2.2s.5p,3P*,0.0,1,22.76583,3e-05,odd,,no,25.15483,2.451581269919098e-08,"ASD 1/sum(Aki), J-resolved",2.451581269919098e-08,6/6,yes,4.08765,10.501329000000002,,yes,L12120
B II,B,1,1s2.2s.5p,3P*,1.0,3,22.76583,3e-05,odd,,no,25.15483,2.421893921046258e-08,"ASD 1/sum(Aki), J-resolved",2.421893921046258e-08,10/10,yes,4.08765,10.502382,,yes,L12120
B II,B,1,1s2.2s.5p,3P*,2.0,5,22.76583,3e-05,odd,,no,25.15483,2.4313153415998054e-08,"ASD 1/sum(Aki), J-resolved",2.4313153415998054e-08,11/11,yes,4.08765,10.501329000000002,,yes,L12120
B II,B,1,1s2.2s.5d,3D,1.0,3,22.89166,3e-05,even,,no,25.15483,1.7961537558625785e-09,"ASD 1/sum(Aki), J-resolved",1.7961537558625785e-09,16/16,yes,18.262643,18.262643,,,L12120
B II,B,1,1s2.2s.5d,3D,2.0,5,22.89166,3e-05,even,,no,25.15483,1.7963376985536967e-09,"ASD 1/sum(Aki), J-resolved",1.7963376985536967e-09,12/12,yes,18.261885,18.261885,,,L12120
B II,B,1,1s2.2s.5d,3D,3.0,7,22.89166,3e-05,even,,no,25.15483,1.7992530221153386e-09,"ASD 1/sum(Aki), J-resolved",1.7992530221153386e-09,8/8,yes,18.259883000000002,18.259883000000002,,,L12120
B II,B,1,1s2.2s.5f,3F*,2.0,5,22.925767,2.2e-05,odd,,no,25.15483,9.134255284166682e-09,"ASD 1/sum(Aki), J-resolved",9.134255284166682e-09,6/6,yes,4.247586999999999,4.247586999999999,,yes,L12120
B II,B,1,1s2.2s.5f,3F*,3.0,7,22.925767,2.2e-05,odd,,no,25.15483,9.165902841429882e-09,"ASD 1/sum(Aki), J-resolved",9.165902841429882e-09,4/4,yes,4.247586999999999,4.247586999999999,,yes,L12120
B II,B,1,1s2.2s.5f,3F*,4.0,9,22.925767,2.2e-05,odd,,no,25.15483,9.1324200913242e-09,"ASD 1/sum(Aki), J-resolved",9.1324200913242e-09,2/2,yes,4.247586999999999,4.247586999999999,,yes,L12120
B II,B,1,1s2.2s.5f,1F*,3.0,7,22.93189,4e-05,odd,,no,25.15483,5.449591280653951e-09,"ASD 1/sum(Aki), J-resolved",5.449591280653951e-09,3/3,yes,10.240523999999999,10.240523999999999,,,L12120
B II,B,1,1s2.2s.5g,3G,3.0,7,22.96954,4e-05,even,,no,25.15483,,,,,,,,,,L12120
B II,B,1,1s2.2s.5g,3G,4.0,9,22.96954,4e-05,even,,no,25.15483,,,,,,,,,,L12120
B II,B,1,1s2.2s.5g,3G,5.0,11,22.96954,4e-05,even,,no,25.15483,,,,,,,,,,L12120
B II,B,1,1s2.2s.5g,1G,4.0,9,22.96954,4e-05,even,,no,25.15483,,,,,,,,,,L12120
B II,B,1,1s2.2s.5d,1D,2.0,5,22.977146,1.2e-05,even,,no,25.15483,2.4378233163173266e-09,"ASD 1/sum(Aki), J-resolved",2.4378233163173266e-09,6/6,yes,13.877139000000001,13.877139000000001,,yes,L12120
B II,B,1,1s2.2p.3s,1P*,1.0,3,23.139161,1.9e-05,odd,,no,25.15483,1.9426528867821896e-09,"ASD 1/sum(Aki), J-resolved",1.9426528867821896e-09,7/7,yes,7.311191000000001,23.139161,1.94265e-09,,L12120
B II,B,1,1s2.2s.6s,3S,1.0,3,23.33018,4e-05,even,,no,25.15483,,,,,,,,,,L12120
B II,B,1,1s2.2s.6s,1S,0.0,1,23.377,0.009,even,,no,25.15483,,,,,,,,,,L12120
B II,B,1,1s2.2p.3p,1P,1.0,3,23.448881,2.4e-05,even,,no,25.15483,1.3309093038545794e-09,"ASD 1/sum(Aki), J-resolved",1.3309093038545794e-09,5/5,yes,14.348874,14.348874,1.33091e-09,,L12120
B II,B,1,1s2.2s.6p,3P*,,9,23.52507,7e-05,odd,,no,25.15483,,,,,,,,,,L12120
B II,B,1,1s2.2s.6d,3D,,15,23.58854,0.00014,even,,no,25.15483,,,,,,,,,,L12120
B II,B,1,1s2.2s.6p,1P*,1.0,3,23.589,0.022,odd,,no,25.15483,,,,,,,,,,L12120
B II,B,1,1s2.2s.6f,3F*,2.0,5,23.598146,2.2e-05,odd,,no,25.15483,1.9144984971186797e-08,"ASD 1/sum(Aki), J-resolved",1.9144984971186797e-08,9/9,yes,2.0158039999999993,4.919965999999999,,,L12120
B II,B,1,1s2.2s.6f,3F*,3.0,7,23.598146,2.2e-05,odd,,no,25.15483,1.9120458891013385e-08,"ASD 1/sum(Aki), J-resolved",1.9120458891013385e-08,6/6,yes,2.0158039999999993,4.919965999999999,,,L12120
B II,B,1,1s2.2s.6f,3F*,4.0,9,23.598146,2.2e-05,odd,,no,25.15483,1.8975332068311195e-08,"ASD 1/sum(Aki), J-resolved",1.8975332068311195e-08,3/3,yes,2.0158039999999993,4.919965999999999,,,L12120
B II,B,1,1s2.2s.6f,1F*,3.0,7,23.610196,1.7e-05,odd,,no,25.15483,7.587253414264037e-09,"ASD 1/sum(Aki), J-resolved",7.587253414264037e-09,4/4,yes,10.918829999999998,10.918829999999998,,,L12120
B II,B,1,1s2.2s.6g,3G,3.0,7,23.63744,4e-05,even,,no,25.15483,,,,,,,,,,L12120
B II,B,1,1s2.2s.6g,3G,4.0,9,23.63744,4e-05,even,,no,25.15483,,,,,,,,,,L12120
B II,B,1,1s2.2s.6g,3G,5.0,11,23.63744,4e-05,even,,no,25.15483,,,,,,,,,,L12120
B II,B,1,1s2.2s.6g,1G,4.0,9,23.63744,4e-05,even,,no,25.15483,,,,,,,,,,L12120
B II,B,1,1s2.2s.6d,1D,2.0,5,23.63813,9e-05,even,,no,25.15483,,,,,,,,,,L12120
B II,B,1,1s2.2p.3p,3D,1.0,3,23.6853,5e-05,even,,no,25.15483,4.451263780556256e-09,"ASD 1/sum(Aki), J-resolved",4.451263780556256e-09,14/14,yes,5.832821000000003,19.056283,4.45126e-09,,L12120
B II,B,1,1s2.2p.3p,3D,2.0,5,23.68651,5e-05,even,,no,25.15483,4.441286196482501e-09,"ASD 1/sum(Aki), J-resolved",4.441286196482501e-09,12/12,yes,5.833955999999997,19.056734999999996,4.45126e-09,,L12120
B II,B,1,1s2.2p.3p,3D,3.0,7,23.68884,5e-05,even,,no,25.15483,4.460372931780826e-09,"ASD 1/sum(Aki), J-resolved",4.460372931780826e-09,10/10,yes,5.835846,19.057063,4.45126e-09,,L12120
B II,B,1,1s2.2s.7s,3S,1.0,3,23.835,0.015,even,,no,25.15483,,,,,,,,,,L12120
B II,B,1,1s2.2s.7s,1S,0.0,1,23.8686,,even,,no,25.15483,,,,,,,,,,L12120
B II,B,1,1s2.2p.3p,3S,1.0,3,23.95703,0.00012,even,,no,25.15483,3.1556592014288825e-09,"ASD 1/sum(Aki), J-resolved",3.1556592014288825e-09,15/15,yes,19.325253,19.328013,3.15566e-09,,L12120
B II,B,1,1s2.2s.7f,3F*,,21,24.0005,5e-05,odd,,no,25.15483,,,,,,,,,,L12120
B II,B,1,1s2.2s.7p,1P*,1.0,3,24.0026,0.0016,odd,,no,25.15483,,,,,,,,,,L12120
B II,B,1,1s2.2s.7d,3D,,15,24.015,0.003,even,,no,25.15483,,,,,,,,,,L12120
B II,B,1,1s2.2s.7d,1D,2.0,5,24.03605,6e-05,even,,no,25.15483,,,,,,,,,,L12120
B II,B,1,1s2.2s.7g,3G,,27,24.04031,5e-05,even,,no,25.15483,,,,,,,,,,L12120
B II,B,1,1s2.2s.8s,1S,0.0,1,24.1699,,even,,no,25.15483,,,,,,,,,,L12120
B II,B,1,1s2.2s.8s,3S,1.0,3,24.174,0.015,even,,no,25.15483,,,,,,,,,,L12120
B II,B,1,1s2.2s.8p,1P*,1.0,3,24.249,0.024,odd,,no,25.15483,,,,,,,,,,L12120
