Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""1s2.2s""","=""2S""","=""1/2""",2,"=""""","=""0.0000000""","=""""","=""0.0000015""","="" 100                                            ""","=""L12547"""
"=""1s2.2p""","=""2P*""","=""1/2""",2,"=""""","=""5.9956694""","=""""","=""0.0000015""","="" 100                                            ""","=""L12547"""
"=""1s2.2p""","=""2P*""","=""3/2""",4,"=""""","=""5.9998973""","=""""","=""0.0000015""","="" 100                                            ""","=""L12547"""
"=""1s2.3s""","=""2S""","=""1/2""",2,"=""""","=""22.34219""","=""""","=""0.00007""","="" 100                                            ""","=""L12547"""
"=""1s2.3p""","=""2P*""","=""1/2""",2,"=""""","=""23.922904""","=""""","=""0.000006""","="" 100                                            ""","=""L12547"""
"=""1s2.3p""","=""2P*""","=""3/2""",4,"=""""","=""23.924145""","=""""","=""0.000006""","="" 100                                            ""","=""L12547"""
"=""1s2.3d""","=""2D""","=""3/2""",4,"=""""","=""24.30943""","=""""","=""0.00004""","="" 100                                            ""","=""L12547"""
"=""1s2.3d""","=""2D""","=""5/2""",6,"=""""","=""24.30979""","=""""","=""0.00004""","="" 100                                            ""","=""L12547"""
"=""1s2.4s""","=""2S""","=""1/2""",2,"=""""","=""29.470829""","=""""","=""0.000016""","="" 100                                            ""","=""L12547"""
"=""1s2.4p""","=""2P*""","=""1/2""",2,"=""""","=""30.10705""","=""""","=""0.00004""","="" 100                                            ""","=""L12547"""
"=""1s2.4p""","=""2P*""","=""3/2""",4,"=""""","=""30.10754""","=""""","=""0.00004""","="" 100                                            ""","=""L12547"""
"=""1s2.4d""","=""2D""","=""3/2""",4,"=""""","=""30.269704""","=""""","=""0.000017""","="" 100                                            ""","=""L12547"""
"=""1s2.4d""","=""2D""","=""5/2""",6,"=""""","=""30.269857""","=""""","=""0.000017""","="" 100                                            ""","=""L12547"""
"=""1s2.4f""","=""2F*""","=""5/2""",6,"=""""","=""30.27683""","=""""","=""0.00003""","="" 100                                            ""","=""L12547"""
"=""1s2.4f""","=""2F*""","=""7/2""",8,"=""""","=""30.27691""","=""""","=""0.00003""","="" 100                                            ""","=""L12547"""
"=""1s2.5s""","=""2S""","=""1/2""",2,"=""""","=""32.62765""","=""""","=""0.00005""","="" 100                                            ""","=""L12547"""
"=""1s2.5p""","=""2P*""","=""1/2""",2,"=""""","=""32.94528""","=""""","=""0.00003""","="" 100                                            ""","=""L12547"""
"=""1s2.5p""","=""2P*""","=""3/2""",4,"=""""","=""32.94555""","=""""","=""0.00003""","="" 100                                            ""","=""L12547"""
"=""1s2.5d""","=""2D""","=""3/2""",4,"=""""","=""33.02832""","=""""","=""0.00004""","="" 100                                            ""","=""L12547"""
"=""1s2.5d""","=""2D""","=""5/2""",6,"=""""","=""33.02840""","=""""","=""0.00004""","="" 100                                            ""","=""L12547"""
"=""1s2.5f""","=""2F*""","=""5/2""",6,"=""""","=""33.03217""","=""""","=""0.00003""","="" 100                                            ""","=""L12547"""
"=""1s2.5f""","=""2F*""","=""7/2""",8,"=""""","=""33.03220""","=""""","=""0.00003""","="" 100                                            ""","=""L12547"""
"=""1s2.5g""","=""2G""","=""7/2,9/2""",18,"=""""","=""33.03273""","=""""","=""0.00004""","="" 100                                            ""","=""L12547"""
"=""1s2.6s""","=""2S""","=""1/2""",2,"=""[""","=""34.29779""","=""]""","=""0.00005""","="" 100                                            ""","=""L12547"""
"=""1s2.6p""","=""2P*""","=""1/2""",2,"=""[""","=""34.47878""","=""]""","=""0.00005""","="" 100                                            ""","=""L12547"""
"=""1s2.6p""","=""2P*""","=""3/2""",4,"=""[""","=""34.47878""","=""]""","=""0.00005""","="" 100                                            ""","=""L12547"""
"=""1s2.6d""","=""2D""","=""3/2""",4,"=""[""","=""34.52668""","=""]""","=""0.00005""","="" 100                                            ""","=""L12547"""
"=""1s2.6d""","=""2D""","=""5/2""",6,"=""[""","=""34.52668""","=""]""","=""0.00005""","="" 100                                            ""","=""L12547"""
"=""1s2.6f""","=""2F*""","=""5/2""",6,"=""[""","=""34.52900""","=""]""","=""0.00005""","="" 100                                            ""","=""L12547"""
