conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
1s2.2s,2S,0.5,2.0,0.0,1s2.2p,2P*,0.5,2.0,5.995669,5.995669,206.78958,188720000.0,0.12099,0.24197,0.003211
1s2.2s,2S,0.5,2.0,0.0,1s2.2p,2P*,1.5,4.0,5.999897,5.999897,206.64387,189130000.0,0.24216,0.48431,0.0064268
1s2.2s,2S,0.5,2.0,0.0,1s2.3p,2P*,0.5,2.0,23.922904,23.922904,51.82657,1268000000.0,0.05106,0.10212,0.0013551
1s2.2s,2S,0.5,2.0,0.0,1s2.3p,2P*,1.5,4.0,23.924145,23.924145,51.82388,1271000000.0,0.10235,0.2047,0.0027164
1s2.2s,2S,0.5,2.0,0.0,1s2.4p,2P*,0.5,2.0,30.10705,30.10705,41.18112,653000000.0,0.016602,0.033205,0.00044063
1s2.2s,2S,0.5,2.0,0.0,1s2.4p,2P*,1.5,4.0,30.10754,30.10754,41.18045,653000000.0,0.033204,0.066407,0.00088122
1s2.2s,2S,0.5,2.0,0.0,1s2.5p,2P*,0.5,2.0,32.94528,32.94528,37.63337,353000000.0,0.0074952,0.01499,0.00019892
1s2.2s,2S,0.5,2.0,0.0,1s2.5p,2P*,1.5,4.0,32.94555,32.94555,37.63306,354000000.0,0.015033,0.030065,0.00039896
1s2.2s,2S,0.5,2.0,0.0,1s2.6p,2P*,1.5,4.0,34.47878,34.47878,35.95957,210000000.0,0.0081421,0.016284,0.00021609
1s2.2s,2S,0.5,2.0,0.0,1s2.6p,2P*,0.5,2.0,34.47878,34.47878,35.95957,210000000.0,0.0040711,0.0081421,0.00010805
1s2.2s,2S,0.5,2.0,0.0,1s2.7p,2P*,1.5,4.0,35.39988,35.39988,35.0239,133000000.0,0.0048918,0.0097836,0.00012983
1s2.2s,2S,0.5,2.0,0.0,1s2.7p,2P*,0.5,2.0,35.39988,35.39988,35.0239,133000000.0,0.0024459,0.0048918,6.4914e-05
1s2.2s,2S,0.5,2.0,0.0,1s2.8p,2P*,1.5,4.0,35.99607,35.99607,34.44382,90000000.0,0.0032015,0.006403,8.4968e-05
1s2.2s,2S,0.5,2.0,0.0,1s2.8p,2P*,0.5,2.0,35.99607,35.99607,34.44382,90000000.0,0.0016008,0.0032015,4.2484e-05
1s2.2s,2S,0.5,2.0,0.0,1s2.9p,2P*,1.5,4.0,36.40395,36.40395,34.0579,61800000.0,0.0021494,0.0042988,5.7045e-05
1s2.2s,2S,0.5,2.0,0.0,1s2.9p,2P*,0.5,2.0,36.40395,36.40395,34.0579,61800000.0,0.0010747,0.0021494,2.8522e-05
1s2.2p,2P*,0.5,2.0,5.995669,1s2.3s,2S,0.5,2.0,22.34219,16.346521,75.84745,537500000.0,0.046358,0.092715,0.0012303
1s2.2p,2P*,0.5,2.0,5.995669,1s2.3d,2D,1.5,4.0,24.30943,18.313761,67.70002,4643000000.0,0.63807,1.2761,0.016934
1s2.2p,2P*,0.5,2.0,5.995669,1s2.4s,2S,0.5,2.0,29.470829,23.47516,52.81506,196900000.0,0.0082342,0.016468,0.00021854
1s2.2p,2P*,0.5,2.0,5.995669,1s2.4d,2D,1.5,4.0,30.269704,24.274035,51.07688,1570000000.0,0.12281,0.24562,0.0032594
1s2.2p,2P*,0.5,2.0,5.995669,1s2.5s,2S,0.5,2.0,32.62765,26.631981,46.55463,94400000.0,0.0030673,0.0061346,8.1406e-05
1s2.2p,2P*,0.5,2.0,5.995669,1s2.5d,2D,1.5,4.0,33.02832,27.032651,45.86461,731300000.0,0.046125,0.092251,0.0012242
1s2.2p,2P*,0.5,2.0,5.995669,1s2.6d,2D,1.5,4.0,34.52668,28.531011,43.45594,403100000.0,0.022824,0.045649,0.00060576
1s2.2p,2P*,1.5,4.0,5.999897,1s2.3s,2S,0.5,2.0,22.34219,16.342293,75.86708,1075000000.0,0.046381,0.18553,0.001231
1s2.2p,2P*,1.5,4.0,5.999897,1s2.3d,2D,1.5,4.0,24.30943,18.309533,67.71565,928300000.0,0.063815,0.25526,0.0016937
