spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
B IV,B,3,1s2,1S,0.0,1,0.0,9e-06,even,,no,259.374379,,,,,,,,,,L12548
B IV,B,3,1s.2s,3S,1.0,3,198.5676,0.0012,even,,no,259.374379,0.14934289127837516,"ASD 1/sum(Aki), J-resolved",0.14934289127837516,1/1,yes,198.5676,198.5676,,,L12548c207
B IV,B,3,1s.2s,1S,0.0,1,202.8052,0.0014,even,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.2p,3P*,1.0,3,202.9538,0.0012,odd,,no,259.374379,2.052334529707542e-08,"ASD 1/sum(Aki), J-resolved",2.052334529707542e-08,3/3,yes,4.386200000000002,202.9538,,,L12548c207
B IV,B,3,1s.2p,3P*,0.0,1,202.9558,0.0012,odd,,no,259.374379,2.2215310792197983e-08,"ASD 1/sum(Aki), J-resolved",2.2215310792197983e-08,1/1,yes,4.388200000000012,4.388200000000012,,,L12548c207
B IV,B,3,1s.2p,3P*,2.0,5,202.9604,0.0012,odd,,no,259.374379,2.2213331953144975e-08,"ASD 1/sum(Aki), J-resolved",2.2213331953144975e-08,2/2,yes,4.392799999999994,202.9604,,,L12548c207
B IV,B,3,1s.2p,1P*,1.0,3,205.5652,0.0012,odd,,no,259.374379,2.6872866839240155e-12,"ASD 1/sum(Aki), J-resolved",2.6872866839240155e-12,3/3,yes,205.5652,205.5652,,,L12548c207
B IV,B,3,1s.3s,3S,1.0,3,233.4329,0.001,even,,no,259.374379,3.2883595360782364e-10,"ASD 1/sum(Aki), J-resolved",3.2883595360782364e-10,3/3,yes,30.472499999999997,30.47909999999999,,,L12548c207
B IV,B,3,1s.3s,1S,0.0,1,234.5527,0.0016,even,,no,259.374379,4.0011203136878324e-10,"ASD 1/sum(Aki), J-resolved",4.0011203136878324e-10,1/1,yes,28.987499999999983,28.987499999999983,,,L12548c207
B IV,B,3,1s.3p,3P*,0.0,1,234.6087,0.0005,odd,,no,259.374379,1.8271467969933933e-10,"ASD 1/sum(Aki), J-resolved",1.8271467969933933e-10,2/2,yes,36.0411,36.0411,,,L12548c207
B IV,B,3,1s.3p,3P*,1.0,3,234.6087,0.0005,odd,,no,259.374379,1.8273838587914707e-10,"ASD 1/sum(Aki), J-resolved",1.8273838587914707e-10,2/3,no,36.0411,234.6087,,,L12548c207
B IV,B,3,1s.3p,3P*,2.0,5,234.6087,0.0005,odd,,no,259.374379,1.82759033296532e-10,"ASD 1/sum(Aki), J-resolved",1.82759033296532e-10,3/3,yes,36.0411,234.6087,,,L12548c207
B IV,B,3,1s.3d,3D,1.0,3,235.1615,0.0005,even,,no,259.374379,5.7056474201699405e-11,"ASD 1/sum(Aki), J-resolved",5.7056474201699405e-11,7/7,yes,32.20569999999998,32.20769999999999,,,L12548c207
B IV,B,3,1s.3d,3D,2.0,5,235.1615,0.0005,even,,no,259.374379,5.707183369176347e-11,"ASD 1/sum(Aki), J-resolved",5.707183369176347e-11,5/5,yes,32.20769999999999,32.20769999999999,,,L12548c207
B IV,B,3,1s.3d,3D,3.0,7,235.1615,0.0005,even,,no,259.374379,5.7059890431886594e-11,"ASD 1/sum(Aki), J-resolved",5.7059890431886594e-11,2/2,yes,32.2011,32.2011,,,L12548c207
B IV,B,3,1s.3d,1D,2.0,5,235.1796,0.0006,even,,no,259.374379,6.199172597814824e-11,"ASD 1/sum(Aki), J-resolved",6.199172597814824e-11,8/8,yes,29.61439999999999,235.1796,,,L12548c207
B IV,B,3,1s.3p,1P*,1.0,3,235.3519,0.0012,odd,,no,259.374379,8.805723443576818e-12,"ASD 1/sum(Aki), J-resolved",8.805723443576818e-12,7/7,yes,235.3519,235.3519,,,L12548c207
B IV,B,3,1s.4s,3S,1.0,3,245.04952,0.00017,even,,no,259.374379,5.060045024280626e-10,"ASD 1/sum(Aki), J-resolved",5.060045024280626e-10,6/6,yes,42.08912000000001,42.09572,,,L12548c207
B IV,B,3,1s.4s,1S,0.0,1,245.502,0.0012,even,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.4p,3P*,0.0,1,245.52736,0.00012,odd,,no,259.374379,3.028345617817332e-10,"ASD 1/sum(Aki), J-resolved",3.028345617817332e-10,4/4,yes,46.95975999999999,46.95975999999999,,,L12548c207
B IV,B,3,1s.4p,3P*,1.0,3,245.52736,0.00012,odd,,no,259.374379,3.028596003464714e-10,"ASD 1/sum(Aki), J-resolved",3.028596003464714e-10,5/5,yes,46.95975999999999,46.95975999999999,,,L12548c207
B IV,B,3,1s.4p,3P*,2.0,5,245.52736,0.00012,odd,,no,259.374379,3.028463390216643e-10,"ASD 1/sum(Aki), J-resolved",3.028463390216643e-10,7/7,yes,46.95975999999999,245.52736,,,L12548c207
B IV,B,3,1s.4d,3D,1.0,3,245.75662,0.00014,even,,no,259.374379,1.309304787968317e-10,"ASD 1/sum(Aki), J-resolved",1.309304787968317e-10,10/10,yes,42.80081999999999,42.80282,,,L12548c207
B IV,B,3,1s.4d,3D,2.0,5,245.75662,0.00014,even,,no,259.374379,1.3104296989664646e-10,"ASD 1/sum(Aki), J-resolved",1.3104296989664646e-10,7/7,yes,42.80282,42.80282,,,L12548c207
B IV,B,3,1s.4d,3D,3.0,7,245.75662,0.00014,even,,no,259.374379,1.3091680805027352e-10,"ASD 1/sum(Aki), J-resolved",1.3091680805027352e-10,3/3,yes,42.796220000000005,42.796220000000005,,,L12548c207
B IV,B,3,1s.4d,1D,2.0,5,245.7663,0.0011,even,,no,259.374379,1.4665735413799694e-10,"ASD 1/sum(Aki), J-resolved",1.4665735413799694e-10,9/9,yes,40.2011,245.7663,,,L12548c207
B IV,B,3,1s.4f,3F*,2.0,5,245.7682,0.0025,odd,,no,259.374379,2.8290697554676584e-10,"ASD 1/sum(Aki), J-resolved",2.8290697554676584e-10,4/4,yes,10.606700000000018,10.606700000000018,,,L12548c207
B IV,B,3,1s.4f,3F*,3.0,7,245.7682,0.0025,odd,,no,259.374379,2.828854314002829e-10,"ASD 1/sum(Aki), J-resolved",2.828854314002829e-10,3/3,yes,10.606700000000018,10.606700000000018,,,L12548c207
B IV,B,3,1s.4f,3F*,4.0,9,245.7682,0.0025,odd,,no,259.374379,2.8257368108734354e-10,"ASD 1/sum(Aki), J-resolved",2.8257368108734354e-10,1/1,yes,10.606700000000018,10.606700000000018,,,L12548c207
B IV,B,3,1s.4f,1F*,3.0,7,245.76842,0.00021,odd,,no,259.374379,2.829379970380636e-10,"ASD 1/sum(Aki), J-resolved",2.829379970380636e-10,4/4,yes,10.588819999999998,40.20321999999999,,,L12548c207
B IV,B,3,1s.4p,1P*,1.0,3,245.8357,0.0012,odd,,no,259.374379,2.0623776036999693e-11,"ASD 1/sum(Aki), J-resolved",2.0623776036999693e-11,6/6,yes,245.8357,245.8357,,,L12548c207
B IV,B,3,1s.5s,3S,1.0,3,250.30375,0.00014,even,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.5s,1S,0.0,1,250.5302,0.0012,even,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.5p,3P*,0.0,1,250.54381,0.00014,odd,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.5p,3P*,1.0,3,250.54381,0.00014,odd,,no,259.374379,5.098298199837963e-10,"ASD 1/sum(Aki), J-resolved",5.098298199837963e-10,8/8,yes,51.97621000000001,51.97621000000001,,,L12548c207
B IV,B,3,1s.5p,3P*,2.0,5,250.54381,0.00014,odd,,no,259.374379,5.097876737958133e-10,"ASD 1/sum(Aki), J-resolved",5.097876737958133e-10,11/11,yes,51.97621000000001,250.54381,,,L12548c207
B IV,B,3,1s.5d,3D,1.0,3,250.66009,9e-05,even,,no,259.374379,2.5056808380643994e-10,"ASD 1/sum(Aki), J-resolved",2.5056808380643994e-10,11/11,yes,47.704289999999986,47.706289999999996,,,L12548c207
B IV,B,3,1s.5d,3D,2.0,5,250.66009,9e-05,even,,no,259.374379,2.507338352523247e-10,"ASD 1/sum(Aki), J-resolved",2.507338352523247e-10,10/10,yes,47.706289999999996,47.706289999999996,,,L12548c207
B IV,B,3,1s.5d,3D,3.0,7,250.66009,9e-05,even,,no,259.374379,2.504778169942101e-10,"ASD 1/sum(Aki), J-resolved",2.504778169942101e-10,7/7,yes,47.699690000000004,47.699690000000004,,,L12548c207
B IV,B,3,1s.5d,1D,2.0,5,250.6652,0.0012,even,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.5f,3F*,2.0,5,250.66662,0.00012,odd,,no,259.374379,5.435046917390309e-10,"ASD 1/sum(Aki), J-resolved",5.435046917390309e-10,8/8,yes,15.505120000000005,15.505120000000005,,,L12548c207
B IV,B,3,1s.5f,3F*,3.0,7,250.66662,0.00012,odd,,no,259.374379,5.441741531425785e-10,"ASD 1/sum(Aki), J-resolved",5.441741531425785e-10,6/6,yes,15.505120000000005,15.505120000000005,,,L12548c207
B IV,B,3,1s.5f,3F*,4.0,9,250.66662,0.00012,odd,,no,259.374379,5.458604671473878e-10,"ASD 1/sum(Aki), J-resolved",5.458604671473878e-10,2/2,yes,15.505120000000005,15.505120000000005,,,L12548c207
B IV,B,3,1s.5f,1F*,3.0,7,250.6667,0.00016,odd,,no,259.374379,5.479319950642286e-10,"ASD 1/sum(Aki), J-resolved",5.479319950642286e-10,6/6,yes,15.487099999999998,15.505200000000002,,,L12548c207
B IV,B,3,1s.5g,1G,4.0,9,250.66711,9e-05,even,,no,259.374379,9.189200116886626e-10,"ASD 1/sum(Aki), J-resolved",9.189200116886626e-10,3/3,yes,4.898690000000016,4.898910000000001,,,L12548c207
B IV,B,3,1s.5g,3G,3.0,7,250.66711,9e-05,even,,no,259.374379,9.178275425910987e-10,"ASD 1/sum(Aki), J-resolved",9.178275425910987e-10,4/4,yes,4.898910000000001,4.898910000000001,,,L12548c207
B IV,B,3,1s.5g,3G,4.0,9,250.66711,9e-05,even,,no,259.374379,9.174093095027091e-10,"ASD 1/sum(Aki), J-resolved",9.174093095027091e-10,3/3,yes,4.898910000000001,4.898910000000001,,,L12548c207
B IV,B,3,1s.5g,3G,5.0,11,250.66711,9e-05,even,,no,259.374379,9.167583425009168e-10,"ASD 1/sum(Aki), J-resolved",9.167583425009168e-10,1/1,yes,4.898910000000001,4.898910000000001,,,L12548c207
B IV,B,3,1s.5p,1P*,1.0,3,250.7001,0.0012,odd,,no,259.374379,4.0249947384317876e-11,"ASD 1/sum(Aki), J-resolved",4.0249947384317876e-11,8/9,no,250.7001,250.7001,,,L12548c207
B IV,B,3,1s.6s,3S,1.0,3,253.11925,0.00015,even,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.6s,1S,0.0,1,253.2486,0.0012,even,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.6p,3P*,0.0,1,253.25652,0.00015,odd,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.6p,3P*,1.0,3,253.25652,0.00015,odd,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.6p,3P*,2.0,5,253.25652,0.00015,odd,,no,259.374379,,,,,,,,,,u45
B IV,B,3,1s.6d,3D,1.0,3,253.3233,0.00015,even,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.6d,3D,2.0,5,253.3233,0.00015,even,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.6d,3D,3.0,7,253.3233,0.00015,even,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.6d,1D,2.0,5,253.3263,0.0012,even,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.6f,3F*,2.0,5,253.32738,0.00011,odd,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.6f,3F*,3.0,7,253.32738,0.00011,odd,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.6f,3F*,4.0,9,253.32738,0.00011,odd,,no,259.374379,1.9295898874911458e-09,"ASD 1/sum(Aki), J-resolved",1.9295898874911458e-09,6/7,no,7.570760000000007,18.165880000000016,,,L12548c207
B IV,B,3,1s.6f,1F*,3.0,7,253.32743,0.00017,odd,,no,259.374379,1.0802040453159726e-09,"ASD 1/sum(Aki), J-resolved",1.0802040453159726e-09,11/12,no,18.14783,18.165930000000003,,,L12548c207
B IV,B,3,1s.6g,1G,4.0,9,253.3277,0.00014,even,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.6g,3G,3.0,7,253.3277,0.00014,even,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.6g,3G,4.0,9,253.3277,0.00014,even,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.6g,3G,5.0,11,253.3277,0.00014,even,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.6h,1H*,5.0,11,253.32802,0.00015,odd,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.6h,3H*,4.0,9,253.32802,0.00015,odd,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.6h,3H*,5.0,11,253.32802,0.00015,odd,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.6h,3H*,6.0,13,253.32802,0.00015,odd,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.6p,1P*,1.0,3,253.3469,0.0005,odd,,no,259.374379,6.960482035675172e-11,"ASD 1/sum(Aki), J-resolved",6.960482035675172e-11,10/10,yes,253.3469,253.3469,,,u45
B IV,B,3,1s.7s,3S,1.0,3,254.80136,0.00012,even,,no,259.374379,,,,,,,,,,u45
B IV,B,3,1s.7s,1S,0.0,1,254.8813,0.0009,even,,no,259.374379,,,,,,,,,,u45
B IV,B,3,1s.7p,3P*,2.0,5,254.88717,0.00012,odd,,no,259.374379,,,,,,,,,,u45
B IV,B,3,1s.7p,3P*,0.0,1,254.8872,0.00012,odd,,no,259.374379,,,,,,,,,,u45
B IV,B,3,1s.7p,3P*,1.0,3,254.88721,0.00012,odd,,no,259.374379,,,,,,,,,,u45
B IV,B,3,1s.7d,3D,1.0,3,254.9288,0.0007,even,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.7d,3D,2.0,5,254.9288,0.0007,even,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.7d,3D,3.0,7,254.9288,0.0007,even,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.7d,1D,2.0,5,254.9312,0.0004,even,,no,259.374379,,,,,,,,,,u45
B IV,B,3,1s.7f,1F*,3.0,7,254.93154,0.00011,odd,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.7f,3F*,2.0,5,254.93154,0.00011,odd,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.7f,3F*,3.0,7,254.93154,0.00011,odd,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.7f,3F*,4.0,9,254.93154,0.00011,odd,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.7g,1G,4.0,9,254.93176,0.00016,even,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.7g,3G,3.0,7,254.93176,0.00016,even,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.7g,3G,4.0,9,254.93176,0.00016,even,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.7g,3G,5.0,11,254.93176,0.00016,even,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.7i,1I,6.0,13,254.93192,0.00025,even,,no,259.374379,,,,,,,,,,u48
B IV,B,3,1s.7i,3I,5.0,11,254.93192,0.00025,even,,no,259.374379,,,,,,,,,,u48
B IV,B,3,1s.7i,3I,6.0,13,254.93192,0.00025,even,,no,259.374379,,,,,,,,,,u48
B IV,B,3,1s.7i,3I,7.0,15,254.93192,0.00025,even,,no,259.374379,,,,,,,,,,u48
B IV,B,3,1s.7h,1H*,5.0,11,254.93227,0.00014,odd,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.7h,3H*,4.0,9,254.93227,0.00014,odd,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.7h,3H*,5.0,11,254.93227,0.00014,odd,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.7h,3H*,6.0,13,254.93227,0.00014,odd,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.7p,1P*,1.0,3,254.9439,0.0005,odd,,no,259.374379,,,,,,,,,,u45
B IV,B,3,1s.8s,3S,1.0,3,255.886,0.00012,even,,no,259.374379,,,,,,,,,,u45
B IV,B,3,1s.8s,1S,0.0,1,255.9392,0.0006,even,,no,259.374379,,,,,,,,,,u45
B IV,B,3,1s.8p,3P*,0.0,1,255.9432,0.0003,odd,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.8p,3P*,1.0,3,255.9432,0.0003,odd,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.8p,3P*,2.0,5,255.9432,0.0003,odd,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.8d,3D,1.0,3,255.9712,0.0003,even,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.8d,3D,2.0,5,255.9712,0.0003,even,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.8d,3D,3.0,7,255.9712,0.0003,even,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.8d,1D,2.0,5,255.9721,0.0012,even,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.8f,1F*,3.0,7,255.97272,0.00025,odd,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.8f,3F*,2.0,5,255.97272,0.00025,odd,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.8f,3F*,3.0,7,255.97272,0.00025,odd,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.8f,3F*,4.0,9,255.97272,0.00025,odd,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.8g,1G,4.0,9,255.97311,0.00015,even,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.8g,3G,3.0,7,255.97311,0.00015,even,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.8g,3G,4.0,9,255.97311,0.00015,even,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.8g,3G,5.0,11,255.97311,0.00015,even,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.8h,1H*,5.0,11,255.97347,0.00015,odd,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.8h,3H*,4.0,9,255.97347,0.00015,odd,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.8h,3H*,5.0,11,255.97347,0.00015,odd,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.8h,3H*,6.0,13,255.97347,0.00015,odd,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.8i,1I,6.0,13,255.9737,0.00021,even,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.8i,3I,5.0,11,255.9737,0.00021,even,,no,259.374379,,,,,,,,,,L12548c207
B IV,B,3,1s.8i,3I,6.0,13,255.9737,0.00021,even,,no,259.374379,,,,,,,,,,L12548c207
