obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""143.315""","=""143.3225+""","=""""","=""""",,"=""0.7035864""","=""9.35430""","=""5d""","=""2D""","=""5/2""","=""10f""","=""2F*""","=""5/2""",6,6,,"=""""","=""L3450""",
"=""144.485""","=""144.47277+""","=""""","=""8.1e+06""",E,"=""0.6042806""","=""9.186119""","=""5d""","=""2D""","=""3/2""","=""9f""","=""2F*""","=""5/2""",4,6,,"=""T4515""","=""L3450""",
"=""150.401""","=""150.38638+""","=""""","=""1.5e+07""",E,"=""0.7035864""","=""8.947963""","=""5d""","=""2D""","=""5/2""","=""8f""","=""2F*""","=""7/2""",6,8,,"=""T4515""","=""L3450""",
"=""155.438""","=""155.42939+""","=""""","=""2.6e+07""",E,"=""0.6042806""","=""8.581163""","=""5d""","=""2D""","=""3/2""","=""7f""","=""2F*""","=""5/2""",4,6,,"=""T4515""","=""L3450""",
"=""157.273""","=""157.26818+""","=""""","=""2.4e+07""",E,"=""0.7035864""","=""8.587203""","=""5d""","=""2D""","=""5/2""","=""7f""","=""2F*""","=""7/2""",6,8,,"=""T4515""","=""L3450""",
"=""157.392""","=""157.38875+""","=""""","=""1.6e+06""",E,"=""0.7035864""","=""8.581163""","=""5d""","=""2D""","=""5/2""","=""7f""","=""2F*""","=""5/2""",6,6,,"=""T4515""","=""L3450""",
"=""163.040""","=""163.027+""","=""""","=""2.4e+06""",C,"=""0.0000000""","=""7.60513""","=""6s""","=""2S""","=""1/2""","=""8p""","=""2P*""","=""1/2""",2,2,,"=""T3225,T7387""","=""L3450""",
"=""167.451""","=""167.4411+""","=""""","=""2.2e+07""",E,"=""0.6042806""","=""8.008924""","=""5d""","=""2D""","=""3/2""","=""6f""","=""2F*""","=""5/2""",4,6,,"=""T4515""","=""L3450""",
"=""169.437""","=""169.4276+""","=""""","=""2.1e+07""",E,"=""0.7035864""","=""8.021416""","=""5d""","=""2D""","=""5/2""","=""6f""","=""2F*""","=""7/2""",6,8,,"=""T4515""","=""L3450""",
"=""169.716""","=""169.7173+""","=""""","=""1.7e+06""",E,"=""0.7035864""","=""8.008924""","=""5d""","=""2D""","=""5/2""","=""6f""","=""2F*""","=""5/2""",6,6,,"=""T4515""","=""L3450""",
"=""176.175""","=""176.155+""","=""""","=""3.9e+05""",E,"=""0.6042806""","=""7.64263""","=""5d""","=""2D""","=""3/2""","=""8p""","=""2P*""","=""3/2""",4,4,,"=""T4515""","=""L3450""",
"=""177.103""","=""177.099+""","=""""","=""1.0e+07""",D,"=""0.6042806""","=""7.60513""","=""5d""","=""2D""","=""3/2""","=""8p""","=""2P*""","=""1/2""",4,2,,"=""T3225,T7387""","=""L3450""",
