spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
Ba II,Ba,1,6s,2S,0.5,2,0.0,0.0,even,,no,10.003826,,,,,,,,,,L11975
Ba II,Ba,1,5d,2D,1.5,4,0.6042806,,even,,no,10.003826,,,,,,,,,,L9224
Ba II,Ba,1,5d,2D,2.5,6,0.7035864,,even,,no,10.003826,,,,,,,,,,L9224
Ba II,Ba,1,6p,2P*,0.5,2,2.5121134,,odd,,no,10.003826,7.917656373713381e-09,"ASD 1/sum(Aki), J-resolved",7.917656373713381e-09,2/2,yes,2.5121134,2.5121134,,,L9224
Ba II,Ba,1,6p,2P*,1.5,4,2.7217512,,odd,,no,10.003826,6.321112515802781e-09,"ASD 1/sum(Aki), J-resolved",6.321112515802781e-09,3/3,yes,2.7217512,2.7217512,,,L9224
Ba II,Ba,1,7s,2S,0.5,2,5.2513724,,even,,no,10.003826,5.871990604815032e-09,"ASD 1/sum(Aki), J-resolved",5.871990604815032e-09,2/2,yes,2.5296212000000002,2.739259,,,L9224
Ba II,Ba,1,6d,2D,1.5,4,5.6970085,,even,,no,10.003826,3.961965134706815e-09,"ASD 1/sum(Aki), J-resolved",3.961965134706815e-09,2/2,yes,3.1848951,3.1848951,,,L9224
Ba II,Ba,1,6d,2D,2.5,6,5.7224717,,even,,no,10.003826,4.587155963302753e-09,"ASD 1/sum(Aki), J-resolved",4.587155963302753e-09,1/1,yes,3.0007205,3.0007205,,,L9224
Ba II,Ba,1,4f,2F*,2.5,6,5.9833059,,odd,,no,10.003826,,,,,,,,,,L9224
Ba II,Ba,1,4f,2F*,3.5,8,6.0111671,,odd,,no,10.003826,,,,,,,,,,L9224
Ba II,Ba,1,7p,2P*,0.5,2,6.1235575,,odd,,no,10.003826,2.3590469450342062e-08,"ASD 1/sum(Aki), J-resolved",2.3590469450342062e-08,4/4,yes,0.8721851000000003,6.1235575,,,L9224
Ba II,Ba,1,7p,2P*,1.5,4,6.2006159,,odd,,no,10.003826,1.973943939992104e-08,"ASD 1/sum(Aki), J-resolved",1.973943939992104e-08,5/5,yes,0.9492434999999997,6.2006159,,,L9224
Ba II,Ba,1,5f,2F*,2.5,6,7.1155675,,odd,,no,10.003826,1.2848515996402416e-08,"ASD 1/sum(Aki), J-resolved",1.2848515996402416e-08,2/2,yes,1.4185590000000001,1.4185590000000001,,,L9224
Ba II,Ba,1,5f,2F*,3.5,8,7.145425,,odd,,no,10.003826,1.221001221001221e-08,"ASD 1/sum(Aki), J-resolved",1.221001221001221e-08,2/2,yes,1.4229533000000005,6.4418386000000005,,,L9224
Ba II,Ba,1,8s,2S,0.5,2,7.1942093,,even,,no,10.003826,9.29368029739777e-09,"ASD 1/sum(Aki), J-resolved",9.29368029739777e-09,4/4,yes,4.4724581,4.6820959,,,L9224
Ba II,Ba,1,7d,2D,1.5,4,7.4142866,,even,,no,10.003826,7.720815318097591e-09,"ASD 1/sum(Aki), J-resolved",7.720815318097591e-09,4/4,yes,4.9021732,4.9021732,,,L9224
Ba II,Ba,1,7d,2D,2.5,6,7.4260246,,even,,no,10.003826,8.64304235090752e-09,"ASD 1/sum(Aki), J-resolved",8.64304235090752e-09,2/2,yes,4.7042734,4.7042734,,,L9224
Ba II,Ba,1,8p,2P*,0.5,2,7.60513,,odd,,no,10.003826,8.064516129032257e-08,"ASD 1/sum(Aki), J-resolved",8.064516129032257e-08,2/2,yes,7.0008494,7.60513,,,L3726
Ba II,Ba,1,8p,2P*,1.5,4,7.64263,,odd,,no,10.003826,2.0876826722338204e-07,"ASD 1/sum(Aki), J-resolved",2.0876826722338204e-07,2/2,yes,6.9390436,7.0383493999999995,,,L3726
Ba II,Ba,1,5g,2G,3.5,8,7.814318,,even,,no,10.003826,4.84027105517909e-09,"ASD 1/sum(Aki), J-resolved",4.84027105517909e-09,3/3,yes,1.8310120999999997,1.8310120999999997,,,L9224
Ba II,Ba,1,5g,2G,4.5,10,7.814318,,even,,no,10.003826,8.880994671403197e-09,"ASD 1/sum(Aki), J-resolved",8.880994671403197e-09,2/2,yes,1.8031509000000003,1.8031509000000003,,,L9224
Ba II,Ba,1,6f,2F*,2.5,6,8.008924,,odd,,no,10.003826,3.57398141529664e-08,"ASD 1/sum(Aki), J-resolved",3.57398141529664e-08,4/4,yes,7.4046434,7.4046434,,,L6094
Ba II,Ba,1,6f,2F*,3.5,8,8.021416,,odd,,no,10.003826,3.9682539682539686e-08,"ASD 1/sum(Aki), J-resolved",3.9682539682539686e-08,2/2,yes,7.3178296000000005,7.3178296000000005,,,L6094
Ba II,Ba,1,9s,2S,0.5,2,8.1437342,,even,,no,10.003826,2.0226537216828478e-08,"ASD 1/sum(Aki), J-resolved",2.0226537216828478e-08,4/4,yes,5.421983000000001,5.6316208,,,L9224
Ba II,Ba,1,8d,2D,1.5,4,8.2664792,,even,,no,10.003826,1.6934801016088063e-08,"ASD 1/sum(Aki), J-resolved",1.6934801016088063e-08,5/5,yes,5.754365799999999,5.754365799999999,,,L9224
Ba II,Ba,1,8d,2D,2.5,6,8.2729189,,even,,no,10.003826,1.8355359765051394e-08,"ASD 1/sum(Aki), J-resolved",1.8355359765051394e-08,3/3,yes,5.551167700000001,5.551167700000001,,,L9224
Ba II,Ba,1,9p,2P*,0.5,2,8.37032,,odd,,no,10.003826,,,,,,,,,,L3726
Ba II,Ba,1,9p,2P*,1.5,4,8.39142,,odd,,no,10.003826,,,,,,,,,,L3726
Ba II,Ba,1,6g,2G,3.5,8,8.4837545,,even,,no,10.003826,1.890359168241966e-08,"ASD 1/sum(Aki), J-resolved",1.890359168241966e-08,2/2,yes,2.5004485999999995,2.5004485999999995,,,L9224
