conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
6s,2S,0.5,2.0,0.0,6p,2P*,0.5,2.0,2.512113,2.512113,493.54539,95300000.0,0.34802,0.69604,0.0092365
6s,2S,0.5,2.0,0.0,6p,2P*,1.5,4.0,2.721751,2.721751,455.53098,111000000.0,0.69063,1.3813,0.018329
6s,2S,0.5,2.0,0.0,7p,2P*,0.5,2.0,6.123558,6.123558,202.47087,6900000.0,0.0042407,0.0084813,0.00011255
6s,2S,0.5,2.0,0.0,7p,2P*,1.5,4.0,6.200616,6.200616,199.95465,10000000.0,0.011988,0.023976,0.00031817
6s,2S,0.5,2.0,0.0,8p,2P*,0.5,2.0,7.60513,7.60513,163.02706,2400000.0,0.00095629,0.0019126,2.538e-05
5d,2D,1.5,4.0,0.604281,6p,2P*,0.5,2.0,2.512113,1.907833,649.86931,31000000.0,0.098139,0.39256,0.0026046
5d,2D,1.5,4.0,0.604281,6p,2P*,1.5,4.0,2.721751,2.117471,585.52973,6000000.0,0.03084,0.12336,0.00081848
5d,2D,1.5,4.0,0.604281,7p,2P*,0.5,2.0,6.123558,5.519277,224.63848,16000000.0,0.0060523,0.024209,0.00016063
5d,2D,1.5,4.0,0.604281,7p,2P*,1.5,4.0,6.200616,5.596335,221.54534,1600000.0,0.0011773,0.0047094,3.1247e-05
5d,2D,1.5,4.0,0.604281,8p,2P*,0.5,2.0,7.60513,7.000849,177.09879,10000000.0,0.002351,0.0094042,6.2397e-05
5d,2D,1.5,4.0,0.604281,8p,2P*,1.5,4.0,7.64263,7.038349,176.15522,390000.0,0.00018143,0.00072573,4.8152e-06
5d,2D,1.5,4.0,0.604281,6f,2F*,2.5,6.0,8.008924,7.404643,167.44115,22000000.0,0.013871,0.055483,0.00036813
5d,2D,1.5,4.0,0.604281,7f,2F*,2.5,6.0,8.581163,7.976882,155.42939,26000000.0,0.014125,0.0565,0.00037488
5d,2D,1.5,4.0,0.604281,9f,2F*,2.5,6.0,9.186119,8.581838,144.47277,8100000.0,0.003802,0.015208,0.0001009
5d,2D,2.5,6.0,0.703586,6p,2P*,1.5,4.0,2.721751,2.018165,614.3413,41200000.0,0.15541,0.93247,0.0041246
5d,2D,2.5,6.0,0.703586,7p,2P*,1.5,4.0,6.200616,5.49703,225.54763,14000000.0,0.0071182,0.042709,0.00018892
5d,2D,2.5,6.0,0.703586,5f,2F*,3.5,8.0,7.145425,6.441839,192.4671,3100000.0,0.0022955,0.013773,6.0922e-05
5d,2D,2.5,6.0,0.703586,8p,2P*,1.5,4.0,7.64263,6.939044,178.67621,4400000.0,0.001404,0.0084238,3.7261e-05
5d,2D,2.5,6.0,0.703586,6f,2F*,2.5,6.0,8.008924,7.305338,169.71727,1700000.0,0.00073411,0.0044047,1.9483e-05
5d,2D,2.5,6.0,0.703586,6f,2F*,3.5,8.0,8.021416,7.31783,169.42756,21000000.0,0.01205,0.0723,0.00031981
5d,2D,2.5,6.0,0.703586,7f,2F*,2.5,6.0,8.581163,7.877577,157.38876,1600000.0,0.00059419,0.0035652,1.577e-05
5d,2D,2.5,6.0,0.703586,7f,2F*,3.5,8.0,8.587203,7.883617,157.26817,24000000.0,0.011866,0.071194,0.00031491
5d,2D,2.5,6.0,0.703586,8f,2F*,3.5,8.0,8.947963,8.244377,150.38638,15000000.0,0.0067812,0.040687,0.00017997
6p,2P*,0.5,2.0,2.512113,7s,2S,0.5,2.0,5.251372,2.739259,452.61948,66300000.0,0.20363,0.40726,0.0054043
6p,2P*,0.5,2.0,2.512113,6d,2D,1.5,4.0,5.697008,3.184895,389.28817,217000000.0,0.98603,1.9721,0.026169
6p,2P*,0.5,2.0,2.512113,8s,2S,0.5,2.0,7.194209,4.682096,264.80491,22600000.0,0.023759,0.047517,0.00063055
6p,2P*,0.5,2.0,2.512113,7d,2D,1.5,4.0,7.414287,4.902173,252.91681,69000000.0,0.13234,0.26468,0.0035123
6p,2P*,0.5,2.0,2.512113,9s,2S,0.5,2.0,8.143734,5.631621,220.15722,11000000.0,0.0079932,0.015986,0.00021214
6p,2P*,0.5,2.0,2.512113,8d,2D,1.5,4.0,8.266479,5.754366,215.4611,34000000.0,0.047327,0.094653,0.0012561
6p,2P*,0.5,2.0,2.512113,10s,2S,0.5,2.0,8.680702,6.168589,200.99281,6500000.0,0.0039367,0.0078734,0.00010448
6p,2P*,0.5,2.0,2.512113,9d,2D,1.5,4.0,8.755795,6.243681,198.57548,20000000.0,0.023647,0.047293,0.00062758
