State,Lifetime /s,Energy /eV
Be 1S;v=1s2.2s2,,0.0
Be 3Po;v=1s2.2s.2p,2.38095,2.72497343699826
Be 1Po;v=1s2.2s.2p,1.81159e-09,5.27732765664112
Be 3S;v=1s2.2s.3s,6.53168e-09,6.45705968337646
Be 1S;v=1s2.2s.3s,2.95858e-08,6.77896483021376
Be 3Po;v=1s2.2s.3p,8.54701e-08,7.3034306876129
Be 3P;v=1s2.2p2,2.36407e-09,7.40089241767329
Be 1Po;v=1s2.2s.3p,7.3046e-08,7.46211440254013
Be 3D;v=1s2.2s.3d,5.18807e-09,7.69350077426346
Be 1D;v=1s2.2s.3d,1.23335e-08,7.98791925839323
Be 3S;v=1s2.2s.4s,1.78667e-08,7.99760220091672
Be 1S;v=1s2.2s.4s,4.78469e-08,8.08921201180798
Be 3Po;v=1s2.2s.4p,4.52489e-07,8.28342877830029
Be 1Po;v=1s2.2s.4p,1.03199e-06,8.31106421861382
Be 3D;v=1s2.2s.4d,1.16958e-08,8.42349049621051
Be 3Fo;v=1s2.2s.4f,6.26184e-08,8.4606105089062
Be 1Fo;v=1s2.2s.4f,5.99218e-08,8.4606477033077
Be 1D;v=1s2.2s.4d,2.03194e-08,8.52756043160383
Be 1D;v=1s2.2p2,,7.052374354
