conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
1s2.2s2,1S,0.0,1.0,0.0,1s2.2s.2p,3P*,1.0,3.0,2.725039,2.725039,454.98131,0.42,3.9104e-09,3.9104e-09,1.0378e-10
1s2.2s2,1S,0.0,1.0,0.0,1s2.2s.2p,3P*,2.0,5.0,2.725329,2.725329,454.93296,0.000165,2.5598e-12,2.5598e-12,6.7937e-14
1s2.2s2,1S,0.0,1.0,0.0,1s2.2s.2p,1P*,1.0,3.0,5.277443,5.277443,234.93232,552000000.0,1.3703,1.3703,0.036367
1s2.2s2,1S,0.0,1.0,0.0,1s2.2s.3p,3P*,1.0,3.0,7.303596,7.303596,169.75774,0.44,5.7029e-10,5.7029e-10,1.5135e-11
1s2.2s2,1S,0.0,1.0,0.0,1s2.2s.3p,1P*,1.0,3.0,7.462292,7.462292,166.14761,7230000.0,0.0089765,0.0089765,0.00023824
1s2.2s2,1S,0.0,1.0,0.0,1s2.2s.4p,1P*,1.0,3.0,8.311256,8.311256,149.17625,120000.0,0.00012011,0.00012011,3.1876e-06
1s2.2s2,1S,0.0,1.0,0.0,1s2.2s.5p,1P*,1.0,3.0,8.693845,8.693845,142.61147,757000.0,0.00069245,0.00069245,1.8378e-05
1s2.2s2,1S,0.0,1.0,0.0,1s2.2s.6p,1P*,1.0,3.0,8.895391,8.895391,139.38027,776000.0,0.00067802,0.00067802,1.7995e-05
1s2.2s2,1S,0.0,1.0,0.0,1s2.2s.7p,1P*,1.0,3.0,9.01387,9.01387,137.54824,630000.0,0.00053608,0.00053608,1.4228e-05
1s2.2s2,1S,0.0,1.0,0.0,1s2.2s.8p,3P*,1.0,3.0,9.089177,9.089177,136.40861,56000.0,4.6865e-05,4.6865e-05,1.2438e-06
1s2.2s2,1S,0.0,1.0,0.0,1s2.2s.8p,1P*,1.0,3.0,9.08924,9.08924,136.40766,428000.0,0.00035818,0.00035818,9.5061e-06
1s2.2s2,1S,0.0,1.0,0.0,1s2.2s.9p,1P*,1.0,3.0,9.14004,9.14004,135.64951,371000.0,0.00030704,0.00030704,8.1488e-06
1s2.2s.2p,3P*,0.0,1.0,2.724963,1s2.2s.2p,3P*,1.0,3.0,2.725039,7.6e-05,16228298.21985,4.83e-12,5.721e-11,5.721e-11,1.5184e-12
1s2.2s.2p,3P*,0.0,1.0,2.724963,1s2.2s.2p,3P*,2.0,5.0,2.725329,0.000366,3387546.40437,2.78e-19,2.3914e-19,2.3914e-19,6.3467e-21
1s2.2s.2p,3P*,0.0,1.0,2.724963,1s2.2s.2p,1P*,1.0,3.0,5.277443,2.55248,485.74009,1.03e-06,1.093e-14,1.093e-14,2.9009e-16
1s2.2s.2p,3P*,0.0,1.0,2.724963,1s2.2s.3s,3S,1.0,3.0,6.457214,3.732251,332.19684,17000000.0,0.084376,0.084376,0.0022393
1s2.2s.2p,3P*,0.0,1.0,2.724963,1s2.2p2,3P,1.0,3.0,7.401235,4.676272,265.1347,141000000.0,0.44579,0.44579,0.011831
1s2.2s.2p,3P*,0.0,1.0,2.724963,1s2.2s.3d,3D,1.0,3.0,7.693683,4.96872,249.52945,107000000.0,0.29965,0.29965,0.0079526
1s2.2s.2p,3P*,0.0,1.0,2.724963,1s2.2s.4s,3S,1.0,3.0,7.997785,5.272822,235.13822,4700000.0,0.011688,0.011688,0.00031019
1s2.2s.2p,3P*,0.0,1.0,2.724963,1s2.2s.4d,3D,1.0,3.0,8.423689,5.698726,217.56477,45100000.0,0.096014,0.096014,0.0025482
1s2.2s.2p,3P*,0.0,1.0,2.724963,1s2.2s.5s,3S,1.0,3.0,8.556172,5.831209,212.62177,2020000.0,0.0041072,0.0041072,0.00010901
1s2.2s.2p,3P*,0.0,1.0,2.724963,1s2.2s.5d,3D,1.0,3.0,8.753751,6.028788,205.6536,22800000.0,0.04337,0.04337,0.001151
1s2.2s.2p,3P*,0.0,1.0,2.724963,1s2.2s.6s,3S,1.0,3.0,8.822779,6.097816,203.32558,1060000.0,0.0019709,0.0019709,5.2308e-05
1s2.2s.2p,3P*,0.0,1.0,2.724963,1s2.2s.6d,3D,1.0,3.0,8.930519,6.205556,199.79547,13000000.0,0.02334,0.02334,0.00061944
1s2.2s.2p,3P*,0.0,1.0,2.724963,1s2.2s.7s,3S,1.0,3.0,8.97084,6.245877,198.50567,620000.0,0.0010988,0.0010988,2.9162e-05
1s2.2s.2p,3P*,0.0,1.0,2.724963,1s2.2s.7d,3D,1.0,3.0,9.036096,6.311133,196.45315,8150000.0,0.014147,0.014147,0.00037545
1s2.2s.2p,3P*,0.0,1.0,2.724963,1s2.2s.8s,3S,1.0,3.0,9.06181,6.336847,195.65598,398000.0,0.00068525,0.00068525,1.8187e-05
1s2.2s.2p,3P*,0.0,1.0,2.724963,1s2.2s.8d,3D,1.0,3.0,9.104089,6.379126,194.35922,5430000.0,0.0092255,0.0092255,0.00024485
1s2.2s.2p,3P*,0.0,1.0,2.724963,1s2.2s.9d,3D,1.0,3.0,9.1502,6.425237,192.9644,3790000.0,0.0063471,0.0063471,0.00016845
