State,Lifetime /s,Energy /eV
C 3P;v=2s2.2p2,,0.0
C 1D;v=2s2.2p2,3412.28,1.26370458718554
C 1S;v=2s2.2p2,1.66024,2.68394801214521
C 5So;v=2s.2p3,0.0333333,4.18252284666112
C 3Po;v=2s2.2p.3s,2.88112e-09,7.48021567793616
C 1Po;v=2s2.2p.3s,2.7241e-09,7.68458651603761
C 3Do;v=2s.2p3,8.50702e-09,7.94595157536888
C 1P;v=2s2.2p.3p,1.15912e-07,8.53690862451384
C 3D;v=2s2.2p.3p,5.42582e-08,8.64019747747569
C 3S;v=2s2.2p.3p,4.13114e-08,8.77093579874357
C 3P;v=2s2.2p.3p,3.28919e-08,8.84637844311674
C 1D;v=2s2.2p.3p,3.43578e-08,9.00237176300223
C 1S;v=2s2.2p.3p,2.8486e-08,9.17163108608892
C 3Po;v=2s.2p3,4.47916e-09,9.33036439355148
C 1Do;v=2s2.2p.3d,1.74165e-08,9.63084556512554
C 3Po;v=2s2.2p.4s,9.21948e-09,9.68356243018301
C 3Fo;v=2s2.2p.3d,3.09398e-08,9.69522907411976
C 3Do;v=2s2.2p.3d,4.06608e-09,9.70693291245802
C 1Po;v=2s2.2p.4s,1.16143e-08,9.71273523909181
C 1Fo;v=2s2.2p.3d,5.18691e-09,9.73620490643748
C 1Po;v=2s2.2p.3d,6.15745e-09,9.76121194237843
C 3Po;v=2s2.2p.3d,5.07264e-09,9.83459649653534
C 1P;v=2s2.2p.4p,2.27058e-07,9.98829616166175
C 3D;v=2s2.2p.4p,2.4154e-07,10.015510065425
C 3S;v=2s2.2p.4p,2.06322e-07,10.0555188433037
C 3P;v=2s2.2p.4p,1.42027e-07,10.0810589989995
C 1D;v=2s2.2p.4p,1.11832e-07,10.1379416370248
C 1S;v=2s2.2p.4p,7.35164e-08,10.1976882439655
C 1Do;v=2s2.2p.4d,4.74858e-08,10.3521441952557
C 3Fo;v=2s2.2p.4d,7.46285e-08,10.3831147335703
C 3Do;v=2s2.2p.4d,8.58841e-09,10.3921405750007
C 2[5/2];v=2s2.2p(2Po_1/2)4f,6.35946e-08,10.4044891162982
C 2[7/2];v=2s2.2p(2Po_1/2)4f,6.06649e-08,10.4052825968635
C 1Fo;v=2s2.2p.4d,9.1434e-09,10.4078862049684
C 2[7/2];v=2s2.2p(2Po_3/2)4f,6.1297e-08,10.4127214771633
C 2[5/2];v=2s2.2p(2Po_3/2)4f,6.56901e-08,10.4160937695658
C 2[9/2];v=2s2.2p(2Po_3/2)4f,6.44745e-08,10.416453315447
C 1Po;v=2s2.2p.4d,1.1542e-08,10.4184122205926
C 2[3/2];v=2s2.2p(2Po_3/2)4f,6.33621e-08,10.4189329422135
C 3Po;v=2s2.2p.4d,1.25734e-08,10.4294589578377
C 5P;v=2s.2p2(4P)3s,4.7619e-09,12.8372757332566
C 3So;v=2s.2p3,2.92062e-10,13.1171016138651
