Initial State,Final State,Partial Lifetime /s,Delta Energy /eV
C 1D;v=2s2.2p2,C 3P;v=2s2.2p2,3412.3,-1.26370458718554
C 1S;v=2s2.2p2,C 1D;v=2s2.2p2,1.6667,-1.4202434249596703
C 1S;v=2s2.2p2,C 3P;v=2s2.2p2,430.66,-2.68394801214521
C 5So;v=2s.2p3,C 3P;v=2s2.2p2,0.033333,-4.18252284666112
C 3Po;v=2s2.2p.3s,C 3P;v=2s2.2p2,2.8818e-09,-7.48021567793616
C 3Po;v=2s2.2p.3s,C 1D;v=2s2.2p2,1.2195e-05,-6.21651109075062
C 3Po;v=2s2.2p.3s,C 1S;v=2s2.2p2,0.00017241,-4.79626766579095
C 1Po;v=2s2.2p.3s,C 1D;v=2s2.2p2,2.9499e-09,-6.42088192885207
C 1Po;v=2s2.2p.3s,C 1S;v=2s2.2p2,3.5714e-08,-5.0006385038924
C 1Po;v=2s2.2p.3s,C 3P;v=2s2.2p2,1.0638e-05,-7.68458651603761
C 3Do;v=2s.2p3,C 3P;v=2s2.2p2,8.507e-09,-7.94595157536888
C 1P;v=2s2.2p.3p,C 1Po;v=2s2.2p.3s,1.1628e-07,-0.8523221084762298
C 1P;v=2s2.2p.3p,C 3Po;v=2s2.2p.3s,3.6764e-05,-1.0566929465776802
C 3D;v=2s2.2p.3p,C 3Po;v=2s2.2p.3s,5.4407e-08,-1.1599817995395298
C 3D;v=2s2.2p.3p,C 3Do;v=2s.2p3,2.8249e-05,-0.6942459021068101
C 3D;v=2s2.2p.3p,C 1Po;v=2s2.2p.3s,6.6667e-05,-0.9556109614380794
C 3S;v=2s2.2p.3p,C 3Po;v=2s2.2p.3s,4.1322e-08,-1.2907201208074106
C 3S;v=2s2.2p.3p,C 1Po;v=2s2.2p.3s,0.00015625,-1.0863492827059602
C 3P;v=2s2.2p.3p,C 3Po;v=2s2.2p.3s,3.3333e-08,-1.3661627651805794
C 3P;v=2s2.2p.3p,C 3Do;v=2s.2p3,2.5e-06,-0.9004268677478597
C 3P;v=2s2.2p.3p,C 1Po;v=2s2.2p.3s,0.00038462,-1.161791927079129
C 1D;v=2s2.2p.3p,C 1Po;v=2s2.2p.3s,3.4364e-08,-1.31778524696462
C 1D;v=2s2.2p.3p,C 3Po;v=2s2.2p.3s,0.00018182,-1.5221560850660705
C 1S;v=2s2.2p.3p,C 1Po;v=2s2.2p.3s,2.849e-08,-1.4870445700513102
C 1S;v=2s2.2p.3p,C 3Po;v=2s2.2p.3s,0.0002,-1.6914154081527606
C 3Po;v=2s.2p3,C 3P;v=2s2.2p2,4.5045e-09,-9.33036439355148
C 3Po;v=2s.2p3,C 3P;v=2s2.2p.3p,1.4085e-06,-0.48398595043474124
C 3Po;v=2s.2p3,C 3D;v=2s2.2p.3p,1.9608e-06,-0.6901669160757908
C 3Po;v=2s.2p3,C 3S;v=2s2.2p.3p,2.7778e-05,-0.5594285948079101
C 1Do;v=2s2.2p.3d,C 1D;v=2s2.2p2,2.8571e-08,-8.36714097794
C 1Do;v=2s2.2p.3d,C 1P;v=2s2.2p.3p,4.9261e-08,-1.0939369406116999
C 1Do;v=2s2.2p.3d,C 1D;v=2s2.2p.3p,5.3191e-07,-0.6284738021233096
C 1Do;v=2s2.2p.3d,C 3P;v=2s2.2p2,4.6512e-06,-9.63084556512554
C 1Do;v=2s2.2p.3d,C 3D;v=2s2.2p.3p,4.6083e-05,-0.9906480876498502
C 3Po;v=2s2.2p.4s,C 3P;v=2s2.2p2,1.1347e-08,-9.68356243018301
C 3Po;v=2s2.2p.4s,C 3D;v=2s2.2p.3p,8.6082e-08,-1.0433649527073197
C 3Po;v=2s2.2p.4s,C 3S;v=2s2.2p.3p,1.513e-07,-0.9126266314394389
C 3Po;v=2s2.2p.4s,C 3P;v=2s2.2p.3p,7.5079e-07,-0.8371839870662701
C 3Po;v=2s2.2p.4s,C 1D;v=2s2.2p2,1.2818e-06,-8.41985784299747
C 3Fo;v=2s2.2p.3d,C 3D;v=2s2.2p.3p,3.875e-08,-1.0550315966440706
C 3Fo;v=2s2.2p.3d,C 3P;v=2s2.2p2,1.6127e-07,-9.69522907411976
C 3Fo;v=2s2.2p.3d,C 3P;v=2s2.2p.3p,3.9365e-06,-0.848850631003021
C 3Fo;v=2s2.2p.3d,C 1D;v=2s2.2p2,1.8516e-05,-8.43152448693422
C 3Fo;v=2s2.2p.3d,C 3S;v=2s2.2p.3p,0.00017855,-0.9242932753761899
C 3Do;v=2s2.2p.3d,C 3P;v=2s2.2p2,4.4504e-09,-9.70693291245802
C 3Do;v=2s2.2p.3d,C 3P;v=2s2.2p.3p,8.3175e-08,-0.860554469341281
C 3Do;v=2s2.2p.3d,C 3D;v=2s2.2p.3p,1.6663e-07,-1.0667354349823306
