State,Lifetime /s,Energy /eV
C+ 2Po;v=2s2.2p,,0.0
C+ 4P;v=2s.2p2,0.00783085,5.33160668656154
C+ 2D;v=2s.2p2,3.465e-09,9.29024403246823
C+ 2S;v=2s.2p2,4.54959e-10,11.9634180663127
C+ 2P;v=2s.2p2,2.46305e-10,13.7153115713023
C+ 2S;v=2s2.3s,2.26244e-09,14.4485372061797
C+ 2Po;v=2s2.3p,9.05157e-09,16.3313178100432
C+ 4So;v=2p3,2.95421e-10,17.6086975388465
C+ 2D;v=2s2.3d,3.49423e-10,18.045359812441
C+ 2Do;v=2p3,1.83901e-09,18.6551000343428
C+ 2S;v=2s2.4s,2.02593e-09,19.4940817508149
C+ 2Po;v=2s2.4p,4.22797e-09,20.1491991425451
C+ 4Po;v=2s.2p(3Po)3s,1.18906e-09,20.7007921167706
C+ 2D;v=2s2.4d,7.16404e-10,20.8442385252172
C+ 2Po;v=2p3,4.93985e-10,20.9193712162445
C+ 2Fo;v=2s2.4f,3.93136e-09,20.9501185881501
C+ 2Po;v=2s.2p(3Po)3s,3.86645e-09,22.0407824214299
C+ 4D;v=2s.2p(3Po)3p,2.74424e-08,22.5270372303561
C+ 2P;v=2s.2p(3Po)3p,2.17694e-09,22.5675791279897
C+ 4S;v=2s.2p(3Po)3p,1.69808e-08,22.898237357313
C+ 4P;v=2s.2p(3Po)3p,1.07759e-08,23.113468960652
C+ 2D;v=2s.2p(3Po)3p,1.63057e-09,23.3805247634126
C+ 4Fo;v=2s.2p(3Po)3d,2.38476e-08,24.2697189219079
C+ 4Do;v=2s.2p(3Po)3d,2.37306e-10,24.3695238992627
C+ 2Do;v=2s.2p(3Po)3d,4.99424e-10,24.6009970579228
C+ 4Po;v=2s.2p(3Po)3d,4.45438e-10,24.6572845855242
C+ 4Po;v=2s.2p(3Po)4s,1.80675e-09,25.9805374095091
C+ 2P;v=2s.2p(3Po)4p,2.64691e-09,26.5820948630812
C+ 4D;v=2s.2p(3Po)4p,1.96078e-08,26.6262322195263
C+ 4S;v=2s.2p(3Po)4p,1.52207e-07,26.7512054085619
C+ 4P;v=2s.2p(3Po)4p,6.50618e-07,26.8249743048676
C+ 4Fo;v=2s.2p(3Po)4d,1.42857e-08,27.2209706994903
C+ 4Do;v=2s.2p(3Po)4d,5.19807e-10,27.2915160809995
C+ 2Do;v=2s.2p(3Po)4d,1.14205e-09,27.3505311980441
C+ 4Po;v=2s.2p(3Po)4d,9.13267e-10,27.380658663258
