spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
C IV,C,3,1s2.2s,2S,0.5,2,0.0,0.0,even,,no,64.49352,,,,,,,,,,L7288
C IV,C,3,1s2.2p,2P*,0.5,2,7.994939,1.6e-05,odd,,no,64.49352,3.787878787878788e-09,"ASD 1/sum(Aki), J-resolved",3.787878787878788e-09,1/1,yes,7.994939,7.994939,,,u57
C IV,C,3,1s2.2p,2P*,1.5,4,8.008258,6e-06,odd,,no,64.49352,3.7735849056603775e-09,"ASD 1/sum(Aki), J-resolved",3.7735849056603775e-09,1/1,yes,8.008258,8.008258,,,u57
C IV,C,3,1s2.3s,2S,0.5,2,37.54849,,even,,no,64.49352,2.34192037470726e-10,"ASD 1/sum(Aki), J-resolved",2.34192037470726e-10,2/2,yes,29.540232000000003,29.553551000000002,,,
C IV,C,3,1s2.3p,2P*,0.5,2,39.68116,,odd,,no,64.49352,2.1451862021623476e-10,"ASD 1/sum(Aki), J-resolved",2.1451862021623476e-10,2/2,yes,39.68116,39.68116,,,
C IV,C,3,1s2.3p,2P*,1.5,4,39.68507,,odd,,no,64.49352,2.145140184911084e-10,"ASD 1/sum(Aki), J-resolved",2.145140184911084e-10,2/2,yes,39.68507,39.68507,,,
C IV,C,3,1s2.3d,2D,1.5,4,40.27996,,even,,no,64.49352,5.707572044056429e-11,"ASD 1/sum(Aki), J-resolved",5.707572044056429e-11,4/4,yes,32.285021,32.285021,,,
C IV,C,3,1s2.3d,2D,2.5,6,40.28126,,even,,no,64.49352,5.714096659316243e-11,"ASD 1/sum(Aki), J-resolved",5.714096659316243e-11,2/2,yes,32.273002000000005,32.273002000000005,,,
C IV,C,3,1s2.4s,2S,0.5,2,49.76082,,even,,no,64.49352,3.746721618583739e-10,"ASD 1/sum(Aki), J-resolved",3.746721618583739e-10,4/4,yes,41.752562000000005,41.765881,,,
C IV,C,3,1s2.4p,2P*,0.5,2,50.62412,,odd,,no,64.49352,3.4386594729910493e-10,"ASD 1/sum(Aki), J-resolved",3.4386594729910493e-10,4/4,yes,50.62412,50.62412,,,
