spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
C V,C,4,1s2,1S,0.0,1,0.0,4e-05,even,,no,392.09056,,,,,,,,,,L21139
C V,C,4,1s.2s,3S,1.0,3,298.962205,4e-06,even,,no,392.09056,0.020588840848260244,"ASD 1/sum(Aki), J-resolved",0.020588840848260244,1/1,yes,298.962205,298.962205,,,L21139
C V,C,4,1s.2s,1S,0.0,1,304.387768,4e-06,even,,no,392.09056,,,,,,,,,,L21139
C V,C,4,1s.2p,3P*,1.0,3,304.4034097,1e-06,odd,,no,392.09056,1.7806267806267806e-08,"ASD 1/sum(Aki), J-resolved",1.7806267806267806e-08,1/2,no,5.441204700000014,304.4034097,,,L21139
C V,C,4,1s.2p,3P*,0.0,1,304.4049606,1e-06,odd,,no,392.09056,1.7790428749332858e-08,"ASD 1/sum(Aki), J-resolved",1.7790428749332858e-08,1/1,yes,5.442755599999998,5.442755599999998,,,L21139
C V,C,4,1s.2p,3P*,2.0,5,304.4202464,8e-07,odd,,no,392.09056,1.7631646690010967e-08,"ASD 1/sum(Aki), J-resolved",1.7631646690010967e-08,2/2,yes,5.458041400000013,304.4202464,,,L21139
C V,C,4,1s.2p,1P*,1.0,3,307.9024628,3e-07,odd,,no,392.09056,1.1269934160931932e-12,"ASD 1/sum(Aki), J-resolved",1.1269934160931932e-12,2/2,yes,307.9024628,307.9024628,,,L21139
C V,C,4,1s.3s,3S,1.0,3,352.0643,0.0004,even,,no,392.09056,1.496871538484567e-10,"ASD 1/sum(Aki), J-resolved",1.496871538484567e-10,3/3,yes,47.64405360000001,47.660890300000005,,,L21139
C V,C,4,1s.3s,1S,0.0,1,353.5004,0.0004,even,,no,392.09056,1.754693805930865e-10,"ASD 1/sum(Aki), J-resolved",1.754693805930865e-10,1/1,yes,45.59793719999999,45.59793719999999,,,L21139
C V,C,4,1s.3p,3P*,1.0,3,353.53156,0.0002,odd,,no,392.09056,7.333083079651435e-11,"ASD 1/sum(Aki), J-resolved",7.333083079651435e-11,2/2,yes,54.56935500000003,54.56935500000003,,,L21139
C V,C,4,1s.3p,3P*,0.0,1,353.53173,0.0002,odd,,no,392.09056,7.333081466428566e-11,"ASD 1/sum(Aki), J-resolved",7.333081466428566e-11,2/2,yes,54.569525,54.569525,,,L21139
C V,C,4,1s.3p,3P*,2.0,5,353.53653,0.0002,odd,,no,392.09056,7.333045975705032e-11,"ASD 1/sum(Aki), J-resolved",7.333045975705032e-11,2/2,yes,54.574325000000044,54.574325000000044,,,L21139
C V,C,4,1s.3d,3D,1.0,3,354.26298,0.00021,even,,no,392.09056,2.3529590678177025e-11,"ASD 1/sum(Aki), J-resolved",2.3529590678177025e-11,6/6,yes,49.858019400000046,49.85957030000003,,,"L22382c208,L19700"
C V,C,4,1s.3d,3D,2.0,5,354.26309,0.00021,even,,no,392.09056,2.354011598163356e-11,"ASD 1/sum(Aki), J-resolved",2.354011598163356e-11,4/4,yes,49.85968029999998,49.85968029999998,,,"L22382c208,L19700"
C V,C,4,1s.3d,3D,3.0,7,354.2645,0.00021,even,,no,392.09056,2.3551207437433627e-11,"ASD 1/sum(Aki), J-resolved",2.3551207437433627e-11,2/2,yes,49.8442536,49.8442536,,,"L22382c208,L19700"
C V,C,4,1s.3d,1D,2.0,5,354.29174,0.00021,even,,no,392.09056,2.5322616913275148e-11,"ASD 1/sum(Aki), J-resolved",2.5322616913275148e-11,3/3,yes,46.38927719999998,354.29174,,,"L22382c208,L19700"
C V,C,4,1s.3p,1P*,1.0,3,354.51908,0.00022,odd,,no,392.09056,3.728804838747198e-12,"ASD 1/sum(Aki), J-resolved",3.728804838747198e-12,4/4,yes,354.51908,354.51908,,,L21139
C V,C,4,1s.4s,3S,1.0,3,369.9139,0.0004,even,,no,392.09056,2.2758824734290722e-10,"ASD 1/sum(Aki), J-resolved",2.2758824734290722e-10,6/6,yes,65.49365360000002,65.51049030000001,,,L21139
C V,C,4,1s.4s,1S,0.0,1,370.4948,0.0004,even,,no,392.09056,,,,,,,,,,L21139
C V,C,4,1s.4p,3P*,1.0,3,370.51213,0.0002,odd,,no,392.09056,,,,,,,,,,L21139
C V,C,4,1s.4p,3P*,0.0,1,370.51217,0.0002,odd,,no,392.09056,,,,,,,,,,L21139
C V,C,4,1s.4p,3P*,2.0,5,370.51423,0.0002,odd,,no,392.09056,3.417319659498269e-09,"ASD 1/sum(Aki), J-resolved",3.417319659498269e-09,3/3,yes,16.24973,16.25124999999997,,,L21139
C V,C,4,1s.4d,3D,1.0,3,370.8137,0.001,even,,no,392.09056,,,,,,,,,,L11959c209
C V,C,4,1s.4d,3D,2.0,5,370.8139,0.001,even,,no,392.09056,,,,,,,,,,L11959c209
C V,C,4,1s.4d,3D,3.0,7,370.8143,0.001,even,,no,392.09056,5.421229534858506e-11,"ASD 1/sum(Aki), J-resolved",5.421229534858506e-11,2/2,yes,66.3940536,66.3940536,,,L11959c209
C V,C,4,1s.4d,1D,2.0,5,370.8295,0.001,even,,no,392.09056,5.972645284596547e-11,"ASD 1/sum(Aki), J-resolved",5.972645284596547e-11,2/2,yes,62.92703719999997,62.92703719999997,,,L11959c209
C V,C,4,1s.4f,3F*,3.0,7,370.8295,0.0004,odd,,no,392.09056,,,,,,,,,,L19700c210
C V,C,4,1s.4f,3F*,2.0,5,370.8297,0.0004,odd,,no,392.09056,,,,,,,,,,L19700c210
C V,C,4,1s.4f,3F*,4.0,9,370.83,0.0004,odd,,no,392.09056,,,,,,,,,,L19700c210
C V,C,4,1s.4f,1F*,3.0,7,370.8303,0.0003,odd,,no,392.09056,,,,,,,,,,L19700c210
C V,C,4,1s.4p,1P*,1.0,3,370.92071,0.0002,odd,,no,392.09056,8.762121676725294e-12,"ASD 1/sum(Aki), J-resolved",8.762121676725294e-12,5/5,yes,370.92071,370.92071,,,L21139
C V,C,4,1s.5s,3S,1.0,3,378.0211,0.0004,even,,no,392.09056,4.717915813510224e-10,"ASD 1/sum(Aki), J-resolved",4.717915813510224e-10,6/6,yes,73.6008536,73.61769029999999,,,L21139
C V,C,4,1s.5s,1S,0.0,1,378.3123,0.0004,even,,no,392.09056,,,,,,,,,,L21139
C V,C,4,1s.5p,3P*,0.0,1,378.32216,0.0002,odd,,no,392.09056,,,,,,,,,,L21139
C V,C,4,1s.5p,3P*,1.0,3,378.32216,0.0002,odd,,no,392.09056,,,,,,,,,,L21139
C V,C,4,1s.5p,3P*,2.0,5,378.32323,0.0002,odd,,no,392.09056,8.014875609130546e-09,"ASD 1/sum(Aki), J-resolved",8.014875609130546e-09,3/3,yes,24.058730000000025,24.060249999999996,,,L21139
C V,C,4,1s.5d,3D,2.0,5,378.4748,0.0011,even,,no,392.09056,1.1461449414893007e-10,"ASD 1/sum(Aki), J-resolved",1.1461449414893007e-10,4/4,yes,74.07139030000002,74.07139030000002,,,L11959c209
C V,C,4,1s.5d,3D,1.0,3,378.4748,0.001,even,,no,392.09056,1.145947928126146e-10,"ASD 1/sum(Aki), J-resolved",1.145947928126146e-10,6/6,yes,74.06983940000003,74.07139030000002,,,L11959c209
C V,C,4,1s.5d,3D,3.0,7,378.4749,0.001,even,,no,392.09056,1.1466574934067194e-10,"ASD 1/sum(Aki), J-resolved",1.1466574934067194e-10,2/2,yes,74.0546536,74.0546536,,,L11959c209
C V,C,4,1s.5d,1D,2.0,5,378.4834,0.001,even,,no,392.09056,1.1595681768109556e-10,"ASD 1/sum(Aki), J-resolved",1.1595681768109556e-10,3/3,yes,70.5809372,70.5809372,,,L11959c209
C V,C,4,1s.5f,3F*,3.0,7,378.4842,0.0003,odd,,no,392.09056,,,,,,,,,,L19700c210
C V,C,4,1s.5f,3F*,2.0,5,378.4842,0.0003,odd,,no,392.09056,,,,,,,,,,L19700c210
C V,C,4,1s.5f,3F*,4.0,9,378.4843,0.0003,odd,,no,392.09056,,,,,,,,,,L19700c210
C V,C,4,1s.5f,1F*,3.0,7,378.4843,0.0003,odd,,no,392.09056,,,,,,,,,,L19700c210
C V,C,4,1s.5g,3G,4.0,9,378.4848,0.0003,even,,no,392.09056,,,,,,,,,,L19700c210
C V,C,4,1s.5g,3G,3.0,7,378.4849,0.0003,even,,no,392.09056,,,,,,,,,,L19700c210
C V,C,4,1s.5g,3G,5.0,11,378.4849,0.0003,even,,no,392.09056,,,,,,,,,,L19700c210
C V,C,4,1s.5g,1G,4.0,9,378.4849,0.0003,even,,no,392.09056,,,,,,,,,,L19700c210
C V,C,4,1s.5p,1P*,1.0,3,378.52935,0.0002,odd,,no,392.09056,2.423858543809292e-10,"ASD 1/sum(Aki), J-resolved",2.423858543809292e-10,5/5,yes,74.14158200000003,74.14158200000003,,,L21139
C V,C,4,1s.6s,3S,1.0,3,382.3759,0.0004,even,,no,392.09056,2.1330603016147266e-09,"ASD 1/sum(Aki), J-resolved",2.1330603016147266e-09,3/3,yes,28.839369999999974,28.84433999999999,,,L21139
C V,C,4,1s.6s,1S,0.0,1,382.5423,0.0004,even,,no,392.09056,,,,,,,,,,L21139
C V,C,4,1s.6p,3P*,0.0,1,382.54832,0.0002,odd,,no,392.09056,,,,,,,,,,L21139
C V,C,4,1s.6p,3P*,1.0,3,382.54832,0.0002,odd,,no,392.09056,,,,,,,,,,L21139
C V,C,4,1s.6p,3P*,2.0,5,382.54894,0.0002,odd,,no,392.09056,1.5339305436249848e-08,"ASD 1/sum(Aki), J-resolved",1.5339305436249848e-08,3/3,yes,28.284440000000018,28.28595999999999,,,L21139
C V,C,4,1s.6d,3D,1.0,3,382.6359,0.0003,even,,no,392.09056,2.0718088963474009e-10,"ASD 1/sum(Aki), J-resolved",2.0718088963474009e-10,6/6,yes,78.23093940000001,78.2324903,,,L19700c210
C V,C,4,1s.6d,3D,2.0,5,382.6359,0.0003,even,,no,392.09056,,,,,,,,,,L19700c210
C V,C,4,1s.6d,3D,3.0,7,382.636,0.0003,even,,no,392.09056,,,,,,,,,,L19700c210
C V,C,4,1s.6d,1D,2.0,5,382.6398,0.0005,even,,no,392.09056,,,,,,,,,,L19700c210
C V,C,4,1s.6f,3F*,3.0,7,382.6417,0.0003,odd,,no,392.09056,,,,,,,,,,L19700c210
C V,C,4,1s.6f,3F*,2.0,5,382.6417,0.0003,odd,,no,392.09056,,,,,,,,,,L19700c210
C V,C,4,1s.6f,3F*,4.0,9,382.6418,0.0003,odd,,no,392.09056,,,,,,,,,,L19700c210
C V,C,4,1s.6f,1F*,3.0,7,382.6418,0.0003,odd,,no,392.09056,,,,,,,,,,L19700c210
C V,C,4,1s.6g,3G,4.0,9,382.6421,0.0003,even,,no,392.09056,,,,,,,,,,L19700c210
C V,C,4,1s.6g,3G,3.0,7,382.6421,0.0003,even,,no,392.09056,,,,,,,,,,L19700c210
C V,C,4,1s.6g,3G,5.0,11,382.6421,0.0003,even,,no,392.09056,,,,,,,,,,L19700c210
C V,C,4,1s.6g,1G,4.0,9,382.6421,0.0003,even,,no,392.09056,,,,,,,,,,L19700c210
C V,C,4,1s.6h,3H*,5.0,11,382.6424,0.0003,odd,,no,392.09056,,,,,,,,,,L19700c210
C V,C,4,1s.6h,3H*,4.0,9,382.6424,0.0003,odd,,no,392.09056,,,,,,,,,,L19700c210
C V,C,4,1s.6h,3H*,6.0,13,382.6425,0.0003,odd,,no,392.09056,,,,,,,,,,L19700c210
C V,C,4,1s.6h,1H*,5.0,11,382.6425,0.0003,odd,,no,392.09056,,,,,,,,,,L19700c210
C V,C,4,1s.6p,1P*,1.0,3,382.66757,0.0002,odd,,no,392.09056,4.072291315431541e-10,"ASD 1/sum(Aki), J-resolved",4.072291315431541e-10,5/5,yes,78.27980200000002,78.27980200000002,,,L21139
C V,C,4,1s.7s,3S,1.0,3,384.982,0.0004,even,,no,392.09056,3.473428273706148e-09,"ASD 1/sum(Aki), J-resolved",3.473428273706148e-09,3/3,yes,31.44547,31.450440000000015,,,L21139
