spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
Ca I,Ca,0,3p6.4s2,1S,0.0,1,0.0,0.0,even,,no,6.113154921,,metastable - no allowed radiative channel,,,,,,,yes,L7185
Ca I,Ca,0,3p6.4s.4p,3P*,0.0,1,1.8793402,,odd,,no,6.113154921,0.000384615,LiDB (J-lumped),,,,,,0.000384615,,L7185
Ca I,Ca,0,3p6.4s.4p,3P*,1.0,3,1.8858075,,odd,,no,6.113154921,0.0003846153846153846,"ASD 1/sum(Aki), J-resolved",0.0003846153846153846,1/1,yes,1.8858075,1.8858075,0.000384615,,L7185
Ca I,Ca,0,3p6.4s.4p,3P*,2.0,5,1.8989349,,odd,,no,6.113154921,0.000384615,LiDB (J-lumped),,,,,,0.000384615,,L7185
Ca I,Ca,0,3p6.3d.4s,3D,1.0,3,2.5212633,,even,,no,6.113154921,,metastable - no allowed radiative channel,,,,,,,yes,L7185
Ca I,Ca,0,3p6.3d.4s,3D,2.0,5,2.5229867,,even,,no,6.113154921,,metastable - no allowed radiative channel,,,,,,,yes,L7185
Ca I,Ca,0,3p6.3d.4s,3D,3.0,7,2.5256821,,even,,no,6.113154921,,metastable - no allowed radiative channel,,,,,,,yes,L7185
Ca I,Ca,0,3p6.3d.4s,1D,2.0,5,2.7090094,,even,,no,6.113154921,,metastable - no allowed radiative channel,,,,,,,yes,L7185
Ca I,Ca,0,3p6.4s.4p,1P*,1.0,3,2.932512,,odd,,no,6.113154921,4.587155963302753e-09,"ASD 1/sum(Aki), J-resolved",4.587155963302753e-09,1/1,yes,2.932512,2.932512,4.58716e-09,,L7185
Ca I,Ca,0,3p6.4s.5s,3S,1.0,3,3.910399,,even,,no,6.113154921,1.1627906976744186e-08,"ASD 1/sum(Aki), J-resolved",1.1627906976744186e-08,3/3,yes,2.0114641,2.0310588000000003,1.16279e-08,,L7185
Ca I,Ca,0,3p6.4s.5s,1S,0.0,1,4.1308143,,even,,no,6.113154921,,,,,,,,,,L7185
Ca I,Ca,0,3p6.3d.4p,3F*,2.0,5,4.4300117,,odd,,no,6.113154921,1.9105846388995033e-08,"ASD 1/sum(Aki), J-resolved",1.9105846388995033e-08,3/3,yes,1.9087483999999995,1.9087483999999995,1.91058e-08,,L7185
Ca I,Ca,0,3p6.3d.4p,3F*,3.0,7,4.4409544,,odd,,no,6.113154921,1.890359168241966e-08,"ASD 1/sum(Aki), J-resolved",1.890359168241966e-08,2/2,yes,1.9179676999999997,1.9179676999999997,1.91058e-08,,L7185
