Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Reference
"=""3p6.4s""","=""2S""","=""1/2""",2,"=""""","=""0.000000""","=""""","=""0""","=""L7185"""
"=""3p6.3d""","=""2D""","=""3/2""",4,"=""""","=""1.692408""","=""""","=""""","="""""
"=""3p6.3d""","=""2D""","=""5/2""",6,"=""""","=""1.699932""","=""""","=""""","="""""
"=""3p6.4p""","=""2P*""","=""1/2""",2,"=""""","=""3.123349""","=""""","=""""","="""""
"=""3p6.4p""","=""2P*""","=""3/2""",4,"=""""","=""3.150984""","=""""","=""""","="""""
"=""3p6.5s""","=""2S""","=""1/2""",2,"=""""","=""6.467875""","=""""","=""""","="""""
"=""3p6.4d""","=""2D""","=""3/2""",4,"=""""","=""7.047169""","=""""","=""""","="""""
"=""3p6.4d""","=""2D""","=""5/2""",6,"=""""","=""7.049551""","=""""","=""""","="""""
"=""3p6.5p""","=""2P*""","=""1/2""",2,"=""""","=""7.505138""","=""""","=""""","="""""
"=""3p6.5p""","=""2P*""","=""3/2""",4,"=""""","=""7.514841""","=""""","=""""","="""""
"=""3p6.4f""","=""2F*""","=""5/2""",6,"=""""","=""8.437981""","=""""","=""""","="""""
"=""3p6.4f""","=""2F*""","=""7/2""",8,"=""""","=""8.437981""","=""""","=""""","="""""
"=""3p6.6s""","=""2S""","=""1/2""",2,"=""""","=""8.762908""","=""""","=""""","="""""
"=""3p6.5d""","=""2D""","=""3/2""",4,"=""""","=""9.016407""","=""""","=""""","="""""
"=""3p6.5d""","=""2D""","=""5/2""",6,"=""""","=""9.017486""","=""""","=""""","="""""
"=""3p6.6p""","=""2P*""","=""1/2""",2,"=""""","=""9.234953""","=""""","=""""","="""""
"=""3p6.6p""","=""2P*""","=""3/2""",4,"=""""","=""9.239519""","=""""","=""""","="""""
"=""3p6.5f""","=""2F*""","=""5/2""",6,"=""""","=""9.675031""","=""""","=""""","="""""
"=""3p6.5f""","=""2F*""","=""7/2""",8,"=""""","=""9.675031""","=""""","=""""","="""""
"=""3p6.5g""","=""2G""","=""7/2""",8,"=""""","=""9.691190""","=""""","=""""","="""""
"=""3p6.5g""","=""2G""","=""9/2""",10,"=""""","=""9.691190""","=""""","=""""","="""""
"=""3p6.7s""","=""2S""","=""1/2""",2,"=""""","=""9.850331""","=""""","=""""","="""""
"=""3p6.6d""","=""2D""","=""3/2""",4,"=""""","=""9.983397""","=""""","=""""","="""""
"=""3p6.6d""","=""2D""","=""5/2""",6,"=""""","=""9.983971""","=""""","=""""","="""""
"=""3p6.6f""","=""2F*""","=""5/2""",6,"=""""","=""10.347483""","=""""","=""""","="""""
"=""3p6.6f""","=""2F*""","=""7/2""",8,"=""""","=""10.347483""","=""""","=""""","="""""
"=""3p6.6g""","=""2G""","=""7/2""",8,"=""""","=""10.357640""","=""""","=""""","="""""
"=""3p6.6g""","=""2G""","=""9/2""",10,"=""""","=""10.357640""","=""""","=""""","="""""
"=""3p6.8s""","=""2S""","=""1/2""",2,"=""""","=""10.451978""","=""""","=""""","="""""
"=""3p6.7d""","=""2D""","=""3/2""",4,"=""""","=""10.530431""","=""""","=""""","="""""
"=""3p6.7d""","=""2D""","=""5/2""",6,"=""""","=""10.530773""","=""""","=""""","="""""
"=""3p6.7f""","=""2F*""","=""5/2""",6,"=""""","=""10.752785""","=""""","=""""","="""""
"=""3p6.7f""","=""2F*""","=""7/2""",8,"=""""","=""10.752785""","=""""","=""""","="""""
"=""3p6.7g""","=""2G""","=""7/2""",8,"=""""","=""10.759490""","=""""","=""""","="""""
"=""3p6.7g""","=""2G""","=""9/2""",10,"=""""","=""10.759490""","=""""","=""""","="""""
"=""3p6.9s""","=""2S""","=""1/2""",2,"=""""","=""10.819836""","=""""","=""""","="""""
"=""3p6.8d""","=""2D""","=""3/2""",4,"=""""","=""10.869934""","=""""","=""""","="""""
"=""3p6.8d""","=""2D""","=""5/2""",6,"=""""","=""10.870156""","=""""","=""""","="""""
"=""3p6.8f""","=""2F*""","=""5/2""",6,"=""""","=""11.015663""","=""""","=""""","="""""
"=""3p6.8f""","=""2F*""","=""7/2""",8,"=""""","=""11.015663""","=""""","=""""","="""""
"=""3p6.8g""","=""2G""","=""7/2""",8,"=""""","=""11.020278""","=""""","=""""","="""""
