Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""3s2.3p6""","=""1S""","=""0""",1,"=""""","=""0.00000""","=""""","=""0.00016""","=""  96                                                  ""","=""L7185"""
"=""3s2.3p5.3d""","=""3P*""","=""0""",1,"=""""","=""25.21507""","=""""","=""0.00003""","="" 100                                                  ""","=""L7185"""
"=""3s2.3p5.3d""","=""3P*""","=""1""",3,"=""""","=""25.27442""","=""""","=""0.00003""","="" 100                                                  ""","=""L7185"""
"=""3s2.3p5.3d""","=""3P*""","=""2""",5,"=""""","=""25.39725""","=""""","=""0.00003""","=""  99                                                  ""","=""L7185"""
"=""3s2.3p5.3d""","=""3F*""","=""4""",9,"=""""","=""26.32309""","=""""","=""0.00004""","="" 100                                                  ""","=""L7185"""
"=""3s2.3p5.3d""","=""3F*""","=""3""",7,"=""""","=""26.45567""","=""""","=""0.00003""","=""  99                                                  ""","=""L7185"""
"=""3s2.3p5.3d""","=""3F*""","=""2""",5,"=""""","=""26.57404""","=""""","=""0.00003""","=""  99                                                  ""","=""L7185"""
"=""3s2.3p5.3d""","=""1D*""","=""2""",5,"=""""","=""27.998883""","=""""","=""0.000021""","=""  56         :    43                          3D*     ""","=""L7185"""
"=""3s2.3p5.3d""","=""3D*""","=""3""",7,"=""""","=""28.061785""","=""""","=""0.000017""","=""  84         :    16                          1F*     ""","=""L7185"""
"=""3s2.3p5.3d""","=""3D*""","=""2""",5,"=""""","=""28.192588""","=""""","=""0.000014""","=""  56         :    43                          1D*     ""","=""L7185"""
"=""3s2.3p5.3d""","=""3D*""","=""1""",3,"=""""","=""28.197988""","=""""","=""0.000016""","="" 100                                                  ""","=""L7185"""
"=""3s2.3p5.3d""","=""1F*""","=""3""",7,"=""""","=""28.319721""","=""""","=""0.000016""","=""  84         :    15                          3D*     ""","=""L7185"""
"=""3s2.3p5.4s""","=""3P*""","=""2""",5,"=""""","=""30.072019""","=""""","=""0.000004""","=""  99                                                  ""","=""L7185"""
"=""3s2.3p5.4s""","=""3P*""","=""1""",3,"=""""","=""30.2435201""","=""""","=""0.0000025""","=""  82         :    18                          1P*     ""","=""L7185"""
"=""3s2.3p5.4s""","=""3P*""","=""0""",1,"=""""","=""30.451992""","=""""","=""0.000004""","=""  99                                                  ""","=""L7185"""
"=""3s2.3p5.4s""","=""1P*""","=""1""",3,"=""""","=""30.710438""","=""""","=""0.000006""","=""  81         :    18                          3P*     ""","=""L7185"""
"=""3s2.3p5.4p""","=""3S""","=""1""",3,"=""""","=""33.747098""","=""""","=""0.000006""","=""  96                                                  ""","=""L7185"""
"=""3s2.3p5.4p""","=""3D""","=""3""",7,"=""""","=""34.346400""","=""""","=""0.000006""","=""  99                                                  ""","=""L7185"""
"=""3s2.3p5.4p""","=""3D""","=""2""",5,"=""""","=""34.390844""","=""""","=""0.000004""","=""  74         :    22                          1D      ""","=""L7185"""
"=""3s2.3p5.4p""","=""3D""","=""1""",3,"=""""","=""34.544603""","=""""","=""0.000004""","=""  76         :    14                          1P      ""","=""L7185"""
