obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""18.315""","=""0.010""","=""18.315""","=""0.010""","=""""","=""""",,"=""0.00000""","=""67.70""","=""3s2.3p6""","=""1S""","=""0""","=""3s.3p6.9p""","=""1P*""","=""1""",1,3,,"=""""","=""L13354""",
"=""18.472""","=""0.005""","=""18.472""","=""0.005""","=""""","=""""",,"=""0.00000""","=""67.120""","=""3s2.3p6""","=""1S""","=""0""","=""3s.3p6.8p""","=""1P*""","=""1""",1,3,,"=""""","=""L13354""",
"=""18.743""","=""0.006""","=""18.743""","=""0.006""","=""""","=""""",,"=""0.00000""","=""66.149""","=""3s2.3p6""","=""1S""","=""0""","=""3s.3p6.7p""","=""1P*""","=""1""",1,3,,"=""""","=""L13354""",
"=""19.240""","=""0.006""","=""19.240""","=""0.006""","=""""","=""""",,"=""0.00000""","=""64.441""","=""3s2.3p6""","=""1S""","=""0""","=""3s.3p6.6p""","=""1P*""","=""1""",1,3,,"=""""","=""L13354""",
"=""20.2901""","=""0.0021""","=""20.2901""","=""0.0021""","=""a""","=""""",,"=""0.00000""","=""61.106""","=""3s2.3p6""","=""1S""","=""0""","=""3s.3p6.5p""","=""1P*""","=""1""",1,3,,"=""""","=""L4197""",
"=""23.1965""","=""0.0022""","=""23.1965""","=""0.0022""","=""a""","=""""",,"=""0.00000""","=""53.450""","=""3s2.3p6""","=""1S""","=""0""","=""3s.3p6.4p""","=""1P*""","=""1""",1,3,,"=""""","=""L4197""",
"=""24.83""","=""0.03""","=""24.832""","=""0.003""","=""bl*""","=""""",,"=""0.00000""","=""[49.930]""","=""3s2.3p6""","=""1S""","=""0""","=""3s2.3p5.(2P*<1/2>).11s""","=""2[1/2]*""","=""1""",1,3,,"=""""","=""L11572""",
"=""24.83""","=""0.03""","=""24.834""","=""0.003""","=""bl*""","=""6.8e+07""",C,"=""0.00000""","=""[49.926]""","=""3s2.3p6""","=""1S""","=""0""","=""3s2.3p5.(2P*<1/2>).10d""","=""2[3/2]*""","=""1""",1,3,,"=""u33""","=""L11572""",
"=""25.00""","=""0.03""","=""25.006""","=""0.003""","=""bl""","=""8.2e+07""",C,"=""0.00000""","=""[49.583]""","=""3s2.3p6""","=""1S""","=""0""","=""3s2.3p5.(2P*<1/2>).10s""","=""2[1/2]*""","=""1""",1,3,,"=""u33""","=""L11572""",
"=""25.01""","=""0.03""","=""25.001""","=""0.003""","=""bl""","=""""",,"=""0.00000""","=""[49.592]""","=""3s2.3p6""","=""1S""","=""0""","=""3s2.3p5.(2P*<1/2>).9d""","=""2[3/2]*""","=""1""",1,3,,"=""""","=""L11572""",
"=""25.02""","=""0.03""","=""25.022""","=""0.003""","=""bl""","=""6.3e+07""",C,"=""0.00000""","=""[49.550]""","=""3s2.3p6""","=""1S""","=""0""","=""3s2.3p5.(2P*<3/2>).10d""","=""2[3/2]*""","=""1""",1,3,,"=""u33""","=""L11572""",
"=""25.03""","=""0.03""","=""25.024""","=""0.003""","=""bl""","=""""",,"=""0.00000""","=""[49.545]""","=""3s2.3p6""","=""1S""","=""0""","=""3s2.3p5.(2P*<3/2>).11s""","=""2[3/2]*""","=""1""",1,3,,"=""""","=""L11572""",
"=""""","=""""","=""25.034""","=""0.003""","=""""","=""1.1e+06""",E,"=""0.00000""","=""[49.527]""","=""3s2.3p6""","=""1S""","=""0""","=""3s2.3p5.(2P*<3/2>).10d""","=""2[1/2]*""","=""1""",1,3,,"=""u33""","=""""",
"=""25.19""","=""0.03""","=""25.190""","=""0.003""","=""bl""","=""""",,"=""0.00000""","=""[49.219]""","=""3s2.3p6""","=""1S""","=""0""","=""3s2.3p5.(2P*<3/2>).9d""","=""2[3/2]*""","=""1""",1,3,,"=""""","=""L11572""",
"=""25.20""","=""0.03""","=""25.198""","=""0.003""","=""bl""","=""9.3e+07""",C,"=""0.00000""","=""[49.204]""","=""3s2.3p6""","=""1S""","=""0""","=""3s2.3p5.(2P*<3/2>).10s""","=""2[3/2]*""","=""1""",1,3,,"=""u33""","=""L11572""",
"=""""","=""""","=""25.211""","=""0.003""","=""""","=""7.8e+06""",C,"=""0.00000""","=""[49.180]""","=""3s2.3p6""","=""1S""","=""0""","=""3s2.3p5.(2P*<3/2>).9d""","=""2[1/2]*""","=""1""",1,3,,"=""u33""","=""""",
"=""25.26""","=""0.03""","=""25.254""","=""0.003""","=""bl*""","=""""",,"=""0.00000""","=""[49.095]""","=""3s2.3p6""","=""1S""","=""0""","=""3s2.3p5.(2P*<1/2>).9s""","=""2[1/2]*""","=""1""",1,3,,"=""""","=""L11572""",
"=""25.26""","=""0.03""","=""25.257""","=""0.003""","=""bl*""","=""8.3e+07""",C,"=""0.00000""","=""[49.089]""","=""3s2.3p6""","=""1S""","=""0""","=""3s2.3p5.(2P*<1/2>).8d""","=""2[3/2]*""","=""1""",1,3,,"=""u33""","=""L11572""",
"=""25.44""","=""0.03""","=""25.439""","=""0.003""","=""bl""","=""""",,"=""0.00000""","=""[48.738]""","=""3s2.3p6""","=""1S""","=""0""","=""3s2.3p5.(2P*<3/2>).8d""","=""2[3/2]*""","=""1""",1,3,,"=""""","=""L11572""",
