conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
3s2.3p6,1S,0.0,1.0,0.0,3s2.3p5.3d,3P*,1.0,3.0,25.27442,25.27442,49.05521,1500000.0,0.00016235,0.00016235,4.3087e-06
3s2.3p6,1S,0.0,1.0,0.0,3s2.3p5.3d,3D*,1.0,3.0,28.197988,28.197988,43.96916,19000000.0,0.0016521,0.0016521,4.3846e-05
3s2.3p6,1S,0.0,1.0,0.0,3s2.3p5.4s,3P*,1.0,3.0,30.24352,30.24352,40.99529,1200000000.0,0.090705,0.090705,0.0024073
3s2.3p6,1S,0.0,1.0,0.0,3s2.3p5.4s,1P*,1.0,3.0,30.710438,30.710438,40.37201,7600000000.0,0.55713,0.55713,0.014786
3s2.3p6,1S,0.0,1.0,0.0,3s2.3p5.3d,1P*,1.0,3.0,34.635437,34.635437,35.79692,68000000000.0,3.9191,3.9191,0.10401
3s2.3p6,1S,0.0,1.0,0.0,3s2.3p5.(2P*<3/2>).4d,2[1/2]*,1.0,3.0,40.047337,40.047337,30.95941,35000000.0,0.0015088,0.0015088,4.0044e-05
3s2.3p6,1S,0.0,1.0,0.0,3s2.3p5.(2P*<3/2>).4d,2[3/2]*,1.0,3.0,40.662119,40.662119,30.49133,860000000.0,0.035961,0.035961,0.00095441
3s2.3p6,1S,0.0,1.0,0.0,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,1.0,3.0,40.739032,40.739032,30.43376,1300000000.0,0.054155,0.054155,0.0014373
3s2.3p6,1S,0.0,1.0,0.0,3s2.3p5.(2P*<1/2>).5s,2[1/2]*,1.0,3.0,41.08876,41.08876,30.17472,2000000000.0,0.081903,0.081903,0.0021737
3s2.3p6,1S,0.0,1.0,0.0,3s2.3p5.(2P*<1/2>).4d,2[3/2]*,1.0,3.0,41.751568,41.751568,29.6957,11300000000.0,0.44817,0.44817,0.011895
3s2.3p6,1S,0.0,1.0,0.0,3s2.3p5.(2P*<1/2>).6s,2[1/2]*,1.0,3.0,45.17288,45.17288,27.4466,1080000000.0,0.036592,0.036592,0.00097114
