Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Reference
"=""3s2.3p5""","=""2P*""","=""3/2""",4,"=""""","=""0.00000""","=""""","=""0""","=""L7185"""
"=""3s2.3p5""","=""2P*""","=""1/2""",2,"=""""","=""0.38661""","=""""","=""""","="""""
"=""3s.3p6""","=""2S""","=""1/2""",2,"=""""","=""18.90010""","=""""","=""""","="""""
"=""3s2.3p4.(3P).3d""","=""4D""","=""7/2""",8,"=""""","=""24.9834""","=""""","=""""","="""""
"=""3s2.3p4.(3P).3d""","=""4D""","=""5/2""",6,"=""""","=""25.0134""","=""""","=""""","="""""
"=""3s2.3p4.(3P).3d""","=""4D""","=""3/2""",4,"=""""","=""25.0487""","=""""","=""""","="""""
"=""3s2.3p4.(3P).3d""","=""4D""","=""1/2""",2,"=""""","=""25.0763""","=""""","=""""","="""""
"=""3s2.3p4.(3P).3d""","=""4F""","=""9/2""",10,"=""""","=""27.0760""","=""""","=""""","="""""
"=""3s2.3p4.(3P).3d""","=""4F""","=""7/2""",8,"=""""","=""27.2104""","=""""","=""""","="""""
"=""3s2.3p4.(3P).3d""","=""4F""","=""5/2""",6,"=""""","=""27.306""","=""""","=""""","="""""
"=""3s2.3p4.(3P).3d""","=""4F""","=""3/2""",4,"=""""","=""27.3684""","=""""","=""""","="""""
"=""3s2.3p4.(1D).3d""","=""2P""","=""1/2""",2,"=""""","=""27.2754""","=""""","=""""","="""""
"=""3s2.3p4.(1D).3d""","=""2P""","=""3/2""",4,"=""""","=""27.5177""","=""""","=""""","="""""
"=""3s2.3p4.(3P).3d""","=""4P""","=""1/2""",2,"=""""","=""28.1709""","=""""","=""""","="""""
"=""3s2.3p4.(3P).3d""","=""4P""","=""3/2""",4,"=""""","=""28.2467""","=""""","=""""","="""""
"=""3s2.3p4.(3P).3d""","=""4P""","=""5/2""",6,"=""""","=""28.3544""","=""""","=""""","="""""
"=""3s2.3p4.(1D).3d""","=""2D""","=""3/2""",4,"=""""","=""28.3225""","=""""","=""""","="""""
"=""3s2.3p4.(1D).3d""","=""2D""","=""5/2""",6,"=""""","=""28.5311""","=""""","=""""","="""""
"=""3s2.3p4.(3P).3d""","=""2F""","=""7/2""",8,"=""""","=""28.6761""","=""""","=""""","="""""
"=""3s2.3p4.(3P).3d""","=""2F""","=""5/2""",6,"=""""","=""28.9938""","=""""","=""""","="""""
"=""3s2.3p4.(1D).3d""","=""2G""","=""9/2""",10,"=""""","=""29.0740""","=""""","=""""","="""""
"=""3s2.3p4.(1D).3d""","=""2G""","=""7/2""",8,"=""""","=""29.0919""","=""""","=""""","="""""
"=""3s2.3p4.(1D).3d""","=""2F""","=""5/2""",6,"=""""","=""31.2795""","=""""","=""""","="""""
"=""3s2.3p4.(1D).3d""","=""2F""","=""7/2""",8,"=""""","=""31.3560""","=""""","=""""","="""""
"=""3s2.3p4.(1S).3d""","=""2D""","=""3/2""",4,"=""""","=""33.4725""","=""""","=""""","="""""
"=""3s2.3p4.(1S).3d""","=""2D""","=""5/2""",6,"=""""","=""33.5417""","=""""","=""""","="""""
"=""3s2.3p4.(3P).4s""","=""4P""","=""5/2""",6,"=""""","=""36.1359""","=""""","=""""","="""""
"=""3s2.3p4.(3P).4s""","=""4P""","=""3/2""",4,"=""""","=""36.3105""","=""""","=""""","="""""
"=""3s2.3p4.(3P).4s""","=""4P""","=""1/2""",2,"=""""","=""36.4876""","=""""","=""""","="""""
"=""3s2.3p4.(1D).3d""","=""2S""","=""1/2""",2,"=""""","=""36.3285""","=""""","=""""","="""""
"=""3s2.3p4.(3P).3d""","=""2P""","=""3/2""",4,"=""""","=""36.4355""","=""""","=""""","="""""
"=""3s2.3p4.(3P).3d""","=""2P""","=""1/2""",2,"=""""","=""36.5918""","=""""","=""""","="""""
"=""3s2.3p4.(3P).3d""","=""2D""","=""5/2""",6,"=""""","=""37.3463""","=""""","=""""","="""""
"=""3s2.3p4.(3P).3d""","=""2D""","=""3/2""",4,"=""""","=""37.673""","=""""","=""""","="""""
"=""3s2.3p4.(3P).4s""","=""2P""","=""3/2""",4,"=""""","=""37.4083""","=""""","=""""","="""""
"=""3s2.3p4.(3P).4s""","=""2P""","=""1/2""",2,"=""""","=""37.6421""","=""""","=""""","="""""
"=""3s2.3p4.(1D).4s""","=""2D""","=""5/2""",6,"=""""","=""38.7472""","=""""","=""""","="""""
"=""3s2.3p4.(1D).4s""","=""2D""","=""3/2""",4,"=""""","=""38.764""","=""""","=""""","="""""
"=""3s2.3p4.(3P).4p""","=""4P*""","=""5/2""",6,"=""""","=""41.0007""","=""""","=""""","="""""
"=""3s2.3p4.(3P).4p""","=""4P*""","=""3/2""",4,"=""""","=""41.0602""","=""""","=""""","="""""
"=""3s2.3p4.(3P).4p""","=""4P*""","=""1/2""",2,"=""""","=""41.1589""","=""""","=""""","="""""
"=""3s2.3p4.(3P).4p""","=""4D*""","=""7/2""",8,"=""""","=""41.5498""","=""""","=""""","="""""
"=""3s2.3p4.(3P).4p""","=""4D*""","=""5/2""",6,"=""""","=""41.6464""","=""""","=""""","="""""
"=""3s2.3p4.(3P).4p""","=""4D*""","=""3/2""",4,"=""""","=""41.7775""","=""""","=""""","="""""
"=""3s2.3p4.(3P).4p""","=""4D*""","=""1/2""",2,"=""""","=""41.8387""","=""""","=""""","="""""
"=""3s2.3p4.(1S).4s""","=""2S""","=""1/2""",2,"=""""","=""41.8092""","=""""","=""""","="""""
"=""3s2.3p4.(3P).4p""","=""2D*""","=""5/2""",6,"=""""","=""41.938""","=""""","=""""","="""""
"=""3s2.3p4.(3P).4p""","=""2D*""","=""3/2""",4,"=""""","=""42.2014""","=""""","=""""","="""""
"=""3s2.3p4.(3P).4p""","=""2P*""","=""1/2""",2,"=""""","=""41.94""","=""""","=""""","="""""
