spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
Ca IV,Ca,3,3s2.3p5,2P*,1.5,4,0.0,0.0,odd,,no,67.2732,,,,,,,,,,L7185
Ca IV,Ca,3,3s2.3p5,2P*,0.5,2,0.38661,,odd,,no,67.2732,1.8416206261510129,"ASD 1/sum(Aki), J-resolved",1.8416206261510129,1/1,yes,0.38661,0.38661,,,
Ca IV,Ca,3,3s.3p6,2S,0.5,2,18.9001,,even,,no,67.2732,5.747126436781609e-11,"ASD 1/sum(Aki), J-resolved",5.747126436781609e-11,2/2,yes,18.9001,18.9001,,,
Ca IV,Ca,3,3s2.3p4.(3P).3d,4D,3.5,8,24.9834,,even,,no,67.2732,,,,,,,,,,
Ca IV,Ca,3,3s2.3p4.(3P).3d,4D,2.5,6,25.0134,,even,,no,67.2732,,,,,,,,,,
Ca IV,Ca,3,3s2.3p4.(3P).3d,4D,1.5,4,25.0487,,even,,no,67.2732,,,,,,,,,,
Ca IV,Ca,3,3s2.3p4.(3P).3d,4D,0.5,2,25.0763,,even,,no,67.2732,,,,,,,,,,
Ca IV,Ca,3,3s2.3p4.(3P).3d,4F,4.5,10,27.076,,even,,no,67.2732,,,,,,,,,,
Ca IV,Ca,3,3s2.3p4.(3P).3d,4F,3.5,8,27.2104,,even,,no,67.2732,,,,,,,,,,
Ca IV,Ca,3,3s2.3p4.(3P).3d,4F,2.5,6,27.306,,even,,no,67.2732,,,,,,,,,,
Ca IV,Ca,3,3s2.3p4.(3P).3d,4F,1.5,4,27.3684,,even,,no,67.2732,,,,,,,,,,
Ca IV,Ca,3,3s2.3p4.(1D).3d,2P,0.5,2,27.2754,,even,,no,67.2732,,,,,,,,,,
Ca IV,Ca,3,3s2.3p4.(1D).3d,2P,1.5,4,27.5177,,even,,no,67.2732,,,,,,,,,,
Ca IV,Ca,3,3s2.3p4.(3P).3d,4P,0.5,2,28.1709,,even,,no,67.2732,,,,,,,,,,
