spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
Ca IX,Ca,8,2p6.3s2,1S,0.0,1,0.0,0.0,even,,no,188.54,,,,,,,,,,L7185
Ca IX,Ca,8,3s.3p,3P*,0.0,1,17.7516,,odd,,no,188.54,,,,,,,,,,
Ca IX,Ca,8,3s.3p,3P*,1.0,3,17.9374,,odd,,no,188.54,16.638935108153078,"ASD 1/sum(Aki), J-resolved",16.638935108153078,1/1,yes,0.1858000000000004,0.1858000000000004,,,
Ca IX,Ca,8,3s.3p,3P*,2.0,5,18.3388,,odd,,no,188.54,2.178649237472767,"ASD 1/sum(Aki), J-resolved",2.178649237472767,1/1,yes,0.40139999999999887,0.40139999999999887,,,
Ca IX,Ca,8,3s.3p,1P*,1.0,3,26.5924,,odd,,no,188.54,8.928571428571429e-11,"ASD 1/sum(Aki), J-resolved",8.928571428571429e-11,1/1,yes,26.5924,26.5924,,,
Ca IX,Ca,8,3p2,1D,2.0,5,41.6891,,even,,no,188.54,,,,,,,,,,
Ca IX,Ca,8,3p2,3P,0.0,1,42.15,,even,,no,188.54,1.0869565217391304e-10,"ASD 1/sum(Aki), J-resolved",1.0869565217391304e-10,1/1,yes,24.2126,24.2126,,,
Ca IX,Ca,8,3p2,3P,1.0,3,42.3867,,even,,no,188.54,1.0695187165775401e-10,"ASD 1/sum(Aki), J-resolved",1.0695187165775401e-10,3/3,yes,24.0479,24.635099999999998,,,
Ca IX,Ca,8,3p2,3P,2.0,5,42.8331,,even,,no,188.54,1.0319917440660474e-10,"ASD 1/sum(Aki), J-resolved",1.0319917440660474e-10,2/2,yes,24.494300000000003,24.8957,,,
Ca IX,Ca,8,3p2,1S,0.0,1,49.46,,even,,no,188.54,,,,,,,,,,
