Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Reference
"=""3s2.3p3""","=""4S*""","=""3/2""",4,"=""""","=""0.00000""","=""""","=""0""","=""L7185"""
"=""3s2.3p3""","=""2D*""","=""3/2""",4,"=""""","=""3.32713""","=""+x""","=""""","="""""
"=""3s2.3p3""","=""2D*""","=""5/2""",6,"=""""","=""3.37815""","=""+x""","=""""","="""""
"=""3s2.3p3""","=""2P*""","=""1/2""",2,"=""""","=""5.52805""","=""+x""","=""""","="""""
"=""3s2.3p3""","=""2P*""","=""3/2""",4,"=""""","=""5.59698""","=""+x""","=""""","="""""
"=""3s.3p4""","=""4P""","=""5/2""",6,"=""""","=""19.31506""","=""""","=""""","="""""
"=""3s.3p4""","=""4P""","=""3/2""",4,"=""""","=""19.56068""","=""""","=""""","="""""
"=""3s.3p4""","=""4P""","=""1/2""",2,"=""""","=""19.69247""","=""""","=""""","="""""
"=""3s.3p4""","=""2D""","=""3/2""",4,"=""""","=""23.95957""","=""+x""","=""""","="""""
"=""3s.3p4""","=""2D""","=""5/2""",6,"=""""","=""23.98410""","=""+x""","=""""","="""""
"=""3s.3p4""","=""2P""","=""3/2""",4,"=""""","=""27.61744""","=""+x""","=""""","="""""
"=""3s.3p4""","=""2P""","=""1/2""",2,"=""""","=""27.86834""","=""+x""","=""""","="""""
"=""3s.3p4""","=""2S""","=""1/2""",2,"=""""","=""28.97669""","=""+x""","=""""","="""""
"=""3s2.3p2.(3P).3d""","=""2P""","=""3/2""",4,"=""""","=""36.529""","=""+x""","=""""","="""""
"=""3s2.3p2.(3P).3d""","=""2P""","=""1/2""",2,"=""""","=""36.8336""","=""+x""","=""""","="""""
"=""3s2.3p2.(1D).3d""","=""2D""","=""5/2""",6,"=""""","=""39.7889""","=""+x""","=""""","="""""
"=""3s2.3p2.(1D).3d""","=""2D""","=""3/2""",4,"=""""","=""39.8499""","=""+x""","=""""","="""""
"=""3s2.3p2.(1D).3d""","=""2P""","=""1/2""",2,"=""""","=""41.1588""","=""+x""","=""""","="""""
"=""3s2.3p2.(1D).3d""","=""2P""","=""3/2""",4,"=""""","=""41.3269""","=""+x""","=""""","="""""
"=""3s2.3p2.(1D).3d""","=""2F""","=""5/2""",6,"=""""","=""41.6858""","=""+x""","=""""","="""""
"=""3s2.3p2.(1D).3d""","=""2F""","=""7/2""",8,"=""""","=""41.7369""","=""+x""","=""""","="""""
"=""3s2.3p2.(1S).3d""","=""2D""","=""5/2""",6,"=""""","=""43.2480""","=""+x""","=""""","="""""
"=""3s2.3p2.(1S).3d""","=""2D""","=""3/2""",4,"=""""","=""43.3505""","=""+x""","=""""","="""""
"=""3s2.3p2.(3P).4s""","=""4P""","=""1/2""",2,"=""""","=""53.7904""","=""""","=""""","="""""
"=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""",4,"=""""","=""53.9686""","=""""","=""""","="""""
"=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""",6,"=""""","=""54.2297""","=""""","=""""","="""""
"=""3s2.3p2.(3P).4s""","=""2P""","=""1/2""",2,"=""""","=""54.8328""","=""+x""","=""""","="""""
"=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""",4,"=""""","=""55.1387""","=""+x""","=""""","="""""
"=""3s2.3p2.(1D).4s""","=""2D""","=""5/2""",6,"=""""","=""56.6972""","=""+x""","=""""","="""""
"=""3s2.3p2.(1D).4s""","=""2D""","=""3/2""",4,"=""""","=""56.7052""","=""+x""","=""""","="""""
"=""3s2.3p2.(1S).4s""","=""2S""","=""1/2""",2,"=""""","=""59.9937""","=""+x""","=""""","="""""
"=""Ca VII (3p2 3P<0>)""","=""Limit""","=""---""",,"=""[""","=""108.78""","=""]""","=""0.25""","=""L7185"""
