obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""62.4385""","=""""","=""3.3e+08""",D,"=""0.00000""","=""19.85700""","=""3s2.3p2""","=""3P""","=""0""","=""3s.3p3""","=""3D*""","=""1""",1,3,,"=""T8043""","=""""",
"=""""","=""63.0535""","=""""","=""4.5e+08""",D,"=""0.20146""","=""19.86479""","=""3s2.3p2""","=""3P""","=""1""","=""3s.3p3""","=""3D*""","=""2""",3,5,,"=""T8043""","=""""",
"=""""","=""63.0785""","=""""","=""2.2e+08""",D,"=""0.20146""","=""19.85700""","=""3s2.3p2""","=""3P""","=""1""","=""3s.3p3""","=""3D*""","=""1""",3,3,,"=""T8043""","=""""",
"=""""","=""63.9150""","=""""","=""5.7e+08""",D,"=""0.50479""","=""19.90308""","=""3s2.3p2""","=""3P""","=""2""","=""3s.3p3""","=""3D*""","=""3""",5,7,,"=""T8043""","=""""",
"=""""","=""64.0414""","=""""","=""1.3e+08""",D,"=""0.50479""","=""19.86479""","=""3s2.3p2""","=""3P""","=""2""","=""3s.3p3""","=""3D*""","=""2""",5,5,,"=""T8043""","=""""",
"=""""","=""64.0672""","=""""","=""1.1e+08""",E,"=""0.50479""","=""19.85700""","=""3s2.3p2""","=""3P""","=""2""","=""3s.3p3""","=""3D*""","=""1""",5,3,,"=""T668LS""","=""""",
"=""""","=""211.164""","=""""","=""3.32e+01""",C,"=""0.20146""","=""6.07292""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p2""","=""1S""","=""0""",3,1,M1,"=""T969,T1073""","=""""",
"=""""","=""222.668""","=""""","=""2.7e-01""",D,"=""0.50479""","=""6.07292""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p2""","=""1S""","=""0""",5,1,E2,"=""T1073""","=""""",
"=""""","=""368.767""","=""""","=""4.4e+00""",D,"=""2.71079""","=""6.07292""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p2""","=""1S""","=""0""",5,1,E2,"=""T1073""","=""""",
"=""""","=""457.373""","=""""","=""1.8e-04""",D,"=""0.00000""","=""2.71079""","=""3s2.3p2""","=""3P""","=""0""","=""3s2.3p2""","=""1D""","=""2""",1,5,E2,"=""T1073""","=""""",
"=""""","=""494.093""","=""""","=""1.25e+00""",C,"=""0.20146""","=""2.71079""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p2""","=""1D""","=""2""",3,5,M1,"=""T335,T969,T1073""","=""""",
"=""""","=""494.093""","=""""","=""1.5e-03""",D,"=""0.20146""","=""2.71079""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p2""","=""1D""","=""2""",3,5,E2,"=""T1073""","=""""",
"=""""","=""562.031""","=""""","=""2.56e+00""",C,"=""0.50479""","=""2.71079""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p2""","=""1D""","=""2""",5,5,M1,"=""T335,T969,T1073""","=""""",
"=""""","=""562.031""","=""""","=""5.3e-03""",D,"=""0.50479""","=""2.71079""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p2""","=""1D""","=""2""",5,5,E2,"=""T1073""","=""""",
"=""""","=""2456.2""","=""""","=""1.9e-05""",D,"=""0.00000""","=""0.50479""","=""3s2.3p2""","=""3P""","=""0""","=""3s2.3p2""","=""3P""","=""2""",1,5,E2,"=""T1073""","=""""",
"=""""","=""4087.5""","=""""","=""3.3e-06""",D,"=""0.20146""","=""0.50479""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p2""","=""3P""","=""2""",3,5,E2,"=""T1073""","=""""",
"=""""","=""4087.5""","=""""","=""1.99e-01""",B,"=""0.20146""","=""0.50479""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p2""","=""3P""","=""2""",3,5,M1,"=""T335""","=""""",
"=""""","=""6154.2""","=""""","=""7.71e-02""",B,"=""0.00000""","=""0.20146""","=""3s2.3p2""","=""3P""","=""0""","=""3s2.3p2""","=""3P""","=""1""",1,3,M1,"=""T335""","=""""",
