spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
Ca VII,Ca,6,3s2.3p2,3P,0.0,1,0.0,0.0,even,,no,127.21,,,,,,,,,,L7185
Ca VII,Ca,6,3s2.3p2,3P,1.0,3,0.20146,,even,,no,127.21,12.970168612191959,"ASD 1/sum(Aki), J-resolved",12.970168612191959,1/1,yes,0.20146,0.20146,,,
Ca VII,Ca,6,3s2.3p2,3P,2.0,5,0.50479,,even,,no,127.21,5.024562574143701,"ASD 1/sum(Aki), J-resolved",5.024562574143701,3/3,yes,0.30333,0.50479,,,
Ca VII,Ca,6,3s2.3p2,1D,2.0,5,2.71079,,even,,no,127.21,0.2619872255028845,"ASD 1/sum(Aki), J-resolved",0.2619872255028845,5/5,yes,2.206,2.71079,,,
Ca VII,Ca,6,3s2.3p2,1S,0.0,1,6.07292,,even,,no,127.21,0.026406126221283334,"ASD 1/sum(Aki), J-resolved",0.026406126221283334,3/3,yes,5.87146,5.87146,,,
Ca VII,Ca,6,3s.3p3,3D*,1.0,3,19.857,,odd,,no,127.21,1.5151515151515152e-09,"ASD 1/sum(Aki), J-resolved",1.5151515151515152e-09,3/3,yes,19.857,19.857,,,
Ca VII,Ca,6,3s.3p3,3D*,2.0,5,19.86479,,odd,,no,127.21,1.7241379310344827e-09,"ASD 1/sum(Aki), J-resolved",1.7241379310344827e-09,2/2,yes,19.66333,19.66333,,,
Ca VII,Ca,6,3s.3p3,3D*,3.0,7,19.90308,,odd,,no,127.21,1.7543859649122807e-09,"ASD 1/sum(Aki), J-resolved",1.7543859649122807e-09,1/1,yes,19.39829,19.39829,,,
Ca VII,Ca,6,3s.3p3,3P*,0.0,1,22.98129,,odd,,no,127.21,,,,,,,,,,
Ca VII,Ca,6,3s.3p3,3P*,1.0,3,22.98579,,odd,,no,127.21,,,,,,,,,,
Ca VII,Ca,6,3s.3p3,3P*,2.0,5,22.98818,,odd,,no,127.21,,,,,,,,,,
Ca VII,Ca,6,3s.3p3,1D*,2.0,5,25.24518,,odd,,no,127.21,,,,,,,,,,
Ca VII,Ca,6,3s.3p3,3S*,1.0,3,30.40595,,odd,,no,127.21,,,,,,,,,,
Ca VII,Ca,6,3s.3p3,1P*,1.0,3,31.30476,,odd,,no,127.21,,,,,,,,,,
Ca VII,Ca,6,3s2.3p.3d,3P*,2.0,5,35.4873,,odd,,no,127.21,,,,,,,,,,
Ca VII,Ca,6,3s2.3p.3d,3P*,1.0,3,35.727,,odd,,no,127.21,,,,,,,,,,
Ca VII,Ca,6,3s2.3p.3d,3P*,0.0,1,35.8319,,odd,,no,127.21,,,,,,,,,,
Ca VII,Ca,6,3s2.3p.3d,3D*,1.0,3,36.5924,,odd,,no,127.21,,,,,,,,,,
Ca VII,Ca,6,3s2.3p.3d,3D*,2.0,5,36.6711,,odd,,no,127.21,,,,,,,,,,
Ca VII,Ca,6,3s2.3p.3d,3D*,3.0,7,36.7157,,odd,,no,127.21,,,,,,,,,,
Ca VII,Ca,6,3s2.3p.3d,1F*,3.0,7,40.2806,,odd,,no,127.21,,,,,,,,,,
Ca VII,Ca,6,3s2.3p.3d,1P*,1.0,3,41.3489,,odd,,no,127.21,,,,,,,,,,
Ca VII,Ca,6,3s2.3p.4s,3P*,0.0,1,60.7596,,odd,,no,127.21,,,,,,,,,,
Ca VII,Ca,6,3s2.3p.4s,3P*,1.0,3,60.8662,,odd,,no,127.21,,,,,,,,,,
Ca VII,Ca,6,3s2.3p.4s,3P*,2.0,5,61.2807,,odd,,no,127.21,,,,,,,,,,
Ca VII,Ca,6,3s2.3p.4s,1P*,1.0,3,61.8288,,odd,,no,127.21,,,,,,,,,,
