conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
3s2.3p2,3P,0.0,1.0,0.0,3s2.3p2,3P,1.0,3.0,0.20146,0.20146,6154.28365,0.0771,1.3134e-07,1.3134e-07,3.4857e-09
3s2.3p2,3P,0.0,1.0,0.0,3s2.3p2,3P,2.0,5.0,0.50479,0.50479,2456.15401,1.9e-05,8.592e-12,8.592e-12,2.2803e-13
3s2.3p2,3P,0.0,1.0,0.0,3s2.3p2,1D,2.0,5.0,2.71079,2.71079,457.37294,0.00018,2.8226e-12,2.8226e-12,7.4911e-14
3s2.3p2,3P,0.0,1.0,0.0,3s.3p3,3D*,1.0,3.0,19.857,19.857,62.43853,330000000.0,0.057863,0.057863,0.0015357
3s2.3p2,3P,1.0,3.0,0.20146,3s2.3p2,3P,2.0,5.0,0.50479,0.30333,4087.43607,3.3e-06,1.3776e-12,4.1328e-12,3.6562e-14
3s2.3p2,3P,1.0,3.0,0.20146,3s2.3p2,3P,2.0,5.0,0.50479,0.30333,4087.43607,0.199,8.3074e-08,2.4922e-07,2.2048e-09
3s2.3p2,3P,1.0,3.0,0.20146,3s2.3p2,1D,2.0,5.0,2.71079,2.50933,494.09284,1.25,7.6249e-09,2.2875e-08,2.0237e-10
3s2.3p2,3P,1.0,3.0,0.20146,3s2.3p2,1D,2.0,5.0,2.71079,2.50933,494.09284,0.0015,9.1499e-12,2.745e-11,2.4284e-13
3s2.3p2,3P,1.0,3.0,0.20146,3s2.3p2,1S,0.0,1.0,6.07292,5.87146,211.16417,33.2,7.398e-09,2.2194e-08,1.9634e-10
3s2.3p2,3P,1.0,3.0,0.20146,3s.3p3,3D*,1.0,3.0,19.857,19.65554,63.0785,220000000.0,0.013123,0.03937,0.00034829
3s2.3p2,3P,1.0,3.0,0.20146,3s.3p3,3D*,2.0,5.0,19.86479,19.66333,63.05351,450000000.0,0.044703,0.13411,0.0011864
3s2.3p2,3P,2.0,5.0,0.50479,3s2.3p2,1D,2.0,5.0,2.71079,2.206,562.03172,2.56,1.2123e-08,6.0617e-08,3.2175e-10
3s2.3p2,3P,2.0,5.0,0.50479,3s2.3p2,1D,2.0,5.0,2.71079,2.206,562.03172,0.0053,2.5099e-11,1.255e-10,6.6613e-13
3s2.3p2,3P,2.0,5.0,0.50479,3s2.3p2,1S,0.0,1.0,6.07292,5.56813,222.66757,0.27,4.0139e-11,2.007e-10,1.0653e-12
3s2.3p2,3P,2.0,5.0,0.50479,3s.3p3,3D*,1.0,3.0,19.857,19.35221,64.0672,110000000.0,0.0040614,0.020307,0.00010779
3s2.3p2,3P,2.0,5.0,0.50479,3s.3p3,3D*,2.0,5.0,19.86479,19.36,64.04142,130000000.0,0.0079933,0.039966,0.00021214
3s2.3p2,3P,2.0,5.0,0.50479,3s.3p3,3D*,3.0,7.0,19.90308,19.39829,63.91501,570000000.0,0.048873,0.24436,0.0012971
3s2.3p2,1D,2.0,5.0,2.71079,3s2.3p2,1S,0.0,1.0,6.07292,3.36213,368.76682,4.4,1.7941e-09,8.9705e-09,4.7615e-11
