spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
Ca VIII,Ca,7,3s2.3p,2P*,0.5,2,0.0,0.0,odd,,no,147.24,,,,,,,,,,L7185
Ca VIII,Ca,7,3s2.3p,2P*,1.5,4,0.53416,,odd,,no,147.24,1.3966480446927374,"ASD 1/sum(Aki), J-resolved",1.3966480446927374,1/1,yes,0.53416,0.53416,,,
Ca VIII,Ca,7,3s.3p2,4P,0.5,2,16.01,,even,,no,147.24,,,,,,,,,,
Ca VIII,Ca,7,3s.3p2,4P,1.5,4,16.202,,even,,no,147.24,,,,,,,,,,
Ca VIII,Ca,7,3s.3p2,4P,2.5,6,16.4951,,even,,no,147.24,,,,,,,,,,
Ca VIII,Ca,7,3s.3p2,2D,1.5,4,21.27224,,even,,no,147.24,2.05761316872428e-10,"ASD 1/sum(Aki), J-resolved",2.05761316872428e-10,2/2,yes,21.27224,21.27224,,,
Ca VIII,Ca,7,3s.3p2,2D,2.5,6,21.30429,,even,,no,147.24,2.1739130434782608e-10,"ASD 1/sum(Aki), J-resolved",2.1739130434782608e-10,1/1,yes,20.77013,20.77013,,,
Ca VIII,Ca,7,3s.3p2,2S,0.5,2,26.85311,,even,,no,147.24,,,,,,,,,,
Ca VIII,Ca,7,3s.3p2,2P,0.5,2,28.64237,,even,,no,147.24,,,,,,,,,,
Ca VIII,Ca,7,3s.3p2,2P,1.5,4,28.96182,,even,,no,147.24,,,,,,,,,,
Ca VIII,Ca,7,3s2.3d,2D,1.5,4,35.0077,,even,,no,147.24,,,,,,,,,,
Ca VIII,Ca,7,3s2.3d,2D,2.5,6,35.0351,,even,,no,147.24,,,,,,,,,,
Ca VIII,Ca,7,3p3,4S*,1.5,4,42.8085,,odd,,no,147.24,,,,,,,,,,
Ca VIII,Ca,7,3s.3p.3d,4P*,2.5,6,50.6137,,odd,,no,147.24,,,,,,,,,,
Ca VIII,Ca,7,3s.3p.3d,4P*,1.5,4,50.7456,,odd,,no,147.24,,,,,,,,,,
Ca VIII,Ca,7,3s.3p.3d,4D*,0.5,2,51.0587,,odd,,no,147.24,,,,,,,,,,
Ca VIII,Ca,7,3s.3p.3d,4D*,1.5,4,51.1296,,odd,,no,147.24,,,,,,,,,,
Ca VIII,Ca,7,3s.3p.3d,4D*,2.5,6,51.1772,,odd,,no,147.24,,,,,,,,,,
Ca VIII,Ca,7,3s.3p.3d,4D*,3.5,8,51.1907,,odd,,no,147.24,,,,,,,,,,
Ca VIII,Ca,7,3s2.4s,2S,0.5,2,67.8593,,even,,no,147.24,2.0833333333333332e-11,"ASD 1/sum(Aki), J-resolved",2.0833333333333332e-11,2/2,yes,67.32514,67.8593,,,
Ca VIII,Ca,7,3s.3p.4s,4P*,0.5,2,85.3937,,odd,,no,147.24,,,,,,,,,,
Ca VIII,Ca,7,3s.3p.4s,4P*,1.5,4,85.565,,odd,,no,147.24,,,,,,,,,,
Ca VIII,Ca,7,3s.3p.4s,4P*,2.5,6,85.9003,,odd,,no,147.24,,,,,,,,,,
Ca VIII,Ca,7,3s2.4d,2D,1.5,4,86.5697,,even,,no,147.24,,,,,,,,,,
Ca VIII,Ca,7,3s2.4d,2D,2.5,6,86.593,,even,,no,147.24,,,,,,,,,,
Ca VIII,Ca,7,3s2.4f,2F*,2.5,6,92.156,,odd,,no,147.24,,,,,,,,,,
Ca VIII,Ca,7,3s2.4f,2F*,3.5,8,92.161,,odd,,no,147.24,,,,,,,,,,
Ca VIII,Ca,7,3s2.5d,2D,1.5,4,109.8119,,even,,no,147.24,,,,,,,,,,
Ca VIII,Ca,7,3s2.5d,2D,2.5,6,109.819,,even,,no,147.24,,,,,,,,,,
Ca VIII,Ca,7,3s2.5f,2F*,2.5,6,112.2121,,odd,,no,147.24,,,,,,,,,,
Ca VIII,Ca,7,3s2.5f,2F*,3.5,8,112.2165,,odd,,no,147.24,,,,,,,,,,
Ca VIII,Ca,7,3s2.6d,2D,1.5,4,121.4734,,even,,no,147.24,,,,,,,,,,
Ca VIII,Ca,7,3s2.6d,2D,2.5,6,121.5155,,even,,no,147.24,,,,,,,,,,
Ca VIII,Ca,7,3s2.6f,2F*,2.5,6,122.8712,,odd,,no,147.24,,,,,,,,,,
Ca VIII,Ca,7,3s2.6f,2F*,3.5,8,122.8718,,odd,,no,147.24,,,,,,,,,,
Ca VIII,Ca,7,3s2.7f,2F*,3.5,8,129.3412,,odd,,no,147.24,,,,,,,,,,
Ca VIII,Ca,7,3s2.7f,2F*,2.5,6,129.3496,,odd,,no,147.24,,,,,,,,,,
