obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""11.0963""","=""""","=""2.9e+10""",C,"=""0.0000""","=""111.735""","=""2p6.3s""","=""2S""","=""1/2""","=""2p6.4p""","=""2P*""","=""3/2""",2,4,,"=""T8043""","=""""",
"=""""","=""11.1199""","=""""","=""2.92e+10""",C,"=""0.0000""","=""111.498""","=""2p6.3s""","=""2S""","=""1/2""","=""2p6.4p""","=""2P*""","=""1/2""",2,2,,"=""T8043""","=""""",
"=""""","=""11.8123""","=""""","=""5.40e+10""",C,"=""51.7153""","=""156.678""","=""2p6.3d""","=""2D""","=""3/2""","=""2p6.5f""","=""2F*""","=""5/2""",4,6,,"=""T1619interp""","=""""",
"=""""","=""11.8176""","=""""","=""5.80e+10""",C,"=""51.7661""","=""156.681""","=""2p6.3d""","=""2D""","=""5/2""","=""2p6.5f""","=""2F*""","=""7/2""",6,8,,"=""T1619interp""","=""""",
"=""""","=""11.8180""","=""""","=""4.0e+09""",C,"=""51.7661""","=""156.678""","=""2p6.3d""","=""2D""","=""5/2""","=""2p6.5f""","=""2F*""","=""5/2""",6,6,,"=""T1619interp""","=""""",
"=""""","=""15.1843""","=""""","=""2.3e+10""",C,"=""21.5997""","=""103.253""","=""2p6.3p""","=""2P*""","=""1/2""","=""2p6.4s""","=""2S""","=""1/2""",2,2,,"=""T8043""","=""""",
"=""""","=""15.3021""","=""""","=""4.5e+10""",C,"=""22.2288""","=""103.253""","=""2p6.3p""","=""2P*""","=""3/2""","=""2p6.4s""","=""2S""","=""1/2""",4,2,,"=""T8043""","=""""",
"=""""","=""16.6948""","=""""","=""1.500e+11""",C+,"=""51.7153""","=""125.980""","=""2p6.3d""","=""2D""","=""3/2""","=""2p6.4f""","=""2F*""","=""5/2""",4,6,,"=""T1619interp""","=""""",
"=""""","=""16.7049""","=""""","=""1.600e+11""",C+,"=""51.7661""","=""125.987""","=""2p6.3d""","=""2D""","=""5/2""","=""2p6.4f""","=""2F*""","=""7/2""",6,8,,"=""T1619interp""","=""""",
"=""""","=""16.7063""","=""""","=""1.10e+10""",C+,"=""51.7661""","=""125.980""","=""2p6.3d""","=""2D""","=""5/2""","=""2p6.4f""","=""2F*""","=""5/2""",6,6,,"=""T1619interp""","=""""",
"=""""","=""20.657""","=""""","=""2.9e+09""",D,"=""51.7153""","=""111.735""","=""2p6.3d""","=""2D""","=""3/2""","=""2p6.4p""","=""2P*""","=""3/2""",4,4,,"=""T1619interp,LS""","=""""",
"=""""","=""20.675""","=""""","=""2.6e+10""",C,"=""51.7661""","=""111.735""","=""2p6.3d""","=""2D""","=""5/2""","=""2p6.4p""","=""2P*""","=""3/2""",6,4,,"=""T1619interp,LS""","=""""",
"=""""","=""20.739""","=""""","=""2.8e+10""",C,"=""51.7153""","=""111.498""","=""2p6.3d""","=""2D""","=""3/2""","=""2p6.4p""","=""2P*""","=""1/2""",4,2,,"=""T1619interp,LS""","=""""",
