Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Reference
"=""4d10.5s2""","=""1S""","=""0""",1,"=""""","=""0.0000000""","=""""","=""0.0000009""","=""L3466"""
"=""4d10.5s.5p""","=""3P*""","=""0""",1,"=""""","=""3.73365891""","=""""","=""0.00000025""","=""L3486"""
"=""4d10.5s.5p""","=""3P*""","=""1""",3,"=""""","=""3.80087037""","=""""","=""0.00000025""","=""L3486"""
"=""4d10.5s.5p""","=""3P*""","=""2""",5,"=""""","=""3.94603913""","=""""","=""0.00000025""","=""L3486"""
"=""4d10.5s.5p""","=""1P*""","=""1""",3,"=""""","=""5.41716521""","=""""","=""0.00000025""","=""L3486"""
"=""4d10.5s.6s""","=""3S""","=""1""",3,"=""""","=""6.38319999""","=""""","=""0.00000025""","=""L3486"""
"=""4d10.5s.6s""","=""1S""","=""0""",1,"=""""","=""6.6096101""","=""""","=""0.0000012""","=""L3486"""
"=""4d10.5s.6p""","=""3P*""","=""0""",1,"=""""","=""7.2395""","=""""","=""0.0003""","=""L3466"""
"=""4d10.5s.6p""","=""3P*""","=""1""",3,"=""""","=""7.2483""","=""""","=""0.0003""","=""L3466"""
"=""4d10.5s.6p""","=""3P*""","=""2""",5,"=""""","=""7.2699""","=""""","=""0.0003""","=""L3466"""
"=""4d10.5s.5d""","=""1D""","=""2""",5,"=""""","=""7.34231125""","=""""","=""0.00000025""","=""L3486"""
"=""4d10.5s.5d""","=""3D""","=""1""",3,"=""""","=""7.37529526""","=""""","=""0.00000025""","=""L3486"""
"=""4d10.5s.5d""","=""3D""","=""2""",5,"=""""","=""7.37679547""","=""""","=""0.00000025""","=""L3486"""
"=""4d10.5s.5d""","=""3D""","=""3""",7,"=""""","=""7.3790423""","=""""","=""0.0000025""","=""L3486c197"""
"=""4d10.5s.6p""","=""1P*""","=""1""",3,"=""""","=""7.427556""","=""""","=""0.000022""","=""L3641"""
"=""4d10.5s.7s""","=""3S""","=""1""",3,"=""""","=""7.75687734""","=""""","=""0.00000025""","=""L3486"""
"=""4d10.5s.7s""","=""1S""","=""0""",1,"=""""","=""7.82177823""","=""""","=""0.00000025""","=""L3486"""
"=""4d10.5s.7p""","=""3P*""","=""0""",1,"=""""","=""8.0585""","=""""","=""0.0003""","=""L3466"""
"=""4d10.5s.7p""","=""3P*""","=""1""",3,"=""""","=""8.06213""","=""""","=""0.00004""","=""L9542"""
"=""4d10.5s.7p""","=""3P*""","=""2""",5,"=""""","=""8.0705905""","=""""","=""0.0000020""","=""L3486"""
"=""4d10.5s.6d""","=""1D""","=""2""",5,"=""""","=""8.07568386""","=""""","=""0.00000025""","=""L3486"""
"=""4d10.5s.6d""","=""3D""","=""1""",3,"=""""","=""8.10278544""","=""""","=""0.00000025""","=""L3486"""
"=""4d10.5s.6d""","=""3D""","=""2""",5,"=""""","=""8.10346847""","=""""","=""0.00000025""","=""L3486"""
"=""4d10.5s.6d""","=""3D""","=""3""",7,"=""""","=""8.1045032""","=""""","=""0.0000025""","=""L3486"""
"=""4d10.5s.7p""","=""1P*""","=""1""",3,"=""""","=""8.1211401""","=""""","=""0.0000020""","=""L3486"""
"=""4d10.5s.4f""","=""3F*""","=""2,3,4""",21,"=""""","=""8.13163""","=""""","=""0.00004""","=""L9542"""
"=""4d10.5s.8s""","=""3S""","=""1""",3,"=""""","=""8.26751792""","=""""","=""0.00000025""","=""L3486"""
"=""4d10.5s.8s""","=""1S""","=""0""",1,"=""""","=""8.2952423""","=""""","=""0.0000012""","=""L3486"""
"=""4d10.5s.8p""","=""3P*""","=""0""",1,"=""""","=""8.4098055""","=""""","=""0.0000025""","=""L3486"""
"=""4d10.5s.8p""","=""3P*""","=""1""",3,"=""""","=""8.411343""","=""""","=""0.000006""","=""L3486"""
"=""4d10.5s.8p""","=""3P*""","=""2""",5,"=""""","=""8.4154511""","=""""","=""0.0000020""","=""L3486"""
"=""4d10.5s.7d""","=""1D""","=""2""",5,"=""""","=""8.41088977""","=""""","=""0.00000025""","=""L3486"""
"=""4d10.5s.7d""","=""3D""","=""1""",3,"=""""","=""8.42966259""","=""""","=""0.00000025""","=""L3486"""
"=""4d10.5s.7d""","=""3D""","=""2""",5,"=""""","=""8.43002140""","=""""","=""0.00000025""","=""L3486"""
"=""4d10.5s.7d""","=""3D""","=""3""",7,"=""""","=""8.4305661""","=""""","=""0.0000025""","=""L3486"""
"=""4d10.5s.8p""","=""1P*""","=""1""",3,"=""""","=""8.4382893""","=""""","=""0.0000020""","=""L3486"""
"=""4d10.5s.5f""","=""3F*""","=""2,3,4""",21,"=""""","=""8.4425""","=""""","=""0.0003""","=""L3466"""
"=""4d10.5s.9s""","=""3S""","=""1""",3,"=""""","=""8.51552301""","=""""","=""0.00000025""","=""L3486"""
"=""4d10.5s.9s""","=""1S""","=""0""",1,"=""""","=""8.5299591""","=""""","=""0.0000012""","=""L3486"""
"=""4d10.5s.8d""","=""1D""","=""2""",5,"=""""","=""8.5917434""","=""""","=""0.0000020""","=""L3486"""
"=""4d10.5s.9p""","=""3P*""","=""0""",1,"=""""","=""8.59384""","=""""","=""0.00004""","=""L9542"""
"=""4d10.5s.9p""","=""3P*""","=""1""",3,"=""""","=""8.59470""","=""""","=""0.00004""","=""L9542"""
"=""4d10.5s.9p""","=""3P*""","=""2""",5,"=""""","=""8.59704""","=""""","=""0.00004""","=""L9542"""
"=""4d10.5s.8d""","=""3D""","=""1""",3,"=""""","=""8.6046150""","=""""","=""0.0000025""","=""L3486"""
"=""4d10.5s.8d""","=""3D""","=""2""",5,"=""""","=""8.6048236""","=""""","=""0.0000019""","=""L3486"""
"=""4d10.5s.8d""","=""3D""","=""3""",7,"=""""","=""8.6051431""","=""""","=""0.0000025""","=""L3486"""
"=""4d10.5s.9p""","=""1P*""","=""1""",3,"=""""","=""8.609355""","=""""","=""0.000022""","=""L3641"""
"=""4d10.5s.6f""","=""3F*""","=""2,3,4""",21,"=""""","=""8.61150""","=""""","=""0.00004""","=""L9542"""
"=""4d10.5s.10s""","=""3S""","=""1""",3,"=""""","=""8.65494188""","=""""","=""0.00000025""","=""L3486"""
