spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
Cd I,Cd,0,4d10.5s2,1S,0.0,1,0.0,9e-07,even,,no,8.99382,,,,,,,,,,L3466
Cd I,Cd,0,4d10.5s.5p,3P*,0.0,1,3.73365891,2.5e-07,odd,,no,8.99382,,,,,,,,,,L3486
Cd I,Cd,0,4d10.5s.5p,3P*,1.0,3,3.80087037,2.5e-07,odd,,no,8.99382,2.463054187192118e-06,"ASD 1/sum(Aki), J-resolved",2.463054187192118e-06,1/1,yes,3.80087037,3.80087037,,,L3486
Cd I,Cd,0,4d10.5s.5p,3P*,2.0,5,3.94603913,2.5e-07,odd,,no,8.99382,,,,,,,,,,L3486
Cd I,Cd,0,4d10.5s.5p,1P*,1.0,3,5.41716521,2.5e-07,odd,,no,8.99382,1.8867924528301888e-09,"ASD 1/sum(Aki), J-resolved",1.8867924528301888e-09,1/1,yes,5.41716521,5.41716521,,,L3486
Cd I,Cd,0,4d10.5s.6s,3S,1.0,3,6.38319999,2.5e-07,even,,no,8.99382,9.09090909090909e-09,"ASD 1/sum(Aki), J-resolved",9.09090909090909e-09,3/3,yes,2.4371608599999997,2.6495410799999997,,,L3486
Cd I,Cd,0,4d10.5s.6s,1S,0.0,1,6.6096101,1.2e-06,even,,no,8.99382,,,,,,,,,,L3486
Cd I,Cd,0,4d10.5s.6p,3P*,0.0,1,7.2395,0.0003,odd,,no,8.99382,,,,,,,,,,L3466
Cd I,Cd,0,4d10.5s.6p,3P*,1.0,3,7.2483,0.0003,odd,,no,8.99382,,,,,,,,,,L3466
Cd I,Cd,0,4d10.5s.6p,3P*,2.0,5,7.2699,0.0003,odd,,no,8.99382,,,,,,,,,,L3466
Cd I,Cd,0,4d10.5s.5d,1D,2.0,5,7.34231125,2.5e-07,even,,no,8.99382,1.6949152542372882e-08,"ASD 1/sum(Aki), J-resolved",1.6949152542372882e-08,1/3,no,1.9251460399999996,3.5414408799999997,,,L3486
Cd I,Cd,0,4d10.5s.5d,3D,1.0,3,7.37529526,2.5e-07,even,,no,8.99382,6.944444444444444e-09,"ASD 1/sum(Aki), J-resolved",6.944444444444444e-09,2/4,no,3.6416363499999997,3.6416363499999997,,,L3486
Cd I,Cd,0,4d10.5s.5d,3D,2.0,5,7.37679547,2.5e-07,even,,no,8.99382,6.451612903225806e-09,"ASD 1/sum(Aki), J-resolved",6.451612903225806e-09,2/3,no,3.5759251,3.5759251,,,L3486
Cd I,Cd,0,4d10.5s.5d,3D,3.0,7,7.3790423,2.5e-06,even,,no,8.99382,7.692307692307693e-09,"ASD 1/sum(Aki), J-resolved",7.692307692307693e-09,1/1,yes,3.43300317,3.43300317,,,L3486c197
Cd I,Cd,0,4d10.5s.6p,1P*,1.0,3,7.427556,2.2e-05,odd,,no,8.99382,,,,,,,,,,L3641
Cd I,Cd,0,4d10.5s.7s,3S,1.0,3,7.75687734,2.5e-07,even,,no,8.99382,,,,,,,,,,L3486
Cd I,Cd,0,4d10.5s.7s,1S,0.0,1,7.82177823,2.5e-07,even,,no,8.99382,,,,,,,,,,L3486
Cd I,Cd,0,4d10.5s.7p,3P*,0.0,1,8.0585,0.0003,odd,,no,8.99382,,,,,,,,,,L3466
Cd I,Cd,0,4d10.5s.7p,3P*,1.0,3,8.06213,4e-05,odd,,no,8.99382,,,,,,,,,,L9542
Cd I,Cd,0,4d10.5s.7p,3P*,2.0,5,8.0705905,2e-06,odd,,no,8.99382,,,,,,,,,,L3486
Cd I,Cd,0,4d10.5s.6d,1D,2.0,5,8.07568386,2.5e-07,even,,no,8.99382,1.8181818181818183e-07,"ASD 1/sum(Aki), J-resolved",1.8181818181818183e-07,1/2,no,2.6585186499999995,2.6585186499999995,,,L3486
Cd I,Cd,0,4d10.5s.6d,3D,1.0,3,8.10278544,2.5e-07,even,,no,8.99382,1.923076923076923e-08,"ASD 1/sum(Aki), J-resolved",1.923076923076923e-08,2/3,no,4.36912653,4.36912653,,,L3486
Cd I,Cd,0,4d10.5s.6d,3D,2.0,5,8.10346847,2.5e-07,even,,no,8.99382,1.754385964912281e-08,"ASD 1/sum(Aki), J-resolved",1.754385964912281e-08,2/3,no,4.302598099999999,4.302598099999999,,,L3486
Cd I,Cd,0,4d10.5s.6d,3D,3.0,7,8.1045032,2.5e-06,even,,no,8.99382,1.6949152542372882e-08,"ASD 1/sum(Aki), J-resolved",1.6949152542372882e-08,1/1,yes,4.15846407,4.15846407,,,L3486
Cd I,Cd,0,4d10.5s.7p,1P*,1.0,3,8.1211401,2e-06,odd,,no,8.99382,,,,,,,,,,L3486
Cd I,Cd,0,4d10.5s.4f,3F*,,21,8.13163,4e-05,odd,,no,8.99382,,,,,,,,,,L9542
Cd I,Cd,0,4d10.5s.8s,3S,1.0,3,8.26751792,2.5e-07,even,,no,8.99382,,,,,,,,,,L3486
Cd I,Cd,0,4d10.5s.8s,1S,0.0,1,8.2952423,1.2e-06,even,,no,8.99382,,,,,,,,,,L3486
Cd I,Cd,0,4d10.5s.8p,3P*,0.0,1,8.4098055,2.5e-06,odd,,no,8.99382,,,,,,,,,,L3486
Cd I,Cd,0,4d10.5s.8p,3P*,1.0,3,8.411343,6e-06,odd,,no,8.99382,,,,,,,,,,L3486
Cd I,Cd,0,4d10.5s.8p,3P*,2.0,5,8.4154511,2e-06,odd,,no,8.99382,,,,,,,,,,L3486
Cd I,Cd,0,4d10.5s.7d,1D,2.0,5,8.41088977,2.5e-07,even,,no,8.99382,2.1276595744680852e-07,"ASD 1/sum(Aki), J-resolved",2.1276595744680852e-07,1/1,yes,2.9937245600000004,2.9937245600000004,,,L3486
Cd I,Cd,0,4d10.5s.7d,3D,1.0,3,8.42966259,2.5e-07,even,,no,8.99382,,,,,,,,,,L3486
Cd I,Cd,0,4d10.5s.7d,3D,2.0,5,8.4300214,2.5e-07,even,,no,8.99382,,,,,,,,,,L3486
Cd I,Cd,0,4d10.5s.7d,3D,3.0,7,8.4305661,2.5e-06,even,,no,8.99382,,,,,,,,,,L3486
Cd I,Cd,0,4d10.5s.8p,1P*,1.0,3,8.4382893,2e-06,odd,,no,8.99382,,,,,,,,,,L3486
Cd I,Cd,0,4d10.5s.5f,3F*,,21,8.4425,0.0003,odd,,no,8.99382,,,,,,,,,,L3466
Cd I,Cd,0,4d10.5s.9s,3S,1.0,3,8.51552301,2.5e-07,even,,no,8.99382,,,,,,,,,,L3486
Cd I,Cd,0,4d10.5s.9s,1S,0.0,1,8.5299591,1.2e-06,even,,no,8.99382,,,,,,,,,,L3486
Cd I,Cd,0,4d10.5s.8d,1D,2.0,5,8.5917434,2e-06,even,,no,8.99382,,,,,,,,,,L3486
Cd I,Cd,0,4d10.5s.9p,3P*,0.0,1,8.59384,4e-05,odd,,no,8.99382,,,,,,,,,,L9542
Cd I,Cd,0,4d10.5s.9p,3P*,1.0,3,8.5947,4e-05,odd,,no,8.99382,,,,,,,,,,L9542
Cd I,Cd,0,4d10.5s.9p,3P*,2.0,5,8.59704,4e-05,odd,,no,8.99382,,,,,,,,,,L9542
Cd I,Cd,0,4d10.5s.8d,3D,1.0,3,8.604615,2.5e-06,even,,no,8.99382,,,,,,,,,,L3486
Cd I,Cd,0,4d10.5s.8d,3D,2.0,5,8.6048236,1.9e-06,even,,no,8.99382,,,,,,,,,,L3486
Cd I,Cd,0,4d10.5s.8d,3D,3.0,7,8.6051431,2.5e-06,even,,no,8.99382,,,,,,,,,,L3486
Cd I,Cd,0,4d10.5s.9p,1P*,1.0,3,8.609355,2.2e-05,odd,,no,8.99382,,,,,,,,,,L3641
