obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""76.118""","=""76.1182+""","=""1""","=""""",,"=""0.000000""","=""16.28839""","=""4d10.5s""","=""2S""","=""1/2""","=""4d10.12p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L3540""",
"=""76.794""","=""76.7951+""","=""10""","=""""",,"=""0.000000""","=""16.14480""","=""4d10.5s""","=""2S""","=""1/2""","=""4d10.11p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L3540""",
"=""76.945""","=""76.9489+""","=""1""","=""""",,"=""0.000000""","=""16.11253""","=""4d10.5s""","=""2S""","=""1/2""","=""4d10.11p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L3540""",
"=""77.312""","=""77.31270+""","=""20""","=""""",,"=""0.000000""","=""16.036719""","=""4d10.5s""","=""2S""","=""1/2""","=""4d9.5s.(1D).5p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L3540""",
"=""78.080""","=""78.0785+""","=""5""","=""""",,"=""0.000000""","=""15.87944""","=""4d10.5s""","=""2S""","=""1/2""","=""4d10.10p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L3540""",
"=""78.126""","=""78.12700+""","=""25""","=""""",,"=""0.000000""","=""15.869572""","=""4d10.5s""","=""2S""","=""1/2""","=""4d10.10p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L3540""",
"=""79.837""","=""79.83746+""","=""50""","=""""",,"=""0.000000""","=""15.529578""","=""4d10.5s""","=""2S""","=""1/2""","=""4d10.9p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L3540""",
"=""79.857""","=""79.85750+""","=""15""","=""""",,"=""0.000000""","=""15.525681""","=""4d10.5s""","=""2S""","=""1/2""","=""4d10.9p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L3540""",
"=""82.840""","=""82.84237+""","=""2""","=""""",,"=""0.000000""","=""14.966279""","=""4d10.5s""","=""2S""","=""1/2""","=""4d10.8p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L3540""",
"=""82.905""","=""82.90605+""","=""15""","=""""",,"=""0.000000""","=""14.954783""","=""4d10.5s""","=""2S""","=""1/2""","=""4d10.8p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L3540""",
