Initial State,Final State,Partial Lifetime /s,Delta Energy /eV
Cl 4P;v=3s2.3p4(3P)4s,Cl 2Po;v=3s2.3p5,5.0251e-07,-9.02918892648279
Cl 2P;v=3s2.3p4(3P)4s,Cl 2Po;v=3s2.3p5,2.0121e-09,-9.28194968093403
Cl 4Po;v=3s2.3p4(3P)4p,Cl 4P;v=3s2.3p4(3P)4s,4.0161e-08,-1.3065029451767103
Cl 4Do;v=3s2.3p4(3P)4p,Cl 2Po;v=3s2.3p5,3.758e-09,-10.4295457447745
Cl 2D;v=3s2.3p4(1D)4s,Cl 4P;v=3s2.3p4(3P)4s,3.4483e-08,-1.4706170427227097
Cl 2Do;v=3s2.3p4(3P)4p,Cl 2P;v=3s2.3p4(3P)4s,4.2735e-08,-1.2550382916363692
Cl 2Do;v=3s2.3p4(3P)4p,Cl 4P;v=3s2.3p4(3P)4s,4.7619e-07,-1.5077990460876087
Cl 2Po;v=3s2.3p4(3P)4p,Cl 2P;v=3s2.3p4(3P)4s,3.663e-08,-1.2867527179808693
Cl 2Po;v=3s2.3p4(3P)4p,Cl 4P;v=3s2.3p4(3P)4s,1.0204e-07,-1.539513472432109
Cl 4So;v=3s2.3p4(3P)4p,Cl 4P;v=3s2.3p4(3P)4s,3.003e-08,-1.6003635132840088
Cl 4So;v=3s2.3p4(3P)4p,Cl 2P;v=3s2.3p4(3P)4s,2.5641e-07,-1.3476027588327693
Cl 2So;v=3s2.3p4(3P)4p,Cl 2P;v=3s2.3p4(3P)4s,5.2632e-07,-1.37026654747927
Cl 2Po;v=3s2.3p4(1D)4p,Cl 2P;v=3s2.3p4(3P)4s,1.1765e-06,-2.4304309715301695
Cl 2Po;v=3s2.3p4(1D)4p,Cl 4P;v=3s2.3p4(3P)4s,5.5556e-06,-2.683191725981409
Cl 4Po;v=3s2.3p4(3P)5p,Cl 4P;v=3s2.3p4(3P)4s,2.2727e-06,-2.7457775055698104
Cl 4Po;v=3s2.3p4(3P)5p,Cl 2P;v=3s2.3p4(3P)4s,2.5641e-06,-2.493016751118571
Cl 4Do;v=3s2.3p4(3P)5p,Cl 2P;v=3s2.3p4(3P)4s,9.0909e-07,-2.5625950781888704
Cl 4Do;v=3s2.3p4(3P)5p,Cl 4P;v=3s2.3p4(3P)4s,1.1905e-06,-2.81535583264011
Cl 2Do;v=3s2.3p4(3P)5p,Cl 4P;v=3s2.3p4(3P)4s,1.2658e-06,-2.823129462553309
Cl 2Do;v=3s2.3p4(3P)5p,Cl 2P;v=3s2.3p4(3P)4s,1.8519e-06,-2.5703687081020696
Cl 2So;v=3s2.3p4(3P)5p,Cl 4P;v=3s2.3p4(3P)4s,4.9751e-07,-2.824964386360609
Cl 2So;v=3s2.3p4(3P)5p,Cl 2P;v=3s2.3p4(3P)4s,2.5641e-06,-2.5722036319093693
Cl 4So;v=3s2.3p4(3P)5p,Cl 4Po;v=3s2.3p4(3P)4p,1.0204e-07,-1.5294337896259993
Cl 2[3];v=3s2.3p4(3P_2)4d,Cl 4P;v=3s2.3p4(3P)4s,9.009e-07,-2.83663103029731
Cl 2[3];v=3s2.3p4(3P_2)4d,Cl 2P;v=3s2.3p4(3P)4s,1.4706e-06,-2.5838702758460705
Cl 2[2];v=3s2.3p4(3P_2)4d,Cl 4Po;v=3s2.3p4(3P)4p,6.9735e-08,-1.5538209188752994
Cl 2[1];v=3s2.3p4(3P_2)4d,Cl 4Po;v=3s2.3p4(3P)4p,1.1765e-07,-1.5659710900314998
Cl 2Po;v=3s2.3p4(3P)5p,Cl 4Do;v=3s2.3p4(3P)4p,2.3697e-08,-1.5329424615006992
Cl 2Po;v=3s2.3p4(3P)5p,Cl 2P;v=3s2.3p4(3P)4s,1.0753e-06,-2.68053852534117
Cl 2Do;v=3s2.3p4(1D)4p,Cl 2P;v=3s2.3p4(3P)4s,1.7241e-07,-2.6939161117468693
Cl 2Do;v=3s2.3p4(1D)4p,Cl 4P;v=3s2.3p4(3P)4s,2.6316e-06,-2.946676866198109
Cl 2[4];v=3s2.3p4(3P_2)4d,Cl 2D;v=3s2.3p4(1D)4s,2.5641e-07,-1.4930576649603005
