Initial State,Final State,Partial Lifetime /s,Delta Energy /eV
Cl+ 1D;v=3s2.3p4,Cl+ 3P;v=3s2.3p4,7.5233,-1.44482892435031
Cl+ 1S;v=3s2.3p4,Cl+ 1D;v=3s2.3p4,0.43668,-2.01152282558429
Cl+ 1S;v=3s2.3p4,Cl+ 3P;v=3s2.3p4,0.73638,-3.4563517499346
Cl+ 3Po;v=3s.3p5,Cl+ 3P;v=3s2.3p4,8.8496e-09,-11.6956307736559
Cl+ 5P;v=3s2.3p3(4So)4p,Cl+ 5So;v=3s2.3p3(4So)4s,1e-08,-2.5717870545850996
Cl+ 5P;v=3s2.3p3(4So)4p,Cl+ 5Do;v=3s2.3p3(4So)3d,4.1322e-08,-2.2721018431850997
Cl+ 3P;v=3s2.3p3(4So)4p,Cl+ 3So;v=3s2.3p3(4So)4s,1.2987e-08,-2.375437809068
Cl+ 3P;v=3s2.3p3(4So)4p,Cl+ 3Do;v=3s2.3p3(4So)3d,7.6923e-08,-1.4838929644679997
Cl+ 1P;v=3s2.3p3(2Do)4p,Cl+ 1Do;v=3s2.3p3(2Do)4s,1.8868e-08,-2.033670851912998
Cl+ 3D;v=3s2.3p3(2Do)4p,Cl+ 3Do;v=3s2.3p3(2Do)4s,1.1765e-08,-2.4306913323526
Cl+ 3D;v=3s2.3p3(2Do)4p,Cl+ 3Fo;v=3s2.3p3(2Do)3d,6.6667e-08,-2.516630236852599
Cl+ 3F;v=3s2.3p3(2Do)4p,Cl+ 3Do;v=3s2.3p3(2Do)4s,1.1184e-08,-2.5204538213028
Cl+ 3F;v=3s2.3p3(2Do)4p,Cl+ 3Fo;v=3s2.3p3(2Do)3d,1.7794e-07,-2.606392725802799
Cl+ 1F;v=3s2.3p3(2Do)4p,Cl+ 1Do;v=3s2.3p3(2Do)4s,1e-08,-2.298618971922
Cl+ 3P;v=3s2.3p3(2Do)4p,Cl+ 1Do;v=3s2.3p3(2Do)4s,1e-08,-2.5979099226480997
Cl+ 5So;v=3s2.3p3(4So)5s,Cl+ 5P;v=3s2.3p3(4So)4p,5.5556e-09,-2.927447360623301
