conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
3s2.3p4,3P,2.0,5.0,0.0,3s2.3p4,3P,1.0,3.0,0.086293,0.086293,14367.81644,6e-08,1.1141e-13,5.5707e-13,2.957e-15
3s2.3p4,3P,2.0,5.0,0.0,3s2.3p4,3P,1.0,3.0,0.086293,0.086293,14367.81644,0.00762,1.415e-08,7.0749e-08,3.7553e-10
3s2.3p4,3P,2.0,5.0,0.0,3s2.3p4,3P,0.0,1.0,0.123547,0.123547,10035.38721,4.78e-07,1.4434e-13,7.217e-13,3.8308e-15
3s2.3p4,3P,2.0,5.0,0.0,3s2.3p4,1D,2.0,5.0,1.44486,1.44486,858.10527,0.00055,6.0716e-12,3.0358e-11,1.6114e-13
3s2.3p4,3P,2.0,5.0,0.0,3s2.3p4,1D,2.0,5.0,1.44486,1.44486,858.10527,0.103,1.137e-09,5.6852e-09,3.0177e-11
3s2.3p4,3P,2.0,5.0,0.0,3s2.3p4,1S,0.0,1.0,3.456434,3.456434,358.70553,0.018,6.9445e-12,3.4722e-11,1.8431e-13
3s2.3p4,3P,2.0,5.0,0.0,3s.3p5,3P*,2.0,5.0,11.576102,11.576102,107.10358,84000000.0,0.014446,0.07223,0.0003834
3s2.3p4,3P,2.0,5.0,0.0,3s.3p5,3P*,1.0,3.0,11.6545,11.6545,106.38311,47700000.0,0.004856,0.02428,0.00012888
3s2.3p4,3P,1.0,3.0,0.086293,3s2.3p4,3P,0.0,1.0,0.123547,0.037254,33280.77479,0.00144,7.9705e-09,2.3912e-08,2.1154e-10
3s2.3p4,3P,1.0,3.0,0.086293,3s2.3p4,1D,2.0,5.0,1.44486,1.358567,912.61011,5.8e-05,1.207e-12,3.621e-12,3.2034e-14
3s2.3p4,3P,1.0,3.0,0.086293,3s2.3p4,1D,2.0,5.0,1.44486,1.358567,912.61011,0.0293,6.0974e-10,1.8292e-09,1.6183e-11
3s2.3p4,3P,1.0,3.0,0.086293,3s2.3p4,1S,0.0,1.0,3.456434,3.370141,367.89024,1.34,9.0632e-10,2.7189e-09,2.4054e-11
3s2.3p4,3P,1.0,3.0,0.086293,3s.3p5,3P*,2.0,5.0,11.576102,11.489809,107.90797,27400000.0,0.007972,0.023916,0.00021158
3s2.3p4,3P,1.0,3.0,0.086293,3s.3p5,3P*,1.0,3.0,11.6545,11.568207,107.17668,28000000.0,0.0048219,0.014466,0.00012797
3s2.3p4,3P,1.0,3.0,0.086293,3s.3p5,3P*,0.0,1.0,11.695906,11.609613,106.79443,113000000.0,0.0064404,0.019321,0.00017093
3s2.3p4,3P,0.0,1.0,0.123547,3s2.3p4,1D,2.0,5.0,1.44486,1.321313,938.34087,1.2e-05,7.9201e-13,7.9201e-13,2.102e-14
3s2.3p4,3P,0.0,1.0,0.123547,3s.3p5,3P*,1.0,3.0,11.6545,11.530953,107.52294,36900000.0,0.019187,0.019187,0.00050923
3s2.3p4,1D,2.0,5.0,1.44486,3s2.3p4,1S,0.0,1.0,3.456434,2.011574,616.35415,2.29,2.6085e-09,1.3042e-08,6.9229e-11
3s2.3p3.(4S*).4s,5S*,2.0,5.0,13.375373,3s2.3p3.(4S*).4p,5P,1.0,3.0,15.947218,2.571845,482.0827,100000000.0,0.20905,1.0453,0.0055482
3s2.3p3.(4S*).4s,5S*,2.0,5.0,13.375373,3s2.3p3.(4S*).4p,5P,2.0,5.0,15.95225,2.576877,481.14131,99000000.0,0.34359,1.7179,0.0091189
3s2.3p3.(4S*).4s,5S*,2.0,5.0,13.375373,3s2.3p3.(4S*).4p,5P,3.0,7.0,15.960588,2.585215,479.58951,104000000.0,0.50207,2.5103,0.013325
3s2.3p3.(4S*).3d,5D*,4.0,9.0,13.675065,3s2.3p3.(4S*).4p,5P,3.0,7.0,15.960588,2.285523,542.47627,18000000.0,0.061766,0.55589,0.0016393
3s2.3p3.(4S*).3d,5D*,3.0,7.0,13.675174,3s2.3p3.(4S*).4p,5P,2.0,5.0,15.95225,2.277076,544.48863,15000000.0,0.047621,0.33335,0.0012639
3s2.3p3.(4S*).3d,5D*,3.0,7.0,13.675174,3s2.3p3.(4S*).4p,5P,3.0,7.0,15.960588,2.285414,542.50214,3700000.0,0.016325,0.11428,0.00043328
3s2.3p3.(4S*).3d,5D*,2.0,5.0,13.675527,3s2.3p3.(4S*).4p,5P,1.0,3.0,15.947218,2.271691,545.77933,8400000.0,0.022507,0.11254,0.00059734
3s2.3p3.(4S*).3d,5D*,2.0,5.0,13.675527,3s2.3p3.(4S*).4p,5P,2.0,5.0,15.95225,2.276723,544.57305,9500000.0,0.042237,0.21119,0.001121
3s2.3p3.(4S*).3d,5D*,2.0,5.0,13.675527,3s2.3p3.(4S*).4p,5P,3.0,7.0,15.960588,2.285061,542.58595,560000.0,0.0034603,0.017301,9.1836e-05
3s2.3p3.(4S*).3d,5D*,1.0,3.0,13.675844,3s2.3p3.(4S*).4p,5P,1.0,3.0,15.947218,2.271374,545.8555,11000000.0,0.049137,0.14741,0.0013041
3s2.3p3.(4S*).3d,5D*,1.0,3.0,13.675844,3s2.3p3.(4S*).4p,5P,2.0,5.0,15.95225,2.276406,544.64888,2400000.0,0.017789,0.053367,0.00047212
3s2.3p3.(4S*).3d,5D*,0.0,1.0,13.676017,3s2.3p3.(4S*).4p,5P,1.0,3.0,15.947218,2.271201,545.89708,4800000.0,0.064334,0.064334,0.0017074
3s2.3p3.(4S*).4s,3S*,1.0,3.0,13.961781,3s2.3p3.(4S*).4p,3P,1.0,3.0,16.335677,2.373896,522.28151,77000000.0,0.31489,0.94467,0.0083572
3s2.3p3.(4S*).4s,3S*,1.0,3.0,13.961781,3s2.3p3.(4S*).4p,3P,2.0,5.0,16.337232,2.375451,521.93962,77000000.0,0.52413,1.5724,0.01391
3s2.3p3.(4S*).4s,3S*,1.0,3.0,13.961781,3s2.3p3.(4S*).4p,3P,0.0,1.0,16.337325,2.375544,521.91918,77000000.0,0.10482,0.31445,0.0027819
3s2.3p3.(4S*).3d,3D*,2.0,5.0,14.853347,3s2.3p3.(4S*).4p,3P,1.0,3.0,16.335677,1.48233,836.41428,9600000.0,0.060412,0.30206,0.0016033
3s2.3p3.(4S*).3d,3D*,2.0,5.0,14.853347,3s2.3p3.(4S*).4p,3P,2.0,5.0,16.337232,1.483885,835.53778,1900000.0,0.019886,0.09943,0.00052777
3s2.3p3.(4S*).3d,3D*,3.0,7.0,14.854698,3s2.3p3.(4S*).4p,3P,2.0,5.0,16.337232,1.482534,836.29919,11000000.0,0.082385,0.57669,0.0021865
3s2.3p3.(4S*).3d,3D*,1.0,3.0,14.858677,3s2.3p3.(4S*).4p,3P,1.0,3.0,16.335677,1.477,839.43262,3200000.0,0.033805,0.10142,0.00089719
3s2.3p3.(4S*).3d,3D*,1.0,3.0,14.858677,3s2.3p3.(4S*).4p,3P,2.0,5.0,16.337232,1.478555,838.54979,130000.0,0.0022841,0.0068522,6.0619e-05
3s2.3p3.(4S*).3d,3D*,1.0,3.0,14.858677,3s2.3p3.(4S*).4p,3P,0.0,1.0,16.337325,1.478648,838.49705,13000000.0,0.045676,0.13703,0.0012122
3s2.3p3.(2D*).3d,3F*,2.0,5.0,15.626167,3s2.3p3.(2D*).4p,3D,1.0,3.0,18.142826,2.516659,492.65394,15000000.0,0.032748,0.16374,0.00086913
3s2.3p3.(2D*).3d,3F*,2.0,5.0,15.626167,3s2.3p3.(2D*).4p,3D,2.0,5.0,18.143296,2.517129,492.56196,1600000.0,0.0058197,0.029099,0.00015446
3s2.3p3.(2D*).3d,3F*,2.0,5.0,15.626167,3s2.3p3.(2D*).4p,3D,3.0,7.0,18.160045,2.533878,489.30611,33000.0,0.00016583,0.00082915,4.4011e-06
3s2.3p3.(2D*).3d,3F*,2.0,5.0,15.626167,3s2.3p3.(2D*).4p,3F,2.0,5.0,18.232572,2.606405,475.69046,5000000.0,0.016962,0.08481,0.00045017
3s2.3p3.(2D*).3d,3F*,2.0,5.0,15.626167,3s2.3p3.(2D*).4p,3F,3.0,7.0,18.241494,2.615327,474.06767,450000.0,0.0021227,0.010613,5.6335e-05
3s2.3p3.(2D*).3d,3F*,3.0,7.0,15.649377,3s2.3p3.(2D*).4p,3D,2.0,5.0,18.143296,2.493919,497.14605,13000000.0,0.034407,0.24085,0.00091315
3s2.3p3.(2D*).3d,3F*,3.0,7.0,15.649377,3s2.3p3.(2D*).4p,3D,3.0,7.0,18.160045,2.510668,493.82952,1200000.0,0.0043873,0.030711,0.00011644
3s2.3p3.(2D*).3d,3F*,3.0,7.0,15.649377,3s2.3p3.(2D*).4p,3F,2.0,5.0,18.232572,2.583195,479.96453,620000.0,0.0015295,0.010706,4.0592e-05
3s2.3p3.(2D*).3d,3F*,3.0,7.0,15.649377,3s2.3p3.(2D*).4p,3F,3.0,7.0,18.241494,2.592117,478.31251,4700000.0,0.016121,0.11284,0.00042784
3s2.3p3.(2D*).3d,3F*,3.0,7.0,15.649377,3s2.3p3.(2D*).4p,3F,4.0,9.0,18.250504,2.601127,476.65569,350000.0,0.0015328,0.01073,4.068e-05
3s2.3p3.(2D*).3d,3F*,4.0,9.0,15.678806,3s2.3p3.(2D*).4p,3D,3.0,7.0,18.160045,2.481239,499.68664,13000000.0,0.037849,0.34064,0.0010045
3s2.3p3.(2D*).3d,3F*,4.0,9.0,15.678806,3s2.3p3.(2D*).4p,3F,3.0,7.0,18.241494,2.562688,483.80528,440000.0,0.0012009,0.010808,3.1872e-05
3s2.3p3.(2D*).3d,3F*,4.0,9.0,15.678806,3s2.3p3.(2D*).4p,3F,4.0,9.0,18.250504,2.571698,482.11026,5100000.0,0.017771,0.15994,0.00047165
3s2.3p3.(2D*).4s,3D*,1.0,3.0,15.712108,3s2.3p3.(2D*).4p,3D,1.0,3.0,18.142826,2.430718,510.07233,64000000.0,0.24963,0.7489,0.0066253
3s2.3p3.(2D*).4s,3D*,1.0,3.0,15.712108,3s2.3p3.(2D*).4p,3D,2.0,5.0,18.143296,2.431188,509.97372,13000000.0,0.084479,0.25344,0.0022421
3s2.3p3.(2D*).4s,3D*,1.0,3.0,15.712108,3s2.3p3.(2D*).4p,3F,2.0,5.0,18.232572,2.520464,491.91021,75000000.0,0.45346,1.3604,0.012035
3s2.3p3.(2D*).4s,3D*,1.0,3.0,15.712108,3s2.3p3.(2D*).4p,3P,2.0,5.0,18.572848,2.86074,433.39905,1000000.0,0.0046934,0.01408,0.00012456
3s2.3p3.(2D*).4s,3D*,1.0,3.0,15.712108,3s2.3p3.(2D*).4p,3P,1.0,3.0,18.591949,2.879841,430.52446,25000000.0,0.06947,0.20841,0.0018437
3s2.3p3.(2D*).4s,3D*,1.0,3.0,15.712108,3s2.3p3.(2D*).4p,3P,0.0,1.0,18.600221,2.888113,429.29137,100000000.0,0.092096,0.27629,0.0024442
3s2.3p3.(2D*).4s,3D*,2.0,5.0,15.714374,3s2.3p3.(2D*).4p,3D,1.0,3.0,18.142826,2.428452,510.54828,21000000.0,0.049238,0.24619,0.0013068
3s2.3p3.(2D*).4s,3D*,2.0,5.0,15.714374,3s2.3p3.(2D*).4p,3D,2.0,5.0,18.143296,2.428922,510.44948,59000000.0,0.23047,1.1524,0.0061167
3s2.3p3.(2D*).4s,3D*,2.0,5.0,15.714374,3s2.3p3.(2D*).4p,3D,3.0,7.0,18.160045,2.445671,506.95371,9700000.0,0.052323,0.26162,0.0013887
3s2.3p3.(2D*).4s,3D*,2.0,5.0,15.714374,3s2.3p3.(2D*).4p,3F,2.0,5.0,18.232572,2.518198,492.35286,14000000.0,0.050879,0.2544,0.0013503
3s2.3p3.(2D*).4s,3D*,2.0,5.0,15.714374,3s2.3p3.(2D*).4p,3F,3.0,7.0,18.241494,2.52712,490.61461,81000000.0,0.40922,2.0461,0.010861
3s2.3p3.(2D*).4s,3D*,2.0,5.0,15.714374,3s2.3p3.(2D*).4p,3P,2.0,5.0,18.572848,2.858474,433.74261,15000000.0,0.042307,0.21154,0.0011228
3s2.3p3.(2D*).4s,3D*,2.0,5.0,15.714374,3s2.3p3.(2D*).4p,3P,1.0,3.0,18.591949,2.877575,430.86348,76000000.0,0.12691,0.63456,0.0033683
3s2.3p3.(2D*).4s,3D*,3.0,7.0,15.719258,3s2.3p3.(2D*).4p,3D,2.0,5.0,18.143296,2.424038,511.47795,13000000.0,0.036419,0.25493,0.00096656
3s2.3p3.(2D*).4s,3D*,3.0,7.0,15.719258,3s2.3p3.(2D*).4p,3D,3.0,7.0,18.160045,2.440787,507.96812,77000000.0,0.29787,2.0851,0.0079054
3s2.3p3.(2D*).4s,3D*,3.0,7.0,15.719258,3s2.3p3.(2D*).4p,3F,2.0,5.0,18.232572,2.513314,493.30962,410000.0,0.0010685,0.0074792,2.8357e-05
3s2.3p3.(2D*).4s,3D*,3.0,7.0,15.719258,3s2.3p3.(2D*).4p,3F,3.0,7.0,18.241494,2.522236,491.56462,10000000.0,0.036226,0.25358,0.00096144
3s2.3p3.(2D*).4s,3D*,3.0,7.0,15.719258,3s2.3p3.(2D*).4p,3F,4.0,9.0,18.250504,2.531246,489.81489,88000000.0,0.40696,2.8487,0.010801
3s2.3p3.(2D*).4s,3D*,3.0,7.0,15.719258,3s2.3p3.(2D*).4p,3P,2.0,5.0,18.572848,2.85359,434.48498,84000000.0,0.16981,1.1887,0.0045067
