Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""3s2.3p3""","=""4S*""","=""3/2""",4,"=""""","=""0.000000""","=""""","=""0""","="" 100                                       ""","=""L495"""
"=""3s2.3p3""","=""2D*""","=""3/2""",4,"=""""","=""2.238220""","=""""","=""""","="" 100                                       ""","="""""
"=""3s2.3p3""","=""2D*""","=""5/2""",6,"=""""","=""2.246399""","=""""","=""""","="" 100                                       ""","="""""
"=""3s2.3p3""","=""2P*""","=""1/2""",2,"=""""","=""3.696455""","=""""","=""""","=""  99                                       ""","="""""
"=""3s2.3p3""","=""2P*""","=""3/2""",4,"=""""","=""3.707927""","=""""","=""""","=""  99                                       ""","="""""
"=""3s.3p4.(3P)""","=""4P""","=""5/2""",6,"=""""","=""12.214965""","=""""","=""""","=""  87         :    13  3s2.3p2.(3P).3d 4P   ""","="""""
"=""3s.3p4.(3P)""","=""4P""","=""3/2""",4,"=""""","=""12.290727""","=""""","=""""","=""  87         :    13  3s2.3p2.(3P).3d 4P   ""","="""""
"=""3s.3p4.(3P)""","=""4P""","=""1/2""",2,"=""""","=""12.333355""","=""""","=""""","=""  86         :    13  3s2.3p2.(3P).3d 4P   ""","="""""
"=""3s.3p4.(1D)""","=""2D""","=""3/2""",4,"=""""","=""15.142396""","=""""","=""""","=""  71         :    25  3s2.3p2.(1D).3d 2D   ""","="""""
"=""3s.3p4.(1D)""","=""2D""","=""5/2""",6,"=""""","=""15.148365""","=""""","=""""","=""  71         :    25  3s2.3p2.(1D).3d 2D   ""","="""""
"=""3s2.3p2.(3P).3d""","=""4F""","=""3/2""",4,"=""""","=""18.166378""","=""""","=""""","="" 100                                       ""","="""""
"=""3s2.3p2.(3P).3d""","=""4F""","=""5/2""",6,"=""""","=""18.194308""","=""""","=""""","="" 100                                       ""","="""""
"=""3s2.3p2.(3P).3d""","=""4F""","=""7/2""",8,"=""""","=""18.234303""","=""""","=""""","="" 100                                       ""","="""""
"=""3s2.3p2.(3P).3d""","=""4F""","=""9/2""",10,"=""""","=""18.286992""","=""""","=""""","="" 100                                       ""","="""""
"=""3s2.3p2.(3P).3d""","=""4D""","=""5/2""",6,"=""""","=""18.826554""","=""""","=""""","=""  98                                       ""","="""""
"=""3s2.3p2.(3P).3d""","=""4D""","=""3/2""",4,"=""""","=""18.830480""","=""""","=""""","="" 100                                       ""","="""""
"=""3s2.3p2.(3P).3d""","=""4D""","=""1/2""",2,"=""""","=""18.838723""","=""""","=""""","="" 100                                       ""","="""""
"=""3s2.3p2.(3P).3d""","=""4D""","=""7/2""",8,"=""""","=""18.839602""","=""""","=""""","=""  95         :     3  3s2.3p2.(1D).3d 2F   ""","="""""
"=""3s2.3p2.(3P).4s""","=""4P""","=""1/2""",2,"=""""","=""21.540429""","=""""","=""""","=""                                           ""","="""""
"=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""",4,"=""""","=""21.584784""","=""""","=""""","=""                                           ""","="""""
"=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""",6,"=""""","=""21.649099""","=""""","=""""","=""                                           ""","="""""
"=""3s2.3p2.(3P).4s""","=""2P""","=""1/2""",2,"=""""","=""22.114955""","=""""","=""""","=""                                           ""","="""""
"=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""",4,"=""""","=""22.202495""","=""""","=""""","=""                                           ""","="""""
"=""3s2.3p2.(3P).3d""","=""4P""","=""5/2""",6,"=""""","=""22.254415""","=""""","=""""","=""  86         :    13  3s.3p4.(3P)     4P   ""","="""""
"=""3s2.3p2.(3P).3d""","=""4P""","=""3/2""",4,"=""""","=""22.275268""","=""""","=""""","=""  86         :    13  3s.3p4.(3P)     4P   ""","="""""
"=""3s2.3p2.(3P).3d""","=""4P""","=""1/2""",2,"=""""","=""22.289983""","=""""","=""""","=""  86         :    13  3s.3p4.(3P)     4P   ""","="""""
