obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""40.627""","=""""","=""100""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L495""",
"=""41.137""","=""""","=""400""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L495""",
"=""41.181""","=""""","=""400""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L495""",
"=""55.623""","=""""","=""600""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L495""",
"=""55.661""","=""""","=""700""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L495""",
"=""55.712""","=""""","=""700""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L495""",
"=""56.153""","=""""","=""700""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L495""",
"=""56.168""","=""""","=""700""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L495""",
"=""56.174""","=""""","=""700""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L495""",
"=""60.635""","=""""","=""500""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L495""",
"=""62.128""","=""""","=""400""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L495""",
"=""67.038""","=""""","=""300""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L495""",
"=""67.313""","=""""","=""300""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L495""",
"=""93.628""","=""""","=""100""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L480""",
"=""100.528""","=""100.52755""","=""500""","=""2.6e+09""",E,"=""0.000000""","=""12.333355""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s.3p4.(3P)""","=""4P""","=""1/2""",4,2,,"=""T668LS""","=""L480""",
"=""100.878""","=""100.87621""","=""600""","=""2.6e+09""",E,"=""0.000000""","=""12.290727""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s.3p4.(3P)""","=""4P""","=""3/2""",4,4,,"=""T668LS""","=""L480""",
"=""101.502""","=""101.50188""","=""700""","=""2.5e+09""",E,"=""0.000000""","=""12.214965""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s.3p4.(3P)""","=""4P""","=""5/2""",4,6,,"=""T668LS""","=""L480""",
"=""""","=""179.7926""","=""""","=""9.6e+05""",E,"=""18.194308""","=""25.090263""","=""3s2.3p2.(3P).3d""","=""4F""","=""5/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""7/2""",6,8,,"=""T1619CA,LS""","=""""",
"=""""","=""180.8415""","=""""","=""1.9e+07""",E,"=""18.234303""","=""25.090263""","=""3s2.3p2.(3P).3d""","=""4F""","=""7/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""7/2""",8,8,,"=""T1619CA,LS""","=""""",
"=""""","=""181.0212""","=""""","=""1.8e+06""",E,"=""18.166378""","=""25.015530""","=""3s2.3p2.(3P).3d""","=""4F""","=""3/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""5/2""",4,6,,"=""T1619CA,LS""","=""""",
"=""""","=""181.7624""","=""""","=""3.2e+07""",E,"=""18.194308""","=""25.015530""","=""3s2.3p2.(3P).3d""","=""4F""","=""5/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""5/2""",6,6,,"=""T1619CA,LS""","=""""",
"=""182.250""","=""182.2420""","=""600""","=""1.7e+08""",E,"=""18.286992""","=""25.090263""","=""3s2.3p2.(3P).3d""","=""4F""","=""9/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""7/2""",10,8,,"=""T1619CA,LS""","=""L495""",
"=""""","=""182.4511""","=""""","=""3.7e+07""",E,"=""18.166378""","=""24.961853""","=""3s2.3p2.(3P).3d""","=""4F""","=""3/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""3/2""",4,4,,"=""T1619CA,LS""","=""""",
"=""182.840""","=""182.8344""","=""500""","=""1.5e+08""",E,"=""18.234303""","=""25.015530""","=""3s2.3p2.(3P).3d""","=""4F""","=""7/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""5/2""",8,6,,"=""T1619CA,LS""","=""L495""",
