conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
3s2.3p3,4S*,1.5,4.0,0.0,3s2.3p3,2D*,1.5,4.0,2.23822,2.23822,553.94107,0.0065,2.9902e-11,1.1961e-10,7.936e-13
3s2.3p3,4S*,1.5,4.0,0.0,3s2.3p3,2D*,1.5,4.0,2.23822,2.23822,553.94107,0.00055,2.5302e-12,1.0121e-11,6.7151e-14
3s2.3p3,4S*,1.5,4.0,0.0,3s2.3p3,2D*,2.5,6.0,2.246399,2.246399,551.92421,0.000146,1.0001e-12,4.0006e-12,2.6544e-14
3s2.3p3,4S*,1.5,4.0,0.0,3s2.3p3,2D*,2.5,6.0,2.246399,2.246399,551.92421,0.00086,5.8913e-12,2.3565e-11,1.5635e-13
3s2.3p3,4S*,1.5,4.0,0.0,3s2.3p3,2P*,0.5,2.0,3.696455,3.696455,335.41379,0.374,3.154e-10,1.2616e-09,8.3707e-12
3s2.3p3,4S*,1.5,4.0,0.0,3s2.3p3,2P*,0.5,2.0,3.696455,3.696455,335.41379,4e-05,3.3733e-14,1.3493e-13,8.9527e-16
3s2.3p3,4S*,1.5,4.0,0.0,3s2.3p3,2P*,1.5,4.0,3.707927,3.707927,334.37605,0.96,1.6092e-09,6.4367e-09,4.2707e-11
3s2.3p3,4S*,1.5,4.0,0.0,3s2.3p3,2P*,1.5,4.0,3.707927,3.707927,334.37605,4.9e-06,8.2135e-15,3.2854e-14,2.1799e-16
3s2.3p3,4S*,1.5,4.0,0.0,3s.3p4.(3P),4P,2.5,6.0,12.214965,12.214965,101.50189,2500000000.0,0.57921,2.3169,0.015372
3s2.3p3,4S*,1.5,4.0,0.0,3s.3p4.(3P),4P,1.5,4.0,12.290727,12.290727,100.87621,2600000000.0,0.39665,1.5866,0.010527
3s2.3p3,4S*,1.5,4.0,0.0,3s.3p4.(3P),4P,0.5,2.0,12.333355,12.333355,100.52755,2600000000.0,0.19696,0.78783,0.0052273
3s2.3p3,2D*,1.5,4.0,2.23822,3s2.3p3,2D*,2.5,6.0,2.246399,0.008179,151588.45629,3.05e-06,1.5761e-09,6.3044e-09,4.183e-11
3s2.3p3,2D*,1.5,4.0,2.23822,3s2.3p3,2D*,2.5,6.0,2.246399,0.008179,151588.45629,4.9e-15,2.5321e-18,1.0128e-17,6.7202e-20
3s2.3p3,2D*,1.5,4.0,2.23822,3s2.3p3,2P*,0.5,2.0,3.696455,1.458235,850.23469,0.186,1.0079e-09,4.0316e-09,2.675e-11
3s2.3p3,2D*,1.5,4.0,2.23822,3s2.3p3,2P*,0.5,2.0,3.696455,1.458235,850.23469,0.165,8.9411e-10,3.5764e-09,2.373e-11
3s2.3p3,2D*,1.5,4.0,2.23822,3s2.3p3,2P*,1.5,4.0,3.707927,1.469707,843.59807,0.306,3.2648e-09,1.3059e-08,8.6647e-11
3s2.3p3,2D*,1.5,4.0,2.23822,3s2.3p3,2P*,1.5,4.0,3.707927,1.469707,843.59807,0.084,8.9621e-10,3.5848e-09,2.3785e-11
3s2.3p3,2D*,2.5,6.0,2.246399,3s2.3p3,2P*,0.5,2.0,3.696455,1.450056,855.03042,0.108,3.9457e-10,2.3674e-09,1.0472e-11
3s2.3p3,2D*,2.5,6.0,2.246399,3s2.3p3,2P*,1.5,4.0,3.707927,1.461528,848.31901,0.169,1.2156e-09,7.2933e-09,3.2261e-11
3s2.3p3,2D*,2.5,6.0,2.246399,3s2.3p3,2P*,1.5,4.0,3.707927,1.461528,848.31901,0.195,1.4026e-09,8.4154e-09,3.7224e-11
