Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Reference
"=""3s2.3p2""","=""3P""","=""0""",1,"=""""","=""0.00000""","=""""","=""0""","=""L495"""
"=""3s2.3p2""","=""3P""","=""1""",3,"=""""","=""0.06100""","=""""","=""""","="""""
"=""3s2.3p2""","=""3P""","=""2""",5,"=""""","=""0.16637""","=""""","=""""","="""""
"=""3s2.3p2""","=""1D""","=""2""",5,"=""""","=""1.70696""","=""""","=""""","="""""
"=""3s2.3p2""","=""1S""","=""0""",1,"=""""","=""4.03541""","=""""","=""""","="""""
"=""3s.3p3""","=""5S*""","=""2""",5,"=""""","=""8.0590""","=""+x""","=""""","="""""
"=""3s.3p3""","=""3D*""","=""1""",3,"=""""","=""12.7396""","=""""","=""""","="""""
"=""3s.3p3""","=""3D*""","=""2""",5,"=""""","=""12.7440""","=""""","=""""","="""""
"=""3s.3p3""","=""3D*""","=""3""",7,"=""""","=""12.7541""","=""""","=""""","="""""
"=""3s.3p3""","=""3P*""","=""2""",5,"=""""","=""14.9098""","=""""","=""""","="""""
"=""3s.3p3""","=""3P*""","=""1""",3,"=""""","=""14.9121""","=""""","=""""","="""""
"=""3s.3p3""","=""3P*""","=""0""",1,"=""""","=""14.9153""","=""""","=""""","="""""
"=""3s.3p3""","=""1D*""","=""2""",5,"=""""","=""16.0361""","=""""","=""""","="""""
"=""3s.3p3""","=""3S*""","=""1""",3,"=""""","=""20.4228""","=""""","=""""","="""""
"=""3s.3p3""","=""1P*""","=""1""",3,"=""""","=""20.6734""","=""""","=""""","="""""
"=""3s2.3p(2P*)3d""","=""3P*""","=""2""",5,"=""""","=""22.5209""","=""""","=""""","="""""
"=""3s2.3p(2P*)3d""","=""3P*""","=""1""",3,"=""""","=""22.5742""","=""""","=""""","="""""
"=""3s2.3p(2P*)3d""","=""3P*""","=""0""",1,"=""""","=""22.6023""","=""""","=""""","="""""
"=""3s2.3p(2P*)3d""","=""3D*""","=""1""",3,"=""""","=""23.1860""","=""""","=""""","="""""
"=""3s2.3p(2P*)3d""","=""3D*""","=""2""",5,"=""""","=""23.2066""","=""""","=""""","="""""
"=""3s2.3p(2P*)3d""","=""3D*""","=""3""",7,"=""""","=""23.2279""","=""""","=""""","="""""
"=""3s2.3p(2P*)4s""","=""3P*""","=""0""",1,"=""""","=""26.65983""","=""""","=""""","="""""
"=""3s2.3p(2P*)4s""","=""3P*""","=""1""",3,"=""""","=""26.70487""","=""""","=""""","="""""
"=""3s2.3p(2P*)4s""","=""3P*""","=""2""",5,"=""""","=""26.83862""","=""""","=""""","="""""
"=""3s2.3p(2P*)4s""","=""1P*""","=""1""",3,"=""""","=""27.2088""","=""""","=""""","="""""
"=""3s2.3p(2P*)4p""","=""3D""","=""1""",3,"=""""","=""30.69544""","=""""","=""""","="""""
"=""3s2.3p(2P*)4p""","=""3D""","=""2""",5,"=""""","=""30.75133""","=""""","=""""","="""""
"=""3s2.3p(2P*)4p""","=""3D""","=""3""",7,"=""""","=""30.86725""","=""""","=""""","="""""
"=""3s2.3p(2P*)4p""","=""3P""","=""0""",1,"=""""","=""31.17848""","=""""","=""""","="""""
"=""3s2.3p(2P*)4p""","=""3P""","=""1""",3,"=""""","=""31.21002""","=""""","=""""","="""""
"=""3s2.3p(2P*)4p""","=""3P""","=""2""",5,"=""""","=""31.29320""","=""""","=""""","="""""
"=""3s.3p2(4P)4s""","=""5P""","=""1""",3,"=""""","=""36.2220""","=""+x""","=""""","="""""
"=""3s.3p2(4P)4s""","=""5P""","=""2""",5,"=""""","=""36.2852""","=""+x""","=""""","="""""
"=""3s.3p2(4P)4s""","=""5P""","=""3""",7,"=""""","=""36.3770""","=""+x""","=""""","="""""
"=""3s2.3p(2P*)5s""","=""3P*""","=""0""",1,"=""""","=""38.7757""","=""""","=""""","="""""
"=""3s2.3p(2P*)5s""","=""3P*""","=""1""",3,"=""""","=""38.8059""","=""""","=""""","="""""
"=""3s2.3p(2P*)5s""","=""3P*""","=""2""",5,"=""""","=""38.9589""","=""""","=""""","="""""
"=""3s2.3p(2P*)5s""","=""1P*""","=""1""",3,"=""""","=""39.0700""","=""""","=""""","="""""
"=""3s2.3p(2P*)5p""","=""3P""","=""2""",5,"=""""","=""44.8922""","=""""","=""""","="""""
"=""3s2.3p(2P*)5p""","=""3D""","=""2""",5,"=""""","=""45.7031""","=""""","=""""","="""""
"=""Cl V (3p 2P*<1/2>)""","=""Limit""","=""---""",,"=""[""","=""53.24""","=""]""","=""0.12""","=""L11770"""
