Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""2s2.2p5""","=""2P*""","=""3/2""",4,"=""""","=""0.0000""","=""""","=""0""","=""                                           ""","=""L8473"""
"=""2s2.2p5""","=""2P*""","=""1/2""",2,"=""""","=""1.6898""","=""""","=""""","=""                                           ""","="""""
"=""2s.2p6""","=""2S""","=""1/2""",2,"=""""","=""68.6099""","=""""","=""""","="" 100                                       ""","="""""
"=""2s2.2p4.(3P).3s""","=""4P""","=""5/2""",6,"=""""","=""234.202""","=""""","=""""","=""  99                                       ""","="""""
"=""2s2.2p4.(3P).3s""","=""4P""","=""3/2""",4,"=""""","=""235.1471""","=""""","=""""","=""  92         :     7  2s2.2p4.(3P).3s 2P   ""","="""""
"=""2s2.2p4.(3P).3s""","=""4P""","=""1/2""",2,"=""""","=""235.8029""","=""""","=""""","=""  98                                       ""","="""""
"=""2s2.2p4.(3P).3s""","=""2P""","=""3/2""",4,"=""""","=""237.0564""","=""""","=""""","=""  91         :     7  2s2.2p4.(3P).3s 4P   ""","="""""
"=""2s2.2p4.(3P).3s""","=""2P""","=""1/2""",2,"=""""","=""238.1834""","=""""","=""""","=""  98                                       ""","="""""
"=""2s2.2p4.(1D).3s""","=""2D""","=""5/2""",6,"=""""","=""242.9830""","=""""","=""""","=""                                           ""","="""""
"=""2s2.2p4.(1D).3s""","=""2D""","=""3/2""",4,"=""""","=""243.0077""","=""""","=""""","=""                                           ""","="""""
"=""2s2.2p4.(3P).3p""","=""4P*""","=""5/2""",6,"=""""","=""248.747""","=""""","=""""","=""  95         :     5  2s2.2p4.(3P).3p 4D*  ""","="""""
"=""2s2.2p4.(3P).3p""","=""4P*""","=""3/2""",4,"=""""","=""248.9807""","=""""","=""""","=""  91                                       ""","="""""
"=""2s2.2p4.(3P).3p""","=""4P*""","=""1/2""",2,"=""""","=""249.480""","=""""","=""""","=""  95                                       ""","="""""
"=""2s2.2p4.(3P).3p""","=""4D*""","=""7/2""",8,"=""""","=""250.6094""","=""""","=""""","=""  99                                       ""","="""""
"=""2s2.2p4.(3P).3p""","=""4D*""","=""5/2""",6,"=""""","=""251.0559""","=""""","=""""","=""  71         :    25  2s2.2p4.(3P).3p 2D*  ""","="""""
"=""2s2.2p4.(3P).3p""","=""4D*""","=""3/2""",4,"=""""","=""251.64""","=""""","=""""","=""  91         :     5  2s2.2p4.(3P).3p 2D*  ""","="""""
"=""2s2.2p4.(3P).3p""","=""4D*""","=""1/2""",2,"=""""","=""251.8781""","=""""","=""""","=""  98                                       ""","="""""
"=""2s2.2p4.(1S).3s""","=""2S""","=""1/2""",2,"=""""","=""251.8218""","=""""","=""""","=""  98                                       ""","="""""
"=""2s2.2p4.(3P).3p""","=""2P*""","=""1/2""",2,"=""""","=""252.23""","=""""","=""""","=""  47         :    31  2s2.2p4.(1D).3p 2P*  ""","="""""
"=""2s2.2p4.(3P).3p""","=""2P*""","=""3/2""",4,"=""""","=""252.7210""","=""""","=""""","=""  44         :    25  2s2.2p4.(3P).3p 2D*  ""","="""""
"=""2s2.2p4.(3P).3p""","=""2D*""","=""5/2""",6,"=""""","=""252.3533""","=""""","=""""","=""  73         :    24  2s2.2p4.(3P).3p 4P*  ""","="""""
"=""2s2.2p4.(3P).3p""","=""2D*""","=""3/2""",4,"=""""","=""253.4""","=""""","=""""","=""  64         :    13  2s2.2p4.(3P).3p 2P*  ""","="""""
"=""2s2.2p4.(1D).3p""","=""2F*""","=""5/2""",6,"=""""","=""258.1456""","=""""","=""""","=""  98                                       ""","="""""
"=""2s2.2p4.(1D).3p""","=""2F*""","=""7/2""",8,"=""""","=""258.417""","=""""","=""""","=""  99                                       ""","="""""
"=""2s2.2p4.(1D).3p""","=""2D*""","=""3/2""",4,"=""""","=""260.150""","=""""","=""""","=""  98                                       ""","="""""
"=""2s2.2p4.(1D).3p""","=""2D*""","=""5/2""",6,"=""""","=""260.3191""","=""""","=""""","=""  98                                       ""","="""""
"=""2s2.2p4.(1D).3p""","=""2P*""","=""3/2""",4,"=""""","=""263.458""","=""""","=""""","=""  62         :    37  2s2.2p4.(3P).3p 2P*  ""","="""""
"=""2s2.2p4.(1D).3p""","=""2P*""","=""1/2""",2,"=""""","=""264.1424""","=""""","=""""","=""  61         :    33  2s2.2p4.(3P).3p 2P*  ""","="""""
"=""2s2.2p4.(1S).3p""","=""2P*""","=""1/2""",2,"=""""","=""""","=""""","=""""","=""                                           ""","="""""
"=""2s2.2p4.(1S).3p""","=""2P*""","=""3/2""",4,"=""""","=""268.33""","=""""","=""""","=""  98                                       ""","="""""
"=""2s2.2p4.(3P).3d""","=""4D""","=""7/2""",8,"=""""","=""269.4245""","=""""","=""""","=""  94         :     5  2s2.2p4.(3P).3d 2F   ""","="""""
"=""2s2.2p4.(3P).3d""","=""4D""","=""5/2""",6,"=""""","=""269.5385""","=""""","=""""","=""  93                                       ""","="""""
"=""2s2.2p4.(3P).3d""","=""4D""","=""3/2""",4,"=""""","=""269.7481""","=""""","=""""","=""  93                                       ""","="""""
"=""2s2.2p4.(3P).3d""","=""4D""","=""1/2""",2,"=""""","=""269.9679""","=""""","=""""","=""  95                                       ""","="""""
"=""2s2.2p4.(3P).3d""","=""4F""","=""3/2""",4,"=""""","=""""","=""""","=""""","=""                                           ""","="""""
"=""2s2.2p4.(3P).3d""","=""4F""","=""9/2""",10,"=""""","=""271.1877""","=""""","=""""","=""  99                                       ""","="""""
"=""2s2.2p4.(3P).3d""","=""4F""","=""7/2""",8,"=""""","=""271.700""","=""""","=""""","=""  74         :    22  2s2.2p4.(3P).3d 2F   ""","="""""
"=""2s2.2p4.(3P).3d""","=""4F""","=""5/2""",6,"=""""","=""272.28""","=""""","=""""","=""  88         :     6  2s2.2p4.(3P).3d 2F   ""","="""""
"=""2s2.2p4.(3P).3d""","=""4P""","=""1/2""",2,"=""""","=""272.3796""","=""""","=""""","=""  97                                       ""","="""""
"=""2s2.2p4.(3P).3d""","=""4P""","=""3/2""",4,"=""""","=""272.7107""","=""""","=""""","=""  84         :     9  2s2.2p4.(3P).3d 4F   ""","="""""
"=""2s2.2p4.(3P).3d""","=""4P""","=""5/2""",6,"=""""","=""273.1174""","=""""","=""""","=""  76         :     9  2s2.2p4.(3P).3d 2F   ""","="""""
"=""2s2.2p4.(3P).3d""","=""2F""","=""7/2""",8,"=""""","=""272.6813""","=""""","=""""","=""  75         :    20  2s2.2p4.(3P).3d 4F   ""","="""""
"=""2s2.2p4.(3P).3d""","=""2F""","=""5/2""",6,"=""""","=""273.4893""","=""""","=""""","=""  71         :    17  2s2.2p4.(3P).3d 4P   ""","="""""
"=""2s2.2p4.(3P).3d""","=""2P""","=""1/2""",2,"=""""","=""273.5029""","=""""","=""""","=""  76         :    20  2s2.2p4.(1D).3d 2P   ""","="""""
"=""2s2.2p4.(3P).3d""","=""2P""","=""3/2""",4,"=""""","=""274.9151""","=""""","=""""","=""  61         :    18  2s2.2p4.(3P).3d 2D   ""","="""""
"=""2s2.2p4.(3P).3d""","=""2D""","=""3/2""",4,"=""""","=""273.9319""","=""""","=""""","=""  59         :    20  2s2.2p4.(3P).3d 2P   ""","="""""
"=""2s2.2p4.(3P).3d""","=""2D""","=""5/2""",6,"=""""","=""274.8370""","=""""","=""""","=""  74         :    12  2s2.2p4.(3P).3d 2F   ""","="""""
