spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
Cl IX,Cl,8,2s2.2p5,2P*,1.5,4,0.0,0.0,odd,,no,400.851,,,,,,,,,,L8473
Cl IX,Cl,8,2s2.2p5,2P*,0.5,2,1.6898,,odd,,no,400.851,0.022123893805309734,"ASD 1/sum(Aki), J-resolved",0.022123893805309734,1/1,yes,1.6898,1.6898,,,
Cl IX,Cl,8,2s.2p6,2S,0.5,2,68.6099,,even,,no,400.851,1.8518518518518518e-11,"ASD 1/sum(Aki), J-resolved",1.8518518518518518e-11,2/2,yes,68.6099,68.6099,,,
Cl IX,Cl,8,2s2.2p4.(3P).3s,4P,2.5,6,234.202,,even,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(3P).3s,4P,1.5,4,235.1471,,even,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(3P).3s,4P,0.5,2,235.8029,,even,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(3P).3s,2P,1.5,4,237.0564,,even,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(3P).3s,2P,0.5,2,238.1834,,even,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(1D).3s,2D,2.5,6,242.983,,even,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(1D).3s,2D,1.5,4,243.0077,,even,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(3P).3p,4P*,2.5,6,248.747,,odd,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(3P).3p,4P*,1.5,4,248.9807,,odd,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(3P).3p,4P*,0.5,2,249.48,,odd,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(3P).3p,4D*,3.5,8,250.6094,,odd,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(3P).3p,4D*,2.5,6,251.0559,,odd,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(3P).3p,4D*,1.5,4,251.64,,odd,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(3P).3p,4D*,0.5,2,251.8781,,odd,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(1S).3s,2S,0.5,2,251.8218,,even,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(3P).3p,2P*,0.5,2,252.23,,odd,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(3P).3p,2P*,1.5,4,252.721,,odd,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(3P).3p,2D*,2.5,6,252.3533,,odd,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(3P).3p,2D*,1.5,4,253.4,,odd,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(1D).3p,2F*,2.5,6,258.1456,,odd,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(1D).3p,2F*,3.5,8,258.417,,odd,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(1D).3p,2D*,1.5,4,260.15,,odd,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(1D).3p,2D*,2.5,6,260.3191,,odd,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(1D).3p,2P*,1.5,4,263.458,,odd,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(1D).3p,2P*,0.5,2,264.1424,,odd,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(1S).3p,2P*,1.5,4,268.33,,odd,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(3P).3d,4D,3.5,8,269.4245,,even,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(3P).3d,4D,2.5,6,269.5385,,even,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(3P).3d,4D,1.5,4,269.7481,,even,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(3P).3d,4D,0.5,2,269.9679,,even,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(3P).3d,4F,4.5,10,271.1877,,even,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(3P).3d,4F,3.5,8,271.7,,even,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(3P).3d,4F,2.5,6,272.28,,even,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(3P).3d,4P,0.5,2,272.3796,,even,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(3P).3d,4P,1.5,4,272.7107,,even,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(3P).3d,4P,2.5,6,273.1174,,even,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(3P).3d,2F,3.5,8,272.6813,,even,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(3P).3d,2F,2.5,6,273.4893,,even,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(3P).3d,2P,0.5,2,273.5029,,even,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(3P).3d,2P,1.5,4,274.9151,,even,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(3P).3d,2D,1.5,4,273.9319,,even,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(3P).3d,2D,2.5,6,274.837,,even,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(1D).3d,2G,3.5,8,278.487,,even,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(1D).3d,2G,4.5,10,278.5047,,even,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(1D).3d,2S,0.5,2,280.1187,,even,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(1D).3d,2F,2.5,6,280.4777,,even,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(1D).3d,2F,3.5,8,280.6248,,even,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(1D).3d,2D,2.5,6,281.1962,,even,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(1D).3d,2D,1.5,4,281.7628,,even,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(1S).3d,2D,2.5,6,288.7387,,even,,no,400.851,,,,,,,,,,
Cl IX,Cl,8,2s2.2p4.(1S).3d,2D,1.5,4,288.903,,even,,no,400.851,,,,,,,,,,
