Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Reference
"=""2p6.3s""","=""2S""","=""1/2""",2,"=""""","=""0.0000""","=""""","=""0""","=""L8473"""
"=""2p6.3p""","=""2P*""","=""1/2""",2,"=""""","=""15.2509""","=""""","=""""","="""""
"=""2p6.3p""","=""2P*""","=""3/2""",4,"=""""","=""15.4856""","=""""","=""""","="""""
"=""2p6.3d""","=""2D""","=""3/2""",4,"=""""","=""35.9767""","=""""","=""""","="""""
"=""2p6.3d""","=""2D""","=""5/2""",6,"=""""","=""35.9863""","=""""","=""""","="""""
"=""2p6.4s""","=""2S""","=""1/2""",2,"=""""","=""57.5290""","=""""","=""""","="""""
"=""2p6.4p""","=""2P*""","=""1/2""",2,"=""""","=""63.1324""","=""""","=""""","="""""
"=""2p6.4p""","=""2P*""","=""3/2""",4,"=""""","=""63.2177""","=""""","=""""","="""""
"=""2p6.4d""","=""2D""","=""3/2""",4,"=""""","=""70.5646""","=""""","=""""","="""""
"=""2p6.4d""","=""2D""","=""5/2""",6,"=""""","=""70.5696""","=""""","=""""","="""""
"=""2p6.4f""","=""2F*""","=""5/2""",6,"=""""","=""72.4174""","=""""","=""""","="""""
"=""2p6.4f""","=""2F*""","=""7/2""",8,"=""""","=""72.4190""","=""""","=""""","="""""
"=""2p6.5s""","=""2S""","=""1/2""",2,"=""""","=""80.3017""","=""""","=""""","="""""
"=""2p6.5p""","=""2P*""","=""1/2""",2,"=""""","=""82.9715""","=""""","=""""","="""""
"=""2p6.5p""","=""2P*""","=""3/2""",4,"=""""","=""83.0049""","=""""","=""""","="""""
"=""2p6.5d""","=""2D""","=""3/2""",4,"=""""","=""86.4911""","=""""","=""""","="""""
"=""2p6.5d""","=""2D""","=""5/2""",6,"=""""","=""86.4937""","=""""","=""""","="""""
"=""2p6.5f""","=""2F*""","=""5/2""",6,"=""""","=""87.4582""","=""""","=""""","="""""
"=""2p6.5f""","=""2F*""","=""7/2""",8,"=""""","=""87.4596""","=""""","=""""","="""""
"=""2p6.5g""","=""2G""","=""7/2""",8,"=""""","=""87.5254""","=""""","=""""","="""""
"=""2p6.5g""","=""2G""","=""9/2""",10,"=""""","=""87.5261""","=""""","=""""","="""""
"=""2p6.6s""","=""2S""","=""1/2""",2,"=""""","=""91.7111""","=""+y""","=""""","="""""
"=""2p6.6p""","=""2P*""","=""3/2""",4,"=""""","=""93.1444""","=""""","=""""","="""""
"=""2p6.6p""","=""2P*""","=""1/2""",2,"=""""","=""93.1444""","=""""","=""""","="""""
"=""2p6.6d""","=""2D""","=""3/2""",4,"=""""","=""95.0748""","=""""","=""""","="""""
"=""2p6.6d""","=""2D""","=""5/2""",6,"=""""","=""95.0748""","=""""","=""""","="""""
"=""2p6.6f""","=""2F*""","=""5/2""",6,"=""""","=""95.6347""","=""""","=""""","="""""
"=""2p6.6f""","=""2F*""","=""7/2""",8,"=""""","=""95.6347""","=""""","=""""","="""""
"=""2p6.6g""","=""2G""","=""7/2""",8,"=""""","=""95.6748""","=""""","=""""","="""""
"=""2p6.6g""","=""2G""","=""9/2""",10,"=""""","=""95.6748""","=""""","=""""","="""""
"=""2p6.6h""","=""2H*""","=""9/2""",10,"=""""","=""95.6776""","=""""","=""""","="""""
"=""2p6.6h""","=""2H*""","=""11/2""",12,"=""""","=""95.6776""","=""""","=""""","="""""
"=""2p6.7h""","=""2H*""","=""9/2""",10,"=""""","=""100.5896""","=""""","=""""","="""""
"=""2p6.7h""","=""2H*""","=""11/2""",12,"=""""","=""100.5896""","=""""","=""""","="""""
"=""2p6.7g""","=""2G""","=""9/2""",10,"=""""","=""100.5921""","=""""","=""""","="""""
"=""2p6.7g""","=""2G""","=""7/2""",8,"=""""","=""100.5921""","=""""","=""""","="""""
"=""2p6.7i""","=""2I""","=""13/2""",14,"=""""","=""100.5933""","=""""","=""""","="""""
"=""2p6.7i""","=""2I""","=""11/2""",12,"=""""","=""100.5933""","=""""","=""""","="""""
"=""2p6.8i""","=""2I""","=""11/2""",12,"=""""","=""103.7760""","=""""","=""""","="""""
"=""2p6.8i""","=""2I""","=""13/2""",14,"=""""","=""103.7760""","=""""","=""""","="""""
"=""2p6.8k""","=""2K*""","=""13/2""",14,"=""""","=""103.7872""","=""""","=""""","="""""
"=""2p6.8k""","=""2K*""","=""15/2""",16,"=""""","=""103.7872""","=""""","=""""","="""""
"=""2p6.9k""","=""2K*""","=""13/2""",14,"=""""","=""105.9681""","=""""","=""""","="""""
"=""2p6.9k""","=""2K*""","=""15/2""",16,"=""""","=""105.9681""","=""""","=""""","="""""
"=""2p6.10l""","=""2L""","=""15/2""",16,"=""""","=""107.5372""","=""""","=""""","="""""
"=""2p6.10l""","=""2L""","=""17/2""",18,"=""""","=""107.5372""","=""""","=""""","="""""
"=""Cl VIII (2p6 1S<0>)""","=""Limit""","=""---""",,"=""""","=""114.2013""","=""""","=""0.0006""","=""L6356"""
